channel_0,sample #,type
-0.02954269,3014028,B
-0.18470278,3014029,NC
-0.15502335,3014030,NC
-0.13965239,3014031,NC
-0.15425213,3014032,NC
-0.18850708,3014033,NC
-0.19851376,3014034,NC
-0.21840279,3014035,NC
-0.24340013,3014036,NC
-0.28693944,3014037,NC
-0.31324446,3014038,NC
-0.3424674,3014039,NC
-0.36175644,3014040,NC
-0.39196408,3014041,NC
-0.4160449,3014042,NC
-0.45530042,3014043,NC
-0.48055243,3014044,NC
-0.5204346,3014045,NC
-0.5391883,3014046,NC
-0.5794458,3014047,NC
-0.62852836,3014048,NC
-0.69984627,3014049,NC
-0.7698403,3014050,NC
-0.828781,3014051,NC
-0.86363965,3014052,NC
-0.88417524,3014053,NC
-0.892165,3014054,NC
-0.92749745,3014055,NC
-0.9516524,3014056,NC
-0.9614475,3014057,NC
-0.9381992,3014058,NC
-0.9332365,3014059,NC
-0.92706865,3014060,NC
-0.9219633,3014061,NC
-0.8862375,3014062,NC
-0.86690265,3014063,NC
-0.8400905,3014064,NC
-0.820579,3014065,NC
-0.79023784,3014066,NC
-0.77572566,3014067,NC
-0.7248611,3014068,NC
-0.6598086,3014069,NC
-0.5941443,3014070,NC
-0.5340432,3014071,NC
-0.5142585,3014072,NC
-0.48919198,3014073,NC
-0.4486353,3014074,NC
-0.39328715,3014075,NC
-0.3531134,3014076,NC
-0.32781196,3014077,NC
-0.32201353,3014078,NC
-0.30740523,3014079,NC
-0.30220085,3014080,NC
-0.2867989,3014081,NC
-0.27085203,3014082,NC
-0.26234195,3014083,NC
-0.25675735,3014084,NC
-0.25167426,3014085,NC
-0.24150461,3014086,NC
-0.23575169,3014087,NC
-0.23155697,3014088,NC
-0.22584242,3014089,NC
-0.23083845,3014090,NC
-0.2455317,3014091,NC
-0.22554518,3014092,NC
-0.22481379,3014093,NC
-0.20582011,3014094,NC
-0.20030603,3014095,NC
-0.18910344,3014096,NC
-0.19446683,3014097,NC
-0.18018082,3014098,NC
-0.1543126,3014099,NC
-0.14949465,3014100,NC
-0.13432202,3014101,NC
-0.11272505,3014102,NC
-0.1335488,3014103,NC
-0.11820009,3014104,NC
-0.11693752,3014105,NC
-0.10238537,3014106,NC
-0.107989736,3014107,NC
-0.117360055,3014108,NC
-0.11659636,3014109,NC
-0.11640009,3014110,NC
-0.09238516,3014111,NC
-0.10650978,3014112,NC
-0.091376916,3014113,NC
-0.086384185,3014114,NC
-0.081740566,3014115,NC
-0.0864173,3014116,NC
-0.08663283,3014117,NC
-0.07161945,3014118,NC
-0.07222608,3014119,NC
-0.07066646,3014120,NC
-0.07551139,3014121,NC
-0.05056651,3014122,NC
-0.055621766,3014123,NC
-0.05108244,3014124,NC
-0.044982653,3014125,NC
-0.05042578,3014126,NC
-0.05066415,3014127,NC
-0.04010215,3014128,NC
-0.035379726,3014129,NC
-0.030126562,3014130,NC
-0.025023073,3014131,NC
-0.019287614,3014132,NC
-0.02498493,3014133,NC
-0.0148399025,3014134,NC
0.00067230896,3014135,NC
0.010362812,3014136,NC
0.0050738584,3014137,NC
0.010332416,3014138,NC
0.0018612142,3014139,NC
0.0057318723,3014140,NC
0.01636978,3014141,NC
0.014923357,3014142,NC
0.015579848,3014143,NC
0.030633012,3014144,NC
0.01698399,3014145,NC
0.029887073,3014146,NC
0.045785364,3014147,NC
0.04685735,3014148,NC
0.051262833,3014149,NC
0.040485345,3014150,NC
0.026350211,3014151,NC
0.035683222,3014152,NC
0.045573868,3014153,NC
0.055553038,3014154,NC
0.050897196,3014155,NC
0.046018425,3014156,NC
0.0362097,3014157,NC
0.041864734,3014158,NC
0.047138344,3014159,NC
0.055769946,3014160,NC
0.06749607,3014161,NC
0.06169287,3014162,NC
0.04616432,3014163,NC
0.036809415,3014164,NC
0.051197805,3014165,NC
0.051798057,3014166,NC
0.046809524,3014167,NC
0.040331397,3014168,NC
0.026272345,3014169,NC
0.0255951,3014170,NC
0.025789734,3014171,NC
0.02089601,3014172,NC
0.021494221,3014173,NC
0.0012249624,3014174,NC
-0.008935771,3014175,NC
-0.0036799833,3014176,NC
-0.0045123454,3014177,NC
-0.008757816,3014178,NC
-0.024088018,3014179,NC
-0.028968723,3014180,NC
-0.04922604,3014181,NC
-0.054885413,3014182,NC
-0.059563,3014183,NC
-0.060279492,3014184,NC
-0.06915897,3014185,NC
-0.0895802,3014186,NC
-0.099293835,3014187,NC
-0.10882457,3014188,NC
-0.10473887,3014189,NC
-0.1045236,3014190,NC
-0.11446851,3014191,NC
-0.13953204,3014192,NC
-0.13932195,3014193,NC
-0.15441495,3014194,NC
-0.15948479,3014195,NC
-0.1393551,3014196,NC
-0.14542244,3014197,NC
-0.17021276,3014198,NC
-0.18121137,3014199,NC
-0.1803256,3014200,NC
-0.18493907,3014201,NC
-0.17570727,3014202,NC
-0.18048011,3014203,NC
-0.20058805,3014204,NC
-0.21551958,3014205,NC
-0.21581078,3014206,NC
-0.2153268,3014207,NC
-0.21032573,3014208,NC
-0.20619103,3014209,NC
-0.22674462,3014210,NC
-0.2372495,3014211,NC
-0.22651424,3014212,NC
-0.22210687,3014213,NC
-0.22605716,3014214,NC
-0.23141041,3014215,NC
-0.24709083,3014216,NC
-0.25273317,3014217,NC
-0.2476021,3014218,NC
-0.24695075,3014219,NC
-0.24202736,3014220,NC
-0.24325526,3014221,NC
-0.24301626,3014222,NC
-0.25324425,3014223,NC
-0.23828726,3014224,NC
-0.24343407,3014225,NC
-0.23379439,3014226,NC
-0.22886351,3014227,NC
-0.23365085,3014228,NC
-0.24366142,3014229,NC
-0.23390889,3014230,NC
-0.2341773,3014231,NC
-0.23432378,3014232,NC
-0.22545066,3014233,NC
-0.23364827,3014234,NC
-0.22523391,3014235,NC
-0.22406454,3014236,NC
-0.19530334,3014237,NC
-0.1853603,3014238,NC
