channel_0,sample #,type
0.9627711,2707462,f
0.83837736,2707463,NC
0.5939827,2707464,NC
0.34958705,2707465,NC
0.17519036,2707466,NC
0.10579263,2707467,NC
0.29639378,2707468,NC
0.68199384,2707469,NC
0.6375926,2707470,NC
0.11319022,2707471,NC
-0.36621344,2707472,NC
-0.47561845,2707473,NC
-0.3800248,2707474,NC
-0.29943252,2707475,NC
-0.2838417,2707476,NC
-0.31825233,2707477,NC
-0.3426645,2707478,NC
-0.35707822,2707479,NC
-0.36649352,2707480,NC
-0.3309105,2707481,NC
-0.32532918,2707482,NC
-0.32974955,2707483,NC
-0.36417168,2707484,NC
-0.41359565,2707485,NC
-0.41302142,2707486,NC
-0.4024491,2707487,NC
-0.3618787,2707488,NC
-0.34631026,2707489,NC
-0.34074384,2707490,NC
-0.36517945,2707491,NC
-0.36961713,2707492,NC
-0.35405695,2707493,NC
-0.34349892,2707494,NC
-0.3479431,2707495,NC
-0.39238954,2707496,NC
-0.4368382,2707497,NC
-0.43628922,2707498,NC
-0.41074258,2707499,NC
-0.42519838,2707500,NC
-0.44965655,2707501,NC
-0.4541172,2707502,NC
-0.45358038,2707503,NC
-0.42804608,2707504,NC
-0.44751438,2707505,NC
-0.4669853,2707506,NC
-0.5064589,2707507,NC
-0.5109351,2707508,NC
-0.5304141,2707509,NC
-0.51489586,2707510,NC
-0.48438036,2707511,NC
-0.4288678,2707512,NC
-0.39335805,2707513,NC
-0.40285122,2707514,NC
-0.43734732,2707515,NC
-0.46684644,2707516,NC
-0.44634855,2707517,NC
-0.4608537,2707518,NC
-0.500362,2707519,NC
-0.5448733,2707520,NC
-0.58438784,2707521,NC
-0.55890554,2707522,NC
-0.5234265,2707523,NC
-0.49795064,2707524,NC
-0.5074781,2707525,NC
-0.5470089,2707526,NC
-0.61154306,2707527,NC
-0.6460805,2707528,NC
-0.6556214,2707529,NC
-0.58516586,2707530,NC
-0.49971372,2707531,NC
-0.42926508,2707532,NC
-0.42881998,2707533,NC
-0.4483785,2707534,NC
-0.46294057,2707535,NC
-0.4725063,2707536,NC
-0.49207577,2707537,NC
-0.51164883,2707538,NC
-0.5162257,2707539,NC
-0.50580627,2707540,NC
-0.48539066,2707541,NC
-0.47997886,2707542,NC
-0.5295708,2707543,NC
-0.5641668,2707544,NC
-0.56876653,2707545,NC
-0.5633703,2707546,NC
-0.57797796,2707547,NC
-0.56258965,2707548,NC
