channel_0,sample #,type
1.1106548,2890119,N
1.114391,2890120,NC
1.0154287,2890121,NC
0.8198086,2890122,NC
0.61439914,2890123,NC
0.42926502,2890124,NC
0.2534755,2890125,NC
0.07574094,2890126,NC
-0.1253111,2890127,NC
-0.26949546,2890128,NC
-0.35550925,2890129,NC
-0.44548497,2890130,NC
-0.51042575,2890131,NC
-0.5195914,2890132,NC
-0.51836395,2890133,NC
-0.5363974,2890134,NC
-0.54011714,2890135,NC
-0.5093271,2890136,NC
-0.50020313,2890137,NC
-0.48517016,2890138,NC
-0.46542728,2890139,NC
-0.46923685,2890140,NC
-0.47009972,2890141,NC
-0.49530149,2890142,NC
-0.49530798,2890143,NC
-0.48439708,2890144,NC
-0.47375682,2890145,NC
-0.48425522,2890146,NC
-0.49479666,2890147,NC
-0.48628804,2890148,NC
-0.49037167,2890149,NC
-0.4750683,2890150,NC
-0.4704984,2890151,NC
-0.4657829,2890152,NC
-0.4590743,2890153,NC
-0.46429777,2890154,NC
-0.47015077,2890155,NC
-0.47136194,2890156,NC
-0.4646204,2890157,NC
-0.48102197,2890158,NC
-0.47543433,2890159,NC
-0.47113916,2890160,NC
-0.48497877,2890161,NC
-0.47442427,2890162,NC
-0.46479118,2890163,NC
-0.46950448,2890164,NC
-0.4703892,2890165,NC
-0.50033516,2890166,NC
-0.4988634,2890167,NC
-0.4908194,2890168,NC
-0.4799441,2890169,NC
-0.4685843,2890170,NC
-0.47572705,2890171,NC
-0.48472336,2890172,NC
-0.4943208,2890173,NC
-0.48513862,2890174,NC
-0.47943425,2890175,NC
-0.47012618,2890176,NC
-0.48002702,2890177,NC
-0.48447788,2890178,NC
-0.5003654,2890179,NC
-0.48978323,2890180,NC
-0.48422647,2890181,NC
-0.5003078,2890182,NC
-0.50044984,2890183,NC
-0.5047901,2890184,NC
-0.52001494,2890185,NC
-0.52041,2890186,NC
-0.5043501,2890187,NC
-0.5056068,2890188,NC
-0.50478256,2890189,NC
-0.5095719,2890190,NC
-0.50957453,2890191,NC
-0.5048891,2890192,NC
-0.5138881,2890193,NC
-0.52502096,2890194,NC
-0.53480697,2890195,NC
-0.5341353,2890196,NC
-0.54012024,2890197,NC
-0.5269912,2890198,NC
-0.5153142,2890199,NC
-0.5244049,2890200,NC
-0.5245642,2890201,NC
-0.52974164,2890202,NC
-0.5447469,2890203,NC
-0.5298511,2890204,NC
-0.5314218,2890205,NC
-0.52002364,2890206,NC
-0.5260299,2890207,NC
-0.5249051,2890208,NC
-0.52420413,2890209,NC
-0.51051944,2890210,NC
-0.4841388,2890211,NC
-0.4898653,2890212,NC
-0.5093967,2890213,NC
-0.51598185,2890214,NC
-0.50953424,2890215,NC
-0.4995679,2890216,NC
-0.48090935,2890217,NC
-0.47002628,2890218,NC
-0.45509642,2890219,NC
-0.44921532,2890220,NC
-0.45479354,2890221,NC
-0.43448284,2890222,NC
-0.4208271,2890223,NC
-0.4193258,2890224,NC
-0.41036615,2890225,NC
-0.41449985,2890226,NC
-0.4040217,2890227,NC
-0.37496436,2890228,NC
-0.37025785,2890229,NC
-0.34891438,2890230,NC
-0.3334677,2890231,NC
-0.34447715,2890232,NC
-0.34097946,2890233,NC
-0.32041728,2890234,NC
-0.2993027,2890235,NC
-0.29915723,2890236,NC
-0.2852608,2890237,NC
