channel_0,sample #,type
1.2783176,2734218,N
1.2444332,2734219,NC
1.1151342,2734220,NC
0.9123231,2734221,NC
0.6773245,2734222,NC
0.45717457,2734223,NC
0.21356046,2734224,NC
-0.0049277917,2734225,NC
-0.10116124,2734226,NC
-0.22345828,2734227,NC
-0.44831046,2734228,NC
-0.6055337,2734229,NC
-0.65846616,2734230,NC
-0.6464105,2734231,NC
-0.64330864,2734232,NC
-0.6352668,2734233,NC
-0.6272946,2734234,NC
-0.64604,2734235,NC
-0.6296453,2734236,NC
-0.6095808,2734237,NC
-0.62491995,2734238,NC
-0.62210715,2734239,NC
-0.61717635,2734240,NC
-0.6239971,2734241,NC
-0.60517627,2734242,NC
-0.60529095,2734243,NC
-0.6293751,2734244,NC
-0.6335297,2734245,NC
-0.6247678,2734246,NC
-0.6214596,2734247,NC
-0.63194597,2734248,NC
-0.6719766,2734249,NC
-0.6793641,2734250,NC
-0.6811281,2734251,NC
-0.69083524,2734252,NC
-0.6797332,2734253,NC
-0.6725682,2734254,NC
-0.6748807,2734255,NC
-0.6672482,2734256,NC
-0.66607916,2734257,NC
-0.6535578,2734258,NC
-0.64525145,2734259,NC
-0.61480206,2734260,NC
-0.6304676,2734261,NC
-0.67698026,2734262,NC
-0.7253242,2734263,NC
-0.74875486,2734264,NC
-0.7355648,2734265,NC
-0.6719134,2734266,NC
-0.660591,2734267,NC
-0.66404456,2734268,NC
-0.66808397,2734269,NC
-0.6917929,2734270,NC
-0.6818264,2734271,NC
-0.70637494,2734272,NC
-0.7034383,2734273,NC
-0.70573366,2734274,NC
-0.70453334,2734275,NC
-0.69489,2734276,NC
-0.6859835,2734277,NC
-0.6577858,2734278,NC
-0.6638369,2734279,NC
-0.6587268,2734280,NC
-0.65885407,2734281,NC
-0.64114344,2734282,NC
-0.6643141,2734283,NC
-0.69880575,2734284,NC
-0.71478,2734285,NC
-0.7048886,2734286,NC
-0.66775054,2734287,NC
-0.6706121,2734288,NC
-0.66691804,2734289,NC
-0.6672981,2734290,NC
-0.695531,2734291,NC
-0.7264979,2734292,NC
-0.7591648,2734293,NC
-0.7711292,2734294,NC
-0.72165704,2734295,NC
-0.6903274,2734296,NC
-0.66982275,2734297,NC
-0.6737674,2734298,NC
-0.6826587,2734299,NC
-0.6982531,2734300,NC
-0.69111836,2734301,NC
-0.6771092,2734302,NC
-0.6659688,2734303,NC
-0.6724928,2734304,NC
-0.66270876,2734305,NC
-0.66655296,2734306,NC
-0.64900315,2734307,NC
-0.6388512,2734308,NC
-0.6442767,2734309,NC
-0.62514716,2734310,NC
-0.6356501,2734311,NC
-0.63599706,2734312,NC
-0.60743856,2734313,NC
-0.5981848,2734314,NC
-0.59290546,2734315,NC
