channel_0,sample #,type
0.28408805,23777738,B
0.23978978,23777739,NC
0.17257692,23777740,NC
0.078218095,23777741,NC
-0.019508623,23777742,NC
-0.12778978,23777743,NC
-0.24556288,23777744,NC
-0.37073874,23777745,NC
-0.5110073,23777746,NC
-0.66174144,23777747,NC
-0.8260677,23777748,NC
-0.99524236,23777749,NC
-1.1576731,23777750,NC
-1.3067971,23777751,NC
-1.4339433,23777752,NC
-1.541369,23777753,NC
-1.6346714,23777754,NC
-1.720043,23777755,NC
-1.7976784,23777756,NC
-1.8668917,23777757,NC
-1.9102342,23777758,NC
-1.9283296,23777759,NC
-1.9317627,23777760,NC
-1.9198068,23777761,NC
-1.9038272,23777762,NC
-1.8854214,23777763,NC
-1.844199,23777764,NC
-1.7767038,23777765,NC
-1.683917,23777766,NC
-1.5685058,23777767,NC
-1.4383603,23777768,NC
-1.3028381,23777769,NC
-1.16925,23777770,NC
-1.0474507,23777771,NC
-0.952187,23777772,NC
-0.88327795,23777773,NC
-0.83500016,23777774,NC
-0.7875904,23777775,NC
-0.7252063,23777776,NC
-0.6551951,23777777,NC
-0.57918537,23777778,NC
-0.516388,23777779,NC
-0.4600119,23777780,NC
-0.3988949,23777781,NC
-0.3338066,23777782,NC
-0.25478506,23777783,NC
-0.17586549,23777784,NC
-0.10488417,23777785,NC
-0.04825072,23777786,NC
-0.004644748,23777787,NC
0.03508635,23777788,NC
0.068731174,23777789,NC
0.10104417,23777790,NC
0.13120148,23777791,NC
0.15304232,23777792,NC
0.1747377,23777793,NC
0.19740283,23777794,NC
0.2159088,23777795,NC
0.22486342,23777796,NC
0.22455108,23777797,NC
0.21540004,23777798,NC
0.21648014,23777799,NC
0.22432053,23777800,NC
0.23942381,23777801,NC
0.25681272,23777802,NC
0.26518863,23777803,NC
0.2687826,23777804,NC
0.26955038,23777805,NC
0.27938676,23777806,NC
0.29352677,23777807,NC
0.31013548,23777808,NC
0.32330683,23777809,NC
0.33031407,23777810,NC
0.33053342,23777811,NC
0.34011486,23777812,NC
0.35433835,23777813,NC
0.3717569,23777814,NC
0.3943702,23777815,NC
0.4107308,23777816,NC
0.4310968,23777817,NC
0.45277727,23777818,NC
0.47763065,23777819,NC
0.50210184,23777820,NC
0.519183,23777821,NC
0.53557146,23777822,NC
0.549791,23777823,NC
0.57092065,23777824,NC
0.59955555,23777825,NC
0.6308385,23777826,NC
0.6595807,23777827,NC
0.68610245,23777828,NC
0.7061994,23777829,NC
0.7337656,23777830,NC
0.7640369,23777831,NC
0.7861657,23777832,NC
0.80645037,23777833,NC
0.81605846,23777834,NC
0.8230344,23777835,NC
0.8395691,23777836,NC
0.863274,23777837,NC
0.8772981,23777838,NC
0.8952656,23777839,NC
0.8994062,23777840,NC
0.89722353,23777841,NC
0.9048402,23777842,NC
0.9087225,23777843,NC
0.9073121,23777844,NC
0.90603596,23777845,NC
0.89390314,23777846,NC
0.8765098,23777847,NC
0.8643364,23777848,NC
0.85227776,23777849,NC
0.83695817,23777850,NC
0.81325763,23777851,NC
0.7812998,23777852,NC
0.7454728,23777853,NC
0.7060704,23777854,NC
0.6777549,23777855,NC
0.6453397,23777856,NC
0.6040992,23777857,NC
0.5668616,23777858,NC
0.5211669,23777859,NC
0.48438537,23777860,NC
0.4518875,23777861,NC
0.4136005,23777862,NC
0.37160116,23777863,NC
0.32562143,23777864,NC
0.2810407,23777865,NC
0.2531604,23777866,NC
0.22609141,23777867,NC
0.20816901,23777868,NC
0.18148224,23777869,NC
0.1454002,23777870,NC
0.11723053,23777871,NC
0.08709908,23777872,NC
0.068170145,23777873,NC
0.047056813,23777874,NC
0.018448573,23777875,NC
-0.01016669,23777876,NC
-0.035714008,23777877,NC
-0.05829926,23777878,NC
-0.07215281,23777879,NC
-0.08659995,23777880,NC
-0.105450265,23777881,NC
-0.12274963,23777882,NC
-0.14271367,23777883,NC
-0.15579942,23777884,NC
-0.16391464,23777885,NC
-0.17238767,23777886,NC
-0.178354,23777887,NC
-0.19345988,23777888,NC
-0.21233843,23777889,NC
-0.21649234,23777890,NC
-0.21290243,23777891,NC
-0.20677763,23777892,NC
-0.20321211,23777893,NC
-0.21332777,23777894,NC
-0.22898118,23777895,NC
-0.23693563,23777896,NC
-0.23626491,23777897,NC
-0.23376799,23777898,NC
-0.2350408,23777899,NC
-0.23775882,23777900,NC
-0.23862505,23777901,NC
-0.2368256,23777902,NC
-0.23308556,23777903,NC
-0.23869605,23777904,NC
-0.25401556,23777905,NC
-0.27094,23777906,NC
-0.2856567,23777907,NC
-0.28785747,23777908,NC
-0.28426304,23777909,NC
-0.278358,23777910,NC
-0.2778464,23777911,NC
-0.28580114,23777912,NC
-0.29428408,23777913,NC
-0.29912502,23777914,NC
-0.298975,23777915,NC
-0.29764447,23777916,NC
-0.29900712,23777917,NC
-0.31003588,23777918,NC
-0.32028157,23777919,NC
-0.3257804,23777920,NC
-0.32471865,23777921,NC
-0.32106712,23777922,NC
-0.32310066,23777923,NC
-0.3277876,23777924,NC
-0.33480525,23777925,NC
-0.33945137,23777926,NC
-0.33577797,23777927,NC
-0.332932,23777928,NC
-0.33859354,23777929,NC
-0.35045636,23777930,NC
-0.36355132,23777931,NC
-0.3724507,23777932,NC
-0.371288,23777933,NC
-0.366544,23777934,NC
-0.3682304,23777935,NC
-0.37454802,23777936,NC
-0.38347253,23777937,NC
-0.38715303,23777938,NC
-0.3845148,23777939,NC
-0.38581976,23777940,NC
-0.38762313,23777941,NC
-0.39550883,23777942,NC
-0.40269625,23777943,NC
-0.40321735,23777944,NC
-0.402862,23777945,NC
-0.39765713,23777946,NC
-0.40214163,23777947,NC
-0.4118696,23777948,NC
-0.4182474,23777949,NC
-0.42596617,23777950,NC
-0.42358273,23777951,NC
