channel_0,sample #,type
0.62588257,2791851,f
0.27749285,2791852,NC
-0.053328894,2791853,NC
-0.16884261,2791854,NC
-0.13440248,2791855,NC
-0.11526275,2791856,NC
-0.12740481,2791857,NC
-0.1608259,2791858,NC
-0.18688855,2791859,NC
-0.20726506,2791860,NC
-0.19613215,2791861,NC
-0.2002155,2791862,NC
-0.20942572,2791863,NC
-0.21093945,2791864,NC
-0.23059797,2791865,NC
-0.2647118,2791866,NC
-0.28951654,2791867,NC
-0.29312393,2791868,NC
-0.3238435,2791869,NC
-0.3548326,2791870,NC
-0.41048595,2791871,NC
-0.447617,2791872,NC
-0.4325278,2791873,NC
-0.41914403,2791874,NC
-0.42174911,2791875,NC
-0.4522668,2791876,NC
-0.4967978,2791877,NC
-0.53063476,2791878,NC
-0.5297959,2791879,NC
-0.5357991,2791880,NC
-0.52651143,2791881,NC
-0.5013945,2791882,NC
-0.46596676,2791883,NC
-0.39498278,2791884,NC
-0.3205673,2791885,NC
-0.26053694,2791886,NC
-0.22514701,2791887,NC
-0.23558147,2791888,NC
-0.26925007,2791889,NC
-0.30443427,2791890,NC
-0.34825724,2791891,NC
-0.3780084,2791892,NC
-0.4114325,2791893,NC
-0.4691752,2791894,NC
-0.47756967,2791895,NC
-0.51686436,2791896,NC
-0.5014695,2791897,NC
-0.4879831,2791898,NC
-0.4615745,2791899,NC
-0.4429482,2791900,NC
-0.43684086,2791901,NC
-0.4331569,2791902,NC
-0.40170002,2791903,NC
-0.40099344,2791904,NC
-0.37120193,2791905,NC
-0.36942926,2791906,NC
-0.36520335,2791907,NC
-0.37987253,2791908,NC
-0.36032796,2791909,NC
-0.3493396,2791910,NC
-0.33828455,2791911,NC
-0.332335,2791912,NC
-0.33963302,2791913,NC
-0.34442234,2791914,NC
-0.33428857,2791915,NC
-0.33391005,2791916,NC
-0.32413957,2791917,NC
-0.32837266,2791918,NC
-0.33774072,2791919,NC
-0.340451,2791920,NC
-0.32705757,2791921,NC
-0.31314707,2791922,NC
-0.3105876,2791923,NC
-0.31934667,2791924,NC
-0.31223384,2791925,NC
-0.33076522,2791926,NC
-0.31557915,2791927,NC
-0.30705008,2791928,NC
-0.30489808,2791929,NC
