channel_0,sample #,type
0.27038535,3122750,B
0.12319603,3122751,NC
-0.05171521,3122752,NC
-0.0630707,3122753,NC
-0.04711191,3122754,NC
-0.06359232,3122755,NC
-0.09850194,3122756,NC
-0.12653422,3122757,NC
-0.13809794,3122758,NC
-0.13811736,3122759,NC
-0.14713888,3122760,NC
-0.16838509,3122761,NC
-0.19578648,3122762,NC
-0.2161694,3122763,NC
-0.23317279,3122764,NC
-0.25443685,3122765,NC
-0.2737665,3122766,NC
-0.3015808,3122767,NC
-0.32641193,3122768,NC
-0.3443925,3122769,NC
-0.3627666,3122770,NC
-0.38418245,3122771,NC
-0.42059472,3122772,NC
-0.45997426,3122773,NC
-0.48564172,3122774,NC
-0.52511024,3122775,NC
-0.5776809,3122776,NC
-0.64136636,3122777,NC
-0.7091584,3122778,NC
-0.7591941,3122779,NC
-0.79422814,3122780,NC
-0.80992347,3122781,NC
-0.826866,3122782,NC
-0.84959775,3122783,NC
-0.8621236,3122784,NC
-0.86080647,3122785,NC
-0.85763013,3122786,NC
-0.8564286,3122787,NC
-0.83952135,3122788,NC
-0.815765,3122789,NC
-0.8054229,3122790,NC
-0.81137526,3122791,NC
-0.8144542,3122792,NC
-0.7988496,3122793,NC
-0.7651453,3122794,NC
-0.7286322,3122795,NC
-0.69747937,3122796,NC
-0.6669781,3122797,NC
-0.625165,3122798,NC
-0.57164514,3122799,NC
-0.5111887,3122800,NC
-0.46297193,3122801,NC
-0.43176624,3122802,NC
-0.401807,3122803,NC
-0.373456,3122804,NC
-0.34341466,3122805,NC
-0.31711444,3122806,NC
-0.30500123,3122807,NC
-0.29935834,3122808,NC
-0.2928732,3122809,NC
-0.28524303,3122810,NC
-0.26430404,3122811,NC
-0.2393783,3122812,NC
-0.22634545,3122813,NC
-0.22057553,3122814,NC
-0.22067596,3122815,NC
-0.21945578,3122816,NC
-0.21539053,3122817,NC
-0.22024599,3122818,NC
-0.22451992,3122819,NC
-0.21662253,3122820,NC
-0.2132669,3122821,NC
-0.22167903,3122822,NC
-0.22576894,3122823,NC
-0.2221294,3122824,NC
-0.20954043,3122825,NC
-0.19226581,3122826,NC
-0.18059102,3122827,NC
-0.17017479,3122828,NC
-0.15866677,3122829,NC
-0.14858902,3122830,NC
-0.13754697,3122831,NC
-0.13714425,3122832,NC
-0.13838619,3122833,NC
-0.132215,3122834,NC
-0.11990045,3122835,NC
-0.107651025,3122836,NC
-0.11242423,3122837,NC
-0.117914364,3122838,NC
-0.119467005,3122839,NC
-0.11993159,3122840,NC
-0.115313336,3122841,NC
-0.10223456,3122842,NC
-0.09508334,3122843,NC
-0.10023606,3122844,NC
-0.10198096,3122845,NC
-0.10329442,3122846,NC
-0.103546746,3122847,NC
-0.095870055,3122848,NC
-0.09135436,3122849,NC
-0.09519095,3122850,NC
-0.0938726,3122851,NC
-0.09126114,3122852,NC
-0.08391574,3122853,NC
-0.073449306,3122854,NC
-0.073806,3122855,NC
-0.07111392,3122856,NC
-0.06972629,3122857,NC
-0.071881026,3122858,NC
-0.06314609,3122859,NC
-0.049674917,3122860,NC
-0.045429002,3122861,NC
-0.05421371,3122862,NC
-0.05823683,3122863,NC
-0.06388357,3122864,NC
-0.072964035,3122865,NC
-0.060489833,3122866,NC
-0.04366092,3122867,NC
-0.03788367,3122868,NC
-0.02954104,3122869,NC
-0.03561238,3122870,NC
-0.04089172,3122871,NC
-0.032489263,3122872,NC
-0.03068347,3122873,NC
-0.031405743,3122874,NC
-0.03401915,3122875,NC
-0.034626745,3122876,NC
-0.020772288,3122877,NC
0.00018888936,3122878,NC
0.006939574,3122879,NC
0.0040677586,3122880,NC
-0.00014780843,3122881,NC
-0.0025020188,3122882,NC
0.003047575,3122883,NC
0.007956742,3122884,NC
0.008030985,3122885,NC
0.009547782,3122886,NC
0.008827492,3122887,NC
0.006662639,3122888,NC
0.01167209,3122889,NC
0.020045646,3122890,NC
0.019086568,3122891,NC
0.013566456,3122892,NC
0.007867303,3122893,NC
0.00082766893,3122894,NC
0.009035243,3122895,NC
0.02568274,3122896,NC
0.029219955,3122897,NC
0.018150859,3122898,NC
0.0044381185,3122899,NC
-0.0024029096,3122900,NC
-0.0015118477,3122901,NC
0.007625055,3122902,NC
0.0070595914,3122903,NC
-0.0018542217,3122904,NC
-0.011113251,3122905,NC
-0.022226557,3122906,NC
-0.022011362,3122907,NC
-0.028212162,3122908,NC
-0.04284481,3122909,NC
-0.05440375,3122910,NC
-0.06284976,3122911,NC
-0.07435172,3122912,NC
-0.07879651,3122913,NC
-0.07456876,3122914,NC
-0.08101723,3122915,NC
-0.091731735,3122916,NC
-0.1046865,3122917,NC
-0.12078043,3122918,NC
-0.13105327,3122919,NC
-0.13020696,3122920,NC
-0.13390979,3122921,NC
-0.14018345,3122922,NC
-0.14554252,3122923,NC
-0.15452357,3122924,NC
-0.1636319,3122925,NC
-0.16338511,3122926,NC
-0.16561931,3122927,NC
-0.17712966,3122928,NC
-0.18756826,3122929,NC
-0.19928421,3122930,NC
-0.2030691,3122931,NC
-0.19624823,3122932,NC
-0.19573115,3122933,NC
-0.20476143,3122934,NC
-0.21732123,3122935,NC
-0.23089698,3122936,NC
-0.2335101,3122937,NC
-0.2192039,3122938,NC
-0.20548724,3122939,NC
-0.21538728,3122940,NC
-0.23163503,3122941,NC
-0.23711745,3122942,NC
-0.23303697,3122943,NC
-0.21302126,3122944,NC
-0.2003635,3122945,NC
-0.2092713,3122946,NC
-0.21468134,3122947,NC
-0.21990491,3122948,NC
-0.22829981,3122949,NC
-0.21657598,3122950,NC
-0.2066742,3122951,NC
-0.21212733,3122952,NC
-0.22385266,3122953,NC
-0.2383813,3122954,NC
-0.23044458,3122955,NC
-0.21127276,3122956,NC
-0.20340684,3122957,NC
-0.20304576,3122958,NC
-0.20668063,3122959,NC
-0.20568544,3122960,NC
-0.20337148,3122961,NC
-0.19924124,3122962,NC
-0.1873304,3122963,NC
-0.18789949,3122964,NC
-0.2014207,3122965,NC
-0.20941247,3122966,NC
-0.2138327,3122967,NC
-0.21521857,3122968,NC
-0.2178176,3122969,NC
-0.22759566,3122970,NC
-0.24726565,3122971,NC
-0.25533265,3122972,NC
-0.2485895,3122973,NC
-0.24742472,3122974,NC
-0.24937537,3122975,NC
-0.2565986,3122976,NC
-0.26552564,3122977,NC
-0.2751863,3122978,NC
-0.27698186,3122979,NC
-0.27535015,3122980,NC
-0.2755875,3122981,NC
-0.27984986,3122982,NC
-0.28706282,3122983,NC
-0.29154098,3122984,NC
-0.29215005,3122985,NC
-0.28911343,3122986,NC
-0.28327805,3122987,NC
-0.28228343,3122988,NC
-0.2895298,3122989,NC
-0.29678816,3122990,NC
-0.2945928,3122991,NC
-0.28976524,3122992,NC
-0.2831,3122993,NC
-0.28315932,3122994,NC
-0.294597,3122995,NC
-0.29371157,3122996,NC
-0.29460233,3122997,NC
-0.29209274,3122998,NC
-0.2840799,3122999,NC
-0.287057,3123000,NC
-0.2990123,3123001,NC
-0.3064018,3123002,NC
-0.3056909,3123003,NC
-0.2994061,3123004,NC
-0.2954356,3123005,NC
-0.30307367,3123006,NC
-0.30933508,3123007,NC
-0.3122425,3123008,NC
-0.31017944,3123009,NC
-0.3016362,3123010,NC
-0.3016544,3123011,NC
-0.30611148,3123012,NC
-0.3066412,3123013,NC
-0.31081837,3123014,NC
-0.31284574,3123015,NC
-0.30701348,3123016,NC
-0.3094049,3123017,NC
-0.31665337,3123018,NC
-0.31780386,3123019,NC
-0.31974143,3123020,NC
-0.312533,3123021,NC
-0.30036432,3123022,NC
-0.30149916,3123023,NC
-0.30598155,3123024,NC
-0.3066125,3123025,NC
-0.3145324,3123026,NC
-0.31182536,3123027,NC
