channel_0,sample #,type
1.2292868,2998549,f
1.2884617,2998550,NC
1.2846307,2998551,NC
1.1903789,2998552,NC
1.0252801,2998553,NC
0.82993317,2998554,NC
0.5985878,2998555,NC
0.42430788,2998556,NC
0.2549459,2998557,NC
0.12420299,2998558,NC
-0.011276291,2998559,NC
-0.14107212,2998560,NC
-0.22353652,2998561,NC
-0.2694075,2998562,NC
-0.29517254,2998563,NC
-0.32046917,2998564,NC
-0.32539105,2998565,NC
-0.32502902,2998566,NC
-0.30920663,2998567,NC
-0.3184556,2998568,NC
-0.31680977,2998569,NC
-0.32000998,2998570,NC
-0.3105408,2998571,NC
-0.29488993,2998572,NC
-0.31481487,2998573,NC
-0.32484546,2998574,NC
-0.3393446,2998575,NC
-0.34467387,2998576,NC
-0.32948554,2998577,NC
-0.3313268,2998578,NC
-0.34008735,2998579,NC
-0.35131863,2998580,NC
-0.35047355,2998581,NC
-0.35627788,2998582,NC
-0.3464853,2998583,NC
-0.34506178,2998584,NC
-0.35047653,2998585,NC
-0.36641684,2998586,NC
-0.36315078,2998587,NC
-0.3808916,2998588,NC
-0.37459442,2998589,NC
-0.36974856,2998590,NC
-0.37071007,2998591,NC
-0.37572527,2998592,NC
-0.38975617,2998593,NC
-0.40602994,2998594,NC
-0.3958334,2998595,NC
-0.3961103,2998596,NC
-0.40482616,2998597,NC
-0.4009564,2998598,NC
-0.42081118,2998599,NC
-0.4255439,2998600,NC
-0.43455112,2998601,NC
-0.42904204,2998602,NC
-0.41720185,2998603,NC
-0.42504096,2998604,NC
-0.444243,2998605,NC
-0.4545282,2998606,NC
-0.44068903,2998607,NC
-0.43376666,2998608,NC
-0.45088172,2998609,NC
-0.46705762,2998610,NC
-0.46317384,2998611,NC
-0.47493464,2998612,NC
-0.4778202,2998613,NC
-0.4676631,2998614,NC
-0.46853366,2998615,NC
-0.48435995,2998616,NC
-0.48761478,2998617,NC
-0.49727705,2998618,NC
-0.49343076,2998619,NC
-0.47962224,2998620,NC
-0.49082643,2998621,NC
-0.5000497,2998622,NC
-0.5130384,2998623,NC
-0.5196518,2998624,NC
-0.5140183,2998625,NC
-0.4959935,2998626,NC
-0.5164044,2998627,NC
-0.51180696,2998628,NC
-0.52436477,2998629,NC
-0.5362241,2998630,NC
-0.5213107,2998631,NC
-0.51547223,2998632,NC
-0.50865126,2998633,NC
-0.52050006,2998634,NC
-0.5183099,2998635,NC
-0.5198873,2998636,NC
-0.50872636,2998637,NC
-0.4994955,2998638,NC
-0.49862942,2998639,NC
-0.5014358,2998640,NC
-0.5120235,2998641,NC
-0.49426344,2998642,NC
-0.47974735,2998643,NC
-0.47155327,2998644,NC
-0.4688686,2998645,NC
-0.4486246,2998646,NC
-0.45385274,2998647,NC
-0.46090865,2998648,NC
-0.44425416,2998649,NC
-0.43499762,2998650,NC
-0.41070193,2998651,NC
-0.40709457,2998652,NC
-0.41089177,2998653,NC
-0.39356253,2998654,NC
-0.3836473,2998655,NC
-0.3606741,2998656,NC
-0.35079768,2998657,NC
-0.3357828,2998658,NC
-0.33960852,2998659,NC
-0.3351201,2998660,NC
-0.3196212,2998661,NC
-0.2996706,2998662,NC
-0.2971918,2998663,NC
-0.29378197,2998664,NC
-0.28827584,2998665,NC
-0.28557977,2998666,NC
-0.27436602,2998667,NC
-0.2529346,2998668,NC
-0.2581054,2998669,NC
-0.250683,2998670,NC
-0.25358364,2998671,NC
-0.26102412,2998672,NC
-0.26038077,2998673,NC
-0.24568947,2998674,NC
-0.25293523,2998675,NC
-0.26341832,2998676,NC
-0.27032834,2998677,NC
-0.270768,2998678,NC
-0.2606383,2998679,NC
-0.2589958,2998680,NC
-0.25343415,2998681,NC
-0.25027305,2998682,NC
-0.26054275,2998683,NC
-0.25961727,2998684,NC
-0.26210836,2998685,NC
-0.24948455,2998686,NC
-0.24569692,2998687,NC
-0.25091726,2998688,NC
-0.2540006,2998689,NC
-0.2592665,2998690,NC
-0.25048822,2998691,NC
-0.26348087,2998692,NC
-0.24673131,2998693,NC
-0.2599043,2998694,NC
-0.26923427,2998695,NC
-0.2748806,2998696,NC
-0.26496363,2998697,NC
-0.2609347,2998698,NC
-0.2601016,2998699,NC
-0.2709366,2998700,NC
-0.28570142,2998701,NC
-0.2961498,2998702,NC
