channel_0,sample #,type
0.9889093,3181793,f
0.9735943,3181794,NC
0.9123345,3181795,NC
0.80075395,3181796,NC
0.6694828,3181797,NC
0.533836,3181798,NC
0.39600128,3181799,NC
0.2581666,3181800,NC
0.12470759,3181801,NC
0.0,3181802,NC
-0.10939262,3181803,NC
-0.192531,3181804,NC
-0.24941517,3181805,NC
-0.2844208,3181806,NC
-0.29754794,3181807,NC
-0.29098436,3181808,NC
-0.27785724,3181809,NC
-0.26910585,3181810,NC
-0.26910585,3181811,NC
-0.27348155,3181812,NC
-0.2844208,3181813,NC
-0.29317224,3181814,NC
-0.2887965,3181815,NC
-0.28223294,3181816,NC
-0.2800451,3181817,NC
-0.2844208,3181818,NC
-0.2844208,3181819,NC
-0.2844208,3181820,NC
-0.28660867,3181821,NC
-0.28660867,3181822,NC
-0.2909844,3181823,NC
-0.29973578,3181824,NC
-0.30848718,3181825,NC
-0.3128629,3181826,NC
-0.31067505,3181827,NC
-0.30411148,3181828,NC
-0.30411148,3181829,NC
-0.30848718,3181830,NC
-0.31505075,3181831,NC
-0.31942645,3181832,NC
-0.32161433,3181833,NC
-0.3172386,3181834,NC
-0.3172386,3181835,NC
-0.32380217,3181836,NC
-0.32161433,3181837,NC
-0.33255357,3181838,NC
-0.34130496,3181839,NC
-0.33036572,3181840,NC
-0.32817787,3181841,NC
-0.3391171,3181842,NC
-0.34786853,3181843,NC
-0.35661995,3181844,NC
-0.36099565,3181845,NC
-0.3588078,3181846,NC
-0.35661995,3181847,NC
-0.35661995,3181848,NC
-0.36099565,3181849,NC
-0.36755922,3181850,NC
-0.36755922,3181851,NC
-0.3631835,3181852,NC
-0.36099565,3181853,NC
-0.3631835,3181854,NC
-0.36974707,3181855,NC
-0.37412277,3181856,NC
-0.37631062,3181857,NC
-0.37412277,3181858,NC
-0.37412277,3181859,NC
-0.37849846,3181860,NC
-0.385062,3181861,NC
-0.39162558,3181862,NC
-0.38943774,3181863,NC
-0.37849846,3181864,NC
-0.37412277,3181865,NC
-0.3806863,3181866,NC
-0.38943774,3181867,NC
-0.39381343,3181868,NC
-0.38943774,3181869,NC
-0.3806863,3181870,NC
-0.37849846,3181871,NC
-0.38287416,3181872,NC
-0.38943774,3181873,NC
-0.39600128,3181874,NC
-0.39818916,3181875,NC
-0.38943774,3181876,NC
-0.37631062,3181877,NC
-0.37412277,3181878,NC
-0.38287416,3181879,NC
-0.385062,3181880,NC
-0.37631062,3181881,NC
-0.37193492,3181882,NC
-0.37193492,3181883,NC
-0.37631062,3181884,NC
-0.38287416,3181885,NC
-0.3806863,3181886,NC
-0.37193492,3181887,NC
-0.3631835,3181888,NC
-0.35224423,3181889,NC
-0.34786853,3181890,NC
-0.35224423,3181891,NC
-0.3544321,3181892,NC
-0.35224423,3181893,NC
-0.3434928,3181894,NC
-0.32817787,3181895,NC
-0.31942645,3181896,NC
-0.3172386,3181897,NC
-0.3172386,3181898,NC
-0.31067505,3181899,NC
-0.29754794,3181900,NC
-0.29317224,3181901,NC
-0.2887965,3181902,NC
-0.28660867,3181903,NC
-0.28879654,3181904,NC
-0.2800451,3181905,NC
-0.26910585,3181906,NC
-0.26035446,3181907,NC
-0.24941517,3181908,NC
-0.24722733,3181909,NC
