channel_0,sample #,type
0.08733131,3150491,B
0.016812846,3150492,NC
-0.058703095,3150493,NC
-0.05671648,3150494,NC
-0.05972728,3150495,NC
-0.09023546,3150496,NC
-0.11324099,3150497,NC
-0.12624383,3150498,NC
-0.14924395,3150499,NC
-0.16224131,3150500,NC
-0.16773587,3150501,NC
-0.17822763,3150502,NC
-0.19371656,3150503,NC
-0.21670257,3150504,NC
-0.23968567,3150505,NC
-0.26516584,3150506,NC
-0.283143,3150507,NC
-0.2961172,3150508,NC
-0.31658828,3150509,NC
-0.34205636,3150510,NC
-0.37502128,3150511,NC
-0.41048312,3150512,NC
-0.43344176,3150513,NC
-0.4413972,3150514,NC
-0.46184945,3150515,NC
-0.4922984,3150516,NC
-0.5277441,3150517,NC
-0.5881865,3150518,NC
-0.6586254,3150519,NC
-0.71406114,3150520,NC
-0.75449336,3150521,NC
-0.78992224,3150522,NC
-0.8253476,3150523,NC
-0.85826945,3150524,NC
-0.8811878,3150525,NC
-0.88910264,3150526,NC
-0.8895139,3150527,NC
-0.88992155,3150528,NC
-0.89532566,3150529,NC
-0.89322597,3150530,NC
-0.8811227,3150531,NC
-0.8665157,3150532,NC
-0.854405,3150533,NC
-0.8497905,3150534,NC
-0.8451723,3150535,NC
-0.8380502,3150536,NC
-0.8209243,3150537,NC
-0.7887946,3150538,NC
-0.75416094,3150539,NC
-0.7220234,3150540,NC
-0.689882,3150541,NC
-0.64773655,3150542,NC
-0.59558713,3150543,NC
-0.54843384,3150544,NC
-0.5062764,3150545,NC
-0.474115,3150546,NC
-0.44444948,3150547,NC
-0.40977994,3150548,NC
-0.37510622,3150549,NC
-0.3454284,3150550,NC
-0.3282464,3150551,NC
-0.32106027,3150552,NC
-0.31636992,3150553,NC
-0.31417537,3150554,NC
-0.3019766,3150555,NC
-0.27977356,3150556,NC
-0.27506626,3150557,NC
-0.27285463,3150558,NC
-0.2681387,3150559,NC
-0.26591846,3150560,NC
-0.25119388,3150561,NC
-0.23646492,3150562,NC
-0.23673156,3150563,NC
-0.24199381,3150564,NC
-0.24475166,3150565,NC
-0.25000504,3150566,NC
-0.24275398,3150567,NC
-0.22799845,3150568,NC
-0.22823843,3150569,NC
-0.22347392,3150570,NC
-0.21370488,3150571,NC
-0.20893133,3150572,NC
-0.19665322,3150573,NC
-0.18437055,3150574,NC
-0.17708328,3150575,NC
-0.17479146,3150576,NC
-0.174995,3150577,NC
-0.18019395,3150578,NC
-0.17538825,3150579,NC
-0.15057792,3150580,NC
-0.14326292,3150581,NC
-0.14844327,3150582,NC
-0.14611894,3150583,NC
