channel_0,sample #,type
1.1023182,2611719,f
1.1506412,2611720,NC
1.1756344,2611721,NC
1.0989642,2611722,NC
0.9339641,2611723,NC
0.72396725,2611724,NC
0.52397376,2611725,NC
0.33731702,2611726,NC
0.15399691,2611727,NC
-0.049319807,2611728,NC
-0.23596655,2611729,NC
-0.3742766,2611730,NC
-0.43924993,2611731,NC
-0.4608867,2611732,NC
-0.47585338,2611733,NC
-0.49081674,2611734,NC
-0.4991101,2611735,NC
-0.49240014,2611736,NC
-0.47902018,2611737,NC
-0.4656369,2611738,NC
-0.453917,2611739,NC
-0.44552708,2611740,NC
-0.43713385,2611741,NC
-0.43373728,2611742,NC
-0.43533745,2611743,NC
-0.44026768,2611744,NC
-0.44519463,2611745,NC
-0.44678494,2611746,NC
-0.4500386,2611747,NC
-0.44495568,2611748,NC
-0.44653612,2611749,NC
-0.4514467,2611750,NC
-0.4680207,2611751,NC
-0.47459143,2611752,NC
-0.47615892,2611753,NC
-0.4693898,2611754,NC
-0.46928418,2611755,NC
-0.47250864,2611756,NC
-0.4807299,2611757,NC
-0.49061462,2611758,NC
-0.49882948,2611759,NC
-0.5037078,2611760,NC
-0.50191635,2611761,NC
-0.49678838,2611762,NC
-0.49832392,2611763,NC
-0.50652295,2611764,NC
-0.5097189,2611765,NC
-0.5079117,2611766,NC
-0.5044347,2611767,NC
-0.5109546,2611768,NC
-0.51747143,2611769,NC
-0.52231854,2611770,NC
-0.5254959,2611771,NC
-0.52533686,2611772,NC
-0.5235081,2611773,NC
-0.5216763,2611774,NC
-0.5281748,2611775,NC
-0.5380037,2611776,NC
-0.5394962,2611777,NC
-0.5343191,2611778,NC
-0.5274723,2611779,NC
-0.5306226,2611780,NC
-0.53376997,2611781,NC
-0.5419144,2611782,NC
-0.54505587,2611783,NC
-0.54652786,2611784,NC
-0.5413302,2611785,NC
-0.5361298,2611786,NC
-0.5375931,2611787,NC
-0.5440536,2611788,NC
-0.54884464,2611789,NC
-0.54863286,2611790,NC
-0.5434183,2611791,NC
-0.54653424,2611792,NC
-0.5529808,2611793,NC
-0.5660913,2611794,NC
-0.56586576,2611795,NC
-0.5589708,2611796,NC
-0.54540646,2611797,NC
-0.54350615,2611798,NC
-0.5466032,2611799,NC
-0.5480309,2611800,NC
-0.54445606,2611801,NC
-0.53754526,2611802,NC
-0.5322985,2611803,NC
-0.5287159,2611804,NC
-0.5301307,2611805,NC
-0.531543,2611806,NC
-0.5279528,2611807,NC
-0.5260268,2611808,NC
-0.5224316,2611809,NC
-0.5271673,2611810,NC
-0.5235673,2611811,NC
-0.5199649,2611812,NC
-0.5096933,2611813,NC
-0.49941948,2611814,NC
-0.4924766,2611815,NC
-0.48553142,2611816,NC
-0.48358393,2611817,NC
-0.47663411,2611818,NC
-0.4663487,2611819,NC
-0.45439443,2611820,NC
-0.44743794,2611821,NC
-0.44381255,2611822,NC
-0.43851835,2611823,NC
-0.42822197,2611824,NC
-0.42125678,2611825,NC
-0.41095617,2611826,NC
-0.4006535,2611827,NC
-0.39201543,2611828,NC
-0.39337528,2611829,NC
-0.39473316,2611830,NC
-0.3877557,2611831,NC
-0.3691096,2611832,NC
-0.35379484,2611833,NC
-0.34181157,2611834,NC
-0.341493,2611835,NC
-0.33950594,2611836,NC
-0.33585036,2611837,NC
-0.32719296,2611838,NC
-0.31520042,2611839,NC
-0.30653942,2611840,NC
-0.30287665,2611841,NC
-0.30254552,2611842,NC
-0.30054602,2611843,NC
-0.29021153,2611844,NC
-0.276542,2611845,NC
-0.2712042,2611846,NC
-0.27419814,2611847,NC
-0.27885717,2611848,NC
-0.276848,2611849,NC
-0.2648373,2611850,NC
-0.25782508,2611851,NC
-0.25914475,2611852,NC
-0.27046296,2611853,NC
-0.28344643,2611854,NC
-0.28976184,2611855,NC
-0.2910759,2611856,NC
-0.2873886,2611857,NC
-0.28369996,2611858,NC
-0.28834337,2611859,NC
-0.2963189,2611860,NC
-0.3026265,2611861,NC
-0.3039329,2611862,NC
-0.3019048,2611863,NC
-0.29987556,2611864,NC
-0.29784518,2611865,NC
-0.3008137,2611866,NC
-0.30544782,2611867,NC
-0.30841425,2611868,NC
-0.30471298,2611869,NC
-0.29934406,2611870,NC
-0.29897422,2611871,NC
-0.29693675,2611872,NC
-0.2998984,2611873,NC
-0.2945258,2611874,NC
-0.3008191,2611875,NC
-0.30711153,2611876,NC
-0.31840315,2611877,NC
-0.3213607,2611878,NC
-0.32265085,2611879,NC
-0.32227364,2611880,NC
-0.32022908,2611881,NC
-0.31985056,2611882,NC
-0.32280472,2611883,NC
-0.32742497,2611884,NC
-0.325378,2611885,NC
-0.3199972,2611886,NC
-0.31794918,2611887,NC
-0.32256737,2611888,NC
-0.32551843,2611889,NC
-0.3234691,2611890,NC
-0.3164194,2611891,NC
-0.30770263,2611892,NC
-0.30565223,2611893,NC
-0.30693483,2611894,NC
-0.31488383,2611895,NC
-0.32449928,2611896,NC
-0.32911447,2611897,NC
-0.32706285,2611898,NC
-0.31501108,2611899,NC
-0.3062925,2611900,NC
-0.30257383,2611901,NC
-0.30052176,2611902,NC
-0.29680297,2611903,NC
-0.29308414,2611904,NC
-0.2943654,2611905,NC
-0.29898,2611906,NC
-0.30359468,2611907,NC
-0.30320948,2611908,NC
-0.30115774,2611909,NC
-0.29910615,2611910,NC
-0.3003881,2611911,NC
-0.30167025,2611912,NC
-0.30461934,2611913,NC
-0.30256873,2611914,NC
-0.29385173,2611915,NC
-0.28180176,2611916,NC
-0.27475214,2611917,NC
-0.28270292,2611918,NC
-0.29398745,2611919,NC
-0.31193912,2611920,NC
-0.31822455,2611921,NC
-0.31451055,2611922,NC
-0.2991304,2611923,NC
-0.28375086,2611924,NC
-0.28003854,2611925,NC
-0.2896602,2611926,NC
-0.29594916,2611927,NC
-0.29223883,2611928,NC
-0.2835292,2611929,NC
-0.27982026,2611930,NC
-0.2827788,2611931,NC
-0.27907148,2611932,NC
-0.27869833,2611933,NC
-0.27665934,2611934,NC
-0.2812879,2611935,NC
-0.28758407,2611936,NC
-0.29388112,2611937,NC
-0.2985125,2611938,NC
-0.2964782,2611939,NC
-0.2911116,2611940,NC
-0.28407937,2611941,NC
-0.27871487,2611942,NC
-0.28001815,2611943,NC
-0.28298923,2611944,NC
-0.28262815,2611945,NC
-0.2789349,2611946,NC
-0.2785762,2611947,NC
-0.28655207,2611948,NC
-0.3011959,2611949,NC
-0.30917433,2611950,NC
-0.30548742,2611951,NC
-0.29180184,2611952,NC
-0.28311765,2611953,NC
-0.28610152,2611954,NC
-0.3007535,2611955,NC
-0.31540692,2611956,NC
-0.3200618,2611957,NC
-0.31638488,2611958,NC
-0.3077095,2611959,NC
-0.30903563,2611960,NC
-0.3136967,2611961,NC
-0.32002604,2611962,NC
-0.3230237,2611963,NC
-0.31935635,2611964,NC
-0.31069067,2611965,NC
-0.3070267,2611966,NC
-0.30669782,2611967,NC
-0.30803734,2611968,NC
-0.30437863,2611969,NC
-0.2973884,2611970,NC
-0.28873336,2611971,NC
-0.27508017,2611972,NC
-0.25976223,2611973,NC
-0.25277945,2611974,NC
-0.25079864,2611975,NC
-0.25381976,2611976,NC
-0.25017622,2611977,NC
-0.24653468,2611978,NC
