channel_0,sample #,type
0.7623323,23986045,B
0.7187506,23986046,NC
0.6159511,23986047,NC
0.5022509,23986048,NC
0.3902646,23986049,NC
0.28150827,23986050,NC
0.18665844,23986051,NC
0.07894357,23986052,NC
-0.022381231,23986053,NC
-0.14217262,23986054,NC
-0.26907212,23986055,NC
-0.4004809,23986056,NC
-0.52328986,23986057,NC
-0.6495796,23986058,NC
-0.7920889,23986059,NC
-0.9156052,23986060,NC
-1.0042425,23986061,NC
-1.0710614,23986062,NC
-1.1169645,23986063,NC
-1.1505702,23986064,NC
-1.1754874,23986065,NC
-1.1717186,23986066,NC
-1.1433706,23986067,NC
-1.086236,23986068,NC
-1.0251862,23986069,NC
-0.9691684,23986070,NC
-0.92366743,23986071,NC
-0.8835069,23986072,NC
-0.8411143,23986073,NC
-0.7892439,23986074,NC
-0.71502817,23986075,NC
-0.64654046,23986076,NC
-0.59947807,23986077,NC
-0.5614785,23986078,NC
-0.5057759,23986079,NC
-0.41995278,23986080,NC
-0.3137283,23986081,NC
-0.19742803,23986082,NC
-0.1079088,23986083,NC
-0.027437951,23986084,NC
0.037009392,23986085,NC
0.090488955,23986086,NC
0.14749326,23986087,NC
0.17819339,23986088,NC
0.17966336,23986089,NC
0.1854033,23986090,NC
0.1905766,23986091,NC
0.2089432,23986092,NC
0.22227754,23986093,NC
0.22891662,23986094,NC
0.2321197,23986095,NC
0.23969415,23986096,NC
0.24182409,23986097,NC
0.24652003,23986098,NC
0.25949624,23986099,NC
0.26678726,23986100,NC
0.25561374,23986101,NC
0.2489567,23986102,NC
0.24035808,23986103,NC
0.24040417,23986104,NC
0.24252403,23986105,NC
0.25073335,23986106,NC
0.2617028,23986107,NC
0.25520933,23986108,NC
0.24901754,23986109,NC
0.25805062,23986110,NC
0.26368314,23986111,NC
0.27630973,23986112,NC
0.27049235,23986113,NC
0.26572856,23986114,NC
0.2685191,23986115,NC
0.2705146,23986116,NC
0.2846556,23986117,NC
0.2977048,23986118,NC
0.29445285,23986119,NC
0.2848928,23986120,NC
0.2778858,23986121,NC
0.28755972,23986122,NC
0.30102563,23986123,NC
0.32290494,23986124,NC
0.3302282,23986125,NC
0.3230892,23986126,NC
0.3248878,23986127,NC
0.33682635,23986128,NC
0.3537197,23986129,NC
0.36761835,23986130,NC
0.35750532,23986131,NC
0.34989932,23986132,NC
0.350057,23986133,NC
0.36008918,23986134,NC
0.37621337,23986135,NC
0.38606733,23986136,NC
0.39195713,23986137,NC
0.38754156,23986138,NC
0.3840373,23986139,NC
0.39751366,23986140,NC
0.418794,23986141,NC
0.42789727,23986142,NC
0.4302391,23986143,NC
0.43390587,23986144,NC
0.4399235,23986145,NC
0.45371473,23986146,NC
0.46683484,23986147,NC
0.48367926,23986148,NC
0.4992721,23986149,NC
0.48971298,23986150,NC
0.48176208,23986151,NC
