channel_0,sample #,type
0.2575,3237001,B
0.16875,3237002,NC
0.09,3237003,NC
0.01,3237004,NC
-0.005,3237005,NC
-0.01625,3237006,NC
-0.041249998,3237007,NC
-0.06625,3237008,NC
-0.08125,3237009,NC
-0.098749995,3237010,NC
-0.120000005,3237011,NC
-0.14875,3237012,NC
-0.17875001,3237013,NC
-0.20375001,3237014,NC
-0.2275,3237015,NC
-0.25125,3237016,NC
-0.28,3237017,NC
-0.30875,3237018,NC
-0.3375,3237019,NC
-0.36625,3237020,NC
-0.39375,3237021,NC
-0.42499998,3237022,NC
-0.46500003,3237023,NC
-0.51250005,3237024,NC
-0.57125,3237025,NC
-0.63124996,3237026,NC
-0.68375003,3237027,NC
-0.72625,3237028,NC
-0.75375,3237029,NC
-0.77875,3237030,NC
-0.7975,3237031,NC
-0.80875003,3237032,NC
-0.81625,3237033,NC
-0.81875,3237034,NC
-0.8175,3237035,NC
-0.81125,3237036,NC
-0.7975,3237037,NC
-0.77875,3237038,NC
-0.7625,3237039,NC
-0.75,3237040,NC
-0.74625003,3237041,NC
-0.735,3237042,NC
-0.7075,3237043,NC
-0.66625005,3237044,NC
-0.615,3237045,NC
-0.56499994,3237046,NC
-0.5175,3237047,NC
-0.47375003,3237048,NC
-0.43,3237049,NC
-0.38125002,3237050,NC
-0.33625,3237051,NC
-0.29875,3237052,NC
-0.2675,3237053,NC
-0.24625,3237054,NC
-0.23125,3237055,NC
-0.21624999,3237056,NC
-0.2,3237057,NC
-0.19,3237058,NC
-0.1825,3237059,NC
-0.17750001,3237060,NC
-0.17500001,3237061,NC
-0.16625002,3237062,NC
-0.1575,3237063,NC
-0.14999999,3237064,NC
-0.145,3237065,NC
-0.1425,3237066,NC
-0.1375,3237067,NC
-0.13125,3237068,NC
-0.12875,3237069,NC
-0.13374999,3237070,NC
-0.14125,3237071,NC
-0.14375001,3237072,NC
-0.135,3237073,NC
-0.1125,3237074,NC
-0.089999996,3237075,NC
-0.075,3237076,NC
-0.067499995,3237077,NC
-0.06375,3237078,NC
-0.06,3237079,NC
-0.05375,3237080,NC
-0.045,3237081,NC
-0.03875,3237082,NC
-0.035,3237083,NC
-0.0325,3237084,NC
-0.0275,3237085,NC
-0.024999999,3237086,NC
-0.02375,3237087,NC
-0.018749999,3237088,NC
-0.021249998,3237089,NC
-0.02375,3237090,NC
-0.0175,3237091,NC
-0.01625,3237092,NC
-0.0112499995,3237093,NC
-0.0062499996,3237094,NC
-0.0062499996,3237095,NC
-0.0062499996,3237096,NC
0.0,3237097,NC
0.0062499996,3237098,NC
0.01,3237099,NC
0.0125,3237100,NC
0.0074999994,3237101,NC
0.005,3237102,NC
0.00875,3237103,NC
0.01625,3237104,NC
0.024999999,3237105,NC
0.0325,3237106,NC
0.03375,3237107,NC
0.0325,3237108,NC
0.035,3237109,NC
0.04125,3237110,NC
0.0475,3237111,NC
0.0525,3237112,NC
0.049999997,3237113,NC
0.04375,3237114,NC
0.0425,3237115,NC
0.043750003,3237116,NC
0.04875,3237117,NC
0.05125,3237118,NC
0.04875,3237119,NC
0.05,3237120,NC
0.055,3237121,NC
0.067499995,3237122,NC
0.07875,3237123,NC
0.07875,3237124,NC
0.072500005,3237125,NC
0.0625,3237126,NC
0.06,3237127,NC
0.065,3237128,NC
0.0725,3237129,NC
0.08125,3237130,NC
0.07875,3237131,NC
0.07875,3237132,NC
0.085,3237133,NC
0.08875,3237134,NC
0.0975,3237135,NC
0.1,3237136,NC
0.09125,3237137,NC
0.083749995,3237138,NC
0.08125,3237139,NC
0.081250004,3237140,NC
0.085,3237141,NC
0.088750005,3237142,NC
0.08375,3237143,NC
