channel_0,sample #,type
1.1310307,2744719,f
1.1463646,2744720,NC
1.2616998,2744721,NC
1.4020362,2744722,NC
1.2898737,2744723,NC
0.9102125,2744724,NC
0.5405525,2744725,NC
0.33339363,2744726,NC
0.21373594,2744727,NC
0.09657941,2744728,NC
-0.025575968,2744729,NC
-0.117730215,2744730,NC
-0.16488333,2744731,NC
-0.18203536,2744732,NC
-0.18918626,2744733,NC
-0.19633608,2744734,NC
-0.20098484,2744735,NC
-0.2081325,2744736,NC
-0.20777912,2744737,NC
-0.20242469,2744738,NC
-0.19706921,2744739,NC
-0.19671273,2744740,NC
-0.20635526,2744741,NC
-0.21349674,2744742,NC
-0.21563727,2744743,NC
-0.21027681,2744744,NC
-0.20241538,2744745,NC
-0.207053,2744746,NC
-0.22168966,2744747,NC
-0.23882543,2744748,NC
-0.24096024,2744749,NC
-0.22809415,2744750,NC
-0.22522716,2744751,NC
-0.23235932,2744752,NC
-0.23699057,2744753,NC
-0.24912098,2744754,NC
-0.25875053,2744755,NC
-0.25087926,2744756,NC
-0.24300715,2744757,NC
-0.24763423,2744758,NC
-0.2547605,2744759,NC
-0.261886,2744760,NC
-0.26651073,2744761,NC
-0.25613463,2744762,NC
-0.25325784,2744763,NC
-0.2603803,2744764,NC
-0.270002,2744765,NC
-0.282123,2744766,NC
-0.2817433,2744767,NC
-0.2763629,2744768,NC
-0.2759818,2744769,NC
-0.27810007,2744770,NC
-0.28521767,2744771,NC
-0.29983464,2744772,NC
-0.30445093,2744773,NC
-0.30156663,2744774,NC
-0.29868174,2744775,NC
-0.30079624,2744776,NC
-0.30791014,2744777,NC
-0.31752348,2744778,NC
-0.31963626,2744779,NC
-0.3167485,2744780,NC
-0.3163602,2744781,NC
-0.31597137,2744782,NC
-0.32308203,2744783,NC
-0.3276922,2744784,NC
-0.33730188,2744785,NC
-0.3394111,2744786,NC
-0.33401987,2744787,NC
-0.34112817,2744788,NC
-0.35073605,2744789,NC
-0.3528435,2744790,NC
-0.34745055,2744791,NC
-0.33955717,2744792,NC
-0.33416343,2744793,NC
-0.33626932,2744794,NC
-0.34337488,2744795,NC
-0.35298005,2744796,NC
-0.3575849,2744797,NC
-0.35468942,2744798,NC
-0.34929365,2744799,NC
-0.34889755,2744800,NC
-0.3585012,2744801,NC
-0.36560458,2744802,NC
-0.36770767,2744803,NC
-0.35981056,2744804,NC
-0.35441315,2744805,NC
-0.35401556,2744806,NC
-0.35861778,2744807,NC
-0.3707198,2744808,NC
-0.3753216,2744809,NC
-0.36742327,2744810,NC
-0.35452473,2744811,NC
-0.3441261,2744812,NC
-0.34622732,2744813,NC
-0.3533284,2744814,NC
-0.35042942,2744815,NC
-0.3450303,2744816,NC
-0.33463112,2744817,NC
-0.32673186,2744818,NC
-0.32383257,2744819,NC
-0.32593322,2744820,NC
-0.32553384,2744821,NC
-0.31263447,2744822,NC
-0.3022351,2744823,NC
-0.2968357,2744824,NC
-0.2914363,2744825,NC
-0.291037,2744826,NC
-0.2856377,2744827,NC
-0.27773848,2744828,NC
-0.2698393,2744829,NC
-0.26194024,2744830,NC
-0.26154128,2744831,NC
-0.2561424,2744832,NC
-0.24324368,2744833,NC
-0.22784507,2744834,NC
-0.21244663,2744835,NC
-0.20204833,2744836,NC
-0.1966502,2744837,NC
-0.19375229,2744838,NC
-0.18835454,2744839,NC
-0.17795703,2744840,NC
-0.16255973,2744841,NC
-0.14966267,2744842,NC
-0.14926586,2744843,NC
-0.1513693,2744844,NC
-0.14347304,2744845,NC
-0.13057706,2744846,NC
-0.12018137,2744847,NC
-0.10978601,2744848,NC
-0.10939097,2744849,NC
-0.11649625,2744850,NC
-0.118601896,2744851,NC
-0.11320791,2744852,NC
-0.10281429,2744853,NC
-0.097421065,2744854,NC
-0.09702824,2744855,NC
-0.10163582,2744856,NC
-0.10124384,2744857,NC
-0.08835229,2744858,NC
-0.082961194,2744859,NC
-0.08757056,2744860,NC
-0.0996804,2744861,NC
-0.106790744,2744862,NC
-0.09890157,2744863,NC
-0.08601292,2744864,NC
-0.07812479,2744865,NC
-0.0802372,2744866,NC
-0.09235017,2744867,NC
-0.106963694,2744868,NC
-0.10407779,2744869,NC
-0.093692474,2744870,NC
-0.090807766,2744871,NC
-0.09542365,2744872,NC
-0.105040185,2744873,NC
-0.11215734,2744874,NC
-0.111775145,2744875,NC
-0.10389362,2744876,NC
-0.10101277,2744877,NC
-0.10563259,2744878,NC
-0.105253115,2744879,NC
-0.11237434,2744880,NC
-0.11699631,2744881,NC
-0.109119,2744882,NC
-0.10874243,2744883,NC
-0.11336663,2744884,NC
-0.1204916,2744885,NC
-0.12761734,2744886,NC
-0.12724388,2744887,NC
-0.11937123,2744888,NC
-0.11899939,2744889,NC
-0.12612838,2744890,NC
-0.1282582,2744891,NC
-0.14038889,2744892,NC
-0.14752045,2744893,NC
-0.13465285,2744894,NC
-0.124286175,2744895,NC
-0.11892039,2744896,NC
-0.113555506,2744897,NC
-0.11819157,2744898,NC
-0.12282854,2744899,NC
-0.11496648,2744900,NC
-0.10960536,2744901,NC
-0.11174521,2744902,NC
-0.11888605,2744903,NC
-0.12352788,2744904,NC
-0.12317071,2744905,NC
-0.115314566,2744906,NC
-0.10245942,2744907,NC
-0.09960534,2744908,NC
-0.10925232,2744909,NC
-0.11390033,2744910,NC
-0.108549416,2744911,NC
-0.09819959,2744912,NC
-0.09035087,2744913,NC
-0.10000323,2744914,NC
-0.10965672,2744915,NC
-0.111811355,2744916,NC
-0.11146711,2744917,NC
-0.10362401,2744918,NC
-0.098282084,2744919,NC
-0.09794132,2744920,NC
-0.10510174,2744921,NC
-0.10726336,2744922,NC
-0.101926155,2744923,NC
-0.096590176,2744924,NC
-0.088755436,2744925,NC
-0.09342192,2744926,NC
-0.098089665,2744927,NC
-0.105258666,2744928,NC
-0.10992892,2744929,NC
-0.09960045,2744930,NC
-0.09677328,2744931,NC
-0.10644741,2744932,NC
-0.11112285,2744933,NC
-0.11329959,2744934,NC
-0.11047768,2744935,NC
-0.1001571,2744936,NC
-0.09983787,2744937,NC
-0.10202001,2744938,NC
-0.10920352,2744939,NC
-0.11888839,2744940,NC
-0.10857469,2744941,NC
-0.08576235,2744942,NC
-0.07295145,2744943,NC
-0.072641954,2744944,NC
-0.0748339,2744945,NC
-0.07452728,2744946,NC
-0.071722105,2744947,NC
-0.056418408,2744948,NC
-0.04861616,2744949,NC
-0.055815402,2744950,NC
-0.05551613,2744951,NC
-0.055218358,2744952,NC
-0.052422088,2744953,NC
-0.037127346,2744954,NC
-0.02683413,2744955,NC
-0.019042443,2744956,NC
-0.011252303,2744957,NC
-0.013463717,2744958,NC
-0.010676697,2744959,NC
-0.00039125234,2744960,NC
-0.00010738522,2744961,NC
-0.012325112,2744962,NC
-0.02454444,2744963,NC
-0.03676537,2744964,NC
-0.048987918,2744965,NC
-0.048712097,2744966,NC
-0.038437925,2744967,NC
-0.035665385,2744968,NC
-0.047894496,2744969,NC
-0.06262526,2744970,NC
-0.06985772,2744971,NC
-0.069591835,2744972,NC
-0.06432765,2744973,NC
-0.06906515,2744974,NC
-0.07380436,2744975,NC
-0.07354529,2744976,NC
-0.07078794,2744977,NC
-0.063032314,2744978,NC
-0.060278423,2744979,NC
-0.06502628,2744980,NC
-0.07977588,2744981,NC
-0.08702725,2744982,NC
-0.079280384,2744983,NC
-0.071535304,2744984,NC
-0.06629202,2744985,NC
-0.06855051,2744986,NC
-0.07581079,2744987,NC
-0.0830729,2744988,NC
-0.08033681,2744989,NC
-0.06510256,2744990,NC
-0.05487013,2744991,NC
-0.05963954,2744992,NC
-0.066910796,2744993,NC
-0.0666839,2744994,NC
-0.06395887,2744995,NC
-0.056235697,2744996,NC
-0.05351441,2744997,NC
-0.060795005,2744998,NC
-0.06557748,2744999,NC
-0.07286184,2745000,NC
-0.072648115,2745001,NC
-0.05993631,2745002,NC
-0.054726407,2745003,NC
-0.054518428,2745004,NC
-0.051812373,2745005,NC
-0.05160826,2745006,NC
-0.048906088,2745007,NC
-0.048705865,2745008,NC
-0.05100759,2745009,NC
-0.04331129,2745010,NC
-0.04311695,2745011,NC
-0.050424576,2745012,NC
-0.052734192,2745013,NC
-0.047545787,2745014,NC
-0.042359374,2745015,NC
-0.039674968,2745016,NC
-0.031992555,2745017,NC
-0.014312156,2745018,NC
0.028366227,2745019,NC
0.08854259,2745020,NC
0.14121693,2745021,NC
0.18888924,2745022,NC
0.23905951,2745023,NC
0.29422772,2745024,NC
0.3568939,2745025,NC
0.42455804,2745026,NC
0.5072201,2745027,NC
0.6223801,2745028,NC
0.860038,2745029,NC
1.2976938,2745030,NC
1.6903477,2745031,NC
1.7579993,2745032,NC
1.620649,2745033,f
1.4982965,2745034,NC
1.4184418,2745035,NC
1.3110852,2745036,NC
1.1462263,2745037,NC
0.9413655,2745038,NC
0.7415024,2745039,NC
0.58413726,2745040,NC
0.43677002,2745041,NC
0.2869006,2745042,NC
0.15952908,2745043,NC
0.0546554,2745044,NC
-0.015220411,2745045,NC
-0.050098374,2745046,NC
-0.07747848,2745047,NC
-0.09986074,2745048,NC
-0.10724518,2745049,NC
-0.10213176,2745050,NC
-0.092020504,2745051,NC
-0.08941142,2745052,NC
-0.0968045,2745053,NC
-0.10669978,2745054,NC
-0.11159722,2745055,NC
-0.10899684,2745056,NC
-0.106398635,2745057,NC
-0.10630263,2745058,NC
-0.11120883,2745059,NC
-0.1211172,2745060,NC
-0.123527765,2745061,NC
-0.11344055,2745062,NC
-0.10835554,2745063,NC
-0.120772704,2745064,NC
-0.13319209,2745065,NC
-0.1456137,2745066,NC
-0.14803752,2745067,NC
-0.13046353,2745068,NC
-0.120391786,2745069,NC
-0.12282225,2745070,NC
-0.13525495,2745071,NC
-0.15018985,2745072,NC
-0.150127,2745073,NC
-0.14506637,2745074,NC
-0.14250797,2745075,NC
