channel_0,sample #,type
0.8134851,1397961,B
0.509597,1397962,NC
0.23376007,1397963,NC
0.13558084,1397964,NC
0.14493124,1397965,NC
0.16363205,1397966,NC
0.16830726,1397967,NC
0.16830726,1397968,NC
0.16830726,1397969,NC
0.18700807,1397970,NC
0.21038406,1397971,NC
0.21973448,1397972,NC
0.23376007,1397973,NC
0.22908488,1397974,NC
0.22440967,1397975,NC
0.20570886,1397976,NC
0.21038406,1397977,NC
0.22908488,1397978,NC
0.24311046,1397979,NC
0.24311046,1397980,NC
0.22440967,1397981,NC
0.21505927,1397982,NC
0.20570886,1397983,NC
0.19635846,1397984,NC
0.15428166,1397985,NC
0.093504034,1397986,NC
0.014025604,1397987,NC
-0.03272641,1397988,NC
-0.07480322,1397989,NC
-0.112204835,1397990,NC
-0.19168326,1397991,NC
-0.28986248,1397992,NC
-0.37401614,1397993,NC
-0.37869132,1397994,NC
-0.3553153,1397995,NC
-0.3272641,1397996,NC
-0.30388808,1397997,NC
-0.30856332,1397998,NC
-0.33193928,1397999,NC
-0.3599905,1398000,NC
-0.36934093,1398001,NC
-0.40206733,1398002,NC
-0.41609293,1398003,NC
-0.42544335,1398004,NC
-0.43011853,1398005,NC
-0.40674254,1398006,NC
-0.36934093,1398007,NC
-0.35064012,1398008,NC
-0.34128973,1398009,NC
-0.34128973,1398010,NC
-0.3553153,1398011,NC
-0.3599905,1398012,NC
-0.35064012,1398013,NC
-0.3459649,1398014,NC
-0.36934093,1398015,NC
-0.38336653,1398016,NC
-0.38336653,1398017,NC
-0.3927169,1398018,NC
-0.37869132,1398019,NC
-0.3599905,1398020,NC
-0.3599905,1398021,NC
-0.3646657,1398022,NC
-0.37401614,1398023,NC
-0.3646657,1398024,NC
-0.3553153,1398025,NC
-0.3459649,1398026,NC
-0.35064012,1398027,NC
-0.3553153,1398028,NC
-0.3599905,1398029,NC
-0.3553153,1398030,NC
-0.3553153,1398031,NC
-0.3459649,1398032,NC
-0.3459649,1398033,NC
-0.35064012,1398034,NC
-0.3599905,1398035,NC
-0.3553153,1398036,NC
-0.3459649,1398037,NC
-0.34128973,1398038,NC
-0.33193928,1398039,NC
-0.3553153,1398040,NC
-0.3599905,1398041,NC
-0.35064012,1398042,NC
-0.34128973,1398043,NC
-0.34128973,1398044,NC
-0.33661452,1398045,NC
-0.3459649,1398046,NC
-0.3553153,1398047,NC
-0.35064012,1398048,NC
-0.35064012,1398049,NC
-0.33193928,1398050,NC
-0.34128973,1398051,NC
-0.3459649,1398052,NC
-0.36934093,1398053,NC
-0.3459649,1398054,NC
-0.34128973,1398055,NC
-0.33661452,1398056,NC
-0.33661452,1398057,NC
-0.34128973,1398058,NC
-0.34128973,1398059,NC
-0.35064012,1398060,NC
-0.34128973,1398061,NC
-0.3179137,1398062,NC
-0.3132385,1398063,NC
-0.3132385,1398064,NC
-0.30856332,1398065,NC
-0.29921287,1398066,NC
-0.2805121,1398067,NC
-0.2805121,1398068,NC
-0.25713608,1398069,NC
-0.2618113,1398070,NC
-0.26648647,1398071,NC
-0.25713608,1398072,NC
-0.23843527,1398073,NC
-0.22440967,1398074,NC
-0.21973448,1398075,NC
-0.21505927,1398076,NC
-0.21505927,1398077,NC
-0.20570886,1398078,NC
-0.18700807,1398079,NC
-0.14960644,1398080,NC
-0.15428166,1398081,NC
-0.15428166,1398082,NC
-0.14960644,1398083,NC
-0.12623045,1398084,NC
-0.10285443,1398085,NC
-0.088828824,1398086,NC
-0.08415363,1398087,NC
-0.08415363,1398088,NC
-0.10285443,1398089,NC
-0.088828824,1398090,NC
-0.07947843,1398091,NC
-0.06545282,1398092,NC
-0.06545282,1398093,NC
-0.07012802,1398094,NC
-0.08415363,1398095,NC
-0.07947843,1398096,NC
-0.07012802,1398097,NC
-0.07480322,1398098,NC
-0.07480322,1398099,NC
-0.088828824,1398100,NC
-0.112204835,1398101,NC
-0.12155523,1398102,NC
-0.12623045,1398103,NC
-0.12155523,1398104,NC
-0.11688004,1398105,NC
-0.13090564,1398106,NC
-0.14493124,1398107,NC
-0.14960644,1398108,NC
-0.14493124,1398109,NC
-0.15895686,1398110,NC
-0.14960644,1398111,NC
-0.17765765,1398112,NC
-0.17298245,1398113,NC
-0.17765765,1398114,NC
-0.16830726,1398115,NC
-0.17298245,1398116,NC
-0.17298245,1398117,NC
-0.18700807,1398118,NC
-0.19635846,1398119,NC
-0.19635846,1398120,NC
-0.18233284,1398121,NC
-0.18700807,1398122,NC
-0.18233284,1398123,NC
-0.20103367,1398124,NC
-0.20103367,1398125,NC
-0.21973448,1398126,NC
-0.21038406,1398127,NC
-0.20570886,1398128,NC
-0.21038406,1398129,NC
-0.21505927,1398130,NC
-0.23376007,1398131,NC
-0.21973448,1398132,NC
-0.21973448,1398133,NC
-0.20103367,1398134,NC
-0.21505927,1398135,NC
-0.21038406,1398136,NC
-0.21505927,1398137,NC
-0.22440967,1398138,NC
-0.21973448,1398139,NC
-0.21038406,1398140,NC
-0.21505927,1398141,NC
-0.21973448,1398142,NC
-0.23376007,1398143,NC
-0.22440967,1398144,NC
-0.21505927,1398145,NC
-0.21038406,1398146,NC
-0.21973448,1398147,NC
-0.22440967,1398148,NC
-0.23376007,1398149,NC
-0.23843527,1398150,NC
-0.22440967,1398151,NC
-0.22440967,1398152,NC
-0.22440967,1398153,NC
-0.23843527,1398154,NC
-0.24778566,1398155,NC
-0.24311046,1398156,NC
-0.24778566,1398157,NC
-0.24311046,1398158,NC
-0.24778566,1398159,NC
-0.26648647,1398160,NC
-0.27583688,1398161,NC
-0.26648647,1398162,NC
-0.25713608,1398163,NC
-0.24778566,1398164,NC
-0.2524609,1398165,NC
-0.25713608,1398166,NC
-0.26648647,1398167,NC
-0.2618113,1398168,NC
-0.25713608,1398169,NC
-0.24778566,1398170,NC
-0.2618113,1398171,NC
-0.26648647,1398172,NC
-0.2805121,1398173,NC
-0.27583688,1398174,NC
-0.27583688,1398175,NC
-0.24778566,1398176,NC
-0.25713608,1398177,NC
-0.26648647,1398178,NC
-0.27583688,1398179,NC
-0.2805121,1398180,NC
-0.26648647,1398181,NC
-0.2524609,1398182,NC
-0.26648647,1398183,NC
-0.27116168,1398184,NC
-0.2805121,1398185,NC
-0.2805121,1398186,NC
-0.2851873,1398187,NC
-0.2805121,1398188,NC
-0.2805121,1398189,NC
-0.28986248,1398190,NC
-0.29921287,1398191,NC
-0.28986248,1398192,NC
-0.28986248,1398193,NC
-0.2851873,1398194,NC
-0.27583688,1398195,NC
-0.2851873,1398196,NC
-0.28986248,1398197,NC
-0.28986248,1398198,NC
-0.2805121,1398199,NC
-0.27116168,1398200,NC
-0.2805121,1398201,NC
-0.28986248,1398202,NC
-0.30388808,1398203,NC
-0.30388808,1398204,NC
-0.2945377,1398205,NC
-0.2851873,1398206,NC
-0.27583688,1398207,NC
-0.27583688,1398208,NC
-0.2945377,1398209,NC
-0.2945377,1398210,NC
