channel_0,sample #,type
1.6365957,23566382,N
1.6217362,23566383,NC
1.5518746,23566384,NC
1.4120109,23566385,NC
1.2571449,23566386,NC
1.0822769,23566387,NC
0.8074069,23566388,NC
0.4975346,23566389,NC
0.18766022,23566390,NC
0.007783711,23566391,NC
-0.022094935,23566392,NC
0.04802427,23566393,NC
0.12814134,23566394,NC
0.18325625,23566395,NC
0.20336902,23566396,NC
0.18347964,23566397,NC
0.19358811,23566398,NC
0.21369441,23566399,NC
0.23379856,23566400,NC
0.22890052,23566401,NC
0.21400034,23566402,NC
0.194098,23566403,NC
0.17419347,23566404,NC
0.17428678,23566405,NC
0.1893779,23566406,NC
0.18446684,23566407,NC
0.17455362,23566408,NC
0.1596382,23566409,NC
0.1547206,23566410,NC
0.16480081,23566411,NC
0.16487883,23566412,NC
0.17495467,23566413,NC
0.15502831,23566414,NC
0.14509974,23566415,NC
0.130169,23566416,NC
0.13023604,23566417,NC
0.1403009,23566418,NC
0.13036354,23566419,NC
0.12042397,23566420,NC
0.105482206,23566421,NC
0.09553824,23566422,NC
0.09559206,23566423,NC
0.11064368,23566424,NC
0.10069308,23566425,NC
0.09074027,23566426,NC
0.05078524,23566427,NC
0.045828007,23566428,NC
0.040868543,23566429,NC
0.050906878,23566430,NC
0.055942982,23566431,NC
0.050976876,23566432,NC
0.041008547,23566433,NC
0.036038,23566434,NC
0.026065234,23566435,NC
0.046090245,23566436,NC
0.041113026,23566437,NC
0.03613359,23566438,NC
0.046151936,23566439,NC
0.03616805,23566440,NC
0.04618194,23566441,NC
0.041193604,23566442,NC
0.031203046,23566443,NC
0.021210268,23566444,NC
0.0012152568,23566445,NC
-0.008781977,23566446,NC
-0.0037814453,23566447,NC
-0.0037831292,23566448,NC
-0.008787036,23566449,NC
-0.038793176,23566450,NC
-0.05880154,23566451,NC
-0.07381213,23566452,NC
-0.08882494,23566453,NC
-0.08383998,23566454,NC
-0.08885724,23566455,NC
-0.11887673,23566456,NC
-0.14389846,23566457,NC
-0.16392237,23566458,NC
-0.16894853,23566459,NC
-0.18397692,23566460,NC
-0.2090075,23566461,NC
-0.25904033,23566462,NC
-0.29407537,23566463,NC
-0.3241126,23566464,NC
-0.3091521,23566465,NC
-0.3391938,23566466,NC
-0.3742377,23566467,NC
-0.4042838,23566468,NC
-0.4443321,23566469,NC
-0.46938267,23566470,NC
-0.4944354,23566471,NC
-0.52449036,23566472,NC
-0.54454756,23566473,NC
-0.5696069,23566474,NC
-0.5996685,23566475,NC
-0.6347323,23566476,NC
-0.62479824,23566477,NC
-0.61486644,23566478,NC
-0.6249368,23566479,NC
-0.6350094,23566480,NC
-0.6350842,23566481,NC
-0.6301611,23566482,NC
-0.6102403,23566483,NC
