channel_0,sample #,type
1.0293475,2643242,N
0.96953034,2643243,NC
0.8312955,2643244,NC
0.6515444,2643245,NC
0.49024135,2643246,NC
0.36122435,2643247,NC
0.2322048,2643248,NC
0.084732115,2643249,NC
-0.090418965,2643250,NC
-0.247122,2643251,NC
-0.32541257,2643252,NC
-0.35296655,2643253,NC
-0.40358636,2643254,NC
-0.45882133,2643255,NC
-0.47715765,2643256,NC
-0.46782076,2643257,NC
-0.4354232,2643258,NC
-0.37535223,2643259,NC
-0.3614104,2643260,NC
-0.36592174,2643261,NC
-0.38888624,2643262,NC
-0.35650158,2643263,NC
-0.34718275,2643264,NC
-0.3332539,2643265,NC
-0.33777824,2643266,NC
-0.34691784,2643267,NC
-0.36528534,2643268,NC
-0.38826814,2643269,NC
-0.40202823,2643270,NC
-0.3973404,2643271,NC
-0.38342986,2643272,NC
-0.3602967,2643273,NC
-0.34177878,2643274,NC
-0.34171414,2643275,NC
-0.32781416,2643276,NC
-0.3554307,2643277,NC
-0.36921194,2643278,NC
-0.37377053,2643279,NC
-0.3829444,2643280,NC
-0.39212096,2643281,NC
-0.38284954,2643282,NC
-0.3966441,2643283,NC
-0.4058286,2643284,NC
-0.42885372,2643285,NC
-0.44265628,2643286,NC
-0.44723612,2643287,NC
-0.4103048,2643288,NC
-0.37798887,2643289,NC
-0.36412618,2643290,NC
-0.35026616,2643291,NC
-0.35024673,2643292,NC
-0.37790588,2643293,NC
-0.36405388,2643294,NC
-0.35481718,2643295,NC
-0.34097055,2643296,NC
-0.34557715,2643297,NC
-0.3455738,2643298,NC
-0.37324902,2643299,NC
-0.39170164,2643300,NC
-0.40554425,2643301,NC
-0.3963263,2643302,NC
-0.38711104,2643303,NC
-0.3825111,2643304,NC
-0.3917518,2643305,NC
-0.41483307,2643306,NC
-0.43330446,2643307,NC
-0.45639107,2643308,NC
-0.47486773,2643309,NC
-0.43799534,2643310,NC
-0.37344965,2643311,NC
-0.34119523,2643312,NC
-0.35045728,2643313,NC
-0.37817258,2643314,NC
-0.4012779,2643315,NC
-0.41977325,2643316,NC
-0.41059536,2643317,NC
-0.40142015,2643318,NC
-0.40147287,2643319,NC
-0.43381682,2643320,NC
-0.4523254,2643321,NC
-0.43854815,2643322,NC
-0.40171027,2643323,NC
-0.3694877,2643324,NC
-0.36494368,2643325,NC
-0.37885284,2643326,NC
-0.3973773,2643327,NC
-0.42051706,2643328,NC
-0.42059618,2643329,NC
-0.39761472,2643330,NC
-0.36079794,2643331,NC
-0.31475842,2643332,NC
-0.30101007,2643333,NC
-0.31032762,2643334,NC
-0.34732357,2643335,NC
-0.36125898,2643336,NC
-0.36135897,2643337,NC
-0.37068686,2643338,NC
-0.38001734,2643339,NC
-0.37089983,2643340,NC
-0.33872166,2643341,NC
-0.32499662,2643342,NC
-0.31588683,2643343,NC
-0.3206175,2643344,NC
-0.31612545,2643345,NC
-0.31624863,2643346,NC
-0.2933111,2643347,NC
-0.24270019,2643348,NC
-0.19670452,2643349,NC
-0.16916195,2643350,NC
-0.16929778,2643351,NC
-0.17404877,2643352,NC
-0.17880228,2643353,NC
-0.1927836,2643354,NC
-0.18831679,2643355,NC
-0.18846515,2643356,NC
-0.1793907,2643357,NC
-0.18415667,2643358,NC
-0.17969981,2643359,NC
-0.16602013,2643360,NC
-0.1523429,2643361,NC
-0.14789341,2643362,NC
-0.13883372,2643363,NC
-0.14361443,2643364,NC
-0.14839754,2643365,NC
-0.1439578,2643366,NC
-0.1441331,2643367,NC
-0.1535361,2643368,NC
-0.1537162,2643369,NC
-0.14006075,2643370,NC
-0.117182426,2643371,NC
-0.09891908,2643372,NC
-0.071432814,2643373,NC
-0.09007537,2643374,NC
-0.11333294,2643375,NC
-0.122754894,2643376,NC
-0.113728605,2643377,NC
-0.10009198,2643378,NC
-0.09107031,2643379,NC
-0.10050155,2643380,NC
-0.1329983,2643381,NC
-0.1424341,2643382,NC
-0.1610975,2643383,NC
-0.16131257,2643384,NC
-0.17536782,2643385,NC
-0.16174944,2643386,NC
-0.13429536,2643387,NC
-0.116068795,2643388,NC
-0.10706974,2643389,NC
-0.13036142,2643390,NC
-0.13520475,2643391,NC
-0.14466287,2643392,NC
-0.1356726,2643393,NC
-0.15897302,2643394,NC
-0.16843766,2643395,NC
-0.1825171,2643396,NC
-0.15969747,2643397,NC
-0.12765469,2643398,NC
-0.10945196,2643399,NC
-0.11431457,2643400,NC
-0.13762988,2643401,NC
-0.14249665,2643402,NC
-0.1658161,2643403,NC
-0.16607437,2643404,NC
-0.17555995,2643405,NC
-0.19888553,2643406,NC
-0.16224872,2643407,NC
-0.13945186,2643408,NC
-0.10281905,2643409,NC
-0.10308941,2643410,NC
-0.14026293,2643411,NC
-0.17282577,2643412,NC
-0.17310202,2643413,NC
-0.18260552,2643414,NC
-0.17827298,2643415,NC
-0.16932972,2643416,NC
-0.16038835,2643417,NC
-0.15606153,2643418,NC
-0.1655745,2643419,NC
-0.16125143,2643420,NC
-0.1477049,2643421,NC
-0.1341602,2643422,NC
-0.15751852,2643423,NC
-0.16242805,2643424,NC
-0.1581141,2643425,NC
-0.15841457,2643426,NC
-0.1679421,2643427,NC
-0.16363345,2643428,NC
-0.1639392,2643429,NC
-0.15963404,2643430,NC
-0.15533058,2643431,NC
-0.15102883,2643432,NC
-0.15595406,2643433,NC
-0.17010628,2643434,NC
-0.17503487,2643435,NC
-0.17535244,2643436,NC
-0.17105898,2643437,NC
-0.14831659,2643438,NC
-0.15325166,2643439,NC
-0.1535757,2643440,NC
-0.16773926,2643441,NC
-0.17729172,2643442,NC
-0.16378249,2643443,NC
-0.16872539,2643444,NC
-0.15060657,2643445,NC
-0.14171454,2643446,NC
-0.1604999,2643447,NC
-0.18389937,2643448,NC
-0.18423708,2643449,NC
-0.17996357,2643450,NC
-0.18030414,2643451,NC
-0.17603348,2643452,NC
-0.18098953,2643453,NC
-0.1813343,2643454,NC
-0.17706777,2643455,NC
-0.16357733,2643456,NC
-0.1777641,2643457,NC
-0.1919522,2643458,NC
-0.20152895,2643459,NC
-0.21110699,2643460,NC
-0.19762309,2643461,NC
-0.18414043,2643462,NC
-0.17527167,2643463,NC
-0.16179149,2643464,NC
-0.1667631,2643465,NC
-0.15328532,2643466,NC
-0.17209728,2643467,NC
-0.16784714,2643468,NC
-0.1774361,2643469,NC
-0.19625148,2643470,NC
-0.20123005,2643471,NC
-0.21082236,2643472,NC
-0.19273987,2643473,NC
-0.17004578,2643474,NC
-0.12890218,2643475,NC
-0.110822834,2643476,NC
-0.10658246,2643477,NC
-0.11618102,2643478,NC
-0.12578057,2643479,NC
-0.14921904,2643480,NC
-0.1588205,2643481,NC
-0.17303555,2643482,NC
-0.17341357,2643483,NC
-0.15995456,2643484,NC
-0.13265851,2643485,NC
-0.09613801,2643486,NC
-0.07806895,2643487,NC
-0.06000073,2643488,NC
-0.092672445,2643489,NC
-0.1299576,2643490,NC
-0.15340562,2643491,NC
-0.13995321,2643492,NC
-0.14033951,2643493,NC
-0.1407265,2643494,NC
-0.14572689,2643495,NC
-0.1737912,2643496,NC
-0.17879294,2643497,NC
-0.17918272,2643498,NC
-0.18418579,2643499,NC
-0.18918946,2643500,NC
-0.18958113,2643501,NC
-0.18074808,2643502,NC
-0.1811409,2643503,NC
-0.19075958,2643504,NC
-0.2003788,2643505,NC
-0.20999855,2643506,NC
-0.2103935,2643507,NC
-0.2154016,2643508,NC
-0.19734693,2643509,NC
-0.1792927,2643510,NC
-0.16585155,2643511,NC
-0.18008672,2643512,NC
-0.185097,2643513,NC
-0.19933294,2643514,NC
-0.20434397,2643515,NC
-0.19551739,2643516,NC
-0.18669114,2643517,NC
-0.17325257,2643518,NC
-0.15981428,2643519,NC
-0.16021422,2643520,NC
-0.17445233,2643521,NC
-0.1656275,2643522,NC
-0.18447873,2643523,NC
-0.18949224,2643524,NC
-0.19450594,2643525,NC
-0.19029452,2643526,NC
-0.18608326,2643527,NC
-0.18187211,2643528,NC
-0.18688639,2643529,NC
-0.21035136,2643530,NC
-0.2245911,2643531,NC
-0.22960562,2643532,NC
-0.21155694,2643533,NC
-0.184283,2643534,NC
-0.18007231,2643535,NC
-0.1850869,2643536,NC
-0.18548882,2643537,NC
-0.17205276,2643538,NC
-0.14477868,2643539,NC
-0.11750454,2643540,NC
-0.0717797,2643541,NC
-0.0029915024,2643542,NC
0.11653594,2643543,NC
0.45285797,2643544,NC
0.8906585,2643545,NC
0.9640599,2643546,NC
0.73302686,2643547,NC
0.5711837,2643548,NC
0.59384674,2643549,NC
0.72260094,2643550,NC
0.8605806,2643551,NC
0.96627206,2643552,NC
1.0396755,2643553,NC
1.1176918,2643554,f
1.1541945,2643555,NC
1.1215079,2643556,NC
1.0380825,2643557,NC
0.8900806,2643558,NC
0.7051778,2643559,NC
0.5479514,2643560,NC
0.41840127,2643561,NC
0.29346427,2643562,NC
0.18236573,2643563,NC
0.048204448,2643564,NC
-0.067505725,2643565,NC
-0.16015212,2643566,NC
-0.22973472,2643567,NC
-0.2670282,2643568,NC
-0.31815907,2643569,NC
-0.32777545,2643570,NC
-0.32816595,2643571,NC
-0.32394314,2643572,NC
-0.3104944,2643573,NC
-0.32472083,2643574,NC
-0.3020454,2643575,NC
-0.2885945,2643576,NC
-0.261305,2643577,NC
-0.2478527,2643578,NC
-0.2343996,2643579,NC
-0.23017104,2643580,NC
-0.22132902,2643581,NC
-0.24016204,2643582,NC
-0.23593104,2643583,NC
-0.24092445,2643584,NC
-0.2551423,2643585,NC
-0.2647466,2643586,NC
-0.27435008,2643587,NC
-0.27011463,2643588,NC
-0.27510357,2643589,NC
-0.29392946,2643590,NC
-0.29891646,2643591,NC
-0.30851516,2643592,NC
-0.29966223,2643593,NC
-0.2954209,2643594,NC
-0.29579127,2643595,NC
-0.3099985,2643596,NC
-0.3380426,2643597,NC
-0.33840972,2643598,NC
-0.32032517,2643599,NC
-0.2930142,2643600,NC
-0.293378,2643601,NC
-0.29835325,2643602,NC
-0.31716534,2643603,NC
-0.32675093,2643604,NC
-0.32711002,2643605,NC
-0.33669326,2643606,NC
-0.3185993,2643607,NC
-0.31895474,2643608,NC
-0.31469628,2643609,NC
