channel_0,sample #,type
1.8566667,23717541,f
1.7366667,23717542,NC
1.5883334,23717543,NC
1.4866667,23717544,NC
1.4200001,23717545,NC
1.37,23717546,NC
1.3233334,23717547,NC
1.2950001,23717548,NC
1.2766666,23717549,NC
1.2766666,23717550,NC
1.3083334,23717551,NC
1.3866667,23717552,NC
1.5033333,23717553,NC
1.6216667,23717554,NC
1.7000002,23717555,NC
1.71,23717556,NC
1.6416667,23717557,NC
1.5216668,23717558,NC
1.3866668,23717559,NC
1.2683333,23717560,NC
1.1366667,23717561,NC
0.9583334,23717562,NC
0.71833336,23717563,NC
0.47833335,23717564,NC
0.31333333,23717565,NC
0.27166665,23717566,NC
0.32666668,23717567,NC
0.41500002,23717568,NC
0.48000002,23717569,NC
0.52,23717570,NC
0.5366667,23717571,NC
0.54833335,23717572,NC
0.5416667,23717573,NC
0.5316667,23717574,NC
0.515,23717575,NC
0.50166667,23717576,NC
0.49666667,23717577,NC
0.5,23717578,NC
0.5,23717579,NC
0.495,23717580,NC
0.4766667,23717581,NC
0.45833334,23717582,NC
0.44000003,23717583,NC
0.43000004,23717584,NC
0.4266667,23717585,NC
0.4166667,23717586,NC
0.40000004,23717587,NC
0.38333333,23717588,NC
0.37333333,23717589,NC
0.37333333,23717590,NC
0.36833334,23717591,NC
0.36333334,23717592,NC
0.34500003,23717593,NC
0.32833332,23717594,NC
0.31166667,23717595,NC
0.31166667,23717596,NC
0.31,23717597,NC
0.30833334,23717598,NC
0.29666668,23717599,NC
0.2866667,23717600,NC
0.2866667,23717601,NC
0.29333335,23717602,NC
0.29833335,23717603,NC
0.29333335,23717604,NC
0.285,23717605,NC
0.27833334,23717606,NC
0.275,23717607,NC
0.27833334,23717608,NC
0.285,23717609,NC
0.28166667,23717610,NC
0.26666668,23717611,NC
0.25666666,23717612,NC
0.25333333,23717613,NC
0.26,23717614,NC
0.255,23717615,NC
0.25,23717616,NC
0.23666666,23717617,NC
0.23,23717618,NC
0.22666667,23717619,NC
0.22666667,23717620,NC
0.23,23717621,NC
0.22833334,23717622,NC
0.22166666,23717623,NC
0.20333335,23717624,NC
0.18666667,23717625,NC
0.17666668,23717626,NC
0.16666667,23717627,NC
0.15166667,23717628,NC
0.12666667,23717629,NC
0.101666674,23717630,NC
0.08166667,23717631,NC
0.07,23717632,NC
0.055,23717633,NC
0.03,23717634,NC
-0.015000001,23717635,NC
-0.05166667,23717636,NC
-0.085,23717637,NC
-0.10166667,23717638,NC
-0.125,23717639,NC
-0.155,23717640,NC
-0.19166666,23717641,NC
-0.22999999,23717642,NC
-0.25666666,23717643,NC
-0.27666667,23717644,NC
-0.29333335,23717645,NC
-0.31333333,23717646,NC
-0.33833334,23717647,NC
-0.35666668,23717648,NC
-0.37333333,23717649,NC
-0.38166666,23717650,NC
-0.39166665,23717651,NC
-0.39666665,23717652,NC
-0.4016667,23717653,NC
-0.39666668,23717654,NC
-0.38666666,23717655,NC
-0.36666667,23717656,NC
-0.34833336,23717657,NC
-0.33166668,23717658,NC
-0.32,23717659,NC
-0.30666667,23717660,NC
-0.285,23717661,NC
-0.25,23717662,NC
-0.21333334,23717663,NC
-0.18166667,23717664,NC
-0.155,23717665,NC
-0.13166666,23717666,NC
-0.1,23717667,NC
-0.068333335,23717668,NC
-0.03333333,23717669,NC
-0.011666667,23717670,NC
0.0033333332,23717671,NC
0.013333334,23717672,NC
0.026666667,23717673,NC
0.045,23717674,NC
0.06666667,23717675,NC
0.085,23717676,NC
0.095,23717677,NC
0.10333333,23717678,NC
0.11500001,23717679,NC
0.13166666,23717680,NC
0.15,23717681,NC
0.16333334,23717682,NC
0.16833334,23717683,NC
0.17333335,23717684,NC
0.18833335,23717685,NC
0.20500001,23717686,NC
0.21500002,23717687,NC
0.21500002,23717688,NC
0.21166667,23717689,NC
0.21166669,23717690,NC
0.21833335,23717691,NC
0.23833334,23717692,NC
0.255,23717693,NC
0.26166666,23717694,NC
0.26166666,23717695,NC
0.26166666,23717696,NC
0.27166665,23717697,NC
0.28500003,23717698,NC
0.29833335,23717699,NC
0.30166668,23717700,NC
0.2916667,23717701,NC
0.28833333,23717702,NC
0.28833333,23717703,NC
0.30166668,23717704,NC
0.30833334,23717705,NC
0.30833334,23717706,NC
0.29666668,23717707,NC
0.28333333,23717708,NC
0.27833334,23717709,NC
0.2866667,23717710,NC
0.29333335,23717711,NC
0.3,23717712,NC
0.29333335,23717713,NC
0.28833336,23717714,NC
0.28166667,23717715,NC
0.28166667,23717716,NC
0.27666667,23717717,NC
0.26666668,23717718,NC
0.25333333,23717719,NC
0.245,23717720,NC
0.24166666,23717721,NC
0.24166667,23717722,NC
0.24166666,23717723,NC
0.23333333,23717724,NC
0.215,23717725,NC
0.19833334,23717726,NC
0.195,23717727,NC
0.205,23717728,NC
0.21166667,23717729,NC
0.21000001,23717730,NC
0.19666667,23717731,NC
0.18666667,23717732,NC
0.18666667,23717733,NC
0.19666666,23717734,NC
0.20166667,23717735,NC
0.19666666,23717736,NC
0.18333334,23717737,NC
0.17000002,23717738,NC
0.16333334,23717739,NC
0.16666667,23717740,NC
0.17333335,23717741,NC
0.17166668,23717742,NC
0.16499999,23717743,NC
0.16166668,23717744,NC
0.16833334,23717745,NC
0.18166667,23717746,NC
0.19166666,23717747,NC
0.195,23717748,NC
0.19,23717749,NC
0.18666667,23717750,NC
0.185,23717751,NC
0.19333333,23717752,NC
0.19833332,23717753,NC
0.20166667,23717754,NC
0.18833333,23717755,NC
0.18333334,23717756,NC
0.185,23717757,NC
0.19833332,23717758,NC
0.20166667,23717759,NC
0.19333333,23717760,NC
0.17166667,23717761,NC
0.16,23717762,NC
0.15333334,23717763,NC
0.16333334,23717764,NC
0.17333333,23717765,NC
0.18,23717766,NC
0.17500001,23717767,NC
0.16,23717768,NC
0.16,23717769,NC
0.16833334,23717770,NC
0.18,23717771,NC
0.17500001,23717772,NC
0.16,23717773,NC
0.15,23717774,NC
0.15166667,23717775,NC
0.16166668,23717776,NC
0.16833334,23717777,NC
0.16666667,23717778,NC
0.15833333,23717779,NC
0.14833334,23717780,NC
0.14833334,23717781,NC
0.155,23717782,NC
0.165,23717783,NC
0.16333334,23717784,NC
0.15166667,23717785,NC
0.14,23717786,NC
0.13166668,23717787,NC
0.13666667,23717788,NC
0.13833334,23717789,NC
0.13166666,23717790,NC
0.116666675,23717791,NC
0.10666668,23717792,NC
0.116666675,23717793,NC
0.14,23717794,NC
0.15666667,23717795,NC
0.165,23717796,NC
0.165,23717797,NC
0.16833334,23717798,NC
0.17333335,23717799,NC
0.18,23717800,NC
0.17833334,23717801,NC
0.17333335,23717802,NC
0.14833334,23717803,NC
0.135,23717804,NC
0.125,23717805,NC
0.13666669,23717806,NC
0.14333335,23717807,NC
0.14500001,23717808,NC
0.13666667,23717809,NC
0.12666667,23717810,NC
0.12166667,23717811,NC
0.12166667,23717812,NC
0.123333335,23717813,NC
0.11833333,23717814,NC
0.101666674,23717815,NC
0.083333336,23717816,NC
0.07833333,23717817,NC
0.08833334,23717818,NC
0.099999994,23717819,NC
0.1,23717820,NC
0.10166667,23717821,NC
0.11666667,23717822,NC
0.155,23717823,NC
0.215,23717824,NC
0.28666666,23717825,NC
0.36333334,23717826,NC
0.455,23717827,NC
0.5866667,23717828,NC
0.77666664,23717829,NC
1.0083334,23717830,NC
1.2666667,23717831,NC
1.5416667,23717832,NC
1.8316667,23717833,NC
2.1066668,23717834,NC
2.295,23717835,f
2.345,23717836,NC
2.2366667,23717837,NC
2.0300002,23717838,NC
1.77,23717839,NC
1.475,23717840,NC
1.135,23717841,NC
0.78499997,23717842,NC
0.5,23717843,NC
0.34,23717844,NC
0.30666667,23717845,NC
0.35833335,23717846,NC
0.44,23717847,NC
0.5133333,23717848,NC
0.555,23717849,NC
0.56333333,23717850,NC
0.54833335,23717851,NC
0.5266667,23717852,NC
0.51,23717853,NC
0.49666667,23717854,NC
0.48000002,23717855,NC
0.45333332,23717856,NC
0.41833335,23717857,NC
0.38333333,23717858,NC
0.36166668,23717859,NC
0.34666666,23717860,NC
0.33166668,23717861,NC
0.3,23717862,NC
0.26833332,23717863,NC
0.24333332,23717864,NC
0.22666666,23717865,NC
0.21833335,23717866,NC
0.20500001,23717867,NC
0.18833333,23717868,NC
0.16166666,23717869,NC
0.13666667,23717870,NC
0.120000005,23717871,NC
0.105000004,23717872,NC
0.09,23717873,NC
0.06666667,23717874,NC
0.035000004,23717875,NC
0.006666667,23717876,NC
-0.01,23717877,NC
-0.013333333,23717878,NC
-0.02,23717879,NC
-0.041666668,23717880,NC
-0.068333335,23717881,NC
-0.093333334,23717882,NC
-0.10666667,23717883,NC
-0.11166667,23717884,NC
-0.120000005,23717885,NC
-0.13,23717886,NC
-0.15,23717887,NC
-0.16000001,23717888,NC
-0.17,23717889,NC
-0.17333335,23717890,NC
-0.18166667,23717891,NC
-0.19333333,23717892,NC
-0.21333332,23717893,NC
-0.23500001,23717894,NC
-0.24333332,23717895,NC
-0.24166666,23717896,NC
-0.23833334,23717897,NC
-0.245,23717898,NC
-0.25666666,23717899,NC
-0.27333334,23717900,NC
-0.27833334,23717901,NC
-0.27833334,23717902,NC
-0.275,23717903,NC
-0.28833336,23717904,NC
-0.31,23717905,NC
-0.32666668,23717906,NC
-0.34,23717907,NC
-0.34833336,23717908,NC
-0.36666667,23717909,NC
-0.38833332,23717910,NC
-0.42,23717911,NC
-0.44500002,23717912,NC
-0.47000003,23717913,NC
-0.48833334,23717914,NC
-0.51166666,23717915,NC
-0.5416667,23717916,NC
-0.57500005,23717917,NC
-0.61333334,23717918,NC
-0.64000005,23717919,NC
-0.66333336,23717920,NC
-0.6866667,23717921,NC
-0.72333336,23717922,NC
-0.76666665,23717923,NC
-0.8066666,23717924,NC
-0.83500004,23717925,NC
-0.8550001,23717926,NC
-0.8716667,23717927,NC
-0.89000005,23717928,NC
-0.91333336,23717929,NC
-0.93333334,23717930,NC
-0.9433333,23717931,NC
-0.9483333,23717932,NC
-0.95,23717933,NC
-0.9616667,23717934,NC
-0.9716667,23717935,NC
-0.98333335,23717936,NC
-0.98,23717937,NC
-0.965,23717938,NC
-0.94,23717939,NC
-0.91833335,23717940,NC
-0.90000004,23717941,NC
-0.8783334,23717942,NC
-0.84833336,23717943,NC
-0.8000001,23717944,NC
-0.755,23717945,NC
-0.7166667,23717946,NC
-0.6933333,23717947,NC
-0.66333336,23717948,NC
-0.62333333,23717949,NC
-0.57166666,23717950,NC
-0.5266667,23717951,NC
-0.49666667,23717952,NC
-0.48166668,23717953,NC
-0.46666667,23717954,NC
-0.445,23717955,NC
-0.41333336,23717956,NC
-0.385,23717957,NC
-0.36666667,23717958,NC
-0.36333334,23717959,NC
-0.36,23717960,NC
-0.34500003,23717961,NC
-0.32,23717962,NC
-0.29500002,23717963,NC
-0.27333334,23717964,NC
-0.25833336,23717965,NC
-0.24166667,23717966,NC
-0.225,23717967,NC
-0.20333335,23717968,NC
-0.19,23717969,NC
-0.185,23717970,NC
-0.18333334,23717971,NC
-0.18166667,23717972,NC
-0.16666667,23717973,NC
-0.155,23717974,NC
-0.13833334,23717975,NC
-0.13333334,23717976,NC
-0.12833333,23717977,NC
-0.13166666,23717978,NC
-0.13333334,23717979,NC
-0.12666667,23717980,NC
-0.11833333,23717981,NC
-0.11500001,23717982,NC
-0.123333335,23717983,NC
-0.125,23717984,NC
-0.118333325,23717985,NC
-0.101666674,23717986,NC
-0.096666664,23717987,NC
-0.10333334,23717988,NC
-0.120000005,23717989,NC
-0.12666667,23717990,NC
-0.12166667,23717991,NC
-0.11833333,23717992,NC
-0.11333334,23717993,NC
-0.11833334,23717994,NC
-0.123333335,23717995,NC
-0.13333334,23717996,NC
-0.13166666,23717997,NC
-0.123333335,23717998,NC
-0.111666664,23717999,NC
-0.11166667,23718000,NC
-0.11333334,23718001,NC
-0.12166667,23718002,NC
-0.11666666,23718003,NC
-0.11,23718004,NC
-0.10333333,23718005,NC
-0.11333334,23718006,NC
-0.12666667,23718007,NC
-0.13166668,23718008,NC
-0.120000005,23718009,NC
-0.10666667,23718010,NC
-0.095,23718011,NC
-0.093333334,23718012,NC
-0.09833334,23718013,NC
-0.105000004,23718014,NC
-0.108333334,23718015,NC
-0.098333344,23718016,NC
-0.083333336,23718017,NC
-0.071666665,23718018,NC
-0.07000001,23718019,NC
-0.075,23718020,NC
-0.06333333,23718021,NC
-0.046666667,23718022,NC
-0.03333333,23718023,NC
-0.043333337,23718024,NC
-0.060000002,23718025,NC
-0.07333334,23718026,NC
-0.07333334,23718027,NC
-0.06833333,23718028,NC
-0.06,23718029,NC
-0.065,23718030,NC
-0.07166667,23718031,NC
-0.083333336,23718032,NC
-0.08166667,23718033,NC
-0.07833333,23718034,NC
-0.075,23718035,NC
-0.083333336,23718036,NC
-0.1,23718037,NC
-0.11166667,23718038,NC
-0.11333333,23718039,NC
-0.10666667,23718040,NC
-0.09833334,23718041,NC
-0.10166667,23718042,NC
-0.10666667,23718043,NC
-0.11666667,23718044,NC
-0.111666664,23718045,NC
-0.10666667,23718046,NC
-0.10000001,23718047,NC
-0.105000004,23718048,NC
-0.11833334,23718049,NC
-0.12833333,23718050,NC
-0.135,23718051,NC
-0.13000001,23718052,NC
-0.13000001,23718053,NC
-0.13166666,23718054,NC
-0.14666668,23718055,NC
-0.15166667,23718056,NC
-0.14666668,23718057,NC
-0.13,23718058,NC
-0.125,23718059,NC
-0.13333333,23718060,NC
-0.14,23718061,NC
-0.14166668,23718062,NC
-0.13,23718063,NC
-0.115,23718064,NC
-0.108333334,23718065,NC
-0.11833333,23718066,NC
-0.13499999,23718067,NC
-0.14666668,23718068,NC
-0.14333335,23718069,NC
-0.12833335,23718070,NC
-0.115,23718071,NC
-0.113333344,23718072,NC
-0.123333335,23718073,NC
-0.123333335,23718074,NC
-0.11666667,23718075,NC
-0.10000001,23718076,NC
-0.09166667,23718077,NC
-0.093333334,23718078,NC
-0.10666667,23718079,NC
-0.120000005,23718080,NC
-0.11666666,23718081,NC
-0.108333334,23718082,NC
-0.10166666,23718083,NC
-0.105,23718084,NC
-0.11166667,23718085,NC
-0.11833334,23718086,NC
-0.11666667,23718087,NC
-0.111666664,23718088,NC
-0.11000001,23718089,NC
-0.11833334,23718090,NC
-0.13166666,23718091,NC
-0.13833334,23718092,NC
-0.135,23718093,NC
-0.13000001,23718094,NC
-0.125,23718095,NC
-0.13,23718096,NC
-0.14166668,23718097,NC
-0.155,23718098,NC
-0.16,23718099,NC
-0.155,23718100,NC
-0.15,23718101,NC
-0.155,23718102,NC
-0.16833334,23718103,NC
-0.17666668,23718104,NC
-0.17333335,23718105,NC
-0.15833333,23718106,NC
-0.15,23718107,NC
-0.15333334,23718108,NC
-0.165,23718109,NC
-0.17333333,23718110,NC
-0.16833334,23718111,NC
-0.15666667,23718112,NC
-0.14500001,23718113,NC
-0.13,23718114,NC
-0.11166667,23718115,NC
-0.080000006,23718116,NC
-0.038333338,23718117,NC
0.026666667,23718118,NC
0.111666664,23718119,NC
0.22666667,23718120,NC
0.375,23718121,NC
0.57000005,23718122,NC
0.79,23718123,NC
1.0066667,23718124,NC
1.1866667,23718125,NC
1.3133334,23718126,NC
1.3783333,23718127,NC
1.4,23718128,N
