channel_0,sample #,type
1.395,3007030,f
1.245,3007031,NC
1.135,3007032,NC
0.965,3007033,NC
0.745,3007034,NC
0.515,3007035,NC
0.325,3007036,NC
0.175,3007037,NC
0.045,3007038,NC
-0.09,3007039,NC
-0.215,3007040,NC
-0.3,3007041,NC
-0.325,3007042,NC
-0.33,3007043,NC
-0.335,3007044,NC
-0.345,3007045,NC
-0.365,3007046,NC
-0.38,3007047,NC
-0.375,3007048,NC
-0.37,3007049,NC
-0.36,3007050,NC
-0.375,3007051,NC
-0.39,3007052,NC
-0.4,3007053,NC
-0.395,3007054,NC
-0.385,3007055,NC
-0.39,3007056,NC
-0.39,3007057,NC
-0.4,3007058,NC
-0.425,3007059,NC
-0.415,3007060,NC
-0.415,3007061,NC
-0.415,3007062,NC
-0.415,3007063,NC
-0.415,3007064,NC
-0.42,3007065,NC
-0.43,3007066,NC
-0.42,3007067,NC
-0.425,3007068,NC
-0.41,3007069,NC
-0.44,3007070,NC
-0.455,3007071,NC
-0.445,3007072,NC
-0.44,3007073,NC
-0.455,3007074,NC
-0.455,3007075,NC
-0.46,3007076,NC
-0.475,3007077,NC
-0.475,3007078,NC
-0.46,3007079,NC
-0.455,3007080,NC
-0.465,3007081,NC
-0.47,3007082,NC
-0.485,3007083,NC
-0.485,3007084,NC
-0.485,3007085,NC
-0.475,3007086,NC
-0.485,3007087,NC
-0.5,3007088,NC
-0.52,3007089,NC
-0.52,3007090,NC
-0.505,3007091,NC
-0.505,3007092,NC
-0.525,3007093,NC
-0.53,3007094,NC
-0.54,3007095,NC
-0.54,3007096,NC
-0.55,3007097,NC
-0.54,3007098,NC
-0.54,3007099,NC
-0.56,3007100,NC
-0.57,3007101,NC
-0.565,3007102,NC
-0.565,3007103,NC
-0.56,3007104,NC
-0.57,3007105,NC
-0.58,3007106,NC
-0.585,3007107,NC
-0.58,3007108,NC
-0.575,3007109,NC
-0.57,3007110,NC
-0.59,3007111,NC
-0.575,3007112,NC
-0.59,3007113,NC
-0.585,3007114,NC
-0.585,3007115,NC
-0.57,3007116,NC
-0.57,3007117,NC
-0.59,3007118,NC
-0.585,3007119,NC
-0.595,3007120,NC
-0.585,3007121,NC
-0.575,3007122,NC
-0.58,3007123,NC
-0.56,3007124,NC
-0.56,3007125,NC
-0.55,3007126,NC
-0.535,3007127,NC
-0.53,3007128,NC
-0.525,3007129,NC
-0.535,3007130,NC
-0.53,3007131,NC
-0.525,3007132,NC
-0.515,3007133,NC
-0.49,3007134,NC
-0.49,3007135,NC
-0.475,3007136,NC
-0.475,3007137,NC
-0.46,3007138,NC
-0.445,3007139,NC
-0.425,3007140,NC
-0.41,3007141,NC
-0.415,3007142,NC
-0.415,3007143,NC
-0.405,3007144,NC
-0.37,3007145,NC
-0.35,3007146,NC
-0.355,3007147,NC
-0.355,3007148,NC
-0.355,3007149,NC
-0.345,3007150,NC
-0.33,3007151,NC
-0.32,3007152,NC
-0.32,3007153,NC
-0.33,3007154,NC
-0.325,3007155,NC
-0.315,3007156,NC
-0.31,3007157,NC
-0.29,3007158,NC
-0.3,3007159,NC
-0.3,3007160,NC
-0.305,3007161,NC
-0.315,3007162,NC
-0.295,3007163,NC
-0.295,3007164,NC
-0.285,3007165,NC
-0.295,3007166,NC
-0.315,3007167,NC
-0.315,3007168,NC
-0.295,3007169,NC
-0.285,3007170,NC
-0.29,3007171,NC
-0.295,3007172,NC
-0.305,3007173,NC
-0.29,3007174,NC
-0.29,3007175,NC
-0.29,3007176,NC
-0.295,3007177,NC
-0.305,3007178,NC
-0.32,3007179,NC
-0.32,3007180,NC
-0.315,3007181,NC
-0.315,3007182,NC
-0.31,3007183,NC
-0.325,3007184,NC
-0.32,3007185,NC
-0.325,3007186,NC
-0.33,3007187,NC
-0.31,3007188,NC
-0.315,3007189,NC
-0.335,3007190,NC
-0.345,3007191,NC
-0.335,3007192,NC
-0.33,3007193,NC
-0.325,3007194,NC
-0.32,3007195,NC
-0.315,3007196,NC
-0.325,3007197,NC
-0.32,3007198,NC
-0.31,3007199,NC
-0.305,3007200,NC
-0.3,3007201,NC
-0.325,3007202,NC
-0.345,3007203,NC
-0.325,3007204,NC
-0.32,3007205,NC
-0.32,3007206,NC
-0.31,3007207,NC
-0.315,3007208,NC
-0.32,3007209,NC
-0.325,3007210,NC
-0.315,3007211,NC
-0.305,3007212,NC
-0.305,3007213,NC
-0.305,3007214,NC
-0.31,3007215,NC
-0.305,3007216,NC
-0.29,3007217,NC
-0.29,3007218,NC
-0.29,3007219,NC
-0.3,3007220,NC
-0.315,3007221,NC
-0.315,3007222,NC
-0.29,3007223,NC
-0.295,3007224,NC
-0.295,3007225,NC
-0.31,3007226,NC
-0.325,3007227,NC
-0.32,3007228,NC
-0.31,3007229,NC
-0.3,3007230,NC
-0.31,3007231,NC
-0.325,3007232,NC
-0.34,3007233,NC
-0.335,3007234,NC
-0.315,3007235,NC
-0.31,3007236,NC
-0.31,3007237,NC
-0.315,3007238,NC
-0.315,3007239,NC
-0.315,3007240,NC
-0.31,3007241,NC
-0.3,3007242,NC
-0.29,3007243,NC
-0.295,3007244,NC
-0.3,3007245,NC
-0.285,3007246,NC
-0.28,3007247,NC
-0.265,3007248,NC
-0.27,3007249,NC
-0.265,3007250,NC
-0.27,3007251,NC
-0.255,3007252,NC
-0.24,3007253,NC
-0.21,3007254,NC
-0.215,3007255,NC
-0.22,3007256,NC
-0.23,3007257,NC
-0.22,3007258,NC
-0.22,3007259,NC
-0.225,3007260,NC
-0.235,3007261,NC
-0.26,3007262,NC
-0.27,3007263,NC
-0.265,3007264,NC
-0.255,3007265,NC
-0.25,3007266,NC
-0.27,3007267,NC
-0.28,3007268,NC
-0.31,3007269,NC
-0.305,3007270,NC
-0.285,3007271,NC
-0.29,3007272,NC
-0.29,3007273,NC
-0.28,3007274,NC
-0.285,3007275,NC
-0.3,3007276,NC
-0.28,3007277,NC
-0.285,3007278,NC
-0.29,3007279,NC
-0.295,3007280,NC
-0.295,3007281,NC
-0.285,3007282,NC
-0.285,3007283,NC
-0.27,3007284,NC
-0.28,3007285,NC
-0.29,3007286,NC
-0.295,3007287,NC
-0.28,3007288,NC
-0.265,3007289,NC
-0.25,3007290,NC
-0.245,3007291,NC
-0.26,3007292,NC
-0.27,3007293,NC
-0.275,3007294,NC
-0.265,3007295,NC
-0.26,3007296,NC
-0.265,3007297,NC
-0.255,3007298,NC
-0.25,3007299,NC
-0.235,3007300,NC
-0.205,3007301,NC
-0.175,3007302,NC
-0.105,3007303,NC
0.055,3007304,NC
0.435,3007305,NC
0.825,3007306,NC
0.735,3007307,NC
0.345,3007308,NC
0.06,3007309,NC
-0.01,3007310,NC
0.0,3007311,NC
0.015,3007312,NC
0.015,3007313,NC
0.03,3007314,NC
0.06,3007315,NC
0.105,3007316,NC
0.15,3007317,NC
0.21,3007318,NC
0.285,3007319,NC
0.34,3007320,NC
0.395,3007321,NC
0.48,3007322,NC
0.585,3007323,NC
0.7,3007324,NC
0.81,3007325,NC
0.91,3007326,NC
0.965,3007327,f
0.94,3007328,NC
0.835,3007329,NC
0.705,3007330,NC
0.555,3007331,NC
0.415,3007332,NC
0.245,3007333,NC
0.095,3007334,NC
-0.04,3007335,NC
-0.195,3007336,NC
-0.315,3007337,NC
-0.38,3007338,NC
-0.395,3007339,NC
