channel_0,sample #,type
0.38,26846606,N
0.46,26846607,NC
0.48,26846608,NC
0.45,26846609,NC
0.33,26846610,NC
0.11,26846611,NC
-0.13,26846612,NC
-0.36,26846613,NC
-0.565,26846614,NC
-0.67,26846615,NC
-0.725,26846616,NC
-0.73,26846617,NC
-0.705,26846618,NC
-0.655,26846619,NC
-0.605,26846620,NC
-0.57,26846621,NC
-0.545,26846622,NC
-0.535,26846623,NC
-0.54,26846624,NC
-0.535,26846625,NC
-0.53,26846626,NC
-0.53,26846627,NC
-0.535,26846628,NC
-0.51,26846629,NC
-0.51,26846630,NC
-0.515,26846631,NC
-0.51,26846632,NC
-0.51,26846633,NC
-0.525,26846634,NC
-0.51,26846635,NC
-0.52,26846636,NC
-0.52,26846637,NC
-0.53,26846638,NC
-0.525,26846639,NC
-0.53,26846640,NC
-0.525,26846641,NC
-0.515,26846642,NC
-0.52,26846643,NC
-0.51,26846644,NC
-0.5,26846645,NC
-0.505,26846646,NC
-0.5,26846647,NC
-0.505,26846648,NC
-0.535,26846649,NC
-0.53,26846650,NC
-0.55,26846651,NC
-0.545,26846652,NC
-0.54,26846653,NC
-0.535,26846654,NC
-0.525,26846655,NC
-0.525,26846656,NC
-0.515,26846657,NC
-0.51,26846658,NC
-0.51,26846659,NC
-0.52,26846660,NC
-0.525,26846661,NC
-0.545,26846662,NC
-0.54,26846663,NC
-0.545,26846664,NC
-0.555,26846665,NC
-0.535,26846666,NC
-0.54,26846667,NC
-0.53,26846668,NC
-0.53,26846669,NC
-0.535,26846670,NC
-0.535,26846671,NC
-0.52,26846672,NC
-0.53,26846673,NC
-0.54,26846674,NC
-0.54,26846675,NC
-0.55,26846676,NC
-0.55,26846677,NC
-0.535,26846678,NC
-0.525,26846679,NC
-0.515,26846680,NC
-0.515,26846681,NC
-0.51,26846682,NC
-0.515,26846683,NC
-0.51,26846684,NC
-0.505,26846685,NC
-0.5,26846686,NC
-0.505,26846687,NC
-0.5,26846688,NC
-0.48,26846689,NC
-0.465,26846690,NC
-0.45,26846691,NC
-0.44,26846692,NC
-0.425,26846693,NC
-0.42,26846694,NC
-0.415,26846695,NC
-0.41,26846696,NC
-0.4,26846697,NC
-0.4,26846698,NC
-0.4,26846699,NC
-0.4,26846700,NC
-0.39,26846701,NC
-0.39,26846702,NC
-0.375,26846703,NC
-0.375,26846704,NC
-0.365,26846705,NC
-0.36,26846706,NC
-0.355,26846707,NC
-0.355,26846708,NC
-0.365,26846709,NC
-0.375,26846710,NC
-0.37,26846711,NC
-0.38,26846712,NC
-0.385,26846713,NC
-0.385,26846714,NC
-0.39,26846715,NC
-0.385,26846716,NC
-0.39,26846717,NC
-0.39,26846718,NC
-0.4,26846719,NC
-0.405,26846720,NC
-0.415,26846721,NC
-0.425,26846722,NC
-0.425,26846723,NC
-0.44,26846724,NC
-0.455,26846725,NC
-0.46,26846726,NC
-0.465,26846727,NC
-0.44,26846728,NC
-0.435,26846729,NC
-0.44,26846730,NC
-0.44,26846731,NC
-0.455,26846732,NC
-0.475,26846733,NC
-0.485,26846734,NC
-0.485,26846735,NC
-0.465,26846736,NC
-0.465,26846737,NC
-0.455,26846738,NC
-0.45,26846739,NC
-0.455,26846740,NC
-0.44,26846741,NC
-0.445,26846742,NC
-0.46,26846743,NC
-0.475,26846744,NC
-0.48,26846745,NC
-0.495,26846746,NC
-0.5,26846747,NC
-0.505,26846748,NC
-0.5,26846749,NC
-0.485,26846750,NC
-0.475,26846751,NC
-0.48,26846752,NC
-0.47,26846753,NC
-0.48,26846754,NC
-0.485,26846755,NC
-0.475,26846756,NC
-0.485,26846757,NC
-0.495,26846758,NC
-0.5,26846759,NC
-0.495,26846760,NC
-0.5,26846761,NC
-0.485,26846762,NC
-0.485,26846763,NC
-0.47,26846764,NC
-0.465,26846765,NC
-0.465,26846766,NC
-0.45,26846767,NC
-0.465,26846768,NC
-0.465,26846769,NC
-0.48,26846770,NC
-0.465,26846771,NC
-0.47,26846772,NC
-0.465,26846773,NC
-0.45,26846774,NC
-0.455,26846775,NC
-0.43,26846776,NC
-0.435,26846777,NC
-0.44,26846778,NC
-0.445,26846779,NC
-0.465,26846780,NC
-0.48,26846781,NC
-0.49,26846782,NC
-0.5,26846783,NC
-0.49,26846784,NC
-0.485,26846785,NC
-0.475,26846786,NC
-0.46,26846787,NC
-0.445,26846788,NC
-0.425,26846789,NC
-0.43,26846790,NC
-0.43,26846791,NC
-0.435,26846792,NC
-0.445,26846793,NC
-0.46,26846794,NC
-0.46,26846795,NC
-0.46,26846796,NC
-0.47,26846797,NC
-0.455,26846798,NC
-0.445,26846799,NC
-0.445,26846800,NC
-0.43,26846801,NC
-0.44,26846802,NC
-0.445,26846803,NC
-0.455,26846804,NC
-0.48,26846805,NC
-0.5,26846806,NC
-0.51,26846807,NC
-0.505,26846808,NC
-0.495,26846809,NC
-0.485,26846810,NC
-0.475,26846811,NC
-0.455,26846812,NC
-0.44,26846813,NC
-0.44,26846814,NC
-0.425,26846815,NC
-0.44,26846816,NC
-0.44,26846817,NC
-0.45,26846818,NC
-0.445,26846819,NC
-0.435,26846820,NC
-0.425,26846821,NC
-0.395,26846822,NC
-0.375,26846823,NC
-0.33,26846824,NC
-0.28,26846825,NC
-0.235,26846826,NC
-0.175,26846827,NC
-0.125,26846828,NC
-0.075,26846829,NC
-0.01,26846830,NC
0.05,26846831,NC
0.135,26846832,NC
0.2,26846833,NC
0.255,26846834,NC
0.295,26846835,NC
0.325,26846836,NC
0.35,26846837,NC
0.385,26846838,A
0.435,26846839,NC
0.47,26846840,NC
0.46,26846841,NC
0.395,26846842,NC
0.27,26846843,NC
0.085,26846844,NC
-0.105,26846845,NC
-0.305,26846846,NC
-0.475,26846847,NC
-0.575,26846848,NC
-0.63,26846849,NC
-0.655,26846850,NC
-0.645,26846851,NC
-0.63,26846852,NC
-0.61,26846853,NC
-0.595,26846854,NC
-0.58,26846855,NC
-0.55,26846856,NC
-0.525,26846857,NC
-0.5,26846858,NC
-0.48,26846859,NC
-0.46,26846860,NC
-0.455,26846861,NC
-0.47,26846862,NC
-0.485,26846863,NC
-0.49,26846864,NC
-0.505,26846865,NC
-0.51,26846866,NC
-0.52,26846867,NC
