channel_0,sample #,type
0.015,3092965,B
-0.09,3092966,NC
-0.075,3092967,NC
-0.05,3092968,NC
-0.07,3092969,NC
-0.11,3092970,NC
-0.15,3092971,NC
-0.145,3092972,NC
-0.135,3092973,NC
-0.135,3092974,NC
-0.155,3092975,NC
-0.18,3092976,NC
-0.195,3092977,NC
-0.23,3092978,NC
-0.235,3092979,NC
-0.22,3092980,NC
-0.23,3092981,NC
-0.25,3092982,NC
-0.265,3092983,NC
-0.3,3092984,NC
-0.345,3092985,NC
-0.375,3092986,NC
-0.41,3092987,NC
-0.43,3092988,NC
-0.465,3092989,NC
-0.51,3092990,NC
-0.565,3092991,NC
-0.63,3092992,NC
-0.68,3092993,NC
-0.71,3092994,NC
-0.75,3092995,NC
-0.785,3092996,NC
-0.815,3092997,NC
-0.835,3092998,NC
-0.85,3092999,NC
-0.84,3093000,NC
-0.845,3093001,NC
-0.85,3093002,NC
-0.845,3093003,NC
-0.82,3093004,NC
-0.825,3093005,NC
-0.815,3093006,NC
-0.82,3093007,NC
-0.825,3093008,NC
-0.825,3093009,NC
-0.8,3093010,NC
-0.765,3093011,NC
-0.725,3093012,NC
-0.7,3093013,NC
-0.645,3093014,NC
-0.585,3093015,NC
-0.52,3093016,NC
-0.485,3093017,NC
-0.455,3093018,NC
-0.425,3093019,NC
-0.395,3093020,NC
-0.385,3093021,NC
-0.36,3093022,NC
-0.35,3093023,NC
-0.335,3093024,NC
-0.34,3093025,NC
-0.345,3093026,NC
-0.33,3093027,NC
-0.31,3093028,NC
-0.3,3093029,NC
-0.28,3093030,NC
-0.27,3093031,NC
-0.265,3093032,NC
-0.28,3093033,NC
-0.28,3093034,NC
-0.265,3093035,NC
-0.265,3093036,NC
-0.27,3093037,NC
-0.28,3093038,NC
-0.28,3093039,NC
-0.27,3093040,NC
-0.255,3093041,NC
-0.235,3093042,NC
-0.235,3093043,NC
-0.23,3093044,NC
-0.225,3093045,NC
-0.2,3093046,NC
-0.195,3093047,NC
-0.185,3093048,NC
-0.2,3093049,NC
-0.205,3093050,NC
-0.2,3093051,NC
-0.195,3093052,NC
-0.185,3093053,NC
-0.16,3093054,NC
-0.155,3093055,NC
-0.155,3093056,NC
-0.15,3093057,NC
-0.12,3093058,NC
-0.115,3093059,NC
-0.12,3093060,NC
-0.13,3093061,NC
-0.145,3093062,NC
-0.15,3093063,NC
-0.115,3093064,NC
-0.1,3093065,NC
-0.08,3093066,NC
-0.065,3093067,NC
-0.055,3093068,NC
-0.045,3093069,NC
-0.04,3093070,NC
-0.02,3093071,NC
-0.015,3093072,NC
-0.02,3093073,NC
-0.045,3093074,NC
-0.055,3093075,NC
-0.07,3093076,NC
-0.06,3093077,NC
-0.06,3093078,NC
-0.055,3093079,NC
-0.025,3093080,NC
-0.02,3093081,NC
-0.035,3093082,NC
-0.04,3093083,NC
-0.045,3093084,NC
-0.05,3093085,NC
-0.065,3093086,NC
-0.06,3093087,NC
-0.03,3093088,NC
-0.02,3093089,NC
-0.01,3093090,NC
-0.025,3093091,NC
-0.035,3093092,NC
-0.04,3093093,NC
-0.04,3093094,NC
-0.025,3093095,NC
-0.005,3093096,NC
-0.02,3093097,NC
-0.035,3093098,NC
-0.04,3093099,NC
-0.04,3093100,NC
-0.015,3093101,NC
0.0,3093102,NC
0.015,3093103,NC
0.015,3093104,NC
0.01,3093105,NC
0.01,3093106,NC
0.01,3093107,NC
0.01,3093108,NC
-0.005,3093109,NC
-0.02,3093110,NC
-0.03,3093111,NC
-0.035,3093112,NC
-0.03,3093113,NC
-0.03,3093114,NC
-0.04,3093115,NC
-0.07,3093116,NC
-0.09,3093117,NC
-0.075,3093118,NC
-0.065,3093119,NC
-0.055,3093120,NC
-0.075,3093121,NC
-0.095,3093122,NC
-0.13,3093123,NC
-0.125,3093124,NC
-0.11,3093125,NC
-0.1,3093126,NC
-0.115,3093127,NC
-0.125,3093128,NC
-0.165,3093129,NC
-0.16,3093130,NC
-0.16,3093131,NC
-0.16,3093132,NC
-0.185,3093133,NC
-0.195,3093134,NC
-0.215,3093135,NC
-0.2,3093136,NC
-0.205,3093137,NC
-0.215,3093138,NC
-0.22,3093139,NC
-0.23,3093140,NC
-0.22,3093141,NC
-0.205,3093142,NC
-0.205,3093143,NC
-0.23,3093144,NC
-0.24,3093145,NC
-0.245,3093146,NC
-0.265,3093147,NC
-0.25,3093148,NC
-0.23,3093149,NC
-0.225,3093150,NC
-0.22,3093151,NC
-0.235,3093152,NC
-0.25,3093153,NC
-0.25,3093154,NC
-0.24,3093155,NC
-0.245,3093156,NC
-0.25,3093157,NC
-0.25,3093158,NC
-0.27,3093159,NC
-0.26,3093160,NC
-0.26,3093161,NC
-0.265,3093162,NC
-0.265,3093163,NC
-0.27,3093164,NC
-0.28,3093165,NC
-0.265,3093166,NC
-0.27,3093167,NC
-0.275,3093168,NC
-0.295,3093169,NC
-0.295,3093170,NC
-0.295,3093171,NC
-0.285,3093172,NC
-0.27,3093173,NC
-0.265,3093174,NC
-0.27,3093175,NC
-0.285,3093176,NC
-0.295,3093177,NC
-0.3,3093178,NC
-0.275,3093179,NC
-0.265,3093180,NC
-0.285,3093181,NC
-0.305,3093182,NC
-0.31,3093183,NC
-0.295,3093184,NC
-0.28,3093185,NC
-0.28,3093186,NC
-0.28,3093187,NC
-0.28,3093188,NC
-0.285,3093189,NC
-0.285,3093190,NC
-0.285,3093191,NC
-0.29,3093192,NC
-0.29,3093193,NC
-0.29,3093194,NC
-0.295,3093195,NC
-0.29,3093196,NC
-0.29,3093197,NC
-0.28,3093198,NC
-0.28,3093199,NC
-0.285,3093200,NC
-0.295,3093201,NC
-0.31,3093202,NC
-0.31,3093203,NC
-0.3,3093204,NC
-0.3,3093205,NC
-0.31,3093206,NC
-0.325,3093207,NC
-0.31,3093208,NC
-0.31,3093209,NC
-0.28,3093210,NC
-0.28,3093211,NC
-0.28,3093212,NC
-0.285,3093213,NC
-0.295,3093214,NC
-0.295,3093215,NC
-0.285,3093216,NC
-0.29,3093217,NC
-0.285,3093218,NC
-0.305,3093219,NC
-0.3,3093220,NC
-0.305,3093221,NC
-0.32,3093222,NC
-0.34,3093223,NC
-0.33,3093224,NC
-0.325,3093225,NC
-0.315,3093226,NC
-0.315,3093227,NC
-0.295,3093228,NC
-0.295,3093229,NC
-0.295,3093230,NC
-0.305,3093231,NC
-0.3,3093232,NC
-0.285,3093233,NC
-0.3,3093234,NC
-0.315,3093235,NC
-0.315,3093236,NC
-0.315,3093237,NC
-0.29,3093238,NC
-0.28,3093239,NC
-0.285,3093240,NC
-0.29,3093241,NC
-0.305,3093242,NC
-0.3,3093243,NC
-0.295,3093244,NC
-0.27,3093245,NC
-0.27,3093246,NC
-0.275,3093247,NC
-0.27,3093248,NC
-0.27,3093249,NC
-0.265,3093250,NC
-0.275,3093251,NC
-0.265,3093252,NC
-0.265,3093253,NC
-0.255,3093254,NC
-0.24,3093255,NC
-0.22,3093256,NC
-0.16,3093257,NC
-0.065,3093258,NC
0.185,3093259,NC
0.65,3093260,NC
0.935,3093261,NC
0.71,3093262,NC
0.26,3093263,B
0.005,3093264,NC
-0.03,3093265,NC
0.01,3093266,NC
0.0,3093267,NC
-0.03,3093268,NC
-0.065,3093269,NC
-0.075,3093270,NC
-0.08,3093271,NC
-0.095,3093272,NC
-0.095,3093273,NC
-0.1,3093274,NC
-0.105,3093275,NC
-0.13,3093276,NC
-0.16,3093277,NC
-0.185,3093278,NC
-0.21,3093279,NC
-0.24,3093280,NC
-0.255,3093281,NC
-0.275,3093282,NC
-0.32,3093283,NC
-0.36,3093284,NC
-0.38,3093285,NC
-0.405,3093286,NC
-0.44,3093287,NC
-0.53,3093288,NC
-0.625,3093289,NC
-0.69,3093290,NC
-0.73,3093291,NC
-0.73,3093292,NC
-0.745,3093293,NC
-0.795,3093294,NC
-0.82,3093295,NC
-0.84,3093296,NC
-0.855,3093297,NC
-0.865,3093298,NC
-0.84,3093299,NC
-0.825,3093300,NC
-0.85,3093301,NC
-0.87,3093302,NC
-0.86,3093303,NC
-0.835,3093304,NC
-0.8,3093305,NC
-0.775,3093306,NC
-0.75,3093307,NC
-0.7,3093308,NC
-0.65,3093309,NC
-0.585,3093310,NC
-0.53,3093311,NC
-0.505,3093312,NC
-0.465,3093313,NC
-0.435,3093314,NC
-0.405,3093315,NC
-0.365,3093316,NC
-0.34,3093317,NC
-0.315,3093318,NC
-0.3,3093319,NC
-0.305,3093320,NC
-0.3,3093321,NC
-0.285,3093322,NC
-0.27,3093323,NC
-0.255,3093324,NC
-0.26,3093325,NC
-0.255,3093326,NC
-0.265,3093327,NC
-0.275,3093328,NC
-0.265,3093329,NC
-0.255,3093330,NC
-0.26,3093331,NC
-0.26,3093332,NC
-0.23,3093333,NC
-0.21,3093334,NC
-0.185,3093335,NC
-0.195,3093336,NC
-0.195,3093337,NC
-0.195,3093338,NC
-0.19,3093339,NC
-0.175,3093340,NC
-0.16,3093341,NC
-0.155,3093342,NC
-0.16,3093343,NC
-0.17,3093344,NC
-0.165,3093345,NC
-0.145,3093346,NC
-0.13,3093347,NC
-0.13,3093348,NC
-0.125,3093349,NC
-0.13,3093350,NC
-0.14,3093351,NC
-0.135,3093352,NC
-0.12,3093353,NC
-0.115,3093354,NC
-0.13,3093355,NC
-0.13,3093356,NC
-0.14,3093357,NC
-0.13,3093358,NC
-0.115,3093359,NC
-0.105,3093360,NC
-0.12,3093361,NC
-0.125,3093362,NC
-0.115,3093363,NC
-0.105,3093364,NC
-0.105,3093365,NC
-0.095,3093366,NC
-0.1,3093367,NC
-0.095,3093368,NC
-0.095,3093369,NC
-0.09,3093370,NC
-0.08,3093371,NC
-0.085,3093372,NC
-0.09,3093373,NC
-0.105,3093374,NC
-0.105,3093375,NC
-0.09,3093376,NC
-0.085,3093377,NC
-0.085,3093378,NC
-0.09,3093379,NC
-0.085,3093380,NC
-0.095,3093381,NC
-0.07,3093382,NC
-0.06,3093383,NC
-0.045,3093384,NC
-0.035,3093385,NC
-0.04,3093386,NC
-0.04,3093387,NC
-0.03,3093388,NC
-0.005,3093389,NC
-0.015,3093390,NC
-0.015,3093391,NC
-0.015,3093392,NC
-0.01,3093393,NC
0.0,3093394,NC
0.015,3093395,NC
0.005,3093396,NC
0.02,3093397,NC
0.01,3093398,NC
0.01,3093399,NC
0.02,3093400,NC
0.02,3093401,NC
0.03,3093402,NC
0.005,3093403,NC
-0.01,3093404,NC
-0.03,3093405,NC
-0.04,3093406,NC
-0.045,3093407,NC
-0.055,3093408,NC
-0.08,3093409,NC
-0.095,3093410,NC
-0.11,3093411,NC
-0.11,3093412,NC
-0.125,3093413,NC
-0.135,3093414,NC
-0.145,3093415,NC
-0.15,3093416,NC
-0.16,3093417,NC
-0.16,3093418,NC
-0.17,3093419,NC
-0.165,3093420,NC
-0.175,3093421,NC
-0.19,3093422,NC
-0.2,3093423,NC
-0.19,3093424,NC
-0.185,3093425,NC
-0.185,3093426,NC
-0.19,3093427,NC
-0.2,3093428,NC
-0.21,3093429,NC
-0.205,3093430,NC
-0.2,3093431,NC
-0.2,3093432,NC
-0.2,3093433,NC
-0.225,3093434,NC
-0.23,3093435,NC
-0.22,3093436,NC
-0.215,3093437,NC
-0.215,3093438,NC
-0.225,3093439,NC
-0.235,3093440,NC
-0.24,3093441,NC
-0.24,3093442,NC
-0.23,3093443,NC
-0.22,3093444,NC
-0.225,3093445,NC
-0.245,3093446,NC
-0.235,3093447,NC
-0.23,3093448,NC
-0.245,3093449,NC
-0.24,3093450,NC
-0.24,3093451,NC
-0.24,3093452,NC
-0.26,3093453,NC
-0.245,3093454,NC
-0.25,3093455,NC
-0.26,3093456,NC
-0.25,3093457,NC
-0.255,3093458,NC
-0.26,3093459,NC
-0.25,3093460,NC
-0.245,3093461,NC
-0.255,3093462,NC
-0.25,3093463,NC
-0.26,3093464,NC
-0.26,3093465,NC
-0.26,3093466,NC
-0.255,3093467,NC
-0.26,3093468,NC
-0.265,3093469,NC
-0.275,3093470,NC
-0.275,3093471,NC
-0.275,3093472,NC
-0.26,3093473,NC
-0.265,3093474,NC
-0.28,3093475,NC
-0.275,3093476,NC
-0.275,3093477,NC
-0.28,3093478,NC
-0.275,3093479,NC
-0.28,3093480,NC
-0.295,3093481,NC
-0.29,3093482,NC
-0.295,3093483,NC
-0.295,3093484,NC
-0.285,3093485,NC
-0.29,3093486,NC
-0.3,3093487,NC
-0.305,3093488,NC
-0.31,3093489,NC
-0.315,3093490,NC
-0.29,3093491,NC
-0.29,3093492,NC
-0.295,3093493,NC
-0.295,3093494,NC
-0.31,3093495,NC
-0.31,3093496,NC
-0.3,3093497,NC
-0.3,3093498,NC
-0.3,3093499,NC
-0.305,3093500,NC
-0.31,3093501,NC
-0.31,3093502,NC
-0.295,3093503,NC
-0.29,3093504,NC
-0.3,3093505,NC
-0.305,3093506,NC
-0.32,3093507,NC
-0.3,3093508,NC
-0.3,3093509,NC
-0.305,3093510,NC
-0.305,3093511,NC
-0.31,3093512,NC
-0.315,3093513,NC
-0.295,3093514,NC
-0.3,3093515,NC
-0.295,3093516,NC
-0.31,3093517,NC
-0.31,3093518,NC
-0.295,3093519,NC
-0.3,3093520,NC
-0.295,3093521,NC
-0.295,3093522,NC
-0.315,3093523,NC
-0.305,3093524,NC
-0.31,3093525,NC
-0.305,3093526,NC
-0.285,3093527,NC
-0.29,3093528,NC
-0.295,3093529,NC
-0.29,3093530,NC
-0.28,3093531,NC
-0.27,3093532,NC
-0.245,3093533,NC
-0.21,3093534,NC
-0.15,3093535,NC
-0.005,3093536,NC
0.345,3093537,NC
0.84,3093538,NC
0.905,3093539,NC
0.515,3093540,NC
0.105,3093541,B
