channel_0,sample #,type
0.195,6569093,L
0.115,6569094,NC
0.015,6569095,NC
-0.075,6569096,NC
-0.15,6569097,NC
-0.205,6569098,NC
-0.305,6569099,NC
-0.395,6569100,NC
-0.465,6569101,NC
-0.53,6569102,NC
-0.595,6569103,NC
-0.635,6569104,NC
-0.69,6569105,NC
-0.715,6569106,NC
-0.725,6569107,NC
-0.725,6569108,NC
-0.69,6569109,NC
-0.655,6569110,NC
-0.625,6569111,NC
-0.615,6569112,NC
-0.605,6569113,NC
-0.605,6569114,NC
-0.58,6569115,NC
-0.575,6569116,NC
-0.575,6569117,NC
-0.575,6569118,NC
-0.605,6569119,NC
-0.59,6569120,NC
-0.57,6569121,NC
-0.545,6569122,NC
-0.55,6569123,NC
-0.55,6569124,NC
-0.575,6569125,NC
-0.58,6569126,NC
-0.575,6569127,NC
-0.55,6569128,NC
-0.535,6569129,NC
-0.56,6569130,NC
-0.575,6569131,NC
-0.56,6569132,NC
-0.54,6569133,NC
-0.54,6569134,NC
-0.52,6569135,NC
-0.53,6569136,NC
-0.54,6569137,NC
-0.535,6569138,NC
-0.505,6569139,NC
-0.49,6569140,NC
-0.5,6569141,NC
-0.5,6569142,NC
-0.505,6569143,NC
-0.485,6569144,NC
-0.465,6569145,NC
-0.46,6569146,NC
-0.455,6569147,NC
-0.46,6569148,NC
-0.465,6569149,NC
-0.445,6569150,NC
-0.415,6569151,NC
-0.4,6569152,NC
-0.395,6569153,NC
-0.4,6569154,NC
-0.385,6569155,NC
-0.385,6569156,NC
-0.36,6569157,NC
-0.33,6569158,NC
-0.33,6569159,NC
-0.33,6569160,NC
-0.335,6569161,NC
-0.315,6569162,NC
-0.27,6569163,NC
-0.25,6569164,NC
-0.245,6569165,NC
-0.24,6569166,NC
-0.25,6569167,NC
-0.23,6569168,NC
-0.21,6569169,NC
-0.17,6569170,NC
-0.155,6569171,NC
-0.16,6569172,NC
-0.155,6569173,NC
-0.145,6569174,NC
-0.125,6569175,NC
-0.105,6569176,NC
-0.095,6569177,NC
-0.095,6569178,NC
-0.1,6569179,NC
-0.075,6569180,NC
-0.06,6569181,NC
-0.02,6569182,NC
-0.04,6569183,NC
-0.055,6569184,NC
-0.065,6569185,NC
-0.075,6569186,NC
-0.065,6569187,NC
-0.06,6569188,NC
-0.09,6569189,NC
-0.12,6569190,NC
-0.155,6569191,NC
-0.175,6569192,NC
-0.195,6569193,NC
-0.215,6569194,NC
-0.235,6569195,NC
-0.28,6569196,NC
-0.3,6569197,NC
-0.32,6569198,NC
-0.325,6569199,NC
-0.325,6569200,NC
-0.345,6569201,NC
-0.38,6569202,NC
-0.405,6569203,NC
-0.415,6569204,NC
-0.42,6569205,NC
-0.41,6569206,NC
-0.41,6569207,NC
-0.43,6569208,NC
-0.45,6569209,NC
-0.455,6569210,NC
-0.44,6569211,NC
-0.43,6569212,NC
-0.445,6569213,NC
-0.45,6569214,NC
-0.47,6569215,NC
-0.465,6569216,NC
-0.455,6569217,NC
-0.425,6569218,NC
-0.435,6569219,NC
-0.44,6569220,NC
-0.45,6569221,NC
-0.45,6569222,NC
-0.445,6569223,NC
-0.435,6569224,NC
-0.445,6569225,NC
-0.445,6569226,NC
-0.455,6569227,NC
-0.46,6569228,NC
-0.445,6569229,NC
-0.42,6569230,NC
-0.42,6569231,NC
-0.43,6569232,NC
-0.435,6569233,NC
-0.435,6569234,NC
-0.43,6569235,NC
-0.42,6569236,NC
-0.41,6569237,NC
-0.42,6569238,NC
-0.43,6569239,NC
-0.435,6569240,NC
-0.425,6569241,NC
-0.395,6569242,NC
-0.415,6569243,NC
-0.42,6569244,NC
-0.43,6569245,NC
-0.44,6569246,NC
-0.415,6569247,NC
-0.395,6569248,NC
-0.4,6569249,NC
-0.405,6569250,NC
-0.42,6569251,NC
-0.42,6569252,NC
-0.405,6569253,NC
-0.385,6569254,NC
-0.41,6569255,NC
-0.405,6569256,NC
-0.43,6569257,NC
-0.42,6569258,NC
-0.415,6569259,NC
-0.415,6569260,NC
-0.41,6569261,NC
-0.415,6569262,NC
-0.425,6569263,NC
-0.42,6569264,NC
-0.41,6569265,NC
-0.41,6569266,NC
-0.395,6569267,NC
-0.405,6569268,NC
-0.425,6569269,NC
-0.415,6569270,NC
-0.405,6569271,NC
-0.4,6569272,NC
-0.385,6569273,NC
-0.405,6569274,NC
-0.41,6569275,NC
-0.405,6569276,NC
-0.385,6569277,NC
-0.365,6569278,NC
-0.35,6569279,NC
-0.37,6569280,NC
-0.385,6569281,NC
-0.385,6569282,NC
-0.375,6569283,NC
-0.355,6569284,NC
-0.34,6569285,NC
-0.36,6569286,NC
-0.35,6569287,NC
-0.33,6569288,NC
-0.31,6569289,NC
-0.31,6569290,NC
-0.3,6569291,NC
-0.325,6569292,NC
-0.35,6569293,NC
-0.33,6569294,NC
-0.33,6569295,NC
-0.325,6569296,NC
-0.33,6569297,NC
-0.36,6569298,NC
-0.365,6569299,NC
-0.375,6569300,NC
-0.355,6569301,NC
-0.34,6569302,NC
-0.345,6569303,NC
-0.37,6569304,NC
-0.385,6569305,NC
-0.38,6569306,NC
-0.375,6569307,NC
-0.38,6569308,NC
-0.37,6569309,NC
-0.38,6569310,NC
-0.405,6569311,NC
-0.41,6569312,NC
-0.395,6569313,NC
-0.395,6569314,NC
-0.39,6569315,NC
-0.415,6569316,NC
-0.405,6569317,NC
-0.395,6569318,NC
-0.4,6569319,NC
-0.38,6569320,NC
-0.385,6569321,NC
-0.395,6569322,NC
-0.405,6569323,NC
-0.405,6569324,NC
-0.39,6569325,NC
-0.37,6569326,NC
-0.38,6569327,NC
-0.395,6569328,NC
-0.425,6569329,NC
-0.41,6569330,NC
-0.39,6569331,NC
-0.38,6569332,NC
-0.385,6569333,NC
-0.395,6569334,NC
-0.405,6569335,NC
-0.4,6569336,NC
-0.405,6569337,NC
-0.385,6569338,NC
-0.365,6569339,NC
-0.39,6569340,NC
-0.4,6569341,NC
-0.38,6569342,NC
-0.365,6569343,NC
-0.355,6569344,NC
-0.355,6569345,NC
-0.36,6569346,NC
-0.35,6569347,NC
-0.31,6569348,NC
-0.27,6569349,NC
-0.22,6569350,NC
-0.17,6569351,NC
-0.12,6569352,NC
-0.07,6569353,NC
0.0,6569354,NC
0.045,6569355,NC
0.065,6569356,NC
0.045,6569357,NC
-0.025,6569358,NC
-0.12,6569359,NC
-0.2,6569360,NC
-0.28,6569361,NC
-0.32,6569362,NC
-0.31,6569363,NC
-0.24,6569364,NC
-0.16,6569365,NC
-0.04,6569366,NC
0.09,6569367,NC
0.195,6569368,NC
0.245,6569369,NC
0.24,6569370,NC
0.17,6569371,L
0.08,6569372,NC
0.02,6569373,NC
-0.05,6569374,NC
-0.095,6569375,NC
-0.165,6569376,NC
-0.23,6569377,NC
-0.265,6569378,NC
-0.315,6569379,NC
-0.355,6569380,NC
-0.41,6569381,NC
-0.46,6569382,NC
-0.495,6569383,NC
-0.475,6569384,NC
-0.435,6569385,NC
-0.39,6569386,NC
-0.37,6569387,NC
-0.375,6569388,NC
-0.34,6569389,NC
-0.33,6569390,NC
-0.31,6569391,NC
-0.29,6569392,NC
-0.28,6569393,NC
-0.32,6569394,NC
-0.345,6569395,NC
-0.365,6569396,NC
-0.365,6569397,NC
-0.335,6569398,NC
-0.33,6569399,NC
-0.325,6569400,NC
-0.34,6569401,NC
-0.345,6569402,NC
-0.34,6569403,NC
-0.3,6569404,NC
-0.29,6569405,NC
-0.29,6569406,NC
-0.285,6569407,NC
-0.28,6569408,NC
-0.26,6569409,NC
-0.25,6569410,NC
-0.245,6569411,NC
-0.255,6569412,NC
-0.25,6569413,NC
-0.25,6569414,NC
-0.24,6569415,NC
-0.225,6569416,NC
-0.21,6569417,NC
-0.205,6569418,NC
-0.18,6569419,NC
-0.155,6569420,NC
-0.125,6569421,NC
-0.115,6569422,NC
-0.12,6569423,NC
-0.14,6569424,NC
-0.14,6569425,NC
-0.13,6569426,NC
-0.08,6569427,NC
-0.055,6569428,NC
-0.055,6569429,NC
-0.055,6569430,NC
-0.05,6569431,NC
-0.045,6569432,NC
-0.02,6569433,NC
-0.005,6569434,NC
-0.005,6569435,NC
0.0,6569436,NC
0.0,6569437,NC
0.03,6569438,NC
0.05,6569439,NC
0.085,6569440,NC
0.11,6569441,NC
0.105,6569442,NC
0.11,6569443,NC
0.11,6569444,NC
0.15,6569445,NC
0.175,6569446,NC
0.205,6569447,NC
0.2,6569448,NC
0.205,6569449,NC
0.22,6569450,NC
0.255,6569451,NC
0.28,6569452,NC
0.285,6569453,NC
0.27,6569454,NC
0.275,6569455,NC
0.27,6569456,NC
0.255,6569457,NC
0.235,6569458,NC
0.225,6569459,NC
0.19,6569460,NC
0.145,6569461,NC
0.125,6569462,NC
0.115,6569463,NC
0.09,6569464,NC
0.05,6569465,NC
-0.005,6569466,NC
-0.02,6569467,NC
-0.045,6569468,NC
-0.035,6569469,NC
-0.025,6569470,NC
-0.035,6569471,NC
-0.04,6569472,NC
-0.06,6569473,NC
-0.06,6569474,NC
-0.065,6569475,NC
-0.08,6569476,NC
-0.095,6569477,NC
-0.115,6569478,NC
-0.125,6569479,NC
-0.115,6569480,NC
-0.095,6569481,NC
-0.085,6569482,NC
-0.08,6569483,NC
-0.1,6569484,NC
-0.12,6569485,NC
-0.11,6569486,NC
-0.095,6569487,NC
-0.085,6569488,NC
-0.08,6569489,NC
-0.095,6569490,NC
-0.1,6569491,NC
-0.1,6569492,NC
-0.085,6569493,NC
-0.08,6569494,NC
-0.065,6569495,NC
-0.08,6569496,NC
-0.09,6569497,NC
-0.08,6569498,NC
-0.05,6569499,NC
-0.03,6569500,NC
-0.04,6569501,NC
-0.055,6569502,NC
-0.085,6569503,NC
-0.085,6569504,NC
-0.095,6569505,NC
-0.1,6569506,NC
-0.115,6569507,NC
-0.105,6569508,NC
-0.09,6569509,NC
-0.095,6569510,NC
-0.085,6569511,NC
-0.085,6569512,NC
-0.095,6569513,NC
-0.095,6569514,NC
-0.09,6569515,NC
-0.08,6569516,NC
-0.06,6569517,NC
-0.03,6569518,NC
-0.03,6569519,NC
-0.065,6569520,NC
-0.1,6569521,NC
-0.11,6569522,NC
-0.085,6569523,NC
-0.08,6569524,NC
-0.09,6569525,NC
-0.1,6569526,NC
-0.1,6569527,NC
-0.095,6569528,NC
-0.08,6569529,NC
-0.065,6569530,NC
-0.07,6569531,NC
-0.09,6569532,NC
-0.1,6569533,NC
-0.1,6569534,NC
-0.065,6569535,NC
-0.03,6569536,NC
-0.04,6569537,NC
-0.045,6569538,NC
-0.06,6569539,NC
-0.08,6569540,NC
-0.075,6569541,NC
-0.085,6569542,NC
-0.115,6569543,NC
-0.145,6569544,NC
-0.15,6569545,NC
-0.125,6569546,NC
-0.1,6569547,NC
-0.07,6569548,NC
-0.075,6569549,NC
-0.085,6569550,NC
-0.105,6569551,NC
-0.125,6569552,NC
-0.115,6569553,NC
-0.11,6569554,NC
-0.11,6569555,NC
-0.095,6569556,NC
-0.09,6569557,NC
-0.075,6569558,NC
-0.055,6569559,NC
-0.045,6569560,NC
-0.015,6569561,NC
-0.01,6569562,NC
-0.005,6569563,NC
-0.005,6569564,NC
-0.005,6569565,NC
-0.005,6569566,NC
-0.05,6569567,NC
-0.075,6569568,NC
-0.085,6569569,NC
-0.075,6569570,NC
-0.055,6569571,NC
-0.035,6569572,NC
-0.05,6569573,NC
-0.05,6569574,NC
-0.065,6569575,NC
-0.045,6569576,NC
-0.025,6569577,NC
-0.03,6569578,NC
-0.015,6569579,NC
-0.03,6569580,NC
-0.055,6569581,NC
-0.05,6569582,NC
-0.035,6569583,NC
-0.025,6569584,NC
-0.045,6569585,NC
-0.06,6569586,NC
-0.08,6569587,NC
-0.095,6569588,NC
-0.07,6569589,NC
-0.055,6569590,NC
-0.065,6569591,NC
