channel_0,sample #,type
0.62,19595088,A
0.595,19595089,NC
0.46,19595090,NC
0.21,19595091,NC
-0.15,19595092,NC
-0.615,19595093,NC
-1.03,19595094,NC
-1.2,19595095,NC
-1.195,19595096,NC
-1.105,19595097,NC
-1.045,19595098,NC
-0.945,19595099,NC
-0.825,19595100,NC
-0.74,19595101,NC
-0.725,19595102,NC
-0.715,19595103,NC
-0.71,19595104,NC
-0.685,19595105,NC
-0.645,19595106,NC
-0.63,19595107,NC
-0.635,19595108,NC
-0.635,19595109,NC
-0.63,19595110,NC
-0.605,19595111,NC
-0.61,19595112,NC
-0.61,19595113,NC
-0.63,19595114,NC
-0.64,19595115,NC
-0.625,19595116,NC
-0.625,19595117,NC
-0.61,19595118,NC
-0.605,19595119,NC
-0.64,19595120,NC
-0.65,19595121,NC
-0.635,19595122,NC
-0.605,19595123,NC
-0.59,19595124,NC
-0.61,19595125,NC
-0.615,19595126,NC
-0.625,19595127,NC
-0.61,19595128,NC
-0.595,19595129,NC
-0.585,19595130,NC
-0.575,19595131,NC
-0.585,19595132,NC
-0.58,19595133,NC
-0.56,19595134,NC
-0.545,19595135,NC
-0.525,19595136,NC
-0.52,19595137,NC
-0.52,19595138,NC
-0.525,19595139,NC
-0.53,19595140,NC
-0.505,19595141,NC
-0.48,19595142,NC
-0.475,19595143,NC
-0.49,19595144,NC
-0.475,19595145,NC
-0.455,19595146,NC
-0.45,19595147,NC
-0.44,19595148,NC
-0.425,19595149,NC
-0.44,19595150,NC
-0.405,19595151,NC
-0.415,19595152,NC
-0.4,19595153,NC
-0.365,19595154,NC
-0.36,19595155,NC
-0.36,19595156,NC
-0.365,19595157,NC
-0.365,19595158,NC
-0.355,19595159,NC
-0.33,19595160,NC
-0.33,19595161,NC
-0.33,19595162,NC
-0.335,19595163,NC
-0.34,19595164,NC
-0.33,19595165,NC
-0.32,19595166,NC
-0.335,19595167,NC
-0.33,19595168,NC
-0.345,19595169,NC
-0.34,19595170,NC
