channel_0,sample #,type
0.395,11446804,R
0.53,11446805,NC
0.485,11446806,NC
0.23,11446807,NC
-0.2,11446808,NC
-0.66,11446809,NC
-1.09,11446810,NC
-1.435,11446811,NC
-1.67,11446812,NC
-1.83,11446813,NC
-1.935,11446814,NC
-2.005,11446815,NC
-2.055,11446816,NC
-2.07,11446817,NC
-2.115,11446818,NC
-2.145,11446819,NC
-2.21,11446820,NC
-2.215,11446821,NC
-2.205,11446822,NC
-2.18,11446823,NC
-2.15,11446824,NC
-2.08,11446825,NC
-2.025,11446826,NC
-1.94,11446827,NC
-1.835,11446828,NC
-1.725,11446829,NC
-1.62,11446830,NC
-1.525,11446831,NC
-1.445,11446832,NC
-1.365,11446833,NC
-1.26,11446834,NC
-1.175,11446835,NC
-1.115,11446836,NC
-1.1,11446837,NC
-1.105,11446838,NC
-1.145,11446839,NC
-1.18,11446840,NC
-1.205,11446841,NC
-1.195,11446842,NC
-1.17,11446843,NC
-1.135,11446844,NC
-1.12,11446845,NC
-1.125,11446846,NC
-1.155,11446847,NC
-1.22,11446848,NC
-1.255,11446849,NC
-1.265,11446850,NC
-1.21,11446851,NC
-1.165,11446852,NC
-1.125,11446853,NC
-1.095,11446854,NC
-1.095,11446855,NC
-1.075,11446856,NC
-1.085,11446857,NC
-1.11,11446858,NC
-1.155,11446859,NC
-1.22,11446860,NC
-1.295,11446861,NC
-1.355,11446862,NC
-1.395,11446863,NC
-1.395,11446864,NC
-1.315,11446865,NC
-1.245,11446866,NC
-1.185,11446867,NC
-1.205,11446868,NC
-1.26,11446869,NC
-1.36,11446870,NC
-1.435,11446871,NC
-1.475,11446872,NC
-1.48,11446873,NC
-1.465,11446874,NC
-1.425,11446875,NC
-1.405,11446876,NC
-1.405,11446877,NC
-1.41,11446878,NC
-1.405,11446879,NC
-1.41,11446880,NC
-1.375,11446881,NC
-1.34,11446882,NC
-1.31,11446883,NC
-1.295,11446884,NC
-1.31,11446885,NC
-1.345,11446886,NC
-1.385,11446887,NC
-1.415,11446888,NC
-1.375,11446889,NC
-1.335,11446890,NC
-1.285,11446891,NC
-1.315,11446892,NC
-1.375,11446893,NC
-1.42,11446894,NC
-1.37,11446895,NC
-1.315,11446896,NC
-1.225,11446897,NC
-1.185,11446898,NC
-1.185,11446899,NC
-1.225,11446900,NC
-1.245,11446901,NC
-1.22,11446902,NC
-1.22,11446903,NC
-1.22,11446904,NC
-1.24,11446905,NC
-1.24,11446906,NC
-1.215,11446907,NC
-1.15,11446908,NC
-1.04,11446909,NC
