channel_0,sample #,type
1.635,4196005,N
1.665,4196006,NC
1.555,4196007,NC
1.28,4196008,NC
0.855,4196009,NC
0.345,4196010,NC
-0.22,4196011,NC
-0.65,4196012,NC
-0.765,4196013,NC
-0.63,4196014,NC
-0.51,4196015,NC
-0.47,4196016,NC
-0.475,4196017,NC
-0.48,4196018,NC
-0.47,4196019,NC
-0.465,4196020,NC
-0.425,4196021,NC
-0.4,4196022,NC
-0.415,4196023,NC
-0.45,4196024,NC
-0.47,4196025,NC
-0.47,4196026,NC
-0.42,4196027,NC
-0.42,4196028,NC
-0.41,4196029,NC
-0.41,4196030,NC
-0.405,4196031,NC
-0.435,4196032,NC
-0.46,4196033,NC
-0.48,4196034,NC
-0.48,4196035,NC
-0.46,4196036,NC
-0.435,4196037,NC
-0.43,4196038,NC
-0.44,4196039,NC
-0.435,4196040,NC
-0.425,4196041,NC
-0.43,4196042,NC
-0.45,4196043,NC
-0.45,4196044,NC
-0.435,4196045,NC
-0.395,4196046,NC
-0.38,4196047,NC
-0.4,4196048,NC
-0.42,4196049,NC
-0.395,4196050,NC
-0.385,4196051,NC
-0.385,4196052,NC
-0.43,4196053,NC
-0.46,4196054,NC
-0.445,4196055,NC
-0.38,4196056,NC
-0.355,4196057,NC
-0.345,4196058,NC
-0.35,4196059,NC
-0.34,4196060,NC
-0.355,4196061,NC
-0.345,4196062,NC
-0.305,4196063,NC
-0.29,4196064,NC
-0.295,4196065,NC
-0.32,4196066,NC
-0.325,4196067,NC
-0.325,4196068,NC
-0.295,4196069,NC
-0.265,4196070,NC
-0.215,4196071,NC
-0.2,4196072,NC
-0.23,4196073,NC
-0.245,4196074,NC
-0.245,4196075,NC
-0.2,4196076,NC
-0.16,4196077,NC
-0.18,4196078,NC
-0.165,4196079,NC
-0.16,4196080,NC
-0.11,4196081,NC
-0.08,4196082,NC
-0.05,4196083,NC
-0.035,4196084,NC
-0.01,4196085,NC
0.015,4196086,NC
0.045,4196087,NC
0.03,4196088,NC
-0.02,4196089,NC
-0.055,4196090,NC
-0.025,4196091,NC
0.05,4196092,NC
0.09,4196093,NC
0.125,4196094,NC
0.115,4196095,NC
0.13,4196096,NC
0.12,4196097,NC
0.135,4196098,NC
0.145,4196099,NC
0.18,4196100,NC
0.165,4196101,NC
0.155,4196102,NC
0.13,4196103,NC
0.135,4196104,NC
0.15,4196105,NC
0.15,4196106,NC
0.155,4196107,NC
0.145,4196108,NC
0.11,4196109,NC
0.095,4196110,NC
0.095,4196111,NC
0.095,4196112,NC
0.085,4196113,NC
0.06,4196114,NC
0.035,4196115,NC
0.02,4196116,NC
0.005,4196117,NC
0.0,4196118,NC
-0.01,4196119,NC
-0.02,4196120,NC
-0.045,4196121,NC
-0.025,4196122,NC
-0.015,4196123,NC
-0.025,4196124,NC
-0.08,4196125,NC
-0.16,4196126,NC
-0.2,4196127,NC
-0.19,4196128,NC
-0.16,4196129,NC
-0.145,4196130,NC
-0.145,4196131,NC
-0.175,4196132,NC
-0.205,4196133,NC
-0.215,4196134,NC
-0.2,4196135,NC
-0.18,4196136,NC
-0.175,4196137,NC
-0.2,4196138,NC
-0.215,4196139,NC
-0.19,4196140,NC
-0.165,4196141,NC
-0.16,4196142,NC
-0.2,4196143,NC
-0.22,4196144,NC
-0.2,4196145,NC
-0.18,4196146,NC
-0.16,4196147,NC
-0.175,4196148,NC
-0.165,4196149,NC
-0.165,4196150,NC
-0.17,4196151,NC
-0.18,4196152,NC
-0.15,4196153,NC
-0.115,4196154,NC
-0.095,4196155,NC
-0.11,4196156,NC
-0.12,4196157,NC
-0.105,4196158,NC
-0.095,4196159,NC
-0.07,4196160,NC
-0.04,4196161,NC
-0.04,4196162,NC
-0.045,4196163,NC
-0.025,4196164,NC
0.035,4196165,NC
0.135,4196166,NC
0.225,4196167,NC
0.305,4196168,NC
0.375,4196169,NC
0.44,4196170,NC
0.53,4196171,NC
0.64,4196172,NC
0.73,4196173,NC
0.805,4196174,NC
0.905,4196175,NC
1.0,4196176,NC
1.115,4196177,NC
1.27,4196178,NC
1.445,4196179,NC
1.615,4196180,NC
1.785,4196181,NC
1.895,4196182,NC
1.97,4196183,NC
1.98,4196184,V
1.87,4196185,NC
1.705,4196186,NC
1.525,4196187,NC
1.38,4196188,NC
1.2,4196189,NC
0.92,4196190,NC
0.555,4196191,NC
0.185,4196192,NC
-0.145,4196193,NC
-0.39,4196194,NC
-0.485,4196195,NC
-0.47,4196196,NC
-0.445,4196197,NC
-0.465,4196198,NC
-0.5,4196199,NC
-0.545,4196200,NC
-0.57,4196201,NC
-0.595,4196202,NC
-0.575,4196203,NC
-0.535,4196204,NC
-0.52,4196205,NC
-0.53,4196206,NC
-0.545,4196207,NC
-0.55,4196208,NC
-0.61,4196209,NC
-0.645,4196210,NC
-0.64,4196211,NC
-0.62,4196212,NC
-0.59,4196213,NC
-0.57,4196214,NC
-0.565,4196215,NC
-0.59,4196216,NC
-0.59,4196217,NC
-0.57,4196218,NC
-0.53,4196219,NC
-0.515,4196220,NC
-0.525,4196221,NC
-0.555,4196222,NC
-0.595,4196223,NC
-0.595,4196224,NC
-0.585,4196225,NC
-0.55,4196226,NC
-0.54,4196227,NC
-0.575,4196228,NC
-0.655,4196229,NC
-0.73,4196230,NC
-0.735,4196231,NC
-0.715,4196232,NC
-0.705,4196233,NC
-0.725,4196234,NC
-0.75,4196235,NC
-0.755,4196236,NC
-0.77,4196237,NC
-0.79,4196238,NC
-0.795,4196239,NC
-0.805,4196240,NC
-0.815,4196241,NC
-0.84,4196242,NC
-0.84,4196243,NC
-0.82,4196244,NC
-0.86,4196245,NC
-0.875,4196246,NC
-0.895,4196247,NC
-0.925,4196248,NC
-0.94,4196249,NC
-0.945,4196250,NC
-0.93,4196251,NC
-0.93,4196252,NC
-0.94,4196253,NC
-0.945,4196254,NC
-0.935,4196255,NC
-0.945,4196256,NC
-0.94,4196257,NC
-0.915,4196258,NC
-0.89,4196259,NC
-0.895,4196260,NC
-0.885,4196261,NC
-0.89,4196262,NC
-0.865,4196263,NC
-0.825,4196264,NC
-0.815,4196265,NC
-0.785,4196266,NC
-0.765,4196267,NC
-0.705,4196268,NC
-0.665,4196269,NC
-0.69,4196270,NC
-0.715,4196271,NC
-0.685,4196272,NC
-0.645,4196273,NC
-0.6,4196274,NC
-0.565,4196275,NC
-0.575,4196276,NC
-0.545,4196277,NC
