channel_0,sample #,type
2.4,23514183,f
2.24,23514184,NC
2.02,23514185,NC
1.82,23514186,NC
1.625,23514187,NC
1.37,23514188,NC
1.015,23514189,NC
0.635,23514190,NC
0.37,23514191,NC
0.33,23514192,NC
0.405,23514193,NC
0.505,23514194,NC
0.565,23514195,NC
0.56,23514196,NC
0.54,23514197,NC
0.51,23514198,NC
0.495,23514199,NC
0.485,23514200,NC
0.45,23514201,NC
0.42,23514202,NC
0.37,23514203,NC
0.335,23514204,NC
0.32,23514205,NC
0.31,23514206,NC
0.29,23514207,NC
0.25,23514208,NC
0.22,23514209,NC
0.195,23514210,NC
0.18,23514211,NC
0.185,23514212,NC
0.165,23514213,NC
0.145,23514214,NC
0.115,23514215,NC
0.085,23514216,NC
0.075,23514217,NC
0.08,23514218,NC
0.05,23514219,NC
0.04,23514220,NC
0.015,23514221,NC
0.005,23514222,NC
0.005,23514223,NC
0.01,23514224,NC
-0.005,23514225,NC
-0.02,23514226,NC
-0.045,23514227,NC
-0.06,23514228,NC
-0.065,23514229,NC
-0.05,23514230,NC
-0.055,23514231,NC
-0.065,23514232,NC
-0.085,23514233,NC
-0.09,23514234,NC
-0.095,23514235,NC
-0.095,23514236,NC
-0.095,23514237,NC
-0.115,23514238,NC
-0.125,23514239,NC
-0.14,23514240,NC
-0.145,23514241,NC
-0.135,23514242,NC
-0.155,23514243,NC
-0.155,23514244,NC
-0.17,23514245,NC
-0.19,23514246,NC
-0.19,23514247,NC
-0.175,23514248,NC
-0.17,23514249,NC
-0.185,23514250,NC
-0.23,23514251,NC
-0.245,23514252,NC
-0.245,23514253,NC
-0.235,23514254,NC
-0.25,23514255,NC
-0.28,23514256,NC
-0.305,23514257,NC
-0.35,23514258,NC
-0.355,23514259,NC
-0.37,23514260,NC
-0.38,23514261,NC
-0.41,23514262,NC
-0.45,23514263,NC
-0.48,23514264,NC
-0.49,23514265,NC
-0.49,23514266,NC
-0.505,23514267,NC
-0.545,23514268,NC
-0.575,23514269,NC
-0.61,23514270,NC
-0.625,23514271,NC
-0.625,23514272,NC
-0.64,23514273,NC
-0.675,23514274,NC
-0.705,23514275,NC
-0.725,23514276,NC
-0.725,23514277,NC
-0.72,23514278,NC
-0.725,23514279,NC
-0.71,23514280,NC
-0.725,23514281,NC
-0.71,23514282,NC
-0.7,23514283,NC
-0.655,23514284,NC
-0.655,23514285,NC
-0.635,23514286,NC
-0.625,23514287,NC
-0.595,23514288,NC
-0.57,23514289,NC
-0.53,23514290,NC
-0.49,23514291,NC
-0.47,23514292,NC
-0.445,23514293,NC
-0.405,23514294,NC
-0.37,23514295,NC
-0.325,23514296,NC
-0.305,23514297,NC
-0.305,23514298,NC
-0.285,23514299,NC
-0.25,23514300,NC
-0.23,23514301,NC
-0.195,23514302,NC
-0.17,23514303,NC
-0.15,23514304,NC
-0.145,23514305,NC
-0.135,23514306,NC
-0.12,23514307,NC
-0.08,23514308,NC
-0.075,23514309,NC
-0.085,23514310,NC
-0.085,23514311,NC
-0.08,23514312,NC
-0.07,23514313,NC
-0.035,23514314,NC
-0.025,23514315,NC
-0.045,23514316,NC
-0.055,23514317,NC
-0.055,23514318,NC
-0.04,23514319,NC
-0.015,23514320,NC
-0.02,23514321,NC
-0.02,23514322,NC
-0.035,23514323,NC
-0.03,23514324,NC
-0.02,23514325,NC
0.0,23514326,NC
0.0,23514327,NC
-0.005,23514328,NC
0.0,23514329,NC
-0.005,23514330,NC
0.0,23514331,NC
0.01,23514332,NC
0.015,23514333,NC
0.01,23514334,NC
-0.01,23514335,NC
0.0,23514336,NC
0.005,23514337,NC
0.025,23514338,NC
0.045,23514339,NC
0.05,23514340,NC
0.055,23514341,NC
0.04,23514342,NC
0.065,23514343,NC
0.075,23514344,NC
0.085,23514345,NC
0.07,23514346,NC
0.045,23514347,NC
0.05,23514348,NC
0.05,23514349,NC
0.08,23514350,NC
0.08,23514351,NC
0.06,23514352,NC
0.055,23514353,NC
0.055,23514354,NC
0.075,23514355,NC
0.09,23514356,NC
0.085,23514357,NC
0.07,23514358,NC
0.065,23514359,NC
0.05,23514360,NC
0.05,23514361,NC
0.08,23514362,NC
0.085,23514363,NC
0.065,23514364,NC
0.04,23514365,NC
0.03,23514366,NC
0.04,23514367,NC
0.055,23514368,NC
0.05,23514369,NC
0.065,23514370,NC
0.06,23514371,NC
0.065,23514372,NC
0.05,23514373,NC
0.065,23514374,NC
0.05,23514375,NC
0.035,23514376,NC
0.02,23514377,NC
0.02,23514378,NC
0.035,23514379,NC
0.06,23514380,NC
0.07,23514381,NC
0.045,23514382,NC
0.045,23514383,NC
0.055,23514384,NC
0.08,23514385,NC
0.1,23514386,NC
0.105,23514387,NC
0.08,23514388,NC
0.07,23514389,NC
0.085,23514390,NC
0.09,23514391,NC
0.09,23514392,NC
0.09,23514393,NC
0.08,23514394,NC
0.07,23514395,NC
0.055,23514396,NC
0.07,23514397,NC
0.085,23514398,NC
0.1,23514399,NC
0.08,23514400,NC
0.065,23514401,NC
0.06,23514402,NC
0.065,23514403,NC
0.07,23514404,NC
0.07,23514405,NC
0.06,23514406,NC
0.045,23514407,NC
0.05,23514408,NC
0.055,23514409,NC
0.05,23514410,NC
0.055,23514411,NC
0.035,23514412,NC
0.03,23514413,NC
0.02,23514414,NC
0.03,23514415,NC
0.045,23514416,NC
0.05,23514417,NC
0.03,23514418,NC
0.03,23514419,NC
0.025,23514420,NC
0.02,23514421,NC
0.04,23514422,NC
0.025,23514423,NC
0.03,23514424,NC
0.02,23514425,NC
0.02,23514426,NC
0.045,23514427,NC
0.05,23514428,NC
0.08,23514429,NC
0.055,23514430,NC
0.045,23514431,NC
0.06,23514432,NC
0.075,23514433,NC
0.1,23514434,NC
0.11,23514435,NC
0.105,23514436,NC
0.085,23514437,NC
0.075,23514438,NC
0.1,23514439,NC
0.12,23514440,NC
0.125,23514441,NC
0.11,23514442,NC
0.085,23514443,NC
0.07,23514444,NC
0.075,23514445,NC
0.09,23514446,NC
0.115,23514447,NC
0.11,23514448,NC
0.105,23514449,NC
0.095,23514450,NC
0.105,23514451,NC
0.11,23514452,NC
0.105,23514453,NC
0.115,23514454,NC
0.095,23514455,NC
0.085,23514456,NC
0.105,23514457,NC
0.125,23514458,NC
0.125,23514459,NC
0.155,23514460,NC
0.16,23514461,NC
0.195,23514462,NC
0.275,23514463,NC
0.43,23514464,NC
0.775,23514465,NC
1.3,23514466,NC
1.735,23514467,NC
1.785,23514468,NC
1.515,23514469,f
1.26,23514470,NC
1.14,23514471,NC
1.08,23514472,NC
0.995,23514473,NC
0.905,23514474,NC
0.82,23514475,NC
0.76,23514476,NC
0.685,23514477,NC
0.62,23514478,NC
0.55,23514479,NC
0.495,23514480,NC
0.44,23514481,NC
0.42,23514482,NC
0.44,23514483,NC
0.51,23514484,NC
0.59,23514485,NC
0.62,23514486,NC
0.6,23514487,NC
0.56,23514488,NC
0.51,23514489,NC
0.45,23514490,NC
0.395,23514491,NC
0.375,23514492,NC
0.295,23514493,NC
0.17,23514494,NC
0.0,23514495,NC
-0.135,23514496,NC
-0.15,23514497,NC
-0.09,23514498,NC
0.025,23514499,NC
0.12,23514500,NC
0.17,23514501,NC
0.175,23514502,NC
0.16,23514503,NC
0.15,23514504,NC
0.15,23514505,NC
0.17,23514506,NC
0.16,23514507,NC
0.155,23514508,NC
0.135,23514509,NC
0.125,23514510,NC
0.14,23514511,NC
0.14,23514512,NC
0.135,23514513,NC
0.11,23514514,NC
0.085,23514515,NC
0.075,23514516,NC
0.075,23514517,NC
0.085,23514518,NC
0.065,23514519,NC
0.06,23514520,NC
0.045,23514521,NC
0.05,23514522,NC
0.055,23514523,NC
0.07,23514524,NC
0.06,23514525,NC
0.065,23514526,NC
0.05,23514527,NC
0.035,23514528,NC
0.055,23514529,NC
0.065,23514530,NC
0.07,23514531,NC
0.05,23514532,NC
0.045,23514533,NC
0.03,23514534,NC
0.06,23514535,NC
0.075,23514536,NC
0.065,23514537,NC
0.06,23514538,NC
0.04,23514539,NC
0.04,23514540,NC
0.04,23514541,NC
0.05,23514542,NC
0.06,23514543,NC
0.045,23514544,NC
0.02,23514545,NC
0.02,23514546,NC
0.01,23514547,NC
0.025,23514548,NC
0.025,23514549,NC
0.02,23514550,NC
0.0,23514551,NC
-0.01,23514552,NC
0.0,23514553,NC
0.03,23514554,NC
0.03,23514555,NC
0.015,23514556,NC
0.005,23514557,NC
-0.005,23514558,NC
0.01,23514559,NC
0.02,23514560,NC
0.01,23514561,NC
0.005,23514562,NC
-0.005,23514563,NC
-0.01,23514564,NC
-0.03,23514565,NC
-0.03,23514566,NC
-0.05,23514567,NC
-0.065,23514568,NC
-0.09,23514569,NC
-0.11,23514570,NC
-0.11,23514571,NC
-0.125,23514572,NC
-0.135,23514573,NC
-0.135,23514574,NC
-0.16,23514575,NC
-0.185,23514576,NC
-0.2,23514577,NC
-0.205,23514578,NC
-0.23,23514579,NC
-0.26,23514580,NC
-0.305,23514581,NC
-0.31,23514582,NC
-0.3,23514583,NC
-0.305,23514584,NC
-0.31,23514585,NC
-0.32,23514586,NC
-0.355,23514587,NC
-0.375,23514588,NC
-0.365,23514589,NC
-0.35,23514590,NC
-0.355,23514591,NC
-0.355,23514592,NC
-0.355,23514593,NC
-0.345,23514594,NC
-0.305,23514595,NC
-0.295,23514596,NC
-0.275,23514597,NC
-0.275,23514598,NC
-0.265,23514599,NC
-0.25,23514600,NC
-0.225,23514601,NC
-0.19,23514602,NC
-0.16,23514603,NC
-0.16,23514604,NC
-0.155,23514605,NC
-0.14,23514606,NC
-0.095,23514607,NC
-0.075,23514608,NC
-0.065,23514609,NC
-0.065,23514610,NC
-0.06,23514611,NC
-0.055,23514612,NC
-0.03,23514613,NC
-0.005,23514614,NC
0.005,23514615,NC
0.005,23514616,NC
-0.005,23514617,NC
-0.01,23514618,NC
0.02,23514619,NC
0.035,23514620,NC
0.035,23514621,NC
0.03,23514622,NC
0.035,23514623,NC
0.03,23514624,NC
0.05,23514625,NC
0.05,23514626,NC
0.055,23514627,NC
0.05,23514628,NC
0.04,23514629,NC
0.045,23514630,NC
0.06,23514631,NC
0.075,23514632,NC
0.085,23514633,NC
0.075,23514634,NC
0.065,23514635,NC
0.075,23514636,NC
0.09,23514637,NC
0.095,23514638,NC
0.105,23514639,NC
0.085,23514640,NC
0.075,23514641,NC
0.07,23514642,NC
0.085,23514643,NC
0.105,23514644,NC
0.095,23514645,NC
0.08,23514646,NC
0.065,23514647,NC
0.075,23514648,NC
