channel_0,sample #,type
1.0366335,11696026,R
1.1343267,11696027,NC
1.0040691,11696028,NC
0.59701407,11696029,NC
-0.027137002,11696030,NC
-0.7218443,11696031,NC
-1.4056966,11696032,NC
-1.8887354,11696033,NC
-2.181815,11696034,NC
-2.2903628,11696035,NC
-2.3337822,11696036,NC
-2.3446372,11696037,NC
-2.3554919,11696038,NC
-2.3880563,11696039,NC
-2.4477577,11696040,NC
-2.4803221,11696041,NC
-2.4857495,11696042,NC
-2.4748945,11696043,NC
-2.4423301,11696044,NC
-2.409766,11696045,NC
-2.3446372,11696046,NC
-2.2577984,11696047,NC
-2.1763878,11696048,NC
-2.089549,11696049,NC
-2.0027108,11696050,NC
-1.8941628,11696051,NC
-1.7693325,11696052,NC
-1.6227927,11696053,NC
-1.4328338,11696054,NC
-1.2591568,11696055,NC
-1.1071897,11696056,NC
-0.9877869,11696057,NC
-0.91180325,11696058,NC
-0.9280855,11696059,NC
-0.9715047,11696060,NC
-0.9932143,11696061,NC
-0.98235947,11696062,NC
-0.9280855,11696063,NC
-0.9063758,11696064,NC
-0.89552104,11696065,NC
-0.91180325,11696066,NC
-0.91180325,11696067,NC
-0.9335129,11696068,NC
-0.9552225,11696069,NC
-0.96607727,11696070,NC
-0.94979507,11696071,NC
-0.96064985,11696072,NC
-0.96607727,11696073,NC
-0.97693205,11696074,NC
-1.0149239,11696075,NC
-0.9932143,11696076,NC
-0.97693205,11696077,NC
-0.9877869,11696078,NC
-0.97693205,11696079,NC
-0.9932143,11696080,NC
-1.0312061,11696081,NC
-1.0909075,11696082,NC
-1.1343267,11696083,NC
-1.1451814,11696084,NC
-1.1234719,11696085,NC
-1.1234719,11696086,NC
-1.1343267,11696087,NC
-1.139754,11696088,NC
-1.1288992,11696089,NC
-1.1288992,11696090,NC
-1.1017623,11696091,NC
-1.0637705,11696092,NC
-1.0691979,11696093,NC
-1.0909075,11696094,NC
-1.139754,11696095,NC
-1.1831733,11696096,NC
-1.204883,11696097,NC
-1.2157377,11696098,NC
-1.2265925,11696099,NC
-1.2483021,11696100,NC
-1.2320199,11696101,NC
-1.2103103,11696102,NC
-1.1668911,11696103,NC
-1.1071897,11696104,NC
-1.0583432,11696105,NC
-1.0420609,11696106,NC
-1.0583432,11696107,NC
-1.0746253,11696108,NC
-1.0474882,11696109,NC
-1.0312061,11696110,NC
-1.0040691,11696111,NC
-1.0149239,11696112,NC
-1.0312061,11696113,NC
-1.0691979,11696114,NC
-1.0800527,11696115,NC
-1.1071897,11696116,NC
-1.1071897,11696117,NC
-1.0637705,11696118,NC
-1.0040691,11696119,NC
-0.94979507,11696120,NC
-0.9063758,11696121,NC
-0.8738115,11696122,NC
-0.8738115,11696123,NC
-0.8900937,11696124,NC
-0.9063758,11696125,NC
-0.9552225,11696126,NC
-0.96607727,11696127,NC
-0.9715047,11696128,NC
-0.96064985,11696129,NC
-0.9389403,11696130,NC
-0.8900937,11696131,NC
-0.841247,11696132,NC
-0.81411004,11696133,NC
-0.7924005,11696134,NC
-0.7761182,11696135,NC
-0.7869731,11696136,NC
-0.7869731,11696137,NC
-0.8086827,11696138,NC
-0.8249649,11696139,NC
-0.7978279,11696140,NC
-0.7761182,11696141,NC
-0.77069086,11696142,NC
-0.8086827,11696143,NC
-0.86838406,11696144,NC
-0.9063758,11696145,NC
-0.9389403,11696146,NC
-0.9389403,11696147,NC
-0.9335129,11696148,NC
-0.91180325,11696149,NC
-0.86838406,11696150,NC
