channel_0,sample #,type
0.84915733,19767025,A
0.8773822,19767026,NC
0.7489791,19767027,NC
0.45276016,19767028,NC
0.1061986,19767029,NC
-0.24595378,19767030,NC
-0.5253815,19767031,NC
-0.6985208,19767032,NC
-0.715026,19767033,NC
-0.65880656,19767034,NC
-0.5858022,19767035,NC
-0.52957666,19767036,NC
-0.48453608,19767037,NC
-0.47305632,19767038,NC
-0.45597956,19767039,NC
-0.48365158,19767040,NC
-0.5001327,19767041,NC
-0.5222048,19767042,NC
-0.53308606,19767043,NC
-0.5048067,19767044,NC
-0.5044942,19767045,NC
-0.5209607,19767046,NC
-0.52064246,19767047,NC
-0.51472735,19767048,NC
-0.48083964,19767049,NC
-0.46373096,19767050,NC
-0.44661945,19767051,NC
-0.46306896,19767052,NC
-0.46273375,19767053,NC
-0.45680183,19767054,NC
-0.45086715,19767055,NC
-0.44492975,19767056,NC
-0.42220768,19767057,NC
-0.43864074,19767058,NC
-0.42150724,19767059,NC
-0.41555905,19767060,NC
-0.4096082,19767061,NC
-0.38687277,19767062,NC
-0.3921046,19767063,NC
-0.39733377,19767064,NC
-0.40815437,19767065,NC
-0.40219045,19767066,NC
-0.39063004,19767067,NC
-0.36787912,19767068,NC
-0.3619076,19767069,NC
-0.38949737,19767070,NC
-0.3779269,19767071,NC
-0.4055117,19767072,NC
-0.38834232,19767073,NC
-0.38235843,19767074,NC
-0.3875601,19767075,NC
-0.4151352,19767076,NC
-0.40914413,19767077,NC
-0.4087447,19767078,NC
-0.39715493,19767079,NC
-0.36318702,19767080,NC
-0.3627806,19767081,NC
-0.3567779,19767082,NC
-0.35636693,19767083,NC
-0.3559537,19767084,NC
-0.32756838,19767085,NC
-0.29918087,19767086,NC
-0.298761,19767087,NC
-0.28715104,19767088,NC
-0.29232082,19767089,NC
-0.27511257,19767090,NC
-0.24112034,19767091,NC
-0.21831393,19767092,NC
-0.20109944,19767093,NC
-0.20625874,19767094,NC
-0.20582205,19767095,NC
-0.19419542,19767096,NC
-0.1769728,19767097,NC
-0.15415427,19767098,NC
-0.13692775,19767099,NC
-0.1476691,19767100,NC
-0.15281461,19767101,NC
-0.15795821,19767102,NC
-0.15191203,19767103,NC
-0.14586398,19767104,NC
-0.16218998,19767105,NC
-0.1897021,19767106,NC
-0.20043053,19767107,NC
-0.21115719,19767108,NC
-0.20510022,19767109,NC
-0.21582341,19767110,NC
-0.23773286,19767111,NC
-0.2652346,19767112,NC
-0.28714067,19767113,NC
-0.31463912,19767114,NC
-0.31976005,19767115,NC
-0.3136915,19767116,NC
-0.32440323,19767117,NC
-0.36867726,19767118,NC
-0.37379196,19767119,NC
-0.40128106,19767120,NC
-0.372829,19767121,NC
-0.38353324,19767122,NC
-0.3774541,19767123,NC
-0.39374948,19767124,NC
-0.38766757,19767125,NC
-0.40955415,19767126,NC
-0.41465744,19767127,NC
-0.39738357,19767128,NC
-0.39129633,19767129,NC
-0.40758368,19767130,NC
-0.40708786,19767131,NC
-0.40099683,19767132,NC
-0.3949046,19767133,NC
-0.3720293,19767134,NC
-0.36034077,19767135,NC
-0.36543298,19767136,NC
-0.37052408,19767137,NC
-0.3588322,19767138,NC
-0.35832718,19767139,NC
-0.3354452,19767140,NC
-0.3349381,19767141,NC
-0.33442998,19767142,NC
-0.35070282,19767143,NC
-0.33341086,19767144,NC
-0.31052402,19767145,NC
-0.31001216,19767146,NC
-0.28152958,19767147,NC
-0.26982802,19767148,NC
-0.2469377,19767149,NC
-0.20167072,19767150,NC
-0.12283913,19767151,NC
-0.016036956,19767152,NC
0.1355177,19767153,NC
0.29266703,19767154,NC
0.4274412,19767155,NC
0.5845919,19767156,NC
0.75852513,19767157,NC
0.88770723,19767158,A
0.9329805,19767159,NC
0.82721716,19767160,NC
0.5927932,19767161,NC
0.26886633,19767162,NC
-0.043872137,19767163,NC
-0.32864028,19767164,NC
-0.5127166,19767165,NC
-0.5905071,19767166,NC
-0.53404206,19767167,NC
-0.44401282,19767168,NC
-0.38195306,19767169,NC
-0.33108088,19767170,NC
-0.34174207,19767171,NC
-0.38037273,19767172,NC
-0.38543943,19767173,NC
-0.39050582,19767174,NC
-0.3843841,19767175,NC
-0.3950441,19767176,NC
-0.42248583,19767177,NC
-0.41076967,19767178,NC
-0.42702317,19767179,NC
-0.42649475,19767180,NC
-0.39799643,19767181,NC
-0.36949807,19767182,NC
-0.3409997,19767183,NC
-0.3516591,19767184,NC
-0.3623185,19767185,NC
-0.35619608,19767186,NC
-0.33888584,19767187,NC
-0.31038773,19767188,NC
-0.30426568,19767189,NC
-0.3205196,19767190,NC
-0.31439784,19767191,NC
-0.31387025,19767192,NC
-0.30215502,19767193,NC
-0.29603395,19767194,NC
-0.28991315,19767195,NC
-0.30616856,19767196,NC
-0.30564237,19767197,NC
-0.30511653,19767198,NC
-0.29899713,19767199,NC
-0.2760962,19767200,NC
-0.28675953,19767201,NC
-0.2750474,19767202,NC
-0.28571165,19767203,NC
-0.3075643,19767204,NC
-0.26788384,19767205,NC
-0.26176775,19767206,NC
-0.28362203,19767207,NC
-0.32225883,19767208,NC
-0.32173848,19767209,NC
-0.3268127,19767210,NC
-0.2871359,19767211,NC
-0.27542958,19767212,NC
-0.28050593,19767213,NC
-0.30236486,19767214,NC
-0.29625475,19767215,NC
-0.28455147,19767216,NC
-0.27284896,19767217,NC
-0.26114732,19767218,NC
-0.24944651,19767219,NC
-0.24334058,19767220,NC
-0.2428295,19767221,NC
-0.2311314,19767222,NC
-0.21943428,19767223,NC
-0.19655019,19767224,NC
-0.19044898,19767225,NC
-0.20672467,19767226,NC
-0.1950316,19767227,NC
-0.20012148,19767228,NC
-0.1772426,19767229,NC
-0.14317693,19767230,NC
-0.13148823,19767231,NC
-0.13098866,19767232,NC
-0.13608421,19767233,NC
-0.13558702,19767234,NC
-0.14627898,19767235,NC
-0.13459635,19767236,NC
-0.12850894,19767237,NC
-0.1447987,19767238,NC
-0.17227772,19767239,NC
-0.17738222,19767240,NC
-0.17130014,19767241,NC
-0.1931893,19767242,NC
-0.18711002,19767243,NC
-0.20900202,19767244,NC
-0.24208342,19767245,NC
-0.24719644,19767246,NC
-0.246717,19767247,NC
-0.2462391,19767248,NC
-0.2513567,19767249,NC
-0.25647584,19767250,NC
-0.27278456,19767251,NC
-0.28909487,19767252,NC
-0.28303093,19767253,NC
-0.27696866,19767254,NC
-0.28768995,19767255,NC
-0.3096009,19767256,NC
-0.31473166,19767257,NC
-0.32545808,19767258,NC
-0.31940442,19767259,NC
-0.31335253,19767260,NC
-0.30730242,19767261,NC
-0.3068481,19767262,NC
-0.31198964,19767263,NC
-0.32272696,19767264,NC
-0.31109035,19767265,NC
-0.31064355,19767266,NC
-0.3101987,19767267,NC
-0.33213162,19767268,NC
-0.32609674,19767269,NC
-0.3200638,19767270,NC
-0.30284497,19767271,NC
-0.2968161,19767272,NC
-0.29638326,19767273,NC
-0.3071404,19767274,NC
-0.32908756,19767275,NC
-0.32866096,19767276,NC
-0.2834848,19767277,NC
-0.27187455,19767278,NC
-0.2602665,19767279,NC
-0.24866062,19767280,NC
-0.25383887,19767281,NC
-0.23664343,19767282,NC
-0.22504425,19767283,NC
-0.1686956,19767284,NC
-0.1347251,19767285,NC
-0.08956894,19767286,NC
0.0003365986,19767287,NC
0.1405855,19767288,NC
0.3088019,19767289,NC
0.4882038,19767290,NC
0.6396334,19767291,NC
0.74630904,19767292,A
