channel_0,sample #,type
0.8876239,29799177,A
0.9537656,29799178,NC
0.93287313,29799179,NC
0.79958737,29799180,NC
0.524643,29799181,NC
0.24464798,29799182,NC
-0.03976254,29799183,NC
-0.24487638,29799184,NC
-0.35867232,29799185,NC
-0.38366386,29799186,NC
-0.3424028,29799187,NC
-0.29577145,29799188,NC
-0.2679059,29799189,NC
-0.25504437,29799190,NC
-0.2390911,29799191,NC
-0.22417173,29799192,NC
-0.2234205,29799193,NC
-0.21685825,29799194,NC
-0.22671174,29799195,NC
-0.22979905,29799196,NC
-0.19122186,29799197,NC
-0.14854123,29799198,NC
-0.09701057,29799199,NC
-0.07573773,29799200,NC
-0.06359435,29799201,NC
-0.06554575,29799202,NC
-0.0930052,29799203,NC
-0.11443765,29799204,NC
-0.13330583,29799205,NC
-0.13561077,29799206,NC
-0.1294097,29799207,NC
-0.09899534,29799208,NC
-0.065368265,29799209,NC
-0.031541374,29799210,NC
0.015560439,29799211,NC
0.062054284,29799212,NC
0.080709115,29799213,NC
0.09945152,29799214,NC
0.087069914,29799215,NC
0.076772474,29799216,NC
0.06087469,29799217,NC
0.054146074,29799218,NC
0.06423385,29799219,NC
0.08337417,29799220,NC
0.09335039,29799221,NC
0.10509626,29799222,NC
0.105501756,29799223,NC
0.100509584,29799224,NC
0.098774366,29799225,NC
0.09598376,29799226,NC
0.09295243,29799227,NC
0.09564092,29799228,NC
0.09197231,29799229,NC
0.08710332,29799230,NC
0.07105482,29799231,NC
0.07204075,29799232,NC
0.07029262,29799233,NC
0.08140265,29799234,NC
0.08683205,29799235,NC
0.09925022,29799236,NC
0.11045589,29799237,NC
0.11290094,29799238,NC
0.10096319,29799239,NC
0.09790046,29799240,NC
0.09701419,29799241,NC
0.07951827,29799242,NC
0.080897,29799243,NC
0.09792006,29799244,NC
0.1136461,29799245,NC
0.12414038,29799246,NC
0.13387863,29799247,NC
0.13463058,29799248,NC
0.15408736,29799249,NC
0.14334396,29799250,NC
0.14935836,29799251,NC
0.15222634,29799252,NC
0.13193688,29799253,NC
0.13522144,29799254,NC
0.12997141,29799255,NC
0.15474777,29799256,NC
0.15872207,29799257,NC
0.18105586,29799258,NC
0.18681787,29799259,NC
0.19783024,29799260,NC
0.1991128,29799261,NC
0.21929619,29799262,NC
0.22710612,29799263,NC
0.24134326,29799264,NC
0.24667974,29799265,NC
0.25631627,29799266,NC
0.2666705,29799267,NC
0.27767476,29799268,NC
0.2816814,29799269,NC
0.3242233,29799270,NC
0.3635503,29799271,NC
0.38119677,29799272,NC
0.38597366,29799273,NC
0.38605598,29799274,NC
0.37980404,29799275,NC
0.36063477,29799276,NC
0.37627047,29799277,NC
0.37475872,29799278,NC
0.37128645,29799279,NC
0.395595,29799280,NC
0.40072873,29799281,NC
0.41364026,29799282,NC
0.4161654,29799283,NC
0.4213394,29799284,NC
0.431648,29799285,NC
0.4108473,29799286,NC
0.40127856,29799287,NC
0.38963768,29799288,NC
0.35904458,29799289,NC
0.35020778,29799290,NC
0.33420402,29799291,NC
0.3197431,29799292,NC
0.31414637,29799293,NC
0.2799739,29799294,NC
0.2810819,29799295,NC
0.26878148,29799296,NC
0.25635824,29799297,NC
0.24576281,29799298,NC
0.2273778,29799299,NC
0.20530197,29799300,NC
0.1892118,29799301,NC
0.15338066,29799302,NC
0.13549924,29799303,NC
0.11859522,29799304,NC
0.11741128,29799305,NC
0.11183155,29799306,NC
