channel_0,sample #,type
2.2097623,21789736,N
2.149106,21789737,NC
1.881114,21789738,NC
1.4442034,21789739,NC
0.9296942,21789740,NC
0.39226165,21789741,NC
-0.11125473,21789742,NC
-0.5211261,21789743,NC
-0.85696685,21789744,NC
-1.1029654,21789745,NC
-1.2339007,21789746,NC
-1.2634062,21789747,NC
-1.2185295,21789748,NC
-1.1064872,21789749,NC
-0.9580434,21789750,NC
-0.8398048,21789751,NC
-0.75103533,21789752,NC
-0.71653795,21789753,NC
-0.745666,21789754,NC
-0.7883103,21789755,NC
-0.83194655,21789756,NC
-0.8741627,21789757,NC
-0.8714578,21789758,NC
-0.8506226,21789759,NC
-0.85299295,21789760,NC
-0.84219843,21789761,NC
-0.85103047,21789762,NC
-0.862954,21789763,NC
-0.87366515,21789764,NC
-0.8810904,21789765,NC
-0.89702344,21789766,NC
-0.88810325,21789767,NC
-0.9027559,21789768,NC
-0.8968616,21789769,NC
-0.9110929,21789770,NC
-0.9113,21789771,NC
-0.9303405,21789772,NC
-0.9130196,21789773,NC
-0.90106577,21789774,NC
-0.9124776,21789775,NC
-0.9025043,21789776,NC
-0.87441546,21789777,NC
-0.88475716,21789778,NC
-0.90138006,21789779,NC
-0.8936195,21789780,NC
-0.89372516,21789781,NC
-0.86924356,21789782,NC
-0.8498189,21789783,NC
-0.8127503,21789784,NC
-0.7820464,21789785,NC
-0.7549306,21789786,NC
-0.74060816,21789787,NC
-0.73342973,21789788,NC
-0.721879,21789789,NC
-0.6875007,21789790,NC
-0.66758394,21789791,NC
-0.63128304,21789792,NC
-0.5899201,21789793,NC
-0.5358418,21789794,NC
-0.517253,21789795,NC
-0.46332553,21789796,NC
-0.42218977,21789797,NC
-0.3670009,21789798,NC
-0.30370152,21789799,NC
-0.26361254,21789800,NC
-0.23521726,21789801,NC
-0.2178761,21789802,NC
-0.20284869,21789803,NC
-0.17916584,21789804,NC
-0.14411238,21789805,NC
-0.080072895,21789806,NC
-0.02494363,21789807,NC
0.031096913,21789808,NC
0.08141419,21789809,NC
0.12644604,21789810,NC
0.16211471,21789811,NC
0.1662519,21789812,NC
0.20265101,21789813,NC
0.24948506,21789814,NC
0.28318265,21789815,NC
0.3316307,21789816,NC
0.36567935,21789817,NC
0.38243052,21789818,NC
0.39643052,21789819,NC
0.423658,21789820,NC
0.440432,21789821,NC
0.46722737,21789822,NC
0.49802375,21789823,NC
0.53569293,21789824,NC
0.5597698,21789825,NC
0.5495765,21789826,NC
0.5562806,21789827,NC
0.5645619,21789828,NC
0.5872038,21789829,NC
0.58769894,21789830,NC
0.5955394,21789831,NC
0.5660576,21789832,NC
0.5220679,21789833,NC
0.47776988,21789834,NC
0.42857733,21789835,NC
0.3741021,21789836,NC
0.34429193,21789837,NC
0.30025983,21789838,NC
0.25280547,21789839,NC
0.2152422,21789840,NC
0.14990117,21789841,NC
0.10856568,21789842,NC
0.06286181,21789843,NC
0.015635358,21789844,NC
-0.014655482,21789845,NC
-0.018485337,21789846,NC
-0.058666922,21789847,NC
-0.08072219,21789848,NC
-0.10152874,21789849,NC
-0.13342868,21789850,NC
-0.1811712,21789851,NC
-0.22017404,21789852,NC
-0.24232644,21789853,NC
-0.25398985,21789854,NC
-0.27536482,21789855,NC
-0.27665484,21789856,NC
-0.31646314,21789857,NC
-0.34350154,21789858,NC
-0.35979354,21789859,NC
-0.39379045,21789860,NC
-0.4288925,21789861,NC
-0.4390613,21789862,NC
-0.45147195,21789863,NC
-0.46363172,21789864,NC
-0.4770348,21789865,NC
-0.46450633,21789866,NC
-0.47769853,21789867,NC
-0.4906247,21789868,NC
-0.47533655,21789869,NC
-0.44946784,21789870,NC
-0.4427386,21789871,NC
-0.4502837,21789872,NC
-0.43777764,21789873,NC
-0.43675482,21789874,NC
-0.4237652,21789875,NC
-0.41748178,21789876,NC
-0.4068327,21789877,NC
-0.40538615,21789878,NC
-0.3944461,21789879,NC
-0.39138803,21789880,NC
-0.37621114,21789881,NC
-0.3988781,21789882,NC
-0.4228207,21789883,NC
-0.4460401,21789884,NC
-0.41278172,21789885,NC
-0.33531487,21789886,NC
-0.18179645,21789887,NC
0.06225636,21789888,NC
0.3783681,21789889,NC
0.7517307,21789890,NC
1.1705703,21789891,NC
1.6160271,21789892,NC
2.0316036,21789893,NC
2.3203893,21789894,NC
2.4229233,21789895,A
2.2758667,21789896,NC
1.9765325,21789897,NC
1.5742531,21789898,NC
1.0992621,21789899,NC
0.6196586,21789900,NC
0.1826991,21789901,NC
-0.19095962,21789902,NC
-0.48109037,21789903,NC
-0.6799475,21789904,NC
-0.8223652,21789905,NC
-0.89207286,21789906,NC
-0.8636839,21789907,NC
-0.78731513,21789908,NC
-0.70263505,21789909,NC
-0.6054276,21789910,NC
-0.57155484,21789911,NC
-0.5539741,21789912,NC
-0.5787511,21789913,NC
-0.6152422,21789914,NC
-0.6365764,21789915,NC
-0.69274205,21789916,NC
-0.6947702,21789917,NC
-0.7072637,21789918,NC
-0.7199866,21789919,NC
-0.7364117,21789920,NC
-0.7009406,21789921,NC
-0.71518594,21789922,NC
-0.71789324,21789923,NC
-0.72718906,21789924,NC
-0.7479408,21789925,NC
-0.7646719,21789926,NC
-0.7669505,21789927,NC
-0.74452907,21789928,NC
-0.7576475,21789929,NC
-0.73896253,21789930,NC
-0.7534068,21789931,NC
-0.7526868,21789932,NC
-0.7667961,21789933,NC
-0.7716935,21789934,NC
-0.7975923,21789935,NC
-0.790568,21789936,NC
-0.76274854,21789937,NC
-0.74799675,21789938,NC
-0.73154557,21789939,NC
-0.71883667,21789940,NC
-0.7279888,21789941,NC
-0.6999857,21789942,NC
-0.69394237,21789943,NC
-0.6785379,21789944,NC
-0.6536251,21789945,NC
-0.6473014,21789946,NC
-0.60478574,21789947,NC
-0.5860274,21789948,NC
-0.5816149,21789949,NC
-0.5470764,21789950,NC
-0.5274796,21789951,NC
-0.4721835,21789952,NC
-0.4276688,21789953,NC
-0.37056288,21789954,NC
-0.31785676,21789955,NC
-0.27827027,21789956,NC
-0.25838497,21789957,NC
-0.24465807,21789958,NC
