channel_0,sample #,type
1.1118556,19780111,N
1.1100619,19780112,NC
0.92172074,19780113,NC
0.55986035,19780114,NC
0.06411764,19780115,NC
-0.47049627,19780116,NC
-0.8529842,19780117,NC
-0.94861805,19780118,NC
-0.8960738,19780119,NC
-0.82205534,19780120,NC
-0.73271376,19780121,NC
-0.6178311,19780122,NC
-0.5367978,19780123,NC
-0.4970084,19780124,NC
-0.48201483,19780125,NC
-0.47019187,19780126,NC
-0.43699434,19780127,NC
-0.39307222,19780128,NC
-0.38142657,19780129,NC
-0.37888262,19780130,NC
-0.3889691,19780131,NC
-0.3793219,19780132,NC
-0.38715035,19780133,NC
-0.3756762,19780134,NC
-0.37284952,19780135,NC
-0.38496357,19780136,NC
-0.4020562,19780137,NC
-0.39233947,19780138,NC
-0.4049955,19780139,NC
-0.39758933,19780140,NC
-0.38301352,19780141,NC
-0.37163135,19780142,NC
-0.37342918,19780143,NC
-0.35980085,19780144,NC
-0.33329907,19780145,NC
-0.3220724,19780146,NC
-0.31264436,19780147,NC
-0.3250419,19780148,NC
-0.33458036,19780149,NC
-0.3202879,19780150,NC
-0.30844563,19780151,NC
-0.30201596,19780152,NC
-0.29457006,19780153,NC
-0.301828,19780154,NC
-0.28690794,19780155,NC
-0.24108216,19780156,NC
-0.20598061,19780157,NC
-0.20361075,19780158,NC
-0.23002392,19780159,NC
-0.25266054,19780160,NC
-0.22169551,19780161,NC
-0.1936067,19780162,NC
-0.16796684,19780163,NC
-0.15287407,19780164,NC
-0.15456249,19780165,NC
-0.15055332,19780166,NC
-0.14498478,19780167,NC
-0.11620778,19780168,NC
-0.09044373,19780169,NC
-0.046987507,19780170,NC
-0.029240036,19780171,NC
-0.022907529,19780172,NC
-0.006996058,19780173,NC
0.03226447,19780174,NC
0.06034637,19780175,NC
0.04195753,19780176,NC
0.021874886,19780177,NC
0.0028337017,19780178,NC
0.021725792,19780179,NC
0.041003242,19780180,NC
0.08436239,19780181,NC
0.11877068,19780182,NC
0.12603715,19780183,NC
0.11947792,19780184,NC
0.118015885,19780185,NC
0.097219385,19780186,NC
0.08168943,19780187,NC
0.079289645,19780188,NC
0.059538182,19780189,NC
0.015250087,19780190,NC
0.007690344,19780191,NC
0.01705493,19780192,NC
0.008260436,19780193,NC
-0.01895124,19780194,NC
-0.051906843,19780195,NC
-0.11366598,19780196,NC
-0.12735139,19780197,NC
-0.13817875,19780198,NC
-0.1390193,19780199,NC
-0.13954353,19780200,NC
-0.13544004,19780201,NC
-0.16258663,19780202,NC
-0.18265027,19780203,NC
-0.1997703,19780204,NC
-0.21473071,19780205,NC
-0.22976209,19780206,NC
-0.25411963,19780207,NC
-0.28857252,19780208,NC
-0.31346333,19780209,NC
-0.31463543,19780210,NC
-0.28421387,19780211,NC
-0.27195907,19780212,NC
-0.2995112,19780213,NC
-0.3170208,19780214,NC
-0.35443288,19780215,NC
-0.3725846,19780216,NC
-0.3771112,19780217,NC
-0.36863762,19780218,NC
-0.36582002,19780219,NC
-0.39537403,19780220,NC
-0.39393145,19780221,NC
-0.38854006,19780222,NC
-0.36331132,19780223,NC
-0.3645032,19780224,NC
-0.35637513,19780225,NC
-0.37347448,19780226,NC
-0.38370475,19780227,NC
-0.36729518,19780228,NC
-0.35132623,19780229,NC
-0.33963388,19780230,NC
-0.33090907,19780231,NC
-0.3448472,19780232,NC
-0.36983156,19780233,NC
-0.3665089,19780234,NC
-0.36129406,19780235,NC
-0.35167703,19780236,NC
-0.3326671,19780237,NC
-0.33152092,19780238,NC
-0.33795264,19780239,NC
-0.35157135,19780240,NC
-0.3563868,19780241,NC
-0.3473962,19780242,NC
-0.35184485,19780243,NC
-0.36696026,19780244,NC
-0.36448088,19780245,NC
-0.3365672,19780246,NC
-0.29007542,19780247,NC
-0.30198357,19780248,NC
-0.3309477,19780249,NC
-0.37581635,19780250,NC
-0.39328408,19780251,NC
-0.3802279,19780252,NC
-0.33318546,19780253,NC
-0.29836366,19780254,NC
-0.2776906,19780255,NC
-0.28237483,19780256,NC
-0.31329316,19780257,NC
-0.33250844,19780258,NC
-0.3603682,19780259,NC
-0.36582294,19780260,NC
-0.36306354,19780261,NC
-0.38699618,19780262,NC
-0.42700583,19780263,NC
-0.39865464,19780264,NC
-0.3259147,19780265,NC
-0.22949369,19780266,NC
-0.08684158,19780267,NC
0.08114693,19780268,NC
0.3165081,19780269,NC
0.62956357,19780270,NC
0.9160273,19780271,NC
1.14589,19780272,A
1.2144,19780273,NC
1.0758293,19780274,NC
0.78633213,19780275,NC
0.35956356,19780276,NC
-0.08863258,19780277,NC
-0.51365733,19780278,NC
-0.7790916,19780279,NC
-0.81176627,19780280,NC
-0.7282862,19780281,NC
-0.6184647,19780282,NC
-0.50618136,19780283,NC
-0.4028326,19780284,NC
-0.35785317,19780285,NC
-0.34988388,19780286,NC
-0.36775982,19780287,NC
-0.37281653,19780288,NC
-0.36902815,19780289,NC
