channel_0,sample #,type
-0.33826578,24850801,+
-0.3407259,24850802,NC
-0.3456461,24850803,NC
-0.35179642,24850804,NC
-0.35425657,24850805,NC
-0.35179645,24850806,NC
-0.3493363,24850807,NC
-0.34441608,24850808,NC
-0.3456461,24850809,NC
-0.3468762,24850810,NC
-0.35302648,24850811,NC
-0.36532706,24850812,NC
-0.38254786,24850813,NC
-0.40591896,24850814,NC
-0.42806,24850815,NC
-0.4452808,24850816,NC
-0.4625016,24850817,NC
-0.4735721,24850818,NC
-0.47357208,24850819,NC
-0.47357208,24850820,NC
-0.4649617,24850821,NC
-0.45881143,24850822,NC
-0.46004146,24850823,NC
-0.4649617,24850824,NC
-0.4735721,24850825,NC
-0.4821825,24850826,NC
-0.4883328,24850827,NC
-0.48710275,24850828,NC
-0.48464262,24850829,NC
-0.47972238,24850830,NC
-0.471112,24850831,NC
-0.46742183,24850832,NC
-0.45881143,24850833,NC
-0.45266113,24850834,NC
-0.45143107,24850835,NC
-0.45266113,24850836,NC
-0.46004146,24850837,NC
-0.4674218,24850838,NC
-0.46988195,24850839,NC
-0.46742183,24850840,NC
-0.46250162,24850841,NC
-0.45266113,24850842,NC
-0.44528076,24850843,NC
-0.43667036,24850844,NC
-0.42682993,24850845,NC
-0.42436978,24850846,NC
-0.42313972,24850847,NC
-0.42313975,24850848,NC
-0.43421027,24850849,NC
-0.44159064,24850850,NC
-0.45266113,24850851,NC
-0.46619177,24850852,NC
-0.47849232,24850853,NC
-0.48341256,24850854,NC
-0.47234204,24850855,NC
-0.42313975,24850856,NC
-0.29767388,24850857,NC
-0.0836439,24850858,NC
0.23494096,24850859,NC
0.6260992,24850860,NC
1.028328,24850861,NC
1.3653637,24850862,A
1.5572526,24850863,NC
1.5314215,24850864,NC
1.2681893,24850865,NC
0.81675816,24850866,NC
0.23617105,24850867,NC
-0.39361838,24850868,NC
-0.93484366,24850869,NC
-1.2571187,24850870,NC
-1.3419926,24850871,NC
-1.2029961,24850872,NC
-0.9557546,24850873,NC
-0.75156504,24850874,NC
-0.6260992,24850875,NC
-0.5695166,24850876,NC
-0.5559859,24850877,NC
-0.5633663,24850878,NC
-0.5719767,24850879,NC
-0.5805871,24850880,NC
-0.5842773,24850881,NC
-0.5867374,24850882,NC
-0.58550733,24850883,NC
-0.5830472,24850884,NC
-0.5842773,24850885,NC
-0.5842773,24850886,NC
-0.59165764,24850887,NC
-0.599038,24850888,NC
-0.6027281,24850889,NC
-0.6039582,24850890,NC
-0.6027281,24850891,NC
-0.59165764,24850892,NC
-0.5805871,24850893,NC
-0.57197666,24850894,NC
-0.5609062,24850895,NC
-0.55844605,24850896,NC
-0.55475587,24850897,NC
-0.55475587,24850898,NC
-0.5559859,24850899,NC
-0.55844605,24850900,NC
-0.5596761,24850901,NC
-0.5559859,24850902,NC
-0.54737556,24850903,NC
-0.53507495,24850904,NC
-0.52769464,24850905,NC
-0.51785415,24850906,NC
-0.5092438,24850907,NC
-0.50678366,24850908,NC
-0.4994033,24850909,NC
-0.49202296,24850910,NC
-0.48956284,24850911,NC
-0.47849232,24850912,NC
-0.46619174,24850913,NC
-0.45020103,24850914,NC
-0.42559984,24850915,NC
-0.4009987,24850916,NC
-0.37393746,24850917,NC
-0.35179642,24850918,NC
-0.33580568,24850919,NC
-0.32104498,24850920,NC
-0.31243458,24850921,NC
-0.3038242,24850922,NC
-0.29644385,24850923,NC
-0.2866034,24850924,NC
-0.27553284,24850925,NC
-0.26077217,24850926,NC
-0.24847159,24850927,NC
-0.23740108,24850928,NC
-0.23002075,24850929,NC
-0.22879069,24850930,NC
-0.23002075,24850931,NC
-0.24724153,24850932,NC
-0.26446235,24850933,NC
-0.28783342,24850934,NC
-0.30997446,24850935,NC
-0.3235051,24850936,NC
-0.33580568,24850937,NC
-0.343186,24850938,NC
-0.34810624,24850939,NC
-0.35056636,24850940,NC
