channel_0,sample #,type
0.9975159,19979312,N
1.1225469,19979313,NC
1.0425779,19979314,NC
0.7476085,19979315,NC
0.34763896,19979316,NC
-0.12233074,19979317,NC
-0.60230064,19979318,NC
-0.9072707,19979319,NC
-0.992241,19979320,NC
-0.9072115,19979321,NC
-0.7721821,19979322,NC
-0.65715295,19979323,NC
-0.5621239,19979324,NC
-0.5120951,19979325,NC
-0.49706653,19979326,NC
-0.5020381,19979327,NC
-0.4620099,19979328,NC
-0.42698184,19979329,NC
-0.40195397,19979330,NC
-0.40692627,19979331,NC
-0.4068988,19979332,NC
-0.4318715,19979333,NC
-0.4418444,19979334,NC
-0.42181748,19979335,NC
-0.38679075,19979336,NC
-0.4067642,19979337,NC
-0.40173784,19979338,NC
-0.4167117,19979339,NC
-0.4216857,19979340,NC
-0.41165993,19979341,NC
-0.3866343,19979342,NC
-0.37660888,19979343,NC
-0.38158366,19979344,NC
-0.38655862,19979345,NC
-0.39153376,19979346,NC
-0.3765091,19979347,NC
-0.37148464,19979348,NC
-0.37646034,19979349,NC
-0.36643624,19979350,NC
-0.38141236,19979351,NC
-0.3713886,19979352,NC
-0.3613651,19979353,NC
-0.34634173,19979354,NC
-0.3413186,19979355,NC
-0.33129564,19979356,NC
-0.34127286,19979357,NC
-0.3462503,19979358,NC
-0.3312279,19979359,NC
-0.3062057,19979360,NC
-0.29118368,19979361,NC
-0.29116186,19979362,NC
-0.30114022,19979363,NC
-0.2961188,19979364,NC
-0.26609752,19979365,NC
-0.24607645,19979366,NC
-0.2560556,19979367,NC
-0.2410349,19979368,NC
-0.2310144,19979369,NC
-0.22099409,19979370,NC
-0.20597398,19979371,NC
-0.18095404,19979372,NC
-0.17093432,19979373,NC
-0.16591476,19979374,NC
-0.1608954,19979375,NC
-0.15587625,19979376,NC
-0.12585726,19979377,NC
-0.100838475,19979378,NC
-0.08081989,19979379,NC
-0.06580149,19979380,NC
-0.05078327,19979381,NC
-0.030765243,19979382,NC
-0.005747415,19979383,NC
-0.0007297769,19979384,NC
0.014287677,19979385,NC
0.01430494,19979386,NC
0.00932201,19979387,NC
0.019338883,19979388,NC
0.039355572,19979389,NC
0.04937207,19979390,NC
0.039388377,19979391,NC
0.024404492,19979392,NC
0.014420416,19979393,NC
0.0044361427,19979394,NC
-0.010548316,19979395,NC
0.009467043,19979396,NC
0.009482197,19979397,NC
0.014497165,19979398,NC
-0.010488056,19979399,NC
-0.04547347,19979400,NC
-0.030459076,19979401,NC
-0.04044488,19979402,NC
-0.06043087,19979403,NC
-0.09041705,19979404,NC
-0.12540342,19979405,NC
-0.14538997,19979406,NC
-0.15537673,19979407,NC
-0.16036367,19979408,NC
-0.18035081,19979409,NC
-0.21533814,19979410,NC
-0.22032566,19979411,NC
-0.23031339,19979412,NC
-0.2253013,19979413,NC
-0.21028939,19979414,NC
-0.22027767,19979415,NC
-0.26026618,19979416,NC
-0.26025486,19979417,NC
-0.28524372,19979418,NC
-0.27023274,19979419,NC
-0.240222,19979420,NC
-0.22521146,19979421,NC
-0.21520108,19979422,NC
-0.22519091,19979423,NC
-0.2201809,19979424,NC
-0.22017112,19979425,NC
-0.23016155,19979426,NC
-0.2501521,19979427,NC
-0.26014292,19979428,NC
-0.24513388,19979429,NC
-0.25012505,19979430,NC
-0.24511641,19979431,NC
-0.24010797,19979432,NC
-0.22009972,19979433,NC
-0.22009164,19979434,NC
-0.2550838,19979435,NC
-0.2600761,19979436,NC
-0.26506865,19979437,NC
-0.28006133,19979438,NC
-0.27505422,19979439,NC
-0.29004735,19979440,NC
-0.2950406,19979441,NC
-0.3000341,19979442,NC
-0.29502776,19979443,NC
-0.2750216,19979444,NC
-0.2600157,19979445,NC
-0.28000993,19979446,NC
-0.28000438,19979447,NC
-0.284999,19979448,NC
-0.29499385,19979449,NC
-0.28998888,19979450,NC
-0.28998408,19979451,NC
-0.30497947,19979452,NC
-0.31497505,19979453,NC
-0.31997088,19979454,NC
-0.30996683,19979455,NC
-0.299963,19979456,NC
-0.27995938,19979457,NC
-0.28995594,19979458,NC
-0.2999527,19979459,NC
-0.30494964,19979460,NC
-0.31494677,19979461,NC
-0.3099441,19979462,NC
-0.30994162,19979463,NC
-0.30993932,19979464,NC
-0.33993724,19979465,NC
-0.33993536,19979466,NC
-0.31993365,19979467,NC
-0.31993216,19979468,NC
-0.32493085,19979469,NC
-0.3349297,19979470,NC
-0.35492876,19979471,NC
-0.364928,19979472,NC
-0.36492747,19979473,NC
-0.3649271,19979474,NC
-0.34492695,19979475,NC
-0.32492697,19979476,NC
-0.2599272,19979477,NC
-0.1349276,19979478,NC
0.055071775,19979479,NC
0.315071,19979480,NC
0.58506995,19979481,NC
0.8700688,19979482,NC
1.0450674,19979483,A
1.0500659,19979484,NC
0.89506406,19979485,NC
0.6050621,19979486,NC
0.21505997,19979487,NC
-0.24494237,19979488,NC
-0.6599449,19979489,NC
-0.8249476,19979490,NC
-0.76995057,19979491,NC
-0.6449537,19979492,NC
-0.539957,19979493,NC
-0.44496045,19979494,NC
