channel_0,sample #,type
0.5619526,29833669,A
0.623841,29833670,NC
0.585759,29833671,NC
0.43342483,29833672,NC
0.17635971,29833673,NC
-0.104507804,29833674,NC
-0.35205162,29833675,NC
-0.5234271,29833676,NC
-0.6186344,29833677,NC
-0.6424338,29833678,NC
-0.6281491,29833679,NC
-0.60434324,29833680,NC
-0.57101613,29833681,NC
-0.5472099,29833682,NC
-0.5138825,29833683,NC
-0.499597,29833684,NC
-0.49007192,29833685,NC
-0.5043491,29833686,NC
-0.5376683,29833687,NC
-0.53290313,29833688,NC
-0.53765893,29833689,NC
-0.518612,29833690,NC
-0.48052287,29833691,NC
-0.44243366,29833692,NC
-0.42814678,29833693,NC
-0.41862026,29833694,NC
-0.41861463,29833695,NC
-0.43289033,29833696,NC
-0.4519264,29833697,NC
-0.45192033,29833698,NC
-0.45191404,29833699,NC
-0.4614287,29833700,NC
-0.46142215,29833701,NC
-0.45189437,29833702,NC
-0.43760604,29833703,NC
-0.41379648,29833704,NC
-0.38046575,29833705,NC
-0.3471349,29833706,NC
-0.3280854,29833707,NC
-0.3042752,29833708,NC
-0.28998595,29833709,NC
-0.29473853,29833710,NC
-0.28044897,29833711,NC
-0.29472226,29833712,NC
-0.30423492,29833713,NC
-0.3232684,29833714,NC
-0.31849927,29833715,NC
-0.31849045,29833716,NC
-0.31372097,29833717,NC
-0.30895135,29833718,NC
-0.28513953,29833719,NC
-0.2803696,29833720,NC
-0.270839,29833721,NC
-0.2708293,29833722,NC
-0.27081943,29833723,NC
-0.2660489,29833724,NC
-0.27555972,29833725,NC
-0.27554944,29833726,NC
-0.28506,29833727,NC
-0.28028888,29833728,NC
-0.26599658,29833729,NC
-0.25170413,29833730,NC
-0.25169307,29833731,NC
-0.26120287,29833732,NC
-0.24214947,29833733,NC
-0.26117998,29833734,NC
-0.26592883,29833735,NC
-0.2706775,29833736,NC
-0.27542606,29833737,NC
-0.26113245,29833738,NC
-0.26588067,29833739,NC
-0.27062875,29833740,NC
-0.2610952,29833741,NC
-0.25156146,29833742,NC
-0.2467881,29833743,NC
-0.23725408,29833744,NC
-0.21819891,29833745,NC
-0.2229461,29833746,NC
-0.19913013,29833747,NC
-0.20863755,29833748,NC
-0.2086238,29833749,NC
-0.20384939,29833750,NC
-0.21335638,29833751,NC
-0.20382117,29833752,NC
-0.19428582,29833753,NC
-0.19903184,29833754,NC
-0.17045416,29833755,NC
-0.15615785,29833756,NC
-0.14186141,29833757,NC
-0.118043795,29833758,NC
-0.11326806,29833759,NC
-0.11801321,29833760,NC
-0.11323718,29833761,NC
-0.094179496,29833762,NC
-0.108445205,29833763,NC
-0.09890823,29833764,NC
-0.089371115,29833765,NC
-0.07507335,29833766,NC
-0.056014914,29833767,NC
-0.027435325,29833768,NC
-0.02265813,29833769,NC
-0.017880788,29833770,NC
-0.027384829,29833771,NC
-0.017846685,29833772,NC
-0.0035478908,29833773,NC
-0.0035304755,29833774,NC
-0.008273422,29833775,NC
-0.013016224,29833776,NC
0.0012831528,29833777,NC
0.0060616587,29833778,NC
0.020361328,29833779,NC
0.020379614,29833780,NC
0.025158552,29833781,NC
0.020416621,29833782,NC
0.0061538164,29833783,NC
-0.0033483359,29833784,NC
-0.0033293264,29833785,NC
-0.008070679,29833786,NC
-0.022332905,29833787,NC
-0.03659499,29833788,NC
-0.04609642,29833789,NC
-0.060358215,29833790,NC
-0.06509885,29833791,NC
-0.07936036,29833792,NC
-0.07457969,29833793,NC
-0.09360143,29833794,NC
-0.117383525,29833795,NC
-0.13164446,29833796,NC
-0.15542626,29833797,NC
-0.16968691,29833798,NC
-0.17918691,29833799,NC
-0.17916577,29833800,NC
-0.18866546,29833801,NC
-0.20768605,29833802,NC
-0.21718548,29833803,NC
-0.24096632,29833804,NC
-0.25046545,29833805,NC
-0.26472497,29833806,NC
-0.27422383,29833807,NC
-0.27896205,29833808,NC
-0.28370014,29833809,NC
-0.28843805,29833810,NC
-0.29317585,29833811,NC
-0.302674,29833812,NC
-0.2883695,29833813,NC
-0.28834635,29833814,NC
-0.28832307,29833815,NC
-0.2978207,29833816,NC
-0.28827608,29833817,NC
-0.2930129,29833818,NC
-0.29298908,29833819,NC
-0.28820458,29833820,NC
-0.28341997,29833821,NC
-0.2833957,29833822,NC
-0.27861083,29833823,NC
-0.27858627,29833824,NC
-0.27856162,29833825,NC
-0.2785368,29833826,NC
-0.27851185,29833827,NC
-0.27848676,29833828,NC
-0.28322205,29833829,NC
-0.2879572,29833830,NC
-0.28793168,29833831,NC
-0.28314555,29833832,NC
-0.2974013,29833833,NC
-0.29261485,29833834,NC
-0.3021098,29833835,NC
-0.28304163,29833836,NC
-0.26397327,29833837,NC
-0.2544258,29833838,NC
-0.24487816,29833839,NC
-0.25437248,29833840,NC
-0.2733876,29833841,NC
-0.29240265,29833842,NC
-0.31141755,29833843,NC
-0.31615075,29833844,NC
-0.31136286,29833845,NC
-0.29229328,29833846,NC
-0.2970261,29833847,NC
-0.28271678,29833848,NC
-0.27792832,29833849,NC
-0.27313972,29833850,NC
-0.268351,29833851,NC
-0.27784365,29833852,NC
-0.28733617,29833853,NC
-0.29206806,29833854,NC
-0.2967998,29833855,NC
-0.29201043,29833856,NC
-0.30150244,29833857,NC
-0.30147326,29833858,NC
-0.3062045,29833859,NC
-0.29665405,29833860,NC
-0.30614555,29833861,NC
-0.30135533,29833862,NC
-0.28228348,29833863,NC
-0.29177457,29833864,NC
-0.286984,29833865,NC
-0.28695378,29833866,NC
-0.29168394,29833867,NC
-0.29641396,29833868,NC
-0.29162285,29833869,NC
-0.2820711,29833870,NC
-0.27727973,29833871,NC
-0.2629672,29833872,NC
-0.25817558,29833873,NC
-0.25814432,29833874,NC
-0.26287344,29833875,NC
-0.27712348,29833876,NC
-0.28185233,29833877,NC
-0.29134157,29833878,NC
-0.29130968,29833879,NC
-0.29127765,29833880,NC
-0.3102875,29833881,NC
-0.3102552,29833882,NC
-0.3149833,29833883,NC
-0.30542976,29833884,NC
-0.30063656,29833885,NC
-0.29584327,29833886,NC
-0.29581034,29833887,NC
-0.28149578,29833888,NC
-0.2814626,29833889,NC
-0.2766688,29833890,NC
-0.28139588,29833891,NC
-0.2861228,29833892,NC
-0.30989167,29833893,NC
-0.29081583,29833894,NC
-0.30506343,29833895,NC
-0.30502936,29833896,NC
-0.30023465,29833897,NC
-0.29543984,29833898,NC
-0.2811239,29833899,NC
-0.27632883,29833900,NC
-0.26677313,29833901,NC
-0.2714988,29833902,NC
-0.2809849,29833903,NC
-0.2904709,29833904,NC
-0.30471724,29833905,NC
-0.30944243,29833906,NC
-0.309407,29833907,NC
-0.29032943,29833908,NC
-0.28077278,29833909,NC
-0.28073695,29833910,NC
-0.26641953,29833911,NC
-0.27114397,29833912,NC
-0.26158682,29833913,NC
-0.26631105,29833914,NC
-0.26627466,29833915,NC
-0.26623815,29833916,NC
-0.28048307,29833917,NC
-0.2852068,29833918,NC
-0.2946909,29833919,NC
-0.2756119,29833920,NC
-0.28985628,29833921,NC
-0.29457957,29833922,NC
-0.29930273,29833923,NC
-0.29926524,29833924,NC
-0.28494614,29833925,NC
-0.2849084,29833926,NC
-0.2753496,29833927,NC
-0.28007215,29833928,NC
-0.28479457,29833929,NC
-0.2895169,29833930,NC
-0.28947863,29833931,NC
-0.27991918,29833932,NC
-0.26559913,29833933,NC
-0.23699744,29833934,NC
-0.1988746,29833935,NC
-0.17027266,29833936,NC
-0.14643113,29833937,NC
-0.10354745,29833938,NC
-0.03210059,29833939,NC
0.06790943,29833940,NC
0.18696159,29833941,NC
0.3393374,29833942,NC
0.47267133,29833943,NC
0.6012448,29833944,A
