channel_0,sample #,type
0.27820498,29562921,A
0.35265297,29562922,NC
0.37213725,29562923,NC
0.3272536,29562924,NC
0.17756331,29562925,NC
-0.037998803,29562926,NC
-0.26820797,29562927,NC
-0.43794143,29562928,NC
-0.5380654,29562929,NC
-0.55384904,29562930,NC
-0.51893324,29562931,NC
-0.4789912,29562932,NC
-0.4289102,29562933,NC
-0.42903346,29562934,NC
-0.46007755,29562935,NC
-0.4847867,29562936,NC
-0.50979835,29562937,NC
-0.5347804,29562938,NC
-0.5250733,29562939,NC
-0.5306039,29562940,NC
-0.50560004,29562941,NC
-0.4912417,29562942,NC
-0.4310512,29562943,NC
-0.41633415,29562944,NC
-0.38132423,29562945,NC
-0.3817177,29562946,NC
-0.3972978,29562947,NC
-0.40702045,29562948,NC
-0.40234515,29562949,NC
-0.40282756,29562950,NC
-0.41278946,29562951,NC
-0.4129941,29562952,NC
-0.398436,29562953,NC
-0.38371146,29562954,NC
-0.34921846,29562955,NC
-0.33891553,29562956,NC
-0.3042835,29562957,NC
-0.27948564,29562958,NC
-0.25984117,29562959,NC
-0.2297464,29562960,NC
-0.2351089,29562961,NC
-0.24059565,29562962,NC
-0.23586436,29562963,NC
-0.25122252,29562964,NC
-0.22631939,29562965,NC
-0.22650468,29562966,NC
-0.23675959,29562967,NC
-0.23738961,29562968,NC
-0.23177493,29562969,NC
-0.23227435,29562970,NC
-0.25715065,29562971,NC
-0.23818865,29562972,NC
-0.24337508,29562973,NC
-0.2278801,29562974,NC
-0.23866215,29562975,NC
-0.23918213,29562976,NC
-0.22944286,29562977,NC
-0.21965684,29562978,NC
-0.2247992,29562979,NC
-0.23486581,29562980,NC
-0.25027287,29562981,NC
-0.26061454,29562982,NC
-0.26613384,29562983,NC
-0.26550028,29562984,NC
-0.28173718,29562985,NC
-0.28150553,29562986,NC
-0.29717264,29562987,NC
-0.2778492,29562988,NC
-0.2672284,29562989,NC
-0.26798788,29562990,NC
-0.24341327,29562991,NC
-0.24317402,29562992,NC
-0.24873085,29562993,NC
-0.25392115,29562994,NC
-0.24423322,29562995,NC
-0.24979858,29562996,NC
-0.2699425,29562997,NC
-0.27562362,29562998,NC
-0.27030474,29562999,NC
-0.2655936,29563000,NC
-0.2572429,29563001,NC
-0.22699417,29563002,NC
-0.20162559,29563003,NC
-0.16711563,29563004,NC
-0.15252781,29563005,NC
-0.13316695,29563006,NC
-0.16792458,29563007,NC
-0.18805559,29563008,NC
-0.21396273,29563009,NC
-0.2138588,29563010,NC
-0.21962832,29563011,NC
-0.19977672,29563012,NC
-0.18514298,29563013,NC
-0.17029768,29563014,NC
-0.1704282,29563015,NC
-0.15638229,29563016,NC
-0.14611205,29563017,NC
-0.14174947,29563018,NC
-0.14264059,29563019,NC
-0.13246767,29563020,NC
-0.13278916,29563021,NC
-0.123787664,29563022,NC
-0.11316459,29563023,NC
-0.09357389,29563024,NC
-0.0839424,29563025,NC
-0.083987094,29563026,NC
-0.07975567,29563027,NC
-0.08490606,29563028,NC
-0.07514516,29563029,NC
-0.07537439,29563030,NC
-0.06128323,29563031,NC
-0.05164049,29563032,NC
-0.056758143,29563033,NC
-0.062002983,29563034,NC
-0.07239252,29563035,NC
-0.097878315,29563036,NC
-0.10753606,29563037,NC
-0.10859447,29563038,NC
-0.10333124,29563039,NC
-0.123892695,29563040,NC
-0.13902012,29563041,NC
-0.15464954,29563042,NC
-0.17499445,29563043,NC
-0.18530841,29563044,NC
-0.21085258,29563045,NC
-0.23063986,29563046,NC
-0.23100758,29563047,NC
-0.236477,29563048,NC
-0.23191252,29563049,NC
-0.23238257,29563050,NC
-0.24840516,29563051,NC
-0.27327886,29563052,NC
-0.29347494,29563053,NC
-0.30883247,29563054,NC
-0.3437843,29563055,NC
-0.33401164,29563056,NC
-0.33456764,29563057,NC
-0.3297752,29563058,NC
-0.32036293,29563059,NC
-0.3155308,29563060,NC
-0.30591008,29563061,NC
-0.3112741,29563062,NC
-0.30657682,29563063,NC
-0.31201655,29563064,NC
-0.31268314,29563065,NC
-0.3273693,29563066,NC
-0.33353826,29563067,NC
-0.33796138,29563068,NC
-0.3385526,29563069,NC
-0.33928055,29563070,NC
-0.33946413,29563071,NC
-0.35029662,29563072,NC
-0.35460466,29563073,NC
-0.3452829,29563074,NC
-0.34048226,29563075,NC
-0.3411876,29563076,NC
-0.3466996,29563077,NC
-0.34179136,29563078,NC
-0.3564942,29563079,NC
-0.34209704,29563080,NC
-0.34779266,29563081,NC
-0.33833733,29563082,NC
-0.34306476,29563083,NC
-0.34383765,29563084,NC
-0.33380368,29563085,NC
-0.3245169,29563086,NC
-0.3196904,29563087,NC
-0.32032531,29563088,NC
-0.31054267,29563089,NC
-0.31040853,29563090,NC
-0.32634237,29563091,NC
-0.34127623,29563092,NC
-0.37198427,29563093,NC
-0.37700024,29563094,NC
-0.37239647,29563095,NC
-0.3525718,29563096,NC
-0.30776578,29563097,NC
-0.28796977,29563098,NC
-0.27364138,29563099,NC
-0.29433224,29563100,NC
-0.31460267,29563101,NC
-0.3497203,29563102,NC
-0.3499477,29563103,NC
-0.36551672,29563104,NC
-0.35530657,29563105,NC
-0.33083248,29563106,NC
-0.31603274,29563107,NC
-0.3016243,29563108,NC
-0.30690002,29563109,NC
-0.30234006,29563110,NC
-0.2924867,29563111,NC
-0.2978883,29563112,NC
-0.2877017,29563113,NC
-0.26845652,29563114,NC
-0.25852805,29563115,NC
-0.24367651,29563116,NC
-0.23402286,29563117,NC
-0.22463903,29563118,NC
-0.24010263,29563119,NC
-0.2501809,29563120,NC
-0.2655617,29563121,NC
-0.2712201,29563122,NC
-0.2762654,29563123,NC
-0.31136668,29563124,NC
-0.31656584,29563125,NC
-0.32179058,29563126,NC
-0.33186522,29563127,NC
-0.33285555,29563128,NC
-0.34298736,29563129,NC
-0.3180991,29563130,NC
-0.30327693,29563131,NC
-0.28315192,29563132,NC
-0.2587054,29563133,NC
-0.24398775,29563134,NC
-0.24504542,29563135,NC
-0.25492525,29563136,NC
-0.255429,29563137,NC
-0.28046367,29563138,NC
-0.28581965,29563139,NC
-0.28586695,29563140,NC
-0.28644574,29563141,NC
-0.29110867,29563142,NC
-0.28672436,29563143,NC
-0.28688642,29563144,NC
-0.28747562,29563145,NC
-0.28255105,29563146,NC
-0.2728422,29563147,NC
-0.28337637,29563148,NC
-0.29337427,29563149,NC
-0.29835474,29563150,NC
-0.29881498,29563151,NC
-0.2840312,29563152,NC
-0.28940582,29563153,NC
-0.27488446,29563154,NC
-0.27962944,29563155,NC
-0.28013733,29563156,NC
-0.28530657,29563157,NC
-0.29561222,29563158,NC
-0.2908431,29563159,NC
-0.30120197,29563160,NC
-0.28617442,29563161,NC
-0.286524,29563162,NC
-0.28203347,29563163,NC
-0.29152927,29563164,NC
-0.29218218,29563165,NC
-0.26750168,29563166,NC
-0.25777712,29563167,NC
-0.26756012,29563168,NC
-0.2431364,29563169,NC
-0.22329259,29563170,NC
-0.19360718,29563171,NC
-0.18854018,29563172,NC
-0.16918638,29563173,NC
-0.16411531,29563174,NC
-0.18429835,29563175,NC
-0.18437256,29563176,NC
-0.21994449,29563177,NC
-0.23476884,29563178,NC
-0.23031779,29563179,NC
-0.21525098,29563180,NC
-0.19517039,29563181,NC
-0.16594179,29563182,NC
-0.1357862,29563183,NC
-0.106118456,29563184,NC
-0.06613172,29563185,NC
0.0040789708,29563186,NC
0.06844556,29563187,NC
0.13775389,29563188,NC
0.20806006,29563189,NC
0.26284716,29563190,A
0.28772965,29563191,NC
0.25259703,29563192,NC
0.14759712,29563193,NC
-0.0180528,29563194,NC
-0.21822105,29563195,NC
-0.40323535,29563196,NC
-0.5028596,29563197,NC
-0.5534777,29563198,NC
-0.54845715,29563199,NC
-0.5234541,29563200,NC
-0.489101,29563201,NC
-0.47874048,29563202,NC
-0.45441464,29563203,NC
-0.46380627,29563204,NC
-0.47460908,29563205,NC
-0.489568,29563206,NC
-0.49936733,29563207,NC
-0.5050523,29563208,NC
-0.48988524,29563209,NC
-0.454972,29563210,NC
-0.4246956,29563211,NC
-0.4001813,29563212,NC
-0.400125,29563213,NC
-0.41051847,29563214,NC
