channel_0,sample #,type
1.3039961,19768780,A
1.2917132,19768781,NC
1.1879026,19768782,NC
0.96757215,19768783,NC
0.6056243,19768784,NC
0.16037107,19768785,NC
-0.28071922,19768786,NC
-0.632955,19768787,NC
-0.8366357,19768788,NC
-0.8778774,19768789,NC
-0.79138994,19768790,NC
-0.6632531,19768791,NC
-0.5642747,19768792,NC
-0.51250386,19768793,NC
-0.49405658,19768794,NC
-0.4770001,19768795,NC
-0.46272275,19768796,NC
-0.4540013,19768797,NC
-0.455001,19768798,NC
-0.46849865,19768799,NC
-0.47783357,19768800,NC
-0.47606388,19768801,NC
-0.47290832,19768802,NC
-0.46836683,19768803,NC
-0.46521625,19768804,NC
-0.46067986,19768805,NC
-0.44365054,19768806,NC
-0.42384696,19768807,NC
-0.40265763,19768808,NC
-0.38702446,19768809,NC
-0.3908313,19768810,NC
-0.39880592,19768811,NC
-0.40122965,19768812,NC
-0.39671412,19768813,NC
-0.3797058,19768814,NC
-0.36270013,19768815,NC
-0.34847394,19768816,NC
-0.3370273,19768817,NC
-0.3297485,19768818,NC
-0.3224725,19768819,NC
-0.31103408,19768820,NC
-0.2954333,19768821,NC
-0.27844694,19768822,NC
-0.2711821,19768823,NC
-0.27363878,19768824,NC
-0.27748668,19768825,NC
-0.28411418,19768826,NC
-0.28796783,19768827,NC
-0.29321268,19768828,NC
-0.30262566,19768829,NC
-0.31065312,19768830,NC
-0.30896482,19768831,NC
-0.305891,19768832,NC
-0.30698535,19768833,NC
-0.3108594,19768834,NC
-0.32306677,19768835,NC
-0.33111194,19768836,NC
-0.3294414,19768837,NC
-0.3236087,19768838,NC
-0.30944875,19768839,NC
-0.29806858,19768840,NC
-0.28669143,19768841,NC
-0.26559865,19768842,NC
-0.23756702,19768843,NC
-0.2053733,19768844,NC
-0.17457107,19768845,NC
-0.14793709,19768846,NC
-0.13796686,19768847,NC
-0.1335533,19768848,NC
-0.13053127,19768849,NC
-0.12890077,19768850,NC
-0.10783601,19768851,NC
-0.079832494,19768852,NC
-0.053220537,19768853,NC
-0.039107244,19768854,NC
-0.044434566,19768855,NC
-0.06503734,19768856,NC
-0.0884201,19768857,NC
-0.10625254,19768858,NC
-0.11992308,19768859,NC
-0.12526652,19768860,NC
-0.13339,19768861,NC
-0.1456819,19768862,NC
-0.16075383,19768863,NC
-0.17999423,19768864,NC
-0.20201467,19768865,NC
-0.2268152,19768866,NC
-0.2502306,19768867,NC
-0.26948422,19768868,NC
-0.28596437,19768869,NC
-0.2996711,19768870,NC
-0.31060436,19768871,NC
-0.32570612,19768872,NC
-0.3366461,19768873,NC
-0.34203586,19768874,NC
-0.34742904,19768875,NC
-0.34727204,19768876,NC
-0.35128352,19768877,NC
-0.3469681,19768878,NC
-0.3371026,19768879,NC
-0.32446367,19768880,NC
-0.3132165,19768881,NC
-0.31446826,19768882,NC
-0.32405376,19768883,NC
-0.33364266,19768884,NC
-0.3362931,19768885,NC
-0.33478183,19768886,NC
-0.33327398,19768887,NC
-0.3428766,19768888,NC
-0.35525954,19768889,NC
-0.35792717,19768890,NC
-0.34671444,19768891,NC
-0.31745613,19768892,NC
-0.2868129,19768893,NC
-0.27005702,19768894,NC
-0.26441175,19768895,NC
-0.269877,19768896,NC
-0.2711806,19768897,NC
-0.26554573,19768898,NC
-0.2668563,19768899,NC
-0.2695588,19768900,NC
-0.27365315,19768901,NC
-0.2666439,19768902,NC
-0.2249285,19768903,NC
-0.14017665,19768904,NC
-0.016553506,19768905,NC
0.1417758,19768906,NC
0.32786933,19768907,NC
0.5403387,19768908,NC
0.78057224,19768909,NC
1.0305208,19768910,NC
1.2582519,19768911,A
1.4012878,19768912,NC
1.3902093,19768913,NC
1.1958603,19768914,NC
0.83351296,19768915,NC
0.35592607,19768916,NC
-0.13693659,19768917,NC
-0.5353925,19768918,NC
-0.7658572,19768919,NC
-0.8213889,19768920,NC
-0.7491925,19768921,NC
-0.6256292,19768922,NC
-0.52844894,19768923,NC
-0.4770889,19768924,NC
-0.45072335,19768925,NC
-0.44102195,19768926,NC
-0.43410093,19768927,NC
-0.42857173,19768928,NC
-0.4244345,19768929,NC
-0.42446592,19768930,NC
-0.43283123,19768931,NC
-0.43842328,19768932,NC
-0.44401884,19768933,NC
-0.43712246,19768934,NC
-0.40523866,19768935,NC
-0.36225128,19768936,NC
-0.32759768,19768937,NC
-0.3054431,19768938,NC
-0.3013411,19768939,NC
-0.30140772,19768940,NC
-0.2973127,19768941,NC
-0.29599798,19768942,NC
-0.29746348,19768943,NC
-0.3003209,19768944,NC
-0.29346308,19768945,NC
-0.2866088,19768946,NC
-0.27836955,19768947,NC
-0.27429894,19768948,NC
-0.2813389,19768949,NC
-0.28144047,19768950,NC
-0.27460352,19768951,NC
-0.26915845,19768952,NC
-0.26232842,19768953,NC
-0.26660895,19768954,NC
-0.27228132,19768955,NC
-0.2710152,19768956,NC
