channel_0,sample #,type
0.3875872,26276033,j
0.32761782,26276034,NC
0.24764869,26276035,NC
0.13267988,26276036,NC
0.027711304,26276037,NC
-0.017257003,26276038,NC
-0.027225044,26276039,NC
-0.04719282,26276040,NC
-0.05716033,26276041,NC
-0.09712757,26276042,NC
-0.11209456,26276043,NC
-0.12206128,26276044,NC
-0.13702774,26276045,NC
-0.15199395,26276046,NC
-0.16195989,26276047,NC
-0.17692555,26276048,NC
-0.21189097,26276049,NC
-0.20185614,26276050,NC
-0.19682105,26276051,NC
-0.18678568,26276052,NC
-0.18675007,26276053,NC
-0.20671418,26276054,NC
-0.22167805,26276055,NC
-0.22664167,26276056,NC
-0.20660503,26276057,NC
-0.20656814,26276058,NC
-0.21653098,26276059,NC
-0.21149357,26276060,NC
-0.23145592,26276061,NC
-0.24641801,26276062,NC
-0.24137984,26276063,NC
-0.23634143,26276064,NC
-0.22130276,26276065,NC
-0.23126385,26276066,NC
-0.2512247,26276067,NC
-0.24618527,26276068,NC
-0.26614562,26276069,NC
-0.2511057,26276070,NC
-0.23606554,26276071,NC
-0.23602512,26276072,NC
-0.23598447,26276073,NC
-0.2609436,26276074,NC
-0.24590245,26276075,NC
-0.23586106,26276076,NC
-0.24081942,26276077,NC
-0.23577756,26276078,NC
-0.25073543,26276079,NC
-0.2606931,26276080,NC
-0.2556505,26276081,NC
-0.24060765,26276082,NC
-0.23056458,26276083,NC
-0.23052126,26276084,NC
-0.26047772,26276085,NC
-0.25043392,26276086,NC
-0.2303899,26276087,NC
-0.21534564,26276088,NC
-0.21030112,26276089,NC
-0.21025638,26276090,NC
-0.22021142,26276091,NC
-0.22516622,26276092,NC
-0.21012077,26276093,NC
-0.17507511,26276094,NC
-0.16502923,26276095,NC
-0.1649831,26276096,NC
-0.15993673,26276097,NC
-0.15489013,26276098,NC
-0.14484331,26276099,NC
-0.11979627,26276100,NC
-0.109749,26276101,NC
-0.1247015,26276102,NC
-0.13465376,26276103,NC
-0.13960582,26276104,NC
-0.13955764,26276105,NC
-0.13450925,26276106,NC
-0.12946063,26276107,NC
-0.14941178,26276108,NC
-0.16936272,26276109,NC
-0.18931343,26276110,NC
-0.19426394,26276111,NC
-0.2042142,26276112,NC
-0.22916427,26276113,NC
-0.2491141,26276114,NC
-0.2690637,26276115,NC
-0.29401314,26276116,NC
-0.29396233,26276117,NC
-0.2989113,26276118,NC
-0.30886006,26276119,NC
-0.31880862,26276120,NC
-0.33375695,26276121,NC
-0.3337051,26276122,NC
-0.338653,26276123,NC
-0.3536007,26276124,NC
-0.3385482,26276125,NC
-0.3484955,26276126,NC
-0.3584426,26276127,NC
-0.37838948,26276128,NC
-0.37833616,26276129,NC
-0.37328264,26276130,NC
-0.36822885,26276131,NC
-0.38317496,26276132,NC
-0.4031208,26276133,NC
-0.41306645,26276134,NC
-0.3980119,26276135,NC
-0.39295715,26276136,NC
-0.41290224,26276137,NC
-0.4278471,26276138,NC
-0.43279174,26276139,NC
-0.4327362,26276140,NC
-0.43268046,26276141,NC
-0.41262457,26276142,NC
-0.41756845,26276143,NC
-0.41251212,26276144,NC
-0.4324556,26276145,NC
-0.44239894,26276146,NC
-0.42234203,26276147,NC
-0.43228495,26276148,NC
-0.4222277,26276149,NC
-0.42217025,26276150,NC
-0.44211262,26276151,NC
-0.4370548,26276152,NC
-0.43199676,26276153,NC
-0.4219386,26276154,NC
-0.42188022,26276155,NC
-0.42182165,26276156,NC
-0.4317629,26276157,NC
-0.446704,26276158,NC
-0.4366449,26276159,NC
-0.40658563,26276160,NC
-0.40152615,26276161,NC
-0.39146653,26276162,NC
-0.41140673,26276163,NC
-0.40634674,26276164,NC
-0.39628658,26276165,NC
-0.38622624,26276166,NC
-0.37116575,26276167,NC
-0.39110506,26276168,NC
-0.40604421,26276169,NC
-0.3959832,26276170,NC
-0.38092202,26276171,NC
-0.38086066,26276172,NC
-0.35579914,26276173,NC
-0.36573744,26276174,NC
-0.3806756,26276175,NC
-0.36561358,26276176,NC
-0.3655514,26276177,NC
-0.35548908,26276178,NC
-0.36042657,26276179,NC
-0.37536392,26276180,NC
-0.35530108,26276181,NC
-0.37023813,26276182,NC
-0.36017498,26276183,NC
-0.33511168,26276184,NC
-0.33004823,26276185,NC
-0.34498465,26276186,NC
-0.3499209,26276187,NC
-0.34985697,26276188,NC
-0.34479293,26276189,NC
-0.3297287,26276190,NC
-0.31966436,26276191,NC
-0.32959983,26276192,NC
-0.3495352,26276193,NC
-0.33947042,26276194,NC
-0.33440545,26276195,NC
-0.31934035,26276196,NC
-0.29927513,26276197,NC
-0.31420976,26276198,NC
-0.31914425,26276199,NC
-0.3140786,26276200,NC
-0.30401278,26276201,NC
-0.28894684,26276202,NC
-0.27888077,26276203,NC
-0.29381457,26276204,NC
-0.30874825,26276205,NC
-0.29868174,26276206,NC
-0.29861513,26276207,NC
-0.2785484,26276208,NC
-0.2534815,26276209,NC
-0.2634145,26276210,NC
-0.26834735,26276211,NC
-0.2932801,26276212,NC
-0.28321272,26276213,NC
-0.27814522,26276214,NC
-0.27307755,26276215,NC
-0.2480098,26276216,NC
-0.20794192,26276217,NC
-0.1378739,26276218,NC
-0.03280577,26276219,NC
0.067262486,26276220,NC
0.16233085,26276221,NC
0.21239933,26276222,NC
0.20246793,26276223,A
0.117536664,26276224,NC
0.017605495,26276225,NC
-0.07232556,26276226,NC
-0.1172565,26276227,NC
-0.16718732,26276228,NC
-0.19711804,26276229,NC
