channel_0,sample #,type
0.5201087,11122103,R
0.6908472,11122104,NC
0.77231336,11122105,NC
0.67996913,11122106,NC
0.34191754,11122107,NC
-0.14785329,11122108,NC
-0.70877224,11122109,NC
-1.2164441,11122110,NC
-1.5680773,11122111,NC
-1.7872392,11122112,NC
-1.8711667,11122113,NC
-1.9224713,11122114,NC
-1.9613917,11122115,NC
-1.9901345,11122116,NC
-2.0250068,11122117,NC
-2.0492477,11122118,NC
-2.0706902,11122119,NC
-2.064911,11122120,NC
-2.0585506,11122121,NC
-2.0512238,11122122,NC
-2.0412333,11122123,NC
-2.035583,11122124,NC
-2.0026696,11122125,NC
-1.9797301,11122126,NC
-1.9318552,11122127,NC
-1.8861221,11122128,NC
-1.7790911,11122129,NC
-1.6472776,11122130,NC
-1.4740584,11122131,NC
-1.3029147,11122132,NC
-1.1595056,11122133,NC
-1.0351337,11122134,NC
-0.92809767,11122135,NC
-0.8714965,11122136,NC
-0.81139517,11122137,NC
-0.79331446,11122138,NC
-0.78765655,11122139,NC
-0.7829622,11122140,NC
-0.78388345,11122141,NC
-0.7720269,11122142,NC
-0.7532089,11122143,NC
-0.7413908,11122144,NC
-0.7261014,11122145,NC
-0.7115834,11122146,NC
-0.70032495,11122147,NC
-0.69636816,11122148,NC
-0.6905591,11122149,NC
-0.7069097,11122150,NC
-0.7169019,11122151,NC
-0.72799355,11122152,NC
-0.7182562,11122153,NC
-0.71802115,11122154,NC
-0.70878696,11122155,NC
-0.7119047,11122156,NC
-0.6973517,11122157,NC
-0.70973223,11122158,NC
-0.7060746,11122159,NC
-0.7368835,11122160,NC
-0.74747294,11122161,NC
-0.7600774,11122162,NC
-0.78163785,11122163,NC
-0.79672724,11122164,NC
-0.7997517,11122165,NC
-0.80583096,11122166,NC
-0.8322423,11122167,NC
-0.83383065,11122168,NC
-0.8358641,11122169,NC
-0.82761407,11122170,NC
-0.82379305,11122171,NC
-0.8532391,11122172,NC
-0.8643627,11122173,NC
-0.87523806,11122174,NC
-0.90114886,11122175,NC
-0.8994444,11122176,NC
-0.9204809,11122177,NC
-0.9286727,11122178,NC
-0.93917674,11122179,NC
-0.9436669,11122180,NC
-0.94279796,11122181,NC
-0.9320251,11122182,NC
-0.9334177,11122183,NC
-0.93876046,11122184,NC
-0.9576373,11122185,NC
-0.9712522,11122186,NC
-0.9866829,11122187,NC
-0.96995384,11122188,NC
-0.9737538,11122189,NC
-0.97795004,11122190,NC
-0.9766182,11122191,NC
-0.9764271,11122192,NC
-0.9796151,11122193,NC
-0.9611183,11122194,NC
-0.93302155,11122195,NC
-0.94132406,11122196,NC
-0.9328863,11122197,NC
-0.92858434,11122198,NC
-0.916942,11122199,NC
-0.90801924,11122200,NC
-0.9040634,11122201,NC
-0.8897289,11122202,NC
-0.8679668,11122203,NC
-0.84973437,11122204,NC
-0.8482965,11122205,NC
-0.8308554,11122206,NC
-0.7827205,11122207,NC
-0.77091193,11122208,NC
-0.74215066,11122209,NC
-0.7382331,11122210,NC
-0.73523265,11122211,NC
-0.7401288,11122212,NC
-0.7250174,11122213,NC
-0.71265197,11122214,NC
-0.69097775,11122215,NC
-0.6880314,11122216,NC
-0.67035246,11122217,NC
-0.6657864,11122218,NC
-0.6542661,11122219,NC
-0.63864213,11122220,NC
-0.62315977,11122221,NC
-0.6220127,11122222,NC
-0.6175871,11122223,NC
-0.60371876,11122224,NC
-0.6034328,11122225,NC
-0.5891734,11122226,NC
-0.60338193,11122227,NC
-0.57631105,11122228,NC
-0.56591606,11122229,NC
-0.56837213,11122230,NC
-0.56390744,11122231,NC
-0.5436905,11122232,NC
-0.53977215,11122233,NC
-0.5472867,11122234,NC
-0.54749906,11122235,NC
-0.56048936,11122236,NC
-0.5633469,11122237,NC
-0.535031,11122238,NC
-0.52768445,11122239,NC
-0.5108544,11122240,NC
-0.4924961,11122241,NC
-0.4903032,11122242,NC
-0.48850474,11122243,NC
-0.50569785,11122244,NC
-0.515994,11122245,NC
-0.50806105,11122246,NC
-0.52515,11122247,NC
-0.5317476,11122248,NC
-0.53119147,11122249,NC
-0.5493371,11122250,NC
-0.55612874,11122251,NC
-0.59730273,11122252,NC
-0.6080116,11122253,NC
-0.59273255,11122254,NC
-0.58636826,11122255,NC
-0.57382077,11122256,NC
-0.5853638,11122257,NC
-0.5905518,11122258,NC
-0.6161426,11122259,NC
-0.64742315,11122260,NC
-0.660373,11122261,NC
-0.7055043,11122262,NC
-0.7246844,11122263,NC
-0.70563626,11122264,NC
-0.6933208,11122265,NC
-0.6714329,11122266,NC
-0.66941035,11122267,NC
-0.64817905,11122268,NC
-0.6602883,11122269,NC
-0.6910188,11122270,NC
-0.70178455,11122271,NC
-0.70330113,11122272,NC
-0.7223092,11122273,NC
-0.75041234,11122274,NC
-0.7402812,11122275,NC
-0.7159904,11122276,NC
-0.72286606,11122277,NC
-0.7083278,11122278,NC
-0.6950685,11122279,NC
-0.68517035,11122280,NC
-0.68677324,11122281,NC
-0.6888061,11122282,NC
-0.694611,11122283,NC
-0.7128887,11122284,NC
-0.7062336,11122285,NC
-0.7252366,11122286,NC
-0.71492714,11122287,NC
-0.68854374,11122288,NC
-0.68047905,11122289,NC
-0.67807865,11122290,NC
-0.6699928,11122291,NC
-0.66171706,11122292,NC
-0.6791094,11122293,NC
-0.6838614,11122294,NC
-0.69276994,11122295,NC
-0.6818513,11122296,NC
-0.69542456,11122297,NC
-0.68492305,11122298,NC
-0.6820733,11122299,NC
-0.6733211,11122300,NC
-0.6641715,11122301,NC
-0.64945143,11122302,NC
-0.62693024,11122303,NC
-0.6292714,11122304,NC
-0.6459917,11122305,NC
-0.6479931,11122306,NC
-0.6592356,11122307,NC
-0.66350585,11122308,NC
-0.684776,11122309,NC
-0.6719995,11122310,NC
-0.67688483,11122311,NC
-0.66921586,11122312,NC
-0.6454102,11122313,NC
-0.62133384,11122314,NC
-0.64285076,11122315,NC
-0.6424534,11122316,NC
-0.62725914,11122317,NC
-0.62263554,11122318,NC
-0.6357769,11122319,NC
-0.62422216,11122320,NC
-0.6372986,11122321,NC
-0.65074,11122322,NC
-0.65559983,11122323,NC
-0.65841883,11122324,NC
-0.6541887,11122325,NC
-0.6588194,11122326,NC
-0.63537246,11122327,NC
-0.628835,11122328,NC
-0.5829873,11122329,NC
-0.49558306,11122330,NC
-0.39003098,11122331,NC
-0.2527863,11122332,NC
-0.09085705,11122333,NC
0.03384938,11122334,NC
0.107702754,11122335,NC
0.13077398,11122336,NC
0.13053732,11122337,NC
0.15483424,11122338,NC
0.24735914,11122339,NC
0.40464172,11122340,NC
0.6247175,11122341,NC
0.821643,11122342,A
0.9078151,11122343,NC
0.83691055,11122344,NC
0.5326714,11122345,NC
0.060809728,11122346,NC
-0.5036903,11122347,NC
-1.01243,11122348,NC
-1.4044193,11122349,NC
-1.6473408,11122350,NC
-1.7690619,11122351,NC
-1.8211231,11122352,NC
-1.8782325,11122353,NC
-1.9237341,11122354,NC
-1.9941945,11122355,NC
-2.0557642,11122356,NC
-2.1022766,11122357,NC
-2.0977561,11122358,NC
-2.0870464,11122359,NC
-2.0548346,11122360,NC
-2.013812,11122361,NC
-1.9916878,11122362,NC
-1.9404764,11122363,NC
-1.89239,11122364,NC
-1.8435762,11122365,NC
-1.7628369,11122366,NC
-1.6529348,11122367,NC
-1.4863008,11122368,NC
-1.3270651,11122369,NC
-1.1718272,11122370,NC
-1.0213225,11122371,NC
-0.8982811,11122372,NC
-0.8059171,11122373,NC
-0.76407516,11122374,NC
-0.7143658,11122375,NC
-0.70845884,11122376,NC
-0.6861922,11122377,NC
-0.68676394,11122378,NC
-0.66244185,11122379,NC
-0.6647196,11122380,NC
-0.6528954,11122381,NC
-0.65612423,11122382,NC
-0.6587853,11122383,NC
-0.66624576,11122384,NC
-0.6399784,11122385,NC
-0.6308276,11122386,NC
-0.63679564,11122387,NC
-0.63015884,11122388,NC
-0.6432856,11122389,NC
-0.6493787,11122390,NC
-0.6629395,11122391,NC
-0.6500323,11122392,NC
-0.6625737,11122393,NC
-0.69620013,11122394,NC
-0.71251804,11122395,NC
-0.7349995,11122396,NC
-0.72984105,11122397,NC
-0.73211837,11122398,NC
-0.7134183,11122399,NC
-0.7140048,11122400,NC
-0.7172987,11122401,NC
-0.7214701,11122402,NC
-0.75709295,11122403,NC
-0.7799855,11122404,NC
-0.80826724,11122405,NC
-0.8254851,11122406,NC
-0.8611813,11122407,NC
-0.86106604,11122408,NC
-0.8678642,11122409,NC
-0.8821223,11122410,NC
-0.8565882,11122411,NC
-0.86099535,11122412,NC
-0.86402065,11122413,NC
-0.8877453,11122414,NC
-0.9058979,11122415,NC
-0.9234574,11122416,NC
-0.92984045,11122417,NC
-0.9531138,11122418,NC
-0.97299886,11122419,NC
-0.953513,11122420,NC
-0.94476056,11122421,NC
-0.92263407,11122422,NC
-0.9312669,11122423,NC
-0.9100314,11122424,NC
-0.91576433,11122425,NC
-0.89996207,11122426,NC
-0.9101216,11122427,NC
-0.92433435,11122428,NC
-0.91256356,11122429,NC
-0.8987796,11122430,NC
-0.9015611,11122431,NC
-0.8785887,11122432,NC
-0.8510085,11122433,NC
-0.81929475,11122434,NC
-0.78874123,11122435,NC
-0.77887696,11122436,NC
-0.7712931,11122437,NC
-0.75899917,11122438,NC
-0.7510201,11122439,NC
-0.7460541,11122440,NC
