channel_0,sample #,type
0.6292809,29731270,A
0.66636854,29731271,NC
0.5948617,29731272,NC
0.42876184,29731273,NC
0.20990612,29731274,NC
-0.032846685,29731275,NC
-0.23037736,29731276,NC
-0.3625854,29731277,NC
-0.45277864,29731278,NC
-0.47153243,29731279,NC
-0.46235403,29731280,NC
-0.44582036,29731281,NC
-0.40963405,29731282,NC
-0.35943288,29731283,NC
-0.33881405,29731284,NC
-0.35819408,29731285,NC
-0.37599865,29731286,NC
-0.38093278,29731287,NC
-0.39747307,29731288,NC
-0.39440382,29731289,NC
-0.37990293,29731290,NC
-0.35069606,29731291,NC
-0.31756148,29731292,NC
-0.28603807,29731293,NC
-0.28197214,29731294,NC
-0.27262944,29731295,NC
-0.2950036,29731296,NC
-0.3076276,29731297,NC
-0.30636322,29731298,NC
-0.320804,29731299,NC
-0.31646237,29731300,NC
-0.30855587,29731301,NC
-0.30463874,29731302,NC
-0.30343252,29731303,NC
-0.28305286,29731304,NC
-0.2647936,29731305,NC
-0.23942435,29731306,NC
-0.20858274,29731307,NC
-0.18723251,29731308,NC
-0.17510338,29731309,NC
-0.16693835,29731310,NC
-0.17229597,29731311,NC
-0.17989486,29731312,NC
-0.18290488,29731313,NC
-0.18728006,29731314,NC
-0.18324326,29731315,NC
-0.18016672,29731316,NC
-0.16611685,29731317,NC
-0.16252832,29731318,NC
-0.16161382,29731319,NC
-0.15282446,29731320,NC
-0.16273391,29731321,NC
-0.15687218,29731322,NC
-0.15941457,29731323,NC
-0.15830621,29731324,NC
-0.17673796,29731325,NC
-0.17544995,29731326,NC
-0.18348749,29731327,NC
-0.17519464,29731328,NC
-0.16684423,29731329,NC
-0.16679649,29731330,NC
-0.17114736,29731331,NC
-0.14507227,29731332,NC
-0.15374011,29731333,NC
-0.14880392,29731334,NC
-0.15502192,29731335,NC
-0.1533766,29731336,NC
-0.15529972,29731337,NC
-0.15899336,29731338,NC
-0.1537536,29731339,NC
-0.14463557,29731340,NC
-0.14028771,29731341,NC
-0.11949889,29731342,NC
-0.11467519,29731343,NC
-0.111076295,29731344,NC
-0.12005971,29731345,NC
-0.12576616,29731346,NC
-0.11505541,29731347,NC
-0.107787676,29731348,NC
-0.11024623,29731349,NC
-0.10646871,29731350,NC
-0.11052198,29731351,NC
-0.10613034,29731352,NC
-0.10152497,29731353,NC
-0.08098416,29731354,NC
-0.07657866,29731355,NC
-0.05274274,29731356,NC
-0.050855942,29731357,NC
-0.03909519,29731358,NC
-0.037937105,29731359,NC
-0.02604053,29731360,NC
-0.020910133,29731361,NC
-0.012388635,29731362,NC
-0.009689586,29731363,NC
0.004612443,29731364,NC
0.006779088,29731365,NC
0.017226929,29731366,NC
0.028989553,29731367,NC
0.044194203,29731368,NC
0.042516846,29731369,NC
0.04207148,29731370,NC
0.04253852,29731371,NC
0.037914902,29731372,NC
0.040349357,29731373,NC
0.029963223,29731374,NC
0.038343906,29731375,NC
0.042947046,29731376,NC
0.04165341,29731377,NC
0.060629293,29731378,NC
0.05094192,29731379,NC
0.063686,29731380,NC
0.07245142,29731381,NC
0.064662755,29731382,NC
0.06820403,29731383,NC
0.05882005,29731384,NC
0.04329252,29731385,NC
0.017917315,29731386,NC
0.012769363,29731387,NC
-0.00029794942,29731388,NC
-0.0075715017,29731389,NC
-0.013231395,29731390,NC
-0.021174362,29731391,NC
-0.04174329,29731392,NC
-0.06872441,29731393,NC
-0.085808545,29731394,NC
-0.093552105,29731395,NC
-0.10596475,29731396,NC
-0.1150131,29731397,NC
-0.12428468,29731398,NC
-0.12324128,29731399,NC
-0.12878172,29731400,NC
-0.13091631,29731401,NC
-0.13334183,29731402,NC
-0.13185449,29731403,NC
-0.1308462,29731404,NC
-0.13237913,29731405,NC
-0.14082922,29731406,NC
-0.13516586,29731407,NC
-0.14537148,29731408,NC
-0.1503186,29731409,NC
-0.1654651,29731410,NC
-0.17502496,29731411,NC
-0.16721916,29731412,NC
-0.17639218,29731413,NC
-0.1789274,29731414,NC
-0.17033054,29731415,NC
-0.16580862,29731416,NC
-0.17647867,29731417,NC
-0.17989212,29731418,NC
-0.1789256,29731419,NC
-0.17566341,29731420,NC
-0.17604998,29731421,NC
-0.18645388,29731422,NC
-0.17464991,29731423,NC
-0.1709558,29731424,NC
-0.17090234,29731425,NC
-0.15334131,29731426,NC
-0.144787,29731427,NC
-0.14951694,29731428,NC
-0.14933097,29731429,NC
-0.15031508,29731430,NC
-0.15100199,29731431,NC
-0.15506864,29731432,NC
-0.1760431,29731433,NC
-0.19778606,29731434,NC
-0.19757538,29731435,NC
-0.19676057,29731436,NC
-0.1924185,29731437,NC
-0.19549303,29731438,NC
-0.18400925,29731439,NC
-0.18380743,29731440,NC
-0.1880962,29731441,NC
-0.19151282,29731442,NC
-0.1937766,29731443,NC
-0.19649649,29731444,NC
-0.20133114,29731445,NC
-0.19437982,29731446,NC
-0.1945092,29731447,NC
-0.19308123,29731448,NC
-0.18397331,29731449,NC
-0.16230968,29731450,NC
-0.15461567,29731451,NC
-0.14847775,29731452,NC
-0.14131553,29731453,NC
-0.13868532,29731454,NC
-0.13798764,29731455,NC
-0.13346972,29731456,NC
-0.14544995,29731457,NC
-0.14552963,29731458,NC
-0.15809014,29731459,NC
-0.15898632,29731460,NC
-0.15385704,29731461,NC
-0.16555043,29731462,NC
-0.15977536,29731463,NC
-0.1580644,29731464,NC
-0.14953129,29731465,NC
-0.15411673,29731466,NC
-0.15497293,29731467,NC
-0.15881425,29731468,NC
-0.16566463,29731469,NC
-0.18107611,29731470,NC
-0.17531872,29731471,NC
-0.17511553,29731472,NC
-0.17080034,29731473,NC
-0.16254775,29731474,NC
-0.14075634,29731475,NC
-0.14260946,29731476,NC
-0.1352405,29731477,NC
-0.15482081,29731478,NC
-0.14960459,29731479,NC
-0.1749417,29731480,NC
-0.17616181,29731481,NC
-0.17831796,29731482,NC
-0.18328375,29731483,NC
-0.17790425,29731484,NC
-0.17153962,29731485,NC
-0.16244484,29731486,NC
-0.15355262,29731487,NC
-0.14962018,29731488,NC
