channel_0,sample #,type
0.40942273,29736682,A
0.46513236,29736683,NC
0.40836498,29736684,NC
0.2621305,29736685,NC
0.010145104,29736686,NC
-0.26610056,29736687,NC
-0.49976662,29736688,NC
-0.6452291,29736689,NC
-0.71586555,29736690,NC
-0.7270309,29736691,NC
-0.69740725,29736692,NC
-0.6632906,29736693,NC
-0.6175317,29736694,NC
-0.579083,29736695,NC
-0.55716115,29736696,NC
-0.54036486,29736697,NC
-0.5608549,29736698,NC
-0.580733,29736699,NC
-0.5707669,29736700,NC
-0.5586132,29736701,NC
-0.5326337,29736702,NC
-0.4885526,29736703,NC
-0.4568473,29736704,NC
-0.4487244,29736705,NC
-0.44960392,29736706,NC
-0.46268162,29736707,NC
-0.49009445,29736708,NC
-0.50232726,29736709,NC
-0.50420904,29736710,NC
-0.49883497,29736711,NC
-0.50062764,29736712,NC
-0.476154,29736713,NC
-0.44989923,29736714,NC
-0.42872977,29736715,NC
-0.40550864,29736716,NC
-0.37450606,29736717,NC
-0.36659992,29736718,NC
-0.35341007,29736719,NC
-0.34971473,29736720,NC
-0.34902352,29736721,NC
-0.3497511,29736722,NC
-0.34931827,29736723,NC
-0.33845592,29736724,NC
-0.32482383,29736725,NC
-0.31929436,29736726,NC
-0.31938878,29736727,NC
-0.32015905,29736728,NC
-0.330751,29736729,NC
-0.33561894,29736730,NC
-0.3443042,29736731,NC
-0.33932105,29736732,NC
-0.36167565,29736733,NC
-0.35076663,29736734,NC
-0.33145475,29736735,NC
-0.33975694,29736736,NC
-0.33135444,29736737,NC
-0.3383507,29736738,NC
-0.34077895,29736739,NC
-0.32476833,29736740,NC
-0.33244586,29736741,NC
-0.33636272,29736742,NC
-0.3457719,29736743,NC
-0.34281114,29736744,NC
-0.34169626,29736745,NC
-0.35560724,29736746,NC
-0.33233133,29736747,NC
-0.31305778,29736748,NC
-0.30007485,29736749,NC
-0.29366058,29736750,NC
-0.30222622,29736751,NC
-0.30334938,29736752,NC
-0.3087309,29736753,NC
-0.3168872,29736754,NC
-0.33310732,29736755,NC
-0.3275088,29736756,NC
-0.33072877,29736757,NC
-0.3126252,29736758,NC
-0.3091681,29736759,NC
-0.29063457,29736760,NC
-0.28135803,29736761,NC
-0.26797098,29736762,NC
-0.2685221,29736763,NC
-0.26744446,29736764,NC
-0.26872855,29736765,NC
-0.27506435,29736766,NC
-0.26945177,29736767,NC
-0.2651542,29736768,NC
-0.24506162,29736769,NC
-0.22606044,29736770,NC
-0.22083987,29736771,NC
-0.19877926,29736772,NC
-0.18455075,29736773,NC
-0.16064028,29736774,NC
-0.16136803,29736775,NC
-0.16075662,29736776,NC
-0.1473635,29736777,NC
-0.14036605,29736778,NC
-0.14452568,29736779,NC
-0.13798209,29736780,NC
-0.14214642,29736781,NC
-0.11991955,29736782,NC
-0.11191444,29736783,NC
-0.09752102,29736784,NC
-0.08263658,29736785,NC
-0.07127013,29736786,NC
-0.097635455,29736787,NC
-0.08237245,29736788,NC
-0.0822932,29736789,NC
-0.097757705,29736790,NC
-0.10295737,29736791,NC
-0.11495858,29736792,NC
-0.10213753,29736793,NC
-0.097274885,29736794,NC
-0.09839906,29736795,NC
-0.09716296,29736796,NC
-0.10606827,29736797,NC
-0.12278548,29736798,NC
-0.1363755,29736799,NC
-0.15043081,29736800,NC
-0.17020428,29736801,NC
-0.19465813,29736802,NC
-0.22476666,29736803,NC
-0.24401931,29736804,NC
-0.27346504,29736805,NC
-0.2768783,29736806,NC
-0.2731122,29736807,NC
-0.2703625,29736808,NC
-0.28478646,29736809,NC
-0.27423605,29736810,NC
-0.2860389,29736811,NC
-0.2943995,29736812,NC
-0.3209163,29736813,NC
-0.3415698,29736814,NC
-0.35586265,29736815,NC
-0.36439204,29736816,NC
-0.359514,29736817,NC
-0.34998664,29736818,NC
-0.34405613,29736819,NC
-0.3492936,29736820,NC
-0.35520214,29736821,NC
-0.35547677,29736822,NC
-0.3605166,29736823,NC
-0.37095356,29736824,NC
-0.38343182,29736825,NC
-0.3846831,29736826,NC
-0.3856575,29736827,NC
-0.38765383,29736828,NC
-0.37968168,29736829,NC
-0.3971492,29736830,NC
-0.38669953,29736831,NC
-0.38049236,29736832,NC
-0.39154267,29736833,NC
-0.38535413,29736834,NC
-0.38743588,29736835,NC
-0.3851643,29736836,NC
-0.38815776,29736837,NC
-0.39582515,29736838,NC
-0.40511805,29736839,NC
-0.40887105,29736840,NC
-0.3973518,29736841,NC
-0.39827883,29736842,NC
-0.39801082,29736843,NC
-0.39798692,29736844,NC
-0.389537,29736845,NC
-0.38456124,29736846,NC
-0.37309995,29736847,NC
-0.37925985,29736848,NC
-0.392029,29736849,NC
-0.40392914,29736850,NC
-0.41297776,29736851,NC
-0.42341083,29736852,NC
-0.4297401,29736853,NC
-0.43646038,29736854,NC
-0.4178778,29736855,NC
-0.41051346,29736856,NC
-0.41995296,29736857,NC
-0.3947684,29736858,NC
-0.39976233,29736859,NC
-0.39369065,29736860,NC
-0.38991654,29736861,NC
-0.400182,29736862,NC
-0.393955,29736863,NC
-0.41455242,29736864,NC
-0.41622132,29736865,NC
-0.41181123,29736866,NC
-0.39654326,29736867,NC
-0.36574897,29736868,NC
-0.35725477,29736869,NC
-0.33080405,29736870,NC
-0.33616975,29736871,NC
-0.34409463,29736872,NC
-0.34787744,29736873,NC
-0.35971254,29736874,NC
-0.3718551,29736875,NC
-0.38530895,29736876,NC
-0.39887655,29736877,NC
-0.39832148,29736878,NC
-0.3920776,29736879,NC
-0.38323563,29736880,NC
-0.3883491,29736881,NC
-0.3665777,29736882,NC
-0.3778946,29736883,NC
-0.37415922,29736884,NC
-0.38996762,29736885,NC
-0.39506167,29736886,NC
-0.41142887,29736887,NC
-0.42337915,29736888,NC
-0.41785622,29736889,NC
-0.41863525,29736890,NC
-0.40257582,29736891,NC
-0.37427434,29736892,NC
-0.3440174,29736893,NC
-0.332958,29736894,NC
-0.34189865,29736895,NC
-0.35783547,29736896,NC
-0.37236616,29736897,NC
-0.3842757,29736898,NC
-0.39974317,29736899,NC
-0.41638294,29736900,NC
-0.4141416,29736901,NC
-0.40888813,29736902,NC
-0.39978486,29736903,NC
-0.39044535,29736904,NC
-0.37319228,29736905,NC
-0.36900982,29736906,NC
-0.37331894,29736907,NC
-0.36606705,29736908,NC
-0.3758842,29736909,NC
-0.3787571,29736910,NC
-0.39031932,29736911,NC
-0.396031,29736912,NC
-0.39605254,29736913,NC
-0.40058511,29736914,NC
-0.37450427,29736915,NC
-0.37096405,29736916,NC
-0.36995628,29736917,NC
-0.36043522,29736918,NC
-0.3721071,29736919,NC
-0.36720946,29736920,NC
-0.37681034,29736921,NC
-0.38294592,29736922,NC
-0.38208684,29736923,NC
-0.38482168,29736924,NC
-0.3767248,29736925,NC
-0.38768283,29736926,NC
-0.36465326,29736927,NC
-0.3680745,29736928,NC
-0.37321073,29736929,NC
-0.3607533,29736930,NC
-0.3665156,29736931,NC
-0.3675382,29736932,NC
-0.36151472,29736933,NC
-0.35723346,29736934,NC
-0.3590669,29736935,NC
-0.3505788,29736936,NC
-0.32354134,29736937,NC
-0.2917114,29736938,NC
-0.25857505,29736939,NC
-0.21263577,29736940,NC
-0.14305472,29736941,NC
-0.04534321,29736942,NC
0.06106171,29736943,NC
0.18685794,29736944,NC
0.2904242,29736945,A
0.37582338,29736946,NC
0.41660738,29736947,NC
0.34613916,29736948,NC
0.14218032,29736949,NC
-0.14368902,29736950,NC
-0.40534726,29736951,NC
-0.60988414,29736952,NC
-0.7193981,29736953,NC
-0.74795455,29736954,NC
-0.73516315,29736955,NC
-0.70672643,29736956,NC
-0.6592846,29736957,NC
-0.630774,29736958,NC
-0.59148556,29736959,NC
-0.5700571,29736960,NC
-0.57403684,29736961,NC
-0.58593446,29736962,NC
-0.5947779,29736963,NC
-0.61465394,29736964,NC
-0.61461776,29736965,NC
-0.58148795,29736966,NC
-0.53703326,29736967,NC
-0.5019655,29736968,NC
-0.47998467,29736969,NC
-0.48021975,29736970,NC
-0.502206,29736971,NC
-0.52869105,29736972,NC
-0.5575257,29736973,NC
-0.5601935,29736974,NC
-0.56467617,29736975,NC
-0.5464107,29736976,NC
-0.5275262,29736977,NC
-0.50758964,29736978,NC
-0.4971115,29736979,NC
-0.47563294,29736980,NC
-0.45838243,29736981,NC
-0.44421586,29736982,NC
-0.43673554,29736983,NC
-0.4215668,29736984,NC
-0.41003633,29736985,NC
-0.40903258,29736986,NC
-0.39266363,29736987,NC
-0.38623706,29736988,NC
-0.3775379,29736989,NC
-0.3629929,29736990,NC
-0.37192884,29736991,NC
-0.37363535,29736992,NC
-0.37202764,29736993,NC
-0.3945687,29736994,NC
-0.39496353,29736995,NC
-0.4035942,29736996,NC
-0.42635006,29736997,NC
-0.42334405,29736998,NC
-0.40554807,29736999,NC
-0.39828017,29737000,NC
-0.36847636,29737001,NC
-0.36385483,29737002,NC
-0.36334878,29737003,NC
-0.36370194,29737004,NC
-0.36436406,29737005,NC
-0.3569673,29737006,NC
-0.3837263,29737007,NC
-0.38336563,29737008,NC
-0.39309508,29737009,NC
-0.39864814,29737010,NC
-0.38210106,29737011,NC
-0.37439433,29737012,NC
-0.35467595,29737013,NC
-0.33050522,29737014,NC
-0.33512545,29737015,NC
-0.33075854,29737016,NC
