channel_0,sample #,type
0.4882226,29804242,A
0.5083083,29804243,NC
0.51232433,29804244,NC
0.46973267,29804245,NC
0.3508828,29804246,NC
0.17608851,29804247,NC
-0.017683212,29804248,NC
-0.18609369,29804249,NC
-0.3023522,29804250,NC
-0.3572721,29804251,NC
-0.3672878,29804252,NC
-0.342287,29804253,NC
-0.30104753,29804254,NC
-0.2623372,29804255,NC
-0.23610936,29804256,NC
-0.22871134,29804257,NC
-0.23599246,29804258,NC
-0.24620086,29804259,NC
-0.24857292,29804260,NC
-0.23467477,29804261,NC
-0.20989808,29804262,NC
-0.17871879,29804263,NC
-0.15378286,29804264,NC
-0.13995467,29804265,NC
-0.13763794,29804266,NC
-0.1462931,29804267,NC
-0.15636182,29804268,NC
-0.16920584,29804269,NC
-0.1754543,29804270,NC
-0.17549415,29804271,NC
-0.17060976,29804272,NC
-0.1556513,29804273,NC
-0.13430932,29804274,NC
-0.109329015,29804275,NC
-0.08039263,29804276,NC
-0.05725994,29804277,NC
-0.042291902,29804278,NC
-0.03595835,29804279,NC
-0.036001753,29804280,NC
-0.03632385,29804281,NC
-0.039949067,29804282,NC
-0.038619608,29804283,NC
-0.036181286,29804284,NC
-0.037500076,29804285,NC
-0.031256657,29804286,NC
-0.02245189,29804287,NC
-0.016011914,29804288,NC
-0.0072807465,29804289,NC
-0.0059976038,29804290,NC
-0.011127763,29804291,NC
-0.019247295,29804292,NC
-0.025550688,29804293,NC
-0.029481752,29804294,NC
-0.030470848,29804295,NC
-0.024984626,29804296,NC
-0.020898877,29804297,NC
-0.0120669,29804298,NC
-0.0022965854,29804299,NC
0.006290282,29804300,NC
0.014787868,29804301,NC
0.016126385,29804302,NC
0.012604154,29804303,NC
0.0064338185,29804304,NC
0.0002521749,29804305,NC
-0.004806916,29804306,NC
-0.0075609013,29804307,NC
-0.007422029,29804308,NC
-0.006235056,29804309,NC
-0.002420649,29804310,NC
0.0050243596,29804311,NC
0.012562893,29804312,NC
0.021321556,29804313,NC
0.030137919,29804314,NC
0.038987227,29804315,NC
0.04744328,29804316,NC
0.052504707,29804317,NC
0.054950316,29804318,NC
0.052554775,29804319,NC
0.04901353,29804320,NC
0.04884534,29804321,NC
0.048779454,29804322,NC
0.05637271,29804323,NC
0.0647265,29804324,NC
0.07734839,29804325,NC
0.09236398,29804326,NC
0.10334752,29804327,NC
0.11132079,29804328,NC
0.113651365,29804329,NC
0.116380006,29804330,NC
