channel_0,sample #,type
1.2836915,20077659,N
1.3108349,20077660,NC
1.1343684,20077661,NC
0.8127272,20077662,NC
0.44615093,20077663,NC
0.03971875,20077664,NC
-0.37758496,20077665,NC
-0.63641447,20077666,NC
-0.71672827,20077667,NC
-0.6699345,20077668,NC
-0.5954735,20077669,NC
-0.5466604,20077670,NC
-0.4745495,20077671,NC
-0.40739238,20077672,NC
-0.37413666,20077673,NC
-0.36588165,20077674,NC
-0.37660152,20077675,NC
-0.41086602,20077676,NC
-0.415022,20077677,NC
-0.38912165,20077678,NC
-0.35295674,20077679,NC
-0.3250398,20077680,NC
-0.28728154,20077681,NC
-0.2991656,20077682,NC
-0.3015452,20077683,NC
-0.32505074,20077684,NC
-0.3442634,20077685,NC
-0.36610416,20077686,NC
-0.38544837,20077687,NC
-0.385649,20077688,NC
-0.3631221,20077689,NC
-0.3250225,20077690,NC
-0.29821634,20077691,NC
-0.30707085,20077692,NC
-0.2995478,20077693,NC
-0.30507445,20077694,NC
-0.31429195,20077695,NC
-0.29650852,20077696,NC
-0.28597808,20077697,NC
-0.2802378,20077698,NC
-0.27453434,20077699,NC
-0.26990256,20077700,NC
-0.26966903,20077701,NC
-0.26305938,20077702,NC
-0.23124138,20077703,NC
-0.20675017,20077704,NC
-0.20523258,20077705,NC
-0.23791175,20077706,NC
-0.23762453,20077707,NC
-0.24601857,20077708,NC
-0.22073075,20077709,NC
-0.20792016,20077710,NC
-0.19313735,20077711,NC
-0.17571673,20077712,NC
-0.1692955,20077713,NC
-0.15908821,20077714,NC
-0.15046793,20077715,NC
-0.146039,20077716,NC
-0.13956426,20077717,NC
-0.13470978,20077718,NC
-0.12908551,20077719,NC
-0.12670374,20077720,NC
-0.098748215,20077721,NC
-0.075242795,20077722,NC
-0.07580331,20077723,NC
-0.076757185,20077724,NC
-0.04124586,20077725,NC
-0.0078513045,20077726,NC
0.041520692,20077727,NC
0.07050225,20077728,NC
0.06622236,20077729,NC
0.045620862,20077730,NC
0.035151556,20077731,NC
0.06082681,20077732,NC
0.076568626,20077733,NC
0.09920259,20077734,NC
0.11956468,20077735,NC
0.1343511,20077736,NC
0.10403216,20077737,NC
0.040558703,20077738,NC
-0.008546152,20077739,NC
-0.023694599,20077740,NC
-0.04816648,20077741,NC
-0.07571647,20077742,NC
-0.07563133,20077743,NC
-0.028554332,20077744,NC
-0.005532351,20077745,NC
-0.0036218455,20077746,NC
-0.007207256,20077747,NC
-0.024814049,20077748,NC
-0.046413116,20077749,NC
-0.067757115,20077750,NC
-0.06345863,20077751,NC
-0.069816515,20077752,NC
-0.100955024,20077753,NC
-0.1419097,20077754,NC
-0.20315984,20077755,NC
-0.21892625,20077756,NC
