channel_0,sample #,type
0.49833333,29446609,A
0.49333334,29446610,NC
0.43333334,29446611,NC
0.28,29446612,NC
0.06000001,29446613,NC
-0.17666668,29446614,NC
-0.375,29446615,NC
-0.50666666,29446616,NC
-0.57000005,29446617,NC
-0.5866667,29446618,NC
-0.58000004,29446619,NC
-0.5566667,29446620,NC
-0.5266667,29446621,NC
-0.49166667,29446622,NC
-0.465,29446623,NC
-0.4466667,29446624,NC
-0.44000003,29446625,NC
-0.43333337,29446626,NC
-0.42166668,29446627,NC
-0.4016667,29446628,NC
-0.38,29446629,NC
-0.36833334,29446630,NC
-0.365,29446631,NC
-0.37666667,29446632,NC
-0.39499998,29446633,NC
-0.4116667,29446634,NC
-0.4166667,29446635,NC
-0.41333336,29446636,NC
-0.40166667,29446637,NC
-0.38666666,29446638,NC
-0.36666667,29446639,NC
-0.3516667,29446640,NC
-0.33333334,29446641,NC
-0.315,29446642,NC
-0.2916667,29446643,NC
-0.26833332,29446644,NC
-0.24833333,29446645,NC
-0.22666666,29446646,NC
-0.215,29446647,NC
-0.20333335,29446648,NC
-0.2,29446649,NC
-0.20166665,29446650,NC
-0.20166665,29446651,NC
-0.20666668,29446652,NC
-0.21000001,29446653,NC
-0.21666668,29446654,NC
-0.22000001,29446655,NC
-0.22166668,29446656,NC
-0.22166668,29446657,NC
-0.22166668,29446658,NC
-0.21333334,29446659,NC
-0.21000001,29446660,NC
-0.20333335,29446661,NC
-0.20166667,29446662,NC
-0.19,29446663,NC
-0.18333334,29446664,NC
-0.18,29446665,NC
-0.185,29446666,NC
-0.195,29446667,NC
-0.205,29446668,NC
-0.21000001,29446669,NC
-0.20666668,29446670,NC
-0.19833334,29446671,NC
-0.19,29446672,NC
-0.18,29446673,NC
-0.17333335,29446674,NC
-0.16833334,29446675,NC
-0.165,29446676,NC
-0.16333334,29446677,NC
-0.16,29446678,NC
-0.15833333,29446679,NC
-0.15666667,29446680,NC
-0.15166667,29446681,NC
