channel_0,sample #,type
0.8952978,29697374,A
0.91428894,29697375,NC
0.8898718,29697376,NC
0.7298034,29697377,NC
0.44222286,29697378,NC
0.10038188,29697379,NC
-0.2061898,29697380,NC
-0.42865774,29697381,NC
-0.5507438,29697382,NC
-0.5833001,29697383,NC
-0.561596,29697384,NC
-0.5127615,29697385,NC
-0.458501,29697386,NC
-0.4232317,29697387,NC
-0.40152752,29697388,NC
-0.39338845,29697389,NC
-0.40424055,29697390,NC
-0.41780564,29697391,NC
-0.41780564,29697392,NC
-0.40695357,29697393,NC
-0.3879624,29697394,NC
-0.35269308,29697395,NC
-0.31471077,29697396,NC
-0.2957196,29697397,NC
-0.2875805,29697398,NC
-0.2902935,29697399,NC
-0.3092847,29697400,NC
-0.32284984,29697401,NC
-0.3282759,29697402,NC
-0.3309889,29697403,NC
-0.3282759,29697404,NC
-0.32556286,29697405,NC
-0.32013682,29697406,NC
-0.28486747,29697407,NC
-0.23874609,29697408,NC
-0.2061898,29697409,NC
-0.17363352,29697410,NC
-0.15464234,29697411,NC
-0.15464234,29697412,NC
-0.15464234,29697413,NC
-0.16006841,29697414,NC
-0.16549446,29697415,NC
-0.16549446,29697416,NC
-0.17092049,29697417,NC
-0.17092049,29697418,NC
-0.16006841,29697419,NC
-0.14379025,29697420,NC
-0.13565119,29697421,NC
-0.13022514,29697422,NC
-0.13022514,29697423,NC
-0.13293816,29697424,NC
-0.13293816,29697425,NC
-0.14379025,29697426,NC
-0.15192933,29697427,NC
-0.15192933,29697428,NC
-0.15735538,29697429,NC
-0.16006841,29697430,NC
-0.15464234,29697431,NC
-0.14379025,29697432,NC
-0.13293816,29697433,NC
-0.12479909,29697434,NC
-0.113947004,29697435,NC
-0.11123397,29697436,NC
-0.11123397,29697437,NC
-0.10852095,29697438,NC
-0.10852095,29697439,NC
-0.10852095,29697440,NC
-0.10580792,29697441,NC
-0.10038188,29697442,NC
-0.09495584,29697443,NC
-0.08410373,29697444,NC
-0.07596467,29697445,NC
-0.07053862,29697446,NC
-0.059686523,29697447,NC
-0.056973502,29697448,NC
-0.046121404,29697449,NC
-0.032556284,29697450,NC
-0.027130235,29697451,NC
-0.02170419,29697452,NC
-0.0135651175,29697453,NC
0.0027130237,29697454,NC
0.016278142,29697455,NC
0.037982333,29697456,NC
0.06511257,29697457,NC
0.08681676,29697458,NC
0.10852095,29697459,NC
0.13022514,29697460,NC
0.14650327,29697461,NC
0.15735538,29697462,NC
0.16549446,29697463,NC
0.16820747,29697464,NC
0.17363352,29697465,NC
0.18448561,29697466,NC
0.19533771,29697467,NC
0.2061898,29697468,NC
0.20890282,29697469,NC
0.20890282,29697470,NC
0.20347679,29697471,NC
0.19262469,29697472,NC
0.18719864,29697473,NC
0.17634654,29697474,NC
0.16278143,29697475,NC
0.15735537,29697476,NC
0.15192933,29697477,NC
0.14379025,29697478,NC
0.1492163,29697479,NC
0.15735537,29697480,NC
0.16549446,29697481,NC
0.17634654,29697482,NC
0.16820747,29697483,NC
0.14650327,29697484,NC
0.12751211,29697485,NC
0.10852095,29697486,NC
0.081390716,29697487,NC
0.062399544,29697488,NC
0.06782559,29697489,NC
0.06782559,29697490,NC
0.062399544,29697491,NC
0.05426047,29697492,NC
0.04883443,29697493,NC
0.037982333,29697494,NC
0.0135651175,29697495,NC
-0.010852095,29697496,NC
-0.032556284,29697497,NC
-0.05154745,29697498,NC
-0.07053862,29697499,NC
-0.09224281,29697500,NC
-0.10038188,29697501,NC
-0.1030949,29697502,NC
-0.11123397,29697503,NC
-0.11123397,29697504,NC
-0.119373046,29697505,NC
-0.11666002,29697506,NC
-0.10852095,29697507,NC
-0.11123397,29697508,NC
-0.11394699,29697509,NC
-0.12751211,29697510,NC
-0.14650327,29697511,NC
-0.16278143,29697512,NC
-0.18448561,29697513,NC
-0.18991168,29697514,NC
-0.17905955,29697515,NC
-0.17092049,29697516,NC
-0.16278143,29697517,NC
-0.14650327,29697518,NC
-0.13565119,29697519,NC
-0.13836421,29697520,NC
-0.13836421,29697521,NC
-0.13836421,29697522,NC
-0.14379025,29697523,NC
-0.14921631,29697524,NC
-0.15735538,29697525,NC
-0.15735538,29697526,NC
-0.14921631,29697527,NC
-0.14379025,29697528,NC
-0.13836421,29697529,NC
-0.13022514,29697530,NC
-0.12208606,29697531,NC
-0.119373046,29697532,NC
-0.12479909,29697533,NC
-0.13565119,29697534,NC
-0.13836421,29697535,NC
-0.14107724,29697536,NC
-0.14921631,29697537,NC
-0.15464234,29697538,NC
-0.1492163,29697539,NC
-0.13565119,29697540,NC
-0.12751211,29697541,NC
-0.11666002,29697542,NC
-0.10580792,29697543,NC
-0.1030949,29697544,NC
-0.10852094,29697545,NC
-0.119373046,29697546,NC
-0.13293816,29697547,NC
-0.13293816,29697548,NC
-0.13022514,29697549,NC
-0.13836421,29697550,NC
-0.13565119,29697551,NC
-0.12208606,29697552,NC
-0.119373046,29697553,NC
-0.12751211,29697554,NC
-0.12751211,29697555,NC
-0.12751211,29697556,NC
-0.13022514,29697557,NC
-0.13836421,29697558,NC
-0.15192933,29697559,NC
-0.16278143,29697560,NC
-0.16820747,29697561,NC
-0.17363352,29697562,NC
-0.17092049,29697563,NC
-0.15464237,29697564,NC
-0.13836421,29697565,NC
-0.119373046,29697566,NC
-0.113947004,29697567,NC
-0.11666002,29697568,NC
-0.11394699,29697569,NC
-0.11123397,29697570,NC
-0.10580792,29697571,NC
-0.10038188,29697572,NC
-0.09495584,29697573,NC
-0.089529775,29697574,NC
-0.081390716,29697575,NC
-0.06511257,29697576,NC
-0.046121404,29697577,NC
-0.032556284,29697578,NC
-0.032556284,29697579,NC
-0.03526931,29697580,NC
-0.03526931,29697581,NC
-0.04340838,29697582,NC
-0.04883443,29697583,NC
-0.04883443,29697584,NC
-0.04883443,29697585,NC
-0.04883443,29697586,NC
-0.04340838,29697587,NC
-0.032556284,29697588,NC
-0.027130237,29697589,NC
-0.029843261,29697590,NC
-0.032556284,29697591,NC
-0.02170419,29697592,NC
0.035269313,29697593,NC
0.14379025,29697594,NC
0.2902935,29697595,NC
0.458501,29697596,NC
0.6158564,29697597,NC
0.73522943,29697598,A
0.7894899,29697599,NC
0.7325164,29697600,NC
0.54531777,29697601,NC
0.2740154,29697602,NC
-0.03255628,29697603,NC
-0.30385867,29697604,NC
-0.4802052,29697605,NC
-0.561596,29697606,NC
-0.56973493,29697607,NC
-0.5398917,29697608,NC
-0.49648333,29697609,NC
-0.45578802,29697610,NC
-0.42594472,29697611,NC
-0.40695357,29697612,NC
-0.40695357,29697613,NC
-0.4232317,29697614,NC
-0.4367968,29697615,NC
-0.4449359,29697616,NC
-0.43950984,29697617,NC
-0.4123796,29697618,NC
