channel_0,sample #,type
0.63244414,29516080,R
0.6474093,29516081,NC
0.61570793,29516082,NC
0.47233966,29516083,NC
0.23897138,29516084,NC
-0.031063706,29516085,NC
-0.2694322,29516086,NC
-0.44446746,29516087,NC
-0.5461695,29516088,NC
-0.58620495,29516089,NC
-0.58124053,29516090,NC
-0.55460954,29516091,NC
-0.5196452,29516092,NC
-0.48801434,29516093,NC
-0.46805027,29516094,NC
-0.46641964,29516095,NC
-0.47645575,29516096,NC
-0.4831586,29516097,NC
-0.47486156,29516098,NC
-0.44989792,29516099,NC
-0.42160106,29516100,NC
-0.40163764,29516101,NC
-0.3916743,29516102,NC
-0.39671105,29516103,NC
-0.4100812,29516104,NC
-0.42511812,29516105,NC
-0.4318218,29516106,NC
-0.43019223,29516107,NC
-0.42189607,29516108,NC
-0.4052667,29516109,NC
-0.38030404,29516110,NC
-0.3553415,29516111,NC
-0.3337124,29516112,NC
-0.31875,29516113,NC
-0.3037877,29516114,NC
-0.28549218,29516115,NC
-0.26719674,29516116,NC
-0.24556804,29516117,NC
-0.22893943,29516118,NC
-0.21397759,29516119,NC
-0.21234916,29516120,NC
-0.21405414,29516121,NC
-0.2157592,29516122,NC
-0.2107977,29516123,NC
-0.20083626,29516124,NC
-0.19254158,29516125,NC
-0.1875803,29516126,NC
-0.19095245,29516127,NC
-0.20099138,29516128,NC
-0.2093637,29516129,NC
-0.21440277,29516130,NC
-0.21277526,29516131,NC
-0.2061478,29516132,NC
-0.1978538,29516133,NC
-0.18955985,29516134,NC
-0.19293267,29516135,NC
-0.19297223,29516136,NC
-0.19967854,29516137,NC
-0.19805157,29516138,NC
-0.2014247,29516139,NC
-0.19979791,29516140,NC
-0.19983786,29516141,NC
-0.20321123,29516142,NC
-0.19658469,29516143,NC
-0.18662487,29516144,NC
-0.1683318,29516145,NC
-0.16003883,29516146,NC
-0.16007924,29516147,NC
-0.17011973,29516148,NC
-0.18349363,29516149,NC
-0.19353427,29516150,NC
-0.19690835,29516151,NC
-0.19361581,29516152,NC
-0.18199003,29516153,NC
-0.16703099,29516154,NC
-0.152072,29516155,NC
-0.13877979,29516156,NC
-0.12715429,29516157,NC
-0.11719553,29516158,NC
-0.11223685,29516159,NC
-0.108944915,29516160,NC
-0.10731972,29516161,NC
-0.10736126,29516162,NC
-0.10906953,29516163,NC
-0.107444555,29516164,NC
-0.10081964,29516165,NC
-0.08586148,29516166,NC
-0.07257004,29516167,NC
-0.054278668,29516168,NC
-0.03765404,29516169,NC
-0.014362814,29516170,NC
0.0039283424,29516171,NC
0.018886097,29516172,NC
0.027177116,29516173,NC
0.0338014,29516174,NC
0.040425614,29516175,NC
0.042049758,29516176,NC
0.04534051,29516177,NC
0.041964516,29516178,NC
0.0419218,29516179,NC
0.04187901,29516180,NC
0.05683616,29516181,NC
0.0784599,29516182,NC
0.10008359,29516183,NC
0.1117072,29516184,NC
0.111664094,29516185,NC
0.10328758,29516186,NC
0.09324434,29516187,NC
0.08653436,29516188,NC
0.08649099,29516189,NC
0.0897809,29516190,NC
0.09640407,29516191,NC
0.09802717,29516192,NC
0.094650224,29516193,NC
0.08460653,29516194,NC
0.06789612,29516195,NC
0.05451898,29516196,NC
0.044475116,29516197,NC
0.046097852,29516198,NC
0.046053868,29516199,NC
0.042676486,29516200,NC
0.03429905,29516201,NC
0.01592155,29516202,NC
-0.009122675,29516203,NC
-0.037500292,29516204,NC
-0.059211295,29516205,NC
-0.069255695,29516206,NC
-0.074300155,29516207,NC
-0.07934466,29516208,NC
-0.0860559,29516209,NC
-0.09776719,29516210,NC
-0.10614521,29516211,NC
-0.11952327,29516212,NC
-0.12790139,29516213,NC
-0.1412796,29516214,NC
-0.14965782,29516215,NC
-0.15970278,29516216,NC
-0.1697478,29516217,NC
-0.17312619,29516218,NC
-0.16817132,29516219,NC
-0.15321647,29516220,NC
-0.14159504,29516221,NC
-0.13830698,29516222,NC
-0.14501897,29516223,NC
-0.15839767,29516224,NC
-0.16510978,29516225,NC
-0.16848859,29516226,NC
-0.17186745,29516227,NC
-0.18024635,29516228,NC
-0.18362531,29516229,NC
-0.183671,29516230,NC
-0.1803834,29516231,NC
-0.17876251,29516232,NC
-0.17880833,29516233,NC
-0.18718752,29516234,NC
-0.20556678,29516235,NC
-0.23061277,29516236,NC
-0.25232542,29516237,NC
-0.26570484,29516238,NC
-0.2624176,29516239,NC
-0.24913041,29516240,NC
-0.23084329,29516241,NC
-0.21755621,29516242,NC
-0.20926915,29516243,NC
-0.20098217,29516244,NC
-0.19102852,29516245,NC
-0.17440829,29516246,NC
-0.16778807,29516247,NC
