channel_0,sample #,type
0.43618596,29880989,A
0.4389235,29880990,NC
0.4113416,29880991,NC
0.31999353,29880992,NC
0.14568418,29880993,NC
-0.075970344,29880994,NC
-0.30028042,29880995,NC
-0.47607648,29880996,NC
-0.5832376,29880997,NC
-0.6299101,29880998,NC
-0.62979317,29880999,NC
-0.6106972,29881000,NC
-0.57985526,29881001,NC
-0.5548498,29881002,NC
-0.5371922,29881003,NC
-0.52917707,29881004,NC
-0.531946,29881005,NC
-0.5379298,29881006,NC
-0.5398142,29881007,NC
-0.53203386,29881008,NC
-0.5075975,29881009,NC
-0.47602442,29881010,NC
-0.4460225,29881011,NC
-0.42371732,29881012,NC
-0.4127787,29881013,NC
-0.41748515,29881014,NC
-0.43379244,29881015,NC
-0.45197064,29881016,NC
-0.47033903,29881017,NC
-0.4822529,29881018,NC
-0.47874033,29881019,NC
-0.46804267,29881020,NC
-0.45159134,29881021,NC
-0.42949143,29881022,NC
-0.40369782,29881023,NC
-0.37982988,29881024,NC
-0.35756278,29881025,NC
-0.33394334,29881026,NC
-0.31738946,29881027,NC
-0.30899683,29881028,NC
-0.29562822,29881029,NC
-0.28960678,29881030,NC
-0.28002924,29881031,NC
-0.26895756,29881032,NC
-0.26271188,29881033,NC
-0.2530946,29881034,NC
-0.24727197,29881035,NC
-0.24108459,29881036,NC
-0.23610348,29881037,NC
-0.2334164,29881038,NC
-0.23566185,29881039,NC
-0.24199091,29881040,NC
-0.2445507,29881041,NC
-0.24808933,29881042,NC
-0.24975301,29881043,NC
-0.24384272,29881044,NC
-0.23856686,29881045,NC
-0.23696546,29881046,NC
-0.23188262,29881047,NC
-0.23602599,29881048,NC
-0.24108924,29881049,NC
-0.23960622,29881050,NC
-0.24477035,29881051,NC
-0.25216618,29881052,NC
-0.2600313,29881053,NC
-0.2659647,29881054,NC
-0.2684573,29881055,NC
-0.27071255,29881056,NC
-0.26306123,29881057,NC
-0.2588545,29881058,NC
-0.2508842,29881059,NC
-0.24324252,29881060,NC
-0.23638287,29881061,NC
-0.23328857,29881062,NC
-0.23569433,29881063,NC
-0.2352106,29881064,NC
-0.23262072,29881065,NC
-0.22750312,29881066,NC
-0.2231425,29881067,NC
-0.21712427,29881068,NC
-0.2106953,29881069,NC
-0.20577054,29881070,NC
-0.19381034,29881071,NC
-0.18740611,29881072,NC
-0.18168738,29881073,NC
-0.16818216,29881074,NC
-0.16239288,29881075,NC
-0.15765975,29881076,NC
-0.15195875,29881077,NC
-0.14986676,29881078,NC
-0.14020547,29881079,NC
-0.12928034,29881080,NC
-0.11988397,29881081,NC
-0.103827275,29881082,NC
-0.09272864,29881083,NC
-0.08357411,29881084,NC
-0.07734288,29881085,NC
-0.07127524,29881086,NC
-0.06946339,29881087,NC
-0.06596102,29881088,NC
-0.054098405,29881089,NC
-0.047632076,29881090,NC
-0.028736208,29881091,NC
-0.011309839,29881092,NC
0.007829093,29881093,NC
0.02250512,29881094,NC
0.024870368,29881095,NC
