channel_0,sample #,type
0.16621582,11341828,R
0.25132367,11341829,NC
0.3839312,11341830,NC
0.39653844,11341831,NC
0.20164533,11341832,NC
-0.20074806,11341833,NC
-0.7431418,11341834,NC
-1.3155357,11341835,NC
-1.77293,11341836,NC
-2.0653245,11341837,NC
-2.2177196,11341838,NC
-2.2551148,11341839,NC
-2.2325103,11341840,NC
-2.2024064,11341841,NC
-2.1823025,11341842,NC
-2.1746988,11341843,NC
-2.1695955,11341844,NC
-2.1619928,11341845,NC
-2.16439,11341846,NC
-2.179288,11341847,NC
-2.1791859,11341848,NC
-2.161584,11341849,NC
-2.1389825,11341850,NC
-2.0838814,11341851,NC
-1.993781,11341852,NC
-1.8686802,11341853,NC
-1.7010801,11341854,NC
-1.5059804,11341855,NC
-1.3108809,11341856,NC
-1.1507816,11341857,NC
-1.0306828,11341858,NC
-0.9655843,11341859,NC
-0.94548595,11341860,NC
-0.952888,11341861,NC
-0.9802905,11341862,NC
-0.9951931,11341863,NC
-0.99009615,11341864,NC
-0.97749954,11341865,NC
-0.959903,11341866,NC
-0.93730694,11341867,NC
-0.91721123,11341868,NC
-0.8921159,11341869,NC
-0.8695208,11341870,NC
-0.85442597,11341871,NC
-0.84183156,11341872,NC
-0.85423744,11341873,NC
-0.8766436,11341874,NC
-0.88655007,11341875,NC
-0.8939569,11341876,NC
-0.903864,11341877,NC
-0.90877146,11341878,NC
-0.9211793,11341879,NC
-0.9335873,11341880,NC
-0.92599565,11341881,NC
-0.9159044,11341882,NC
-0.9233135,11341883,NC
-0.94572276,11341884,NC
-0.96063256,11341885,NC
-0.97054255,11341886,NC
-0.975453,11341887,NC
-0.9678636,11341888,NC
-0.9677746,11341889,NC
-0.96768594,11341890,NC
-0.9650976,11341891,NC
-0.9675095,11341892,NC
-0.97242177,11341893,NC
-0.99233437,11341894,NC
-1.0222473,11341895,NC
-1.0446606,11341896,NC
-1.0545741,11341897,NC
-1.066988,11341898,NC
-1.0844022,11341899,NC
-1.0868168,11341900,NC
-1.0767316,11341901,NC
-1.0716468,11341902,NC
-1.0690622,11341903,NC
-1.0714781,11341904,NC
-1.0738944,11341905,NC
-1.0788109,11341906,NC
-1.0887278,11341907,NC
-1.088645,11341908,NC
-1.0960624,11341909,NC
-1.1009803,11341910,NC
-1.0908984,11341911,NC
-1.0883169,11341912,NC
-1.0882357,11341913,NC
-1.0781548,11341914,NC
-1.0705742,11341915,NC
-1.060494,11341916,NC
-1.0429142,11341917,NC
-1.0328346,11341918,NC
-1.0227554,11341919,NC
-1.0076765,11341920,NC
-0.99509794,11341921,NC
-0.99001974,11341922,NC
-0.98494184,11341923,NC
-0.9748643,11341924,NC
-0.962287,11341925,NC
-0.9347101,11341926,NC
-0.9046336,11341927,NC
-0.88205737,11341928,NC
-0.86448145,11341929,NC
-0.8569059,11341930,NC
-0.84433067,11341931,NC
-0.82175577,11341932,NC
-0.8016812,11341933,NC
-0.79660696,11341934,NC
-0.79153305,11341935,NC
-0.7739595,11341936,NC
-0.7563863,11341937,NC
-0.7488134,11341938,NC
-0.74374086,11341939,NC
-0.7311686,11341940,NC
-0.7235967,11341941,NC
-0.7085252,11341942,NC
-0.69845396,11341943,NC
-0.7058831,11341944,NC
-0.7008126,11341945,NC
-0.69574237,11341946,NC
-0.7031725,11341947,NC
-0.70810294,11341948,NC
-0.7055338,11341949,NC
-0.7029649,11341950,NC
-0.7003964,11341951,NC
-0.69282824,11341952,NC
-0.6927604,11341953,NC
-0.7026929,11341954,NC
-0.71262574,11341955,NC
-0.7225589,11341956,NC
-0.72499245,11341957,NC
-0.7274263,11341958,NC
-0.7223605,11341959,NC
-0.70979506,11341960,NC
-0.7047299,11341961,NC
-0.7021651,11341962,NC
-0.7171007,11341963,NC
-0.7395366,11341964,NC
-0.75197285,11341965,NC
-0.7619094,11341966,NC
-0.76434636,11341967,NC
-0.74428356,11341968,NC
-0.7092212,11341969,NC
-0.6691592,11341970,NC
-0.64159745,11341971,NC
-0.6315361,11341972,NC
-0.6189751,11341973,NC
-0.6164144,11341974,NC
-0.638854,11341975,NC
-0.681294,11341976,NC
-0.7362344,11341977,NC
-0.7886751,11341978,NC
-0.82861614,11341979,NC
-0.85355747,11341980,NC
-0.85849917,11341981,NC
-0.8609413,11341982,NC
-0.85338366,11341983,NC
-0.83582646,11341984,NC
-0.83076954,11341985,NC
-0.828213,11341986,NC
-0.8181568,11341987,NC
-0.81060094,11341988,NC
-0.8130454,11341989,NC
-0.81549025,11341990,NC
-0.8179354,11341991,NC
-0.8228809,11341992,NC
-0.8328268,11341993,NC
-0.83527297,11341994,NC
-0.82771957,11341995,NC
-0.8076665,11341996,NC
-0.7751137,11341997,NC
-0.74006134,11341998,NC
-0.6950092,11341999,NC
-0.6599575,11342000,NC
-0.64990616,11342001,NC
-0.64235514,11342002,NC
-0.6373045,11342003,NC
-0.65225416,11342004,NC
-0.6647042,11342005,NC
-0.66965455,11342006,NC
-0.6721053,11342007,NC
-0.67955637,11342008,NC
-0.68450785,11342009,NC
-0.6869596,11342010,NC
-0.6944117,11342011,NC
-0.6868642,11342012,NC
-0.689317,11342013,NC
-0.6992702,11342014,NC
-0.7117237,11342015,NC
-0.72667754,11342016,NC
-0.72913176,11342017,NC
-0.7340864,11342018,NC
-0.7465413,11342019,NC
-0.75399655,11342020,NC
-0.7464522,11342021,NC
-0.7364082,11342022,NC
-0.7288645,11342023,NC
-0.7188211,11342024,NC
-0.71627814,11342025,NC
-0.7212355,11342026,NC
-0.73119324,11342027,NC
-0.7411514,11342028,NC
-0.7486098,11342029,NC
-0.7585686,11342030,NC
-0.7610277,11342031,NC
-0.76098716,11342032,NC
-0.76844704,11342033,NC
-0.7734072,11342034,NC
-0.78086776,11342035,NC
-0.79332864,11342036,NC
-0.8082899,11342037,NC
-0.8132515,11342038,NC
-0.7857135,11342039,NC
-0.72567576,11342040,NC
-0.6406384,11342041,NC
-0.52060145,11342042,NC
-0.3755648,11342043,NC
-0.24052852,11342044,NC
-0.14799258,11342045,NC
-0.10795702,11342046,NC
-0.0954218,11342047,NC
-0.09038694,11342048,NC
-0.04535243,11342049,NC
0.08218173,11342050,NC
0.27721554,11342051,NC
0.50474894,11342052,A
0.69728214,11342053,NC
0.78231484,11342054,NC
0.7073472,11342055,NC
0.45237923,11342056,NC
0.052410908,11342057,NC
-0.42005774,11342058,NC
-0.8725268,11342059,NC
-1.2149963,11342060,NC
-1.432466,11342061,NC
-1.5574361,11342062,NC
-1.6149064,11342063,NC
-1.6623774,11342064,NC
-1.7123486,11342065,NC
-1.76232,11342066,NC
-1.827292,11342067,NC
-1.8697642,11342068,NC
-1.8772367,11342069,NC
-1.8722097,11342070,NC
-1.8546829,11342071,NC
-1.8346566,11342072,NC
-1.8221306,11342073,NC
-1.8096049,11342074,NC
-1.7820797,11342075,NC
-1.7370548,11342076,NC
-1.6845303,11342077,NC
-1.5970061,11342078,NC
-1.4519823,11342079,NC
-1.2869588,11342080,NC
-1.1344355,11342081,NC
-1.0019128,11342082,NC
-0.88939035,11342083,NC
-0.82686836,11342084,NC
-0.8118467,11342085,NC
-0.81182534,11342086,NC
-0.82180434,11342087,NC
-0.83678365,11342088,NC
-0.8392634,11342089,NC
