channel_0,sample #,type
0.9310143,15035791,N
0.91537875,15035792,NC
0.89667016,15035793,NC
0.8389583,15035794,NC
0.72158265,15035795,NC
0.52465224,15035796,NC
0.28373626,15035797,NC
0.033892557,15035798,NC
-0.1910127,15035799,NC
-0.32226112,15035800,NC
-0.39672294,15035801,NC
-0.41055396,15035802,NC
-0.3908567,15035803,NC
-0.35278684,15035804,NC
-0.33415636,15035805,NC
-0.32349592,15035806,NC
-0.30577266,15035807,NC
-0.29062968,15035808,NC
-0.25705582,15035809,NC
-0.21614677,15035810,NC
-0.18604036,15035811,NC
-0.17115241,15035812,NC
-0.1610762,15035813,NC
-0.16769901,15035814,NC
-0.1689057,15035815,NC
-0.16286491,15035816,NC
-0.16159658,15035817,NC
-0.14683776,15035818,NC
-0.13364017,15035819,NC
-0.12402727,15035820,NC
-0.10380684,15035821,NC
-0.08784922,15035822,NC
-0.07195084,15035823,NC
-0.064620964,15035824,NC
-0.06280768,15035825,NC
-0.07314944,15035826,NC
-0.0793588,15035827,NC
-0.081243254,15035828,NC
-0.07939616,15035829,NC
-0.07794464,15035830,NC
-0.07061558,15035831,NC
-0.06459144,15035832,NC
-0.059917357,15035833,NC
-0.053508013,15035834,NC
-0.050064396,15035835,NC
-0.04264409,15035836,NC
-0.040979978,15035837,NC
-0.030150248,15035838,NC
-0.018206932,15035839,NC
-0.014355834,15035840,NC
-0.008345928,15035841,NC
-0.008300368,15035842,NC
-0.012010179,15035843,NC
-0.008632038,15035844,NC
-0.0058648987,15035845,NC
-0.002160673,15035846,NC
-0.0037298002,15035847,NC
-0.007985524,15035848,NC
0.0013031322,15035849,NC
0.014959826,15035850,NC
0.038879734,15035851,NC
0.05470866,15035852,NC
0.065655574,15035853,NC
0.074264765,15035854,NC
0.08302016,15035855,NC
0.086406216,15035856,NC
0.0897691,15035857,NC
0.090466894,15035858,NC
0.0878182,15035859,NC
0.078764886,15035860,NC
0.07600222,15035861,NC
0.07935708,15035862,NC
0.08684434,15035863,NC
0.10545361,15035864,NC
0.11509114,15035865,NC
0.12566909,15035866,NC
0.1287848,15035867,NC
0.120446265,15035868,NC
0.11415027,15035869,NC
0.11032904,15035870,NC
0.115942866,15035871,NC
0.12306899,15035872,NC
0.13330403,15035873,NC
0.13537335,15035874,NC
0.12590463,15035875,NC
0.1157097,15035876,NC
0.10576464,15035877,NC
0.10460114,15035878,NC
0.11155888,15035879,NC
0.11844599,15035880,NC
0.13050118,15035881,NC
0.13339858,15035882,NC
0.12714672,15035883,NC
0.10929197,15035884,NC
0.08967709,15035885,NC
0.08019115,15035886,NC
0.08179743,15035887,NC
0.07820849,15035888,NC
0.07764112,15035889,NC
0.07477762,15035890,NC
0.0632515,15035891,NC
0.06429066,15035892,NC
0.058775656,15035893,NC
0.055761024,15035894,NC
0.051107988,15035895,NC
0.04334858,15035896,NC
0.042678803,15035897,NC
0.033913802,15035898,NC
0.029654922,15035899,NC
0.019310324,15035900,NC
0.00048797033,15035901,NC
-0.0053535127,15035902,NC
0.0032357133,15035903,NC
0.008708124,15035904,NC
0.027960094,15035905,NC
0.028504403,15035906,NC
0.028718686,15035907,NC
0.017818043,15035908,NC
0.023845457,15035909,NC
0.024352537,15035910,NC
0.028252413,15035911,NC
0.023967188,15035912,NC
0.023128275,15035913,NC
0.0068757106,15035914,NC
0.0057566925,15035915,NC
-0.0023054965,15035916,NC
-0.006374314,15035917,NC
-0.010995516,15035918,NC
-0.007083145,15035919,NC
-0.01815177,15035920,NC
-0.026461417,15035921,NC
-0.03353899,15035922,NC
-0.042231318,15035923,NC
-0.055336505,15035924,NC
-0.06736301,15035925,NC
-0.061054613,15035926,NC
