channel_0,sample #,type
-1.254174,18842960,A
-1.2079014,18842961,NC
-1.1275074,18842962,NC
-1.027352,18842963,NC
-0.9158926,18842964,NC
-0.81441265,18842965,NC
-0.738299,18842966,NC
-0.6876985,18842967,NC
-0.6362038,18842968,NC
-0.57289106,18842969,NC
-0.4968918,18842970,NC
-0.42041588,18842971,NC
-0.34663275,18842972,NC
-0.30058947,18842973,NC
-0.25300306,18842974,NC
-0.20228545,18842975,NC
-0.14281793,18842976,NC
-0.084939584,18842977,NC
-0.06495088,18842978,NC
-0.05768212,18842979,NC
-0.050033163,18842980,NC
-0.030760858,18842981,NC
-0.013806544,18842982,NC
-0.006268725,18842983,NC
0.01023674,18842984,NC
0.0060380474,18842985,NC
0.013332553,18842986,NC
0.023733834,18842987,NC
0.045091346,18842988,NC
0.06462792,18842989,NC
0.075056486,18842990,NC
0.0817301,18842991,NC
0.08535467,18842992,NC
0.100708365,18842993,NC
0.11255442,18842994,NC
0.1344626,18842995,NC
0.1473242,18842996,NC
0.1561931,18842997,NC
0.17255178,18842998,NC
0.1917069,18842999,NC
0.21708098,18843000,NC
0.23276497,18843001,NC
0.24629535,18843002,NC
0.25589287,18843003,NC
0.2704993,18843004,NC
0.27956465,18843005,NC
0.30304992,18843006,NC
0.32225323,18843007,NC
0.33222884,18843008,NC
0.34249365,18843009,NC
0.3587008,18843010,NC
0.38734415,18843011,NC
0.4130823,18843012,NC
0.43363458,18843013,NC
0.45097205,18843014,NC
0.44983384,18843015,NC
0.46038187,18843016,NC
0.46922213,18843017,NC
0.47391972,18843018,NC
0.47589064,18843019,NC
0.46781477,18843020,NC
0.4539587,18843021,NC
0.42487097,18843022,NC
0.40761647,18843023,NC
0.40832826,18843024,NC
0.40718746,18843025,NC
0.3966807,18843026,NC
0.3967824,18843027,NC
0.37447575,18843028,NC
0.36811662,18843029,NC
0.36973745,18843030,NC
0.36306146,18843031,NC
0.35440236,18843032,NC
0.33768097,18843033,NC
0.3308361,18843034,NC
0.31559634,18843035,NC
0.30384082,18843036,NC
0.31217718,18843037,NC
0.29937938,18843038,NC
0.27487737,18843039,NC
0.25383472,18843040,NC
0.24244648,18843041,NC
0.23908314,18843042,NC
0.23179765,18843043,NC
0.2183891,18843044,NC
0.2125574,18843045,NC
0.18565118,18843046,NC
0.17685714,18843047,NC
0.16443956,18843048,NC
0.15641358,18843049,NC
0.15433177,18843050,NC
0.13663004,18843051,NC
0.117956296,18843052,NC
0.10590719,18843053,NC
0.10953234,18843054,NC
0.100008324,18843055,NC
0.09537165,18843056,NC
0.079899535,18843057,NC
0.063050404,18843058,NC
0.06618284,18843059,NC
0.064063154,18843060,NC
0.06078982,18843061,NC
0.051711287,18843062,NC
0.043446984,18843063,NC
0.029016545,18843064,NC
0.020096626,18843065,NC
0.01905266,18843066,NC
0.02355652,18843067,NC
0.02494145,18843068,NC
0.02097929,18843069,NC
0.005061526,18843070,NC
0.0080629885,18843071,NC
0.008507464,18843072,NC
0.0038118362,18843073,NC
