channel_0,sample #,type
0.51,29574948,A
0.59,29574949,NC
0.59,29574950,NC
0.49,29574951,NC
0.285,29574952,NC
0.025,29574953,NC
-0.225,29574954,NC
-0.41,29574955,NC
-0.52,29574956,NC
-0.555,29574957,NC
-0.55,29574958,NC
-0.525,29574959,NC
-0.49,29574960,NC
-0.46,29574961,NC
-0.43,29574962,NC
-0.405,29574963,NC
-0.385,29574964,NC
-0.39,29574965,NC
-0.395,29574966,NC
-0.42,29574967,NC
-0.43,29574968,NC
-0.42,29574969,NC
-0.39,29574970,NC
-0.34,29574971,NC
-0.295,29574972,NC
-0.275,29574973,NC
-0.265,29574974,NC
-0.275,29574975,NC
-0.3,29574976,NC
-0.305,29574977,NC
-0.33,29574978,NC
-0.32,29574979,NC
-0.325,29574980,NC
-0.315,29574981,NC
-0.295,29574982,NC
-0.28,29574983,NC
-0.25,29574984,NC
-0.21,29574985,NC
-0.195,29574986,NC
-0.165,29574987,NC
-0.15,29574988,NC
-0.15,29574989,NC
-0.15,29574990,NC
-0.155,29574991,NC
-0.17,29574992,NC
-0.18,29574993,NC
-0.185,29574994,NC
-0.175,29574995,NC
-0.17,29574996,NC
-0.155,29574997,NC
-0.145,29574998,NC
-0.14,29574999,NC
-0.16,29575000,NC
-0.15,29575001,NC
-0.17,29575002,NC
-0.17,29575003,NC
-0.175,29575004,NC
-0.175,29575005,NC
-0.175,29575006,NC
-0.165,29575007,NC
-0.165,29575008,NC
-0.16,29575009,NC
-0.135,29575010,NC
-0.135,29575011,NC
-0.135,29575012,NC
-0.15,29575013,NC
-0.145,29575014,NC
-0.145,29575015,NC
-0.145,29575016,NC
-0.15,29575017,NC
-0.15,29575018,NC
-0.135,29575019,NC
-0.135,29575020,NC
-0.115,29575021,NC
-0.11,29575022,NC
-0.105,29575023,NC
-0.1,29575024,NC
-0.09,29575025,NC
-0.09,29575026,NC
-0.1,29575027,NC
-0.09,29575028,NC
-0.09,29575029,NC
-0.085,29575030,NC
-0.075,29575031,NC
-0.065,29575032,NC
-0.06,29575033,NC
-0.06,29575034,NC
-0.04,29575035,NC
-0.03,29575036,NC
-0.02,29575037,NC
-0.005,29575038,NC
0.01,29575039,NC
0.015,29575040,NC
0.03,29575041,NC
0.025,29575042,NC
0.03,29575043,NC
0.035,29575044,NC
0.065,29575045,NC
0.07,29575046,NC
0.105,29575047,NC
0.09,29575048,NC
0.1,29575049,NC
0.1,29575050,NC
0.105,29575051,NC
0.115,29575052,NC
0.11,29575053,NC
0.11,29575054,NC
0.12,29575055,NC
0.115,29575056,NC
0.115,29575057,NC
0.115,29575058,NC
0.11,29575059,NC
0.105,29575060,NC
0.095,29575061,NC
0.08,29575062,NC
0.065,29575063,NC
0.04,29575064,NC
0.01,29575065,NC
0.005,29575066,NC
-0.015,29575067,NC
-0.025,29575068,NC
-0.025,29575069,NC
-0.025,29575070,NC
-0.035,29575071,NC
-0.035,29575072,NC
-0.05,29575073,NC
-0.045,29575074,NC
-0.08,29575075,NC
-0.085,29575076,NC
-0.115,29575077,NC
-0.13,29575078,NC
-0.13,29575079,NC
-0.15,29575080,NC
-0.155,29575081,NC
-0.145,29575082,NC
-0.135,29575083,NC
-0.14,29575084,NC
-0.165,29575085,NC
-0.165,29575086,NC
-0.175,29575087,NC
-0.185,29575088,NC
-0.19,29575089,NC
-0.195,29575090,NC
-0.21,29575091,NC
-0.19,29575092,NC
-0.2,29575093,NC
-0.17,29575094,NC
-0.17,29575095,NC
-0.175,29575096,NC
-0.18,29575097,NC
-0.19,29575098,NC
-0.195,29575099,NC
-0.2,29575100,NC
-0.2,29575101,NC
-0.2,29575102,NC
-0.205,29575103,NC
-0.185,29575104,NC
-0.18,29575105,NC
-0.175,29575106,NC
-0.16,29575107,NC
-0.165,29575108,NC
-0.17,29575109,NC
-0.175,29575110,NC
-0.18,29575111,NC
