channel_0,sample #,type
0.7024282,29731796,A
0.73274887,29731797,NC
0.6721076,29731798,NC
0.46491653,29731799,NC
0.19203073,29731800,NC
-0.12128256,29731801,NC
-0.3537408,29731802,NC
-0.52050436,29731803,NC
-0.58114564,29731804,NC
-0.58619905,29731805,NC
-0.5659853,29731806,NC
-0.5154509,29731807,NC
-0.4548096,29731808,NC
-0.41943553,29731809,NC
-0.40932867,29731810,NC
-0.3992218,29731811,NC
-0.4143821,29731812,NC
-0.4143821,29731813,NC
-0.41943553,29731814,NC
-0.3891149,29731815,NC
-0.36890116,29731816,NC
-0.3335271,29731817,NC
-0.30320644,29731818,NC
-0.29815295,29731819,NC
-0.30825987,29731820,NC
-0.31836674,29731821,NC
-0.33858052,29731822,NC
-0.36384773,29731823,NC
-0.34868738,29731824,NC
-0.3537408,29731825,NC
-0.33858052,29731826,NC
-0.3284736,29731827,NC
-0.30825987,29731828,NC
-0.28299266,29731829,NC
-0.26277888,29731830,NC
-0.2375117,29731831,NC
-0.20213762,29731832,NC
-0.1869773,29731833,NC
-0.16676354,29731834,NC
-0.16676354,29731835,NC
-0.15160322,29731836,NC
-0.14654976,29731837,NC
-0.14654976,29731838,NC
-0.15665665,29731839,NC
-0.16676354,29731840,NC
-0.16171008,29731841,NC
-0.17181697,29731842,NC
-0.17181697,29731843,NC
-0.1768704,29731844,NC
-0.16676354,29731845,NC
-0.17181697,29731846,NC
-0.16171008,29731847,NC
-0.14654976,29731848,NC
-0.14149633,29731849,NC
-0.14149633,29731850,NC
-0.15665665,29731851,NC
-0.15160322,29731852,NC
-0.16676354,29731853,NC
-0.18192387,29731854,NC
-0.1768704,29731855,NC
-0.18192387,29731856,NC
-0.16171008,29731857,NC
-0.15665665,29731858,NC
-0.14654976,29731859,NC
-0.14149633,29731860,NC
-0.14654976,29731861,NC
-0.14654976,29731862,NC
-0.1364429,29731863,NC
-0.14654976,29731864,NC
-0.15665665,29731865,NC
-0.14654976,29731866,NC
-0.14149633,29731867,NC
-0.14149633,29731868,NC
-0.14149633,29731869,NC
-0.13138944,29731870,NC
-0.12633601,29731871,NC
-0.12128256,29731872,NC
-0.12128256,29731873,NC
-0.11622913,29731874,NC
-0.10612224,29731875,NC
-0.10612224,29731876,NC
-0.10612224,29731877,NC
-0.111175686,29731878,NC
-0.10106881,29731879,NC
-0.10106881,29731880,NC
-0.08085504,29731881,NC
-0.050534405,29731882,NC
-0.04042752,29731883,NC
-0.01516032,29731884,NC
-0.00505344,29731885,NC
0.00505344,29731886,NC
0.00505344,29731887,NC
0.00505344,29731888,NC
0.01010688,29731889,NC
0.01010688,29731890,NC
0.01516032,29731891,NC
0.035374083,29731892,NC
0.035374083,29731893,NC
0.055587843,29731894,NC
0.06569472,29731895,NC
0.08590849,29731896,NC
0.09096193,29731897,NC
0.09096193,29731898,NC
0.09096193,29731899,NC
0.096015364,29731900,NC
0.09096193,29731901,NC
0.08085504,29731902,NC
0.09096193,29731903,NC
0.096015364,29731904,NC
0.10612224,29731905,NC
0.111175686,29731906,NC
0.11622913,29731907,NC
0.10612224,29731908,NC
0.10612224,29731909,NC
0.08590849,29731910,NC
0.08085504,29731911,NC
0.055587843,29731912,NC
0.035374083,29731913,NC
0.01010688,29731914,NC
-0.01010688,29731915,NC
-0.02021376,29731916,NC
-0.025267202,29731917,NC
-0.035374083,29731918,NC
-0.050534405,29731919,NC
-0.06064128,29731920,NC
-0.070748165,29731921,NC
-0.08085504,29731922,NC
-0.08590849,29731923,NC
-0.111175686,29731924,NC
-0.13138944,29731925,NC
-0.14654976,29731926,NC
-0.15160322,29731927,NC
-0.16676354,29731928,NC
-0.16171008,29731929,NC
-0.16171008,29731930,NC
-0.16676354,29731931,NC
-0.17181697,29731932,NC
-0.17181697,29731933,NC
-0.1768704,29731934,NC
-0.1869773,29731935,NC
-0.1869773,29731936,NC
-0.20213762,29731937,NC
-0.21729794,29731938,NC
-0.21729794,29731939,NC
-0.22235137,29731940,NC
-0.23245826,29731941,NC
-0.23245826,29731942,NC
-0.21224448,29731943,NC
-0.21224448,29731944,NC
-0.21224448,29731945,NC
-0.20213762,29731946,NC
-0.20213762,29731947,NC
-0.20719105,29731948,NC
-0.20719105,29731949,NC
-0.22235137,29731950,NC
-0.21224448,29731951,NC
-0.21729794,29731952,NC
-0.21729794,29731953,NC
-0.20213762,29731954,NC
-0.21224448,29731955,NC
-0.20213762,29731956,NC
-0.21729794,29731957,NC
-0.2274048,29731958,NC
-0.2274048,29731959,NC
-0.2375117,29731960,NC
-0.24256513,29731961,NC
-0.2375117,29731962,NC
-0.25267202,29731963,NC
-0.25772545,29731964,NC
-0.24761859,29731965,NC
-0.24256513,29731966,NC
-0.24256513,29731967,NC
-0.2375117,29731968,NC
-0.24761859,29731969,NC
-0.23245826,29731970,NC
-0.23245826,29731971,NC
-0.2274048,29731972,NC
-0.2274048,29731973,NC
-0.24256513,29731974,NC
-0.24256513,29731975,NC
-0.2375117,29731976,NC
-0.21729794,29731977,NC
-0.20213762,29731978,NC
-0.1869773,29731979,NC
-0.18192387,29731980,NC
-0.1768704,29731981,NC
-0.1768704,29731982,NC
-0.18192387,29731983,NC
-0.18192387,29731984,NC
-0.1869773,29731985,NC
-0.20213762,29731986,NC
-0.20213762,29731987,NC
-0.19203073,29731988,NC
-0.19203073,29731989,NC
-0.19708416,29731990,NC
-0.20213762,29731991,NC
-0.1869773,29731992,NC
-0.21224448,29731993,NC
-0.20719105,29731994,NC
-0.20719105,29731995,NC
-0.19708416,29731996,NC
-0.20719105,29731997,NC
