channel_0,sample #,type
0.9993112,19708903,A
1.0236056,19708904,NC
0.9636793,19708905,NC
0.74179006,19708906,NC
0.40328765,19708907,NC
0.0016196072,19708908,NC
-0.3935699,19708909,NC
-0.6818639,19708910,NC
-0.7919986,19708911,NC
-0.7369312,19708912,NC
-0.6122198,19708913,NC
-0.48264948,19708914,NC
-0.38385212,19708915,NC
-0.32392582,19708916,NC
-0.31420803,19708917,NC
-0.32716507,19708918,NC
-0.3401221,19708919,NC
-0.33526325,19708920,NC
-0.32230622,19708921,NC
-0.3061099,19708922,NC
-0.29315287,19708923,NC
-0.28505468,19708924,NC
-0.28343508,19708925,NC
-0.28667435,19708926,NC
-0.2899136,19708927,NC
-0.29315287,19708928,NC
-0.29801175,19708929,NC
-0.30772954,19708930,NC
-0.31420806,19708931,NC
-0.30772954,19708932,NC
-0.29315287,19708933,NC
-0.28181547,19708934,NC
-0.28343508,19708935,NC
-0.28667432,19708936,NC
-0.28181547,19708937,NC
-0.26561916,19708938,NC
-0.244564,19708939,NC
-0.22674808,19708940,NC
-0.2121714,19708941,NC
-0.20083399,19708942,NC
-0.18625733,19708943,NC
-0.17006105,19708944,NC
-0.16196291,19708945,NC
-0.16196291,19708946,NC
-0.15710402,19708947,NC
-0.13766848,19708948,NC
-0.10851515,19708949,NC
-0.087459974,19708950,NC
-0.087459974,19708951,NC
-0.09879738,19708952,NC
-0.11175442,19708953,NC
-0.10365626,19708954,NC
-0.08584034,19708955,NC
-0.06478517,19708956,NC
-0.05668702,19708957,NC
-0.05992628,19708958,NC
-0.06478516,19708959,NC
-0.058306646,19708960,NC
-0.0388711,19708961,NC
-0.016196292,19708962,NC
-0.008098146,19708963,NC
-0.014576662,19708964,NC
-0.025914066,19708965,NC
-0.022674806,19708966,NC
-0.008098146,19708967,NC
0.0032392582,19708968,NC
-0.0016196291,19708969,NC
-0.008098146,19708970,NC
0.004858887,19708971,NC
0.03239258,19708972,NC
0.06640479,19708973,NC
0.082601085,19708974,NC
0.084220715,19708975,NC
0.05992628,19708976,NC
0.030772952,19708977,NC
0.014576662,19708978,NC
0.016196292,19708979,NC
0.017815921,19708980,NC
0.006478516,19708981,NC
-0.02105518,19708982,NC
-0.048588872,19708983,NC
-0.07612257,19708984,NC
-0.09555812,19708985,NC
-0.11013478,19708986,NC
-0.11985256,19708987,NC
-0.1279507,19708988,NC
-0.14414698,19708989,NC
-0.17006105,19708990,NC
-0.19597512,19708991,NC
-0.21703029,19708992,NC
-0.23160698,19708993,NC
-0.25104252,19708994,NC
-0.25752103,19708995,NC
-0.25428176,19708996,NC
-0.24132472,19708997,NC
-0.2348462,19708998,NC
-0.2397051,19708999,NC
-0.26237988,19709000,NC
-0.2899136,19709001,NC
-0.30772954,19709002,NC
-0.30449027,19709003,NC
-0.2996314,19709004,NC
-0.30287063,19709005,NC
-0.30772954,19709006,NC
-0.30449027,19709007,NC
-0.2834351,19709008,NC
-0.25914064,19709009,NC
-0.23970509,19709010,NC
-0.23646584,19709011,NC
-0.24132474,19709012,NC
-0.24618362,19709013,NC
-0.244564,19709014,NC
-0.23808548,19709015,NC
-0.22674808,19709016,NC
-0.2170303,19709017,NC
-0.2056929,19709018,NC
-0.20245364,19709019,NC
-0.1894966,19709020,NC
-0.1781592,19709021,NC
-0.16520217,19709022,NC
