channel_0,sample #,type
1.2979202,25064980,N
1.4582303,25064981,NC
1.4630563,25064982,NC
1.2808304,25064983,NC
0.80960435,25064984,NC
0.17466034,25064985,NC
-0.46634483,25064986,NC
-1.1081975,25064987,NC
-1.6330245,25064988,NC
-1.6144127,25064989,NC
-1.346427,25064990,NC
-1.0462439,25064991,NC
-0.8278968,25064992,NC
-0.69012856,25064993,NC
-0.64806664,25064994,NC
-0.64833874,25064995,NC
-0.66235054,25064996,NC
-0.66828275,25064997,NC
-0.65444726,25064998,NC
-0.62549394,25064999,NC
-0.5942882,25065000,NC
-0.5737802,25065001,NC
-0.5721389,25065002,NC
-0.57747644,25065003,NC
-0.5833374,25065004,NC
-0.60815984,25065005,NC
-0.6131586,25065006,NC
-0.61313087,25065007,NC
-0.6207347,25065008,NC
-0.61710405,25065009,NC
-0.61563927,25065010,NC
-0.59653056,25065011,NC
-0.59625465,25065012,NC
-0.59187394,25065013,NC
-0.5875072,25065014,NC
-0.57337767,25065015,NC
-0.56714976,25065016,NC
-0.5742964,25065017,NC
-0.58390355,25065018,NC
-0.5757648,25065019,NC
-0.5877561,25065020,NC
-0.585361,25065021,NC
-0.5742735,25065022,NC
-0.56207484,25065023,NC
-0.5639706,25065024,NC
-0.5502604,25065025,NC
-0.5469536,25065026,NC
-0.54770523,25065027,NC
-0.5318704,25065028,NC
-0.547864,25065029,NC
-0.5445517,25065030,NC
-0.5523455,25065031,NC
-0.54857063,25065032,NC
-0.5461276,25065033,NC
-0.54162955,25065034,NC
-0.5395746,25065035,NC
-0.5217466,25065036,NC
-0.51937497,25065037,NC
-0.50499046,25065038,NC
-0.5077164,25065039,NC
-0.494058,25065040,NC
-0.50002646,25065041,NC
-0.48544216,25065042,NC
-0.49514648,25065043,NC
-0.49648404,25065044,NC
-0.48287567,25065045,NC
-0.48677477,25065046,NC
-0.47529188,25065047,NC
-0.46518993,25065048,NC
-0.45227143,25065049,NC
-0.46554786,25065050,NC
-0.45406395,25065051,NC
-0.44229564,25065052,NC
-0.45905223,25065053,NC
-0.43843415,25065054,NC
-0.43835503,25065055,NC
-0.4513856,25065056,NC
-0.43870357,25065057,NC
-0.44294208,25065058,NC
-0.4324187,25065059,NC
-0.42217636,25065060,NC
-0.40147913,25065061,NC
-0.3946887,25065062,NC
-0.385965,25065063,NC
-0.39147967,25065064,NC
-0.3908658,25065065,NC
-0.4017726,25065066,NC
-0.39828023,25065067,NC
-0.40593627,25065068,NC
-0.39793634,25065069,NC
-0.39316365,25065070,NC
-0.38219774,25065071,NC
-0.38779908,25065072,NC
-0.370577,25065073,NC
-0.3602127,25065074,NC
-0.3557392,25065075,NC
-0.36553013,25065076,NC
-0.36239582,25065077,NC
-0.3665529,25065078,NC
-0.38852888,25065079,NC
-0.3969322,25065080,NC
-0.39936924,25065081,NC
-0.37043366,25065082,NC
-0.3607726,25065083,NC
-0.34595054,25065084,NC
-0.33549523,25065085,NC
-0.3308176,25065086,NC
-0.320912,25065087,NC
-0.33678412,25065088,NC
-0.32702804,25065089,NC
-0.32047173,25065090,NC
-0.30320123,25065091,NC
-0.30255416,25065092,NC
-0.2877929,25065093,NC
-0.2777303,25065094,NC
-0.278354,25065095,NC
-0.2562756,25065096,NC
-0.26804748,25065097,NC
-0.27611244,25065098,NC
-0.2757618,25065099,NC
-0.2720356,25065100,NC
-0.29844314,25065101,NC
-0.3295415,25065102,NC
-0.3377499,25065103,NC
-0.3907289,25065104,NC
-0.39867246,25065105,NC
-0.38841933,25065106,NC
-0.3956575,25065107,NC
-0.3938731,25065108,NC
-0.4003164,25065109,NC
-0.39948606,25065110,NC
-0.39943603,25065111,NC
-0.3900611,25065112,NC
-0.3981421,25065113,NC
-0.38966542,25065114,NC
-0.3938533,25065115,NC
-0.39834142,25065116,NC
-0.37161964,25065117,NC
-0.38834962,25065118,NC
-0.37935352,25065119,NC
-0.36507553,25065120,NC
-0.34985808,25065121,NC
-0.32873085,25065122,NC
-0.30888814,25065123,NC
-0.3178845,25065124,NC
-0.33146617,25065125,NC
-0.34276667,25065126,NC
-0.34332037,25065127,NC
-0.3688299,25065128,NC
-0.37922353,25065129,NC
-0.38363618,25065130,NC
-0.40191817,25065131,NC
