channel_0,sample #,type
1.04,19786391,A
1.225,19786392,NC
1.2,19786393,NC
0.895,19786394,NC
0.365,19786395,NC
-0.21,19786396,NC
-0.69,19786397,NC
-0.97,19786398,NC
-0.97,19786399,NC
-0.81,19786400,NC
-0.66,19786401,NC
-0.575,19786402,NC
-0.53,19786403,NC
-0.51,19786404,NC
-0.48,19786405,NC
-0.46,19786406,NC
-0.455,19786407,NC
-0.46,19786408,NC
-0.46,19786409,NC
-0.47,19786410,NC
-0.49,19786411,NC
-0.475,19786412,NC
-0.475,19786413,NC
-0.495,19786414,NC
-0.48,19786415,NC
-0.47,19786416,NC
-0.435,19786417,NC
-0.44,19786418,NC
-0.465,19786419,NC
-0.505,19786420,NC
-0.525,19786421,NC
-0.51,19786422,NC
-0.485,19786423,NC
-0.46,19786424,NC
-0.455,19786425,NC
-0.475,19786426,NC
-0.49,19786427,NC
-0.495,19786428,NC
-0.49,19786429,NC
-0.505,19786430,NC
-0.51,19786431,NC
-0.525,19786432,NC
-0.54,19786433,NC
-0.525,19786434,NC
-0.52,19786435,NC
-0.505,19786436,NC
-0.51,19786437,NC
-0.515,19786438,NC
-0.5,19786439,NC
-0.495,19786440,NC
-0.46,19786441,NC
-0.43,19786442,NC
-0.435,19786443,NC
-0.47,19786444,NC
-0.47,19786445,NC
-0.455,19786446,NC
-0.43,19786447,NC
-0.425,19786448,NC
-0.43,19786449,NC
-0.44,19786450,NC
-0.44,19786451,NC
-0.44,19786452,NC
-0.425,19786453,NC
-0.4,19786454,NC
-0.37,19786455,NC
-0.365,19786456,NC
-0.36,19786457,NC
-0.355,19786458,NC
-0.34,19786459,NC
-0.32,19786460,NC
-0.31,19786461,NC
-0.31,19786462,NC
-0.32,19786463,NC
-0.33,19786464,NC
-0.31,19786465,NC
-0.3,19786466,NC
-0.31,19786467,NC
-0.325,19786468,NC
-0.35,19786469,NC
-0.35,19786470,NC
-0.36,19786471,NC
-0.375,19786472,NC
-0.395,19786473,NC
-0.42,19786474,NC
-0.435,19786475,NC
-0.44,19786476,NC
-0.455,19786477,NC
-0.44,19786478,NC
-0.455,19786479,NC
-0.495,19786480,NC
-0.52,19786481,NC
-0.52,19786482,NC
-0.505,19786483,NC
-0.5,19786484,NC
-0.505,19786485,NC
-0.525,19786486,NC
-0.555,19786487,NC
-0.54,19786488,NC
-0.515,19786489,NC
-0.505,19786490,NC
-0.505,19786491,NC
-0.52,19786492,NC
-0.535,19786493,NC
-0.535,19786494,NC
-0.5,19786495,NC
-0.5,19786496,NC
-0.52,19786497,NC
-0.525,19786498,NC
-0.53,19786499,NC
-0.525,19786500,NC
-0.515,19786501,NC
-0.52,19786502,NC
-0.505,19786503,NC
-0.5,19786504,NC
-0.505,19786505,NC
-0.5,19786506,NC
-0.49,19786507,NC
-0.465,19786508,NC
-0.46,19786509,NC
-0.455,19786510,NC
-0.46,19786511,NC
-0.455,19786512,NC
-0.415,19786513,NC
-0.405,19786514,NC
-0.42,19786515,NC
-0.43,19786516,NC
-0.405,19786517,NC
-0.325,19786518,NC
-0.18,19786519,NC
0.01,19786520,NC
0.24,19786521,NC
0.495,19786522,NC
0.745,19786523,NC
1.025,19786524,NC
1.275,19786525,A
1.39,19786526,NC
1.225,19786527,NC
0.84,19786528,NC
0.33,19786529,NC
-0.15,19786530,NC
-0.56,19786531,NC
-0.805,19786532,NC
-0.805,19786533,NC
-0.695,19786534,NC
-0.555,19786535,NC
-0.495,19786536,NC
-0.47,19786537,NC
-0.45,19786538,NC
-0.46,19786539,NC
-0.485,19786540,NC
-0.495,19786541,NC
-0.49,19786542,NC
-0.48,19786543,NC
-0.455,19786544,NC
-0.44,19786545,NC
-0.45,19786546,NC
-0.475,19786547,NC
-0.46,19786548,NC
-0.43,19786549,NC
-0.415,19786550,NC
-0.425,19786551,NC
-0.43,19786552,NC
-0.425,19786553,NC
-0.44,19786554,NC
-0.445,19786555,NC
-0.435,19786556,NC
-0.445,19786557,NC
-0.45,19786558,NC
-0.465,19786559,NC
-0.465,19786560,NC
-0.47,19786561,NC
-0.47,19786562,NC
-0.495,19786563,NC
-0.495,19786564,NC
-0.515,19786565,NC
-0.515,19786566,NC
-0.515,19786567,NC
-0.515,19786568,NC
-0.535,19786569,NC
-0.545,19786570,NC
-0.555,19786571,NC
-0.55,19786572,NC
-0.545,19786573,NC
-0.52,19786574,NC
-0.52,19786575,NC
-0.51,19786576,NC
-0.51,19786577,NC
-0.515,19786578,NC
-0.49,19786579,NC
-0.46,19786580,NC
-0.44,19786581,NC
-0.455,19786582,NC
-0.455,19786583,NC
-0.45,19786584,NC
-0.43,19786585,NC
-0.43,19786586,NC
-0.44,19786587,NC
-0.45,19786588,NC
-0.45,19786589,NC
-0.43,19786590,NC
-0.405,19786591,NC
-0.4,19786592,NC
-0.425,19786593,NC
-0.445,19786594,NC
-0.435,19786595,NC
-0.43,19786596,NC
-0.435,19786597,NC
-0.405,19786598,NC
