channel_0,sample #,type
1.3231387,4776734,B
1.2735829,4776735,NC
1.2240273,4776736,NC
1.1397824,4776737,NC
1.0555377,4776738,NC
0.98120403,4776739,NC
0.90687037,4776740,NC
0.84740347,4776741,NC
0.8028033,4776742,NC
0.7482919,4776743,NC
0.6690027,4776744,NC
0.57484674,4776745,NC
0.48564643,4776746,NC
0.3865349,4776747,NC
0.3072457,4776748,NC
0.2031786,4776749,NC
0.08920037,4776750,NC
-0.039644606,4776751,NC
-0.163534,4776752,NC
-0.27751225,4776753,NC
-0.3865349,4776754,NC
-0.49555758,4776755,NC
-0.6144914,4776756,NC
-0.7334252,4776757,NC
-0.7978477,4776758,NC
-0.84740347,4776759,NC
-0.85731465,4776760,NC
-0.85235906,4776761,NC
-0.83749235,4776762,NC
-0.85235906,4776763,NC
-0.91182595,4776764,NC
-1.0555377,4776765,NC
-1.1546491,4776766,NC
-1.2537607,4776767,NC
-1.3578278,4776768,NC
-1.4866728,4776769,NC
-1.6303844,4776770,NC
-1.7443627,4776771,NC
-1.7394071,4776772,NC
-1.6601179,4776773,NC
-1.5510952,4776774,NC
-1.4470282,4776775,NC
-1.3578278,4776776,NC
-1.248805,4776777,NC
-1.1596047,4776778,NC
-1.1397824,4776779,NC
-1.1298712,4776780,NC
-1.1298712,4776781,NC
-1.110049,4776782,NC
-1.110049,4776783,NC
-1.0604932,4776784,NC
-1.0307597,4776785,NC
-1.0208486,4776786,NC
-1.050582,4776787,NC
-1.07536,4776788,NC
-1.050582,4776789,NC
-1.0010263,4776790,NC
-0.95147055,4776791,NC
-0.90191483,4776792,NC
-0.85731465,4776793,NC
-0.8127144,4776794,NC
-0.7681142,4776795,NC
-0.7185585,4776796,NC
-0.6442248,4776797,NC
-0.5897136,4776798,NC
-0.51537985,4776799,NC
-0.4460018,4776800,NC
-0.3865349,4776801,NC
-0.3221124,4776802,NC
-0.23291206,4776803,NC
-0.1833563,4776804,NC
-0.14371169,4776805,NC
-0.123889394,4776806,NC
-0.113978244,4776807,NC
-0.10406709,4776808,NC
-0.07928921,4776809,NC
-0.06937806,4776810,NC
-0.044600185,4776811,NC
-0.03468903,4776812,NC
-0.019822303,4776813,NC
0.009911152,4776814,NC
0.019822303,4776815,NC
0.044600185,4776816,NC
0.054511335,4776817,NC
0.07433364,4776818,NC
0.06937806,4776819,NC
0.10406709,4776820,NC
0.13380055,4776821,NC
0.15857843,4776822,NC
0.1833563,4776823,NC
0.2031786,4776824,NC
0.21308976,4776825,NC
0.23291206,4776826,NC
0.2676011,4776827,NC
0.30229014,4776828,NC
0.31715685,4776829,NC
0.33697915,4776830,NC
0.35184586,4776831,NC
0.3914905,4776832,NC
0.4113128,4776833,NC
0.43609068,4776834,NC
0.45591298,4776835,NC
0.4707797,4776836,NC
0.48564643,4776837,NC
0.52033544,4776838,NC
0.5500689,4776839,NC
0.5698912,4776840,NC
0.57484674,4776841,NC
0.5847579,4776842,NC
0.6095358,4776843,NC
0.6293581,4776844,NC
0.654136,4776845,NC
0.6640472,4776846,NC
0.6690027,4776847,NC
0.6590916,4776848,NC
0.6690027,4776849,NC
0.6789139,4776850,NC
0.6838695,4776851,NC
0.6937806,4776852,NC
0.688825,4776853,NC
0.6789139,4776854,NC
0.6690027,4776855,NC
0.6690027,4776856,NC
0.6640472,4776857,NC
0.6491804,4776858,NC
0.6491804,4776859,NC
0.6095358,4776860,NC
0.5847579,4776861,NC
0.57484674,4776862,NC
0.55998003,4776863,NC
0.5302466,4776864,NC
0.49555758,4776865,NC
0.46086854,4776866,NC
0.42617953,4776867,NC
0.4063572,4776868,NC
0.35680148,4776869,NC
0.31715685,4776870,NC
0.2676011,4776871,NC
0.21308976,4776872,NC
0.17344515,4776873,NC
0.14866728,4776874,NC
0.10902267,4776875,NC
0.06442248,4776876,NC
0.019822303,4776877,NC
-0.029733455,4776878,NC
-0.06937806,4776879,NC
-0.08920037,4776880,NC
-0.10406709,4776881,NC
-0.13380055,4776882,NC
-0.15857843,4776883,NC
-0.2031786,4776884,NC
-0.22795649,4776885,NC
-0.24282321,4776886,NC
-0.24777879,4776887,NC
-0.2676011,4776888,NC
-0.2626455,4776889,NC
-0.2676011,4776890,NC
-0.2824678,4776891,NC
-0.24282321,4776892,NC
-0.22795649,4776893,NC
-0.21308976,4776894,NC
-0.19822304,4776895,NC
-0.17344515,4776896,NC
-0.14371169,4776897,NC
-0.10406709,4776898,NC
-0.07928921,4776899,NC
-0.06937806,4776900,NC
-0.06442248,4776901,NC
-0.06442248,4776902,NC
-0.04955576,4776903,NC
-0.02477788,4776904,NC
0.0,4776905,NC
-0.004955576,4776906,NC
-0.044600185,4776907,NC
-0.09415594,4776908,NC
-0.113978244,4776909,NC
-0.113978244,4776910,NC
-0.10406709,4776911,NC
-0.09911152,4776912,NC
-0.09911152,4776913,NC
-0.09911152,4776914,NC
-0.10406709,4776915,NC
-0.10902267,4776916,NC
-0.10406709,4776917,NC
-0.123889394,4776918,NC
-0.14866728,4776919,NC
-0.17840074,4776920,NC
-0.2230009,4776921,NC
-0.23291206,4776922,NC
-0.24777879,4776923,NC
-0.27255666,4776924,NC
-0.30229014,4776925,NC
-0.3320236,4776926,NC
-0.37662375,4776927,NC
-0.37662375,4776928,NC
-0.4063572,4776929,NC
-0.41626835,4776930,NC
-0.4311351,4776931,NC
-0.4460018,4776932,NC
