channel_0,sample #,type
1.0989532,1879840,B
0.7188992,1879841,NC
0.38976282,1879842,NC
0.23896077,1879843,NC
0.23153597,1879844,NC
0.2602603,1879845,NC
0.27121487,1879846,NC
0.26086202,1879847,NC
0.24949418,1879848,NC
0.25472644,1879849,NC
0.27368623,1879850,NC
0.28333896,1879851,NC
0.27679685,1879852,NC
0.272208,1879853,NC
0.2319028,1879854,NC
0.23216367,1879855,NC
0.22591741,1879856,NC
0.22174357,1879857,NC
0.20327929,1879858,NC
0.14583646,1879859,NC
0.097335756,1879860,NC
0.052238222,1879861,NC
0.010832391,1879862,NC
-0.05190791,1879863,NC
-0.115149,1879864,NC
-0.19320314,1879865,NC
-0.25502732,1879866,NC
-0.32297835,1879867,NC
-0.39046595,1879868,NC
-0.47069263,1879869,NC
-0.5649482,1879870,NC
-0.6464606,1879871,NC
-0.67552143,1879872,NC
-0.64147836,1879873,NC
-0.5940283,1879874,NC
-0.5493074,1879875,NC
-0.533768,1879876,NC
-0.5292619,1879877,NC
-0.54281455,1879878,NC
-0.53766346,1879879,NC
-0.5096315,1879880,NC
-0.48574442,1879881,NC
-0.4812299,1879882,NC
-0.476357,1879883,NC
-0.44229117,1879884,NC
-0.38541257,1879885,NC
-0.35696468,1879886,NC
-0.31784356,1879887,NC
-0.31798702,1879888,NC
-0.3569036,1879889,NC
-0.3573616,1879890,NC
-0.35820746,1879891,NC
-0.35205394,1879892,NC
-0.36273554,1879893,NC
-0.37400734,1879894,NC
-0.37996456,1879895,NC
-0.39091083,1879896,NC
-0.3862815,1879897,NC
-0.3450215,1879898,NC
-0.31086558,1879899,NC
-0.3172668,1879900,NC
-0.32181963,1879901,NC
-0.3353319,1879902,NC
-0.3360788,1879903,NC
-0.31698877,1879904,NC
-0.30399114,1879905,NC
-0.3063082,1879906,NC
-0.31077167,1879907,NC
-0.3223126,1879908,NC
-0.30497333,1879909,NC
-0.3056618,1879910,NC
-0.30413198,1879911,NC
-0.29333037,1879912,NC
-0.3052346,1879913,NC
-0.3174827,1879914,NC
-0.3006458,1879915,NC
-0.29967007,1879916,NC
-0.29936165,1879917,NC
-0.30565307,1879918,NC
-0.31053278,1879919,NC
-0.34556377,1879920,NC
-0.3178315,1879921,NC
-0.32388636,1879922,NC
-0.31351772,1879923,NC
-0.31758517,1879924,NC
-0.3280152,1879925,NC
-0.34053224,1879926,NC
-0.3340063,1879927,NC
-0.31650287,1879928,NC
-0.30481446,1879929,NC
-0.30497655,1879930,NC
-0.32752383,1879931,NC
-0.33472842,1879932,NC
-0.32821056,1879933,NC
-0.323766,1879934,NC
-0.31043062,1879935,NC
-0.3047217,1879936,NC
-0.32285807,1879937,NC
-0.32968694,1879938,NC
-0.31048688,1879939,NC
-0.3047845,1879940,NC
-0.3039519,1879941,NC
-0.3049232,1879942,NC
-0.29973567,1879943,NC
-0.31150258,1879944,NC
-0.2948251,1879945,NC
-0.28311515,1879946,NC
-0.2729552,1879947,NC
-0.26703772,1879948,NC
-0.26541665,1879949,NC
-0.2658923,1879950,NC
-0.25442472,1879951,NC
-0.23817004,1879952,NC
-0.20909558,1879953,NC
-0.20954773,1879954,NC
-0.19863333,1879955,NC
-0.21525294,1879956,NC
-0.18589398,1879957,NC
-0.16376135,1879958,NC
-0.15176445,1879959,NC
-0.14883445,1879960,NC
-0.15490203,1879961,NC
-0.14507739,1879962,NC
-0.11911064,1879963,NC
-0.11329276,1879964,NC
-0.08540122,1879965,NC
-0.08980053,1879966,NC
-0.102890484,1879967,NC
-0.09702841,1879968,NC
-0.071891025,1879969,NC
-0.05173331,1879970,NC
-0.04579409,1879971,NC
-0.04499255,1879972,NC
-0.05591551,1879973,NC
-0.0674613,1879974,NC
-0.055986635,1879975,NC
-0.060423996,1879976,NC
-0.06125414,1879977,NC
-0.062139496,1879978,NC
-0.07450137,1879979,NC
-0.07368116,1879980,NC
-0.090527676,1879981,NC
-0.08442126,1879982,NC
-0.08490855,1879983,NC
-0.090527214,1879984,NC
-0.10644505,1879985,NC
-0.12195723,1879986,NC
-0.13000931,1879987,NC
-0.11820384,1879988,NC
-0.12021854,1879989,NC
-0.13462894,1879990,NC
-0.1467319,1879991,NC
-0.15221386,1879992,NC
-0.15969168,1879993,NC
-0.14673696,1879994,NC
-0.14611557,1879995,NC
-0.16554989,1879996,NC
-0.15877865,1879997,NC
-0.17561819,1879998,NC
-0.17005743,1879999,NC
-0.1699169,1880000,NC
-0.1631867,1880001,NC
-0.1763033,1880002,NC
-0.181244,1880003,NC
-0.18740962,1880004,NC
-0.1753279,1880005,NC
-0.16897792,1880006,NC
-0.17042086,1880007,NC
-0.17504127,1880008,NC
-0.18854971,1880009,NC
-0.19156337,1880010,NC
-0.18192366,1880011,NC
-0.18254296,1880012,NC
-0.1874896,1880013,NC
-0.203407,1880014,NC
-0.20378874,1880015,NC
-0.20326547,1880016,NC
-0.20960201,1880017,NC
-0.19293594,1880018,NC
-0.19739439,1880019,NC
-0.18774043,1880020,NC
-0.18157573,1880021,NC
-0.19228685,1880022,NC
-0.18691686,1880023,NC
-0.18751206,1880024,NC
-0.17434743,1880025,NC
-0.1748021,1880026,NC
-0.18840589,1880027,NC
-0.18724538,1880028,NC
-0.1646955,1880029,NC
-0.16477689,1880030,NC
-0.15741302,1880031,NC
-0.15808667,1880032,NC
-0.17089555,1880033,NC
-0.17001098,1880034,NC
-0.17118134,1880035,NC
-0.16358979,1880036,NC
-0.16391394,1880037,NC
-0.16550863,1880038,NC
-0.17620032,1880039,NC
-0.18685034,1880040,NC
-0.18741474,1880041,NC
-0.1983999,1880042,NC
-0.19603844,1880043,NC
-0.21561012,1880044,NC
-0.23683898,1880045,NC
-0.23814386,1880046,NC
-0.23641762,1880047,NC
-0.24339166,1880048,NC
-0.24993569,1880049,NC
-0.26086983,1880050,NC
-0.27704775,1880051,NC
-0.27773747,1880052,NC
-0.27580518,1880053,NC
-0.27765578,1880054,NC
-0.2769007,1880055,NC
-0.27264777,1880056,NC
-0.2953271,1880057,NC
-0.3061918,1880058,NC
-0.29462406,1880059,NC
-0.29054704,1880060,NC
-0.29422048,1880061,NC
-0.30040687,1880062,NC
-0.30075875,1880063,NC
-0.31268254,1880064,NC
-0.30028853,1880065,NC
-0.31308672,1880066,NC
-0.30018613,1880067,NC
-0.3173442,1880068,NC
-0.31109503,1880069,NC
-0.3232684,1880070,NC
-0.30644208,1880071,NC
-0.32387877,1880072,NC
-0.3112663,1880073,NC
-0.31833875,1880074,NC
-0.32657713,1880075,NC
-0.3216652,1880076,NC
-0.31661403,1880077,NC
-0.31504792,1880078,NC
-0.30617213,1880079,NC
-0.31161776,1880080,NC
-0.3250103,1880081,NC
-0.34605482,1880082,NC
-0.3243438,1880083,NC
-0.31149772,1880084,NC
-0.31157896,1880085,NC
-0.31073362,1880086,NC
-0.33412609,1880087,NC
-0.32323933,1880088,NC
-0.32812813,1880089,NC
-0.31217286,1880090,NC
-0.3122887,1880091,NC
-0.31739527,1880092,NC
-0.323122,1880093,NC
-0.32769948,1880094,NC
-0.3164407,1880095,NC
-0.3076333,1880096,NC
