channel_0,sample #,type
1.2939569,4783172,B
1.2655033,4783173,NC
1.2180809,4783174,NC
1.1435597,4783175,NC
1.0527796,4783176,NC
0.94844997,4783177,NC
0.83328104,4783178,NC
0.72217697,4783179,NC
0.6110728,4783180,NC
0.49861372,4783181,NC
0.37260538,4783182,NC
0.22491814,4783183,NC
0.06503658,4783184,NC
-0.10297457,4783185,NC
-0.2736956,4783186,NC
-0.4647405,4783187,NC
-0.6883037,4783188,NC
-0.94438523,4783189,NC
-1.2126611,4783190,NC
-1.460613,4783191,NC
-1.671982,4783192,NC
-1.8413479,4783193,NC
-1.9836154,4783194,NC
-2.1136885,4783195,NC
-2.238342,4783196,NC
-2.3494463,4783197,NC
-2.4388716,4783198,NC
-2.506618,4783199,NC
-2.5553956,4783200,NC
-2.6150122,4783201,NC
-2.6868234,4783202,NC
-2.7694743,4783203,NC
-2.8588996,4783204,NC
-2.94426,4783205,NC
-3.0350401,4783206,NC
-3.1271753,4783207,NC
-3.1935668,4783208,NC
-3.203051,4783209,NC
-3.1298852,4783210,NC
-2.9727135,4783211,NC
-2.7626994,4783212,NC
-2.5364263,4783213,NC
-2.3155732,4783214,NC
-2.1258829,4783215,NC
-1.974131,4783216,NC
-1.8535423,4783217,NC
-1.7695367,4783218,NC
-1.6990805,4783219,NC
-1.6272693,4783220,NC
-1.556813,4783221,NC
-1.4877117,4783222,NC
-1.4348694,4783223,NC
-1.3982863,4783224,NC
-1.3752525,4783225,NC
-1.3508638,4783226,NC
-1.3075061,4783227,NC
-1.2505991,4783228,NC
-1.1747231,4783229,NC
-1.0920725,4783230,NC
-1.0094218,4783231,NC
-0.9240613,4783232,NC
-0.84005576,4783233,NC
-0.7533403,4783234,NC
-0.6747544,4783235,NC
-0.5975235,4783236,NC
-0.5202926,4783237,NC
-0.43493208,4783238,NC
-0.33331245,4783239,NC
-0.2371125,4783240,NC
-0.15446186,4783241,NC
-0.09890979,4783242,NC
-0.066391505,4783243,NC
-0.044712644,4783244,NC
-0.020323928,4783245,NC
0.012194358,4783246,NC
0.05148729,4783247,NC
0.08807036,4783248,NC
0.12600836,4783249,NC
0.15988158,4783250,NC
0.19104493,4783251,NC
0.23033786,4783252,NC
0.27369556,4783253,NC
0.3265378,4783254,NC
0.38615465,4783255,NC
0.45254618,4783256,NC
0.51216304,4783257,NC
0.5704249,4783258,NC
0.6273319,4783259,NC
0.6747545,4783260,NC
0.7167572,4783261,NC
0.74656564,4783262,NC
0.76824456,4783263,NC
0.78992337,4783264,NC
0.8143121,4783265,NC
0.8373459,4783266,NC
0.85360503,4783267,NC
0.8644445,4783268,NC
0.873929,4783269,NC
0.88341343,4783270,NC
0.90238243,4783271,NC
0.92541623,4783272,NC
0.9511599,4783273,NC
0.9823233,4783274,NC
1.0121317,4783275,NC
1.0351654,4783276,NC
1.0487148,4783277,NC
1.0527796,4783278,NC
1.0514246,4783279,NC
1.0527796,4783280,NC
1.0595542,4783281,NC
1.0744584,4783282,NC
1.0866528,4783283,NC
1.0907176,4783284,NC
1.082588,4783285,NC
1.0649738,4783286,NC
1.04194,4783287,NC
1.0216162,4783288,NC
1.005357,4783289,NC
0.99316263,4783290,NC
0.98096836,4783291,NC
0.9619993,4783292,NC
0.94167536,4783293,NC
0.91728663,4783294,NC
0.89696276,4783295,NC
0.8752839,4783296,NC
0.8387008,4783297,NC
0.79398817,4783298,NC
0.74656564,4783299,NC
0.71269244,4783300,NC
0.70185304,4783301,NC
0.6950784,4783302,NC
0.6761094,4783303,NC
0.63681644,4783304,NC
0.5812644,4783305,NC
