channel_0,sample #,type
1.0271423,23985724,V
1.021436,23985725,NC
0.9814915,23985726,NC
0.91301537,23985727,NC
0.78747576,23985728,NC
0.5592219,23985729,NC
0.23396018,23985730,NC
-0.14836499,23985731,NC
-0.46221402,23985732,NC
-0.6619361,23985733,NC
-0.7760631,23985734,NC
-0.8274202,23985735,NC
-0.85024554,23985736,NC
-0.8958964,23985737,NC
-0.88448364,23985738,NC
-0.8958964,23985739,NC
-0.88448364,23985740,NC
-0.91301537,23985741,NC
-0.9415471,23985742,NC
-0.9586661,23985743,NC
-0.9586661,23985744,NC
-0.9871979,23985745,NC
-0.9871979,23985746,NC
-0.9814915,23985747,NC
-0.9301344,23985748,NC
-0.8274202,23985749,NC
-0.7304123,23985750,NC
-0.62769806,23985751,NC
-0.5363965,23985752,NC
-0.45650768,23985753,NC
-0.40515056,23985754,NC
-0.36520615,23985755,NC
-0.3366744,23985756,NC
-0.31955537,23985757,NC
-0.3366744,23985758,NC
-0.3252617,23985759,NC
-0.33096805,23985760,NC
-0.31955537,23985761,NC
-0.30243632,23985762,NC
-0.29672998,23985763,NC
-0.30243632,23985764,NC
-0.31955537,23985765,NC
-0.33096805,23985766,NC
-0.31384903,23985767,NC
-0.2739046,23985768,NC
-0.2853173,23985769,NC
-0.2853173,23985770,NC
-0.30243632,23985771,NC
-0.2853173,23985772,NC
-0.29102364,23985773,NC
-0.27961096,23985774,NC
-0.2739046,23985775,NC
-0.27961096,23985776,NC
-0.29672998,23985777,NC
-0.30243632,23985778,NC
-0.29672998,23985779,NC
-0.29672998,23985780,NC
-0.27961096,23985781,NC
-0.31384903,23985782,NC
-0.3366744,23985783,NC
-0.3480871,23985784,NC
-0.3480871,23985785,NC
-0.35379344,23985786,NC
-0.35379344,23985787,NC
-0.3594998,23985788,NC
-0.3823252,23985789,NC
-0.38803154,23985790,NC
-0.40515056,23985791,NC
-0.39944422,23985792,NC
-0.4222696,23985793,NC
-0.43938863,23985794,NC
-0.46221402,23985795,NC
-0.4850394,23985796,NC
-0.47933304,23985797,NC
-0.4964521,23985798,NC
-0.5078648,23985799,NC
-0.5421029,23985800,NC
-0.56492823,23985801,NC
-0.576341,23985802,NC
-0.5820473,23985803,NC
-0.58775365,23985804,NC
-0.58775365,23985805,NC
-0.6162854,23985806,NC
-0.6448171,23985807,NC
-0.6619361,23985808,NC
-0.6562298,23985809,NC
-0.6619361,23985810,NC
-0.6562298,23985811,NC
-0.6619361,23985812,NC
-0.6733488,23985813,NC
-0.6733488,23985814,NC
-0.6562298,23985815,NC
-0.6505234,23985816,NC
-0.6448171,23985817,NC
