channel_0,sample #,type
0.81328726,1684399,B
0.65876263,1684400,NC
0.4839059,1684401,NC
0.31447107,1684402,NC
0.2358533,1684403,NC
0.22500947,1684404,NC
0.23991975,1684405,NC
0.25211906,1684406,NC
0.26431835,1684407,NC
0.27787316,1684408,NC
0.28329507,1684409,NC
0.27922863,1684410,NC
0.26974028,1684411,NC
0.25754094,1684412,NC
0.24534166,1684413,NC
0.23720878,1684414,NC
0.2222985,1684415,NC
0.20332181,1684416,NC
0.18027866,1684417,NC
0.14910266,1684418,NC
0.10843829,1684419,NC
0.054219145,1684420,NC
-0.018976703,1684421,NC
-0.10301639,1684422,NC
-0.18434513,1684423,NC
-0.2616074,1684424,NC
-0.33615875,1684425,NC
-0.41884297,1684426,NC
-0.5164374,1684427,NC
-0.6153873,1684428,NC
-0.6885832,1684429,NC
-0.7170483,1684430,NC
-0.70213795,1684431,NC
-0.66147363,1684432,NC
-0.6221648,1684433,NC
-0.60318804,1684434,NC
-0.5923443,1684435,NC
-0.5855669,1684436,NC
-0.574723,1684437,NC
-0.5571018,1684438,NC
-0.5354141,1684439,NC
-0.5137265,1684440,NC
-0.48119494,1684441,NC
-0.43781966,1684442,NC
-0.39444432,1684443,NC
-0.35242447,1684444,NC
-0.32938135,1684445,NC
-0.31989297,1684446,NC
-0.32124847,1684447,NC
-0.3185375,1684448,NC
-0.31718206,1684449,NC
-0.31176013,1684450,NC
-0.30769366,1684451,NC
-0.30904916,1684452,NC
-0.29956082,1684453,NC
-0.28329507,1684454,NC
-0.26838478,1684455,NC
-0.25618547,1684456,NC
-0.25483,1684457,NC
-0.26431835,1684458,NC
-0.26431835,1684459,NC
-0.26296288,1684460,NC
-0.25618547,1684461,NC
-0.24805263,1684462,NC
-0.25076357,1684463,NC
-0.25347453,1684464,NC
-0.25483,1684465,NC
-0.2616074,1684466,NC
-0.26567382,1684467,NC
-0.2765177,1684468,NC
-0.2927834,1684469,NC
-0.31040463,1684470,NC
-0.3266704,1684471,NC
-0.33209231,1684472,NC
-0.33615875,1684473,NC
-0.33615875,1684474,NC
-0.33615875,1684475,NC
-0.3442916,1684476,NC
-0.34835804,1684477,NC
-0.3564909,1684478,NC
-0.36326832,1684479,NC
-0.36597925,1684480,NC
-0.3754676,1684481,NC
-0.38360047,1684482,NC
-0.3876669,1684483,NC
-0.39173335,1684484,NC
-0.39308885,1684485,NC
-0.39444432,1684486,NC
-0.39986622,1684487,NC
-0.40664363,1684488,NC
-0.41206554,1684489,NC
-0.4093546,1684490,NC
-0.40664363,1684491,NC
-0.4039327,1684492,NC
-0.4025772,1684493,NC
-0.40528816,1684494,NC
-0.40664363,1684495,NC
-0.40393266,1684496,NC
-0.4012217,1684497,NC
-0.3957998,1684498,NC
-0.39037788,1684499,NC
-0.3890224,1684500,NC
-0.38088953,1684501,NC
-0.3686902,1684502,NC
-0.35784638,1684503,NC
-0.34429163,1684504,NC
-0.33615875,1684505,NC
-0.33073685,1684506,NC
-0.31853753,1684507,NC
-0.30227175,1684508,NC
-0.28329507,1684509,NC
-0.2616074,1684510,NC
-0.24534167,1684511,NC
-0.2358533,1684512,NC
-0.22365399,1684513,NC
-0.21416564,1684514,NC
-0.19925538,1684515,NC
-0.18298963,1684516,NC
-0.17079031,1684517,NC
-0.15859102,1684518,NC
-0.14774719,1684519,NC
-0.13961431,1684520,NC
-0.12605952,1684521,NC
-0.11386021,1684522,NC
-0.10979378,1684523,NC
-0.105727345,1684524,NC
-0.10708283,1684525,NC
-0.1084383,1684526,NC
-0.105727345,1684527,NC
-0.103016384,1684528,NC
-0.10301639,1684529,NC
-0.103016384,1684530,NC
-0.105727345,1684531,NC
-0.10437187,1684532,NC
-0.103016384,1684533,NC
-0.10437187,1684534,NC
-0.1084383,1684535,NC
-0.121993095,1684536,NC
-0.13283692,1684537,NC
-0.1409698,1684538,NC
-0.14503622,1684539,NC
-0.14368075,1684540,NC
-0.14774719,1684541,NC
-0.15588006,1684542,NC
-0.16536842,1684543,NC
-0.17214581,1684544,NC
-0.17756772,1684545,NC
-0.1789232,1684546,NC
-0.18027867,1684547,NC
-0.1857006,1684548,NC
-0.18841155,1684549,NC
-0.19247799,1684550,NC
-0.19518895,1684551,NC
-0.19518895,1684552,NC
-0.19654444,1684553,NC
-0.20332181,1684554,NC
-0.20603277,1684555,NC
-0.2100992,1684556,NC
-0.21145467,1684557,NC
-0.20874372,1684558,NC
-0.2100992,1684559,NC
-0.21552113,1684560,NC
-0.21823208,1684561,NC
-0.2168766,1684562,NC
-0.2168766,1684563,NC
-0.21281017,1684564,NC
-0.21281017,1684565,NC
-0.22094303,1684566,NC
-0.223654,1684567,NC
-0.223654,1684568,NC
-0.22094303,1684569,NC
-0.2168766,1684570,NC
-0.21823208,1684571,NC
-0.22094303,1684572,NC
-0.22500947,1684573,NC
-0.223654,1684574,NC
-0.21958756,1684575,NC
-0.21687661,1684576,NC
-0.2168766,1684577,NC
-0.21958756,1684578,NC
-0.22094305,1684579,NC
-0.21823208,1684580,NC
-0.21552113,1684581,NC
-0.21416564,1684582,NC
-0.21958755,1684583,NC
-0.22772042,1684584,NC
-0.23314235,1684585,NC
-0.23856427,1684586,NC
-0.23720878,1684587,NC
-0.23585331,1684588,NC
-0.23720878,1684589,NC
-0.23856425,1684590,NC
-0.24127524,1684591,NC
-0.2426307,1684592,NC
-0.24263069,1684593,NC
-0.23991974,1684594,NC
-0.2426307,1684595,NC
-0.24669713,1684596,NC
-0.25347453,1684597,NC
-0.25754097,1684598,NC
-0.25483,1684599,NC
-0.25347453,1684600,NC
-0.25211903,1684601,NC
-0.25754094,1684602,NC
-0.26296288,1684603,NC
-0.26567382,1684604,NC
-0.26974025,1684605,NC
-0.26567382,1684606,NC
-0.26567385,1684607,NC
-0.26974025,1684608,NC
-0.26974025,1684609,NC
-0.26838478,1684610,NC
-0.26567382,1684611,NC
-0.26431835,1684612,NC
-0.26702932,1684613,NC
-0.2738067,1684614,NC
-0.27922863,1684615,NC
-0.28058407,1684616,NC
-0.27922863,1684617,NC
-0.27787313,1684618,NC
-0.27922863,1684619,NC
-0.28193957,1684620,NC
-0.28193957,1684621,NC
-0.28193957,1684622,NC
-0.2792286,1684623,NC
-0.2751622,1684624,NC
-0.2738067,1684625,NC
-0.27787316,1684626,NC
-0.2805841,1684627,NC
-0.2819396,1684628,NC
-0.28193957,1684629,NC
-0.27922863,1684630,NC
-0.28193957,1684631,NC
-0.2873615,1684632,NC
-0.29142797,1684633,NC
-0.2927834,1684634,NC
-0.29007244,1684635,NC
-0.28736147,1684636,NC
-0.286006,1684637,NC
-0.2914279,1684638,NC
-0.2914279,1684639,NC
-0.29007244,1684640,NC
-0.28600603,1684641,NC
-0.2805841,1684642,NC
-0.286006,1684643,NC
-0.29007247,1684644,NC
-0.29549438,1684645,NC
-0.29278344,1684646,NC
-0.2873615,1684647,NC
-0.2819396,1684648,NC
-0.28193957,1684649,NC
-0.2873615,1684650,NC
-0.288717,1684651,NC
-0.29278344,1684652,NC
-0.28871697,1684653,NC
-0.2873615,1684654,NC
-0.29142797,1684655,NC
-0.29549438,1684656,NC
-0.30227178,1684657,NC
-0.29820532,1684658,NC
-0.2914279,1684659,NC
-0.2873615,1684660,NC
-0.28465056,1684661,NC
-0.29007247,1684662,NC
-0.29142797,1684663,NC
-0.2873615,1684664,NC
-0.2846505,1684665,NC
-0.2805841,1684666,NC
-0.28329507,1684667,NC
-0.2873615,1684668,NC
-0.2873615,1684669,NC
-0.28600603,1684670,NC
-0.28465053,1684671,NC
-0.28193957,1684672,NC
-0.28465053,1684673,NC
-0.28465053,1684674,NC
-0.2805841,1684675,NC
-0.27109575,1684676,NC
-0.25754097,1684677,NC
-0.24669713,1684678,NC
