channel_0,sample #,type
1.3630102,4657718,B
1.3039707,4657719,NC
1.2149314,4657720,NC
1.1008924,4657721,NC
0.99685365,4657722,NC
0.91281515,4657723,NC
0.84877676,4657724,NC
0.7947386,4657725,NC
0.7307005,4657726,NC
0.62166256,4657727,NC
0.4876247,4657728,NC
0.3685869,4657729,NC
0.2595491,4657730,NC
0.11551138,4657731,NC
-0.018526388,4657732,NC
-0.1975642,4657733,NC
-0.38160205,4657734,NC
-0.56564003,4657735,NC
-0.7246781,4657736,NC
-0.9137163,4657737,NC
-1.1027547,4657738,NC
-1.2917931,4657739,NC
-1.485832,4657740,NC
-1.6398709,4657741,NC
-1.7589102,4657742,NC
-1.8529497,4657743,NC
-1.9319897,4657744,NC
-2.00103,4657745,NC
-2.0700703,4657746,NC
-2.1341114,4657747,NC
-2.2231526,4657748,NC
-2.3271945,4657749,NC
-2.4112368,4657750,NC
-2.4852796,4657751,NC
-2.5143225,4657752,NC
-2.5483663,4657753,NC
-2.5624106,4657754,NC
-2.5464554,4657755,NC
-2.485501,4657756,NC
-2.3545473,4657757,NC
-2.203594,4657758,NC
-2.0326412,4657759,NC
-1.8416895,4657760,NC
-1.6707385,4657761,NC
-1.5447881,4657762,NC
-1.4588385,4657763,NC
-1.4028896,4657764,NC
-1.3369417,4657765,NC
-1.2659945,4657766,NC
-1.1900485,4657767,NC
-1.129103,4657768,NC
-1.0831586,4657769,NC
-1.0622152,4657770,NC
-1.0462728,4657771,NC
-1.0253313,4657772,NC
-0.99939066,4657773,NC
-0.9534513,4657774,NC
-0.9025129,4657775,NC
-0.81157565,4657776,NC
-0.73563945,4657777,NC
-0.6847045,4657778,NC
-0.64377064,4657779,NC
-0.58783793,4657780,NC
-0.5419065,4657781,NC
-0.4659763,4657782,NC
-0.38004738,4657783,NC
-0.30411968,4657784,NC
-0.23819333,4657785,NC
-0.1672683,4657786,NC
-0.10634464,4657787,NC
-0.050422348,4657788,NC
0.020498537,4657789,NC
0.071417995,4657790,NC
0.09233601,4657791,NC
0.103252545,4657792,NC
0.11416758,4657793,NC
0.16008109,4657794,NC
0.17599307,4657795,NC
0.18190347,4657796,NC
0.18281227,4657797,NC
0.20871946,4657798,NC
0.22462502,4657799,NC
0.2755289,4657800,NC
0.32643113,4657801,NC
0.36233163,4657802,NC
0.3882304,4657803,NC
0.38912743,4657804,NC
0.39502266,4657805,NC
0.4259161,4657806,NC
0.4818077,4657807,NC
0.5126975,4657808,NC
0.5535854,4657809,NC
0.5594714,4657810,NC
0.5853555,4657811,NC
0.60123765,4657812,NC
0.64211786,4657813,NC
0.6829961,4657814,NC
0.71387225,4657815,NC
0.75474644,4657816,NC
0.78561854,4657817,NC
0.8014887,4657818,NC
0.82735664,4657819,NC
0.88322246,4657820,NC
0.9290862,4657821,NC
0.9499477,4657822,NC
0.9558071,4657823,NC
0.9966642,4657824,NC
1.0175191,4657825,NC
1.0433718,4657826,NC
1.0592222,4657827,NC
1.0650704,4657828,NC
1.0909162,4657829,NC
1.1167595,4657830,NC
1.1476007,4657831,NC
1.1634394,4657832,NC
1.1642758,4657833,NC
1.1551095,4657834,NC
1.1409409,4657835,NC
1.1417699,4657836,NC
1.1475964,4657837,NC
1.1434203,4657838,NC
1.1392418,4657839,NC
1.1150608,4657840,NC
1.105877,4657841,NC
1.1166908,4657842,NC
1.102502,4657843,NC
1.0933105,4657844,NC
1.0441163,4657845,NC
1.0099194,4657846,NC
0.9907198,4657847,NC
1.0165176,4657848,NC
1.0073125,4657849,NC
1.0181048,4657850,NC
0.9988942,4657851,NC
0.9896809,4657852,NC
0.9604647,4657853,NC
0.9312457,4657854,NC
0.92202383,4657855,NC
0.892799,4657856,NC
0.8535714,4657857,NC
0.8343409,4657858,NC
0.81010735,4657859,NC
0.7458709,4657860,NC
0.68663144,4657861,NC
0.602389,4657862,NC
0.5331435,4657863,NC
0.468895,4657864,NC
0.40464345,4657865,NC
0.3753888,4657866,NC
0.37113106,4657867,NC
0.3318702,4657868,NC
0.27760625,4657869,NC
0.2183391,4657870,NC
0.1690688,4657871,NC
0.16479531,4657872,NC
0.1205186,4657873,NC
0.086238675,4657874,NC
0.021955498,4657875,NC
-0.02733095,4657876,NC
-0.07662067,4657877,NC
-0.1059137,4657878,NC
-0.14021005,4657879,NC
-0.17950973,4657880,NC
-0.21881275,4657881,NC
-0.23311917,4657882,NC
-0.25242895,4657883,NC
-0.27674216,4657884,NC
-0.29105884,4657885,NC
-0.3053789,4657886,NC
-0.32970244,4657887,NC
-0.36402947,4657888,NC
-0.37835997,4657889,NC
-0.38769397,4657890,NC
-0.38203156,4657891,NC
-0.39137262,4657892,NC
-0.40571737,4657893,NC
-0.4000656,4657894,NC
-0.39441746,4657895,NC
-0.38877288,4657896,NC
-0.39313203,4657897,NC
-0.37749472,4657898,NC
-0.38686115,4657899,NC
-0.39623126,4657900,NC
-0.40060502,4657901,NC
