channel_0,sample #,type
0.71597826,1476878,B
0.3739087,1476879,NC
0.16865091,1476880,NC
0.11730631,1476881,NC
0.14006855,1476882,NC
0.14573036,1476883,NC
0.1684945,1476884,NC
0.17415823,1476885,NC
0.19122383,1476886,NC
0.17978814,1476887,NC
0.17405385,1476888,NC
0.15121917,1476889,NC
0.11698457,1476890,NC
0.12835453,1476891,NC
0.13402501,1476892,NC
0.12829554,1476893,NC
0.12256705,1476894,NC
0.11113907,1476895,NC
0.08261069,1476896,NC
0.059783727,1476897,NC
0.008455486,1476898,NC
-0.077074505,1476899,NC
-0.16830397,1476900,NC
-0.23673068,1476901,NC
-0.2937555,1476902,NC
-0.3792816,1476903,NC
-0.4705072,1476904,NC
-0.58453363,1476905,NC
-0.6757573,1476906,NC
-0.69857454,1476907,NC
-0.6643864,1476908,NC
-0.59029394,1476909,NC
-0.5390025,1476910,NC
-0.5276131,1476911,NC
-0.5504255,1476912,NC
-0.57323694,1476913,NC
-0.60744834,1476914,NC
-0.60175556,1476915,NC
-0.56755954,1476916,NC
-0.5561644,1476917,NC
-0.52766687,1476918,NC
-0.49346793,1476919,NC
-0.4421667,1476920,NC
-0.3737631,1476921,NC
-0.35096216,1476922,NC
-0.36236295,1476923,NC
-0.39656463,1476924,NC
-0.41936433,1476925,NC
-0.43646267,1476926,NC
-0.44785956,1476927,NC
-0.44215417,1476928,NC
-0.4592496,1476929,NC
-0.4649431,1476930,NC
-0.4421334,1476931,NC
-0.4250232,1476932,NC
-0.40791196,1476933,NC
-0.40220073,1476934,NC
-0.41358986,1476935,NC
-0.4363789,1476936,NC
-0.43636516,1476937,NC
-0.41924912,1476938,NC
-0.39643162,1476939,NC
-0.3736132,1476940,NC
-0.35649422,1476941,NC
-0.37357697,1476942,NC
-0.3792579,1476943,NC
-0.39633873,1476944,NC
-0.37921587,1476945,NC
-0.373493,1476946,NC
-0.3563682,1476947,NC
-0.3449429,1476948,NC
-0.33351666,1476949,NC
-0.32208937,1476950,NC
-0.3106612,1476951,NC
-0.32203382,1476952,NC
-0.3277051,1476953,NC
-0.35617715,1476954,NC
-0.36184645,1476955,NC
-0.3504134,1476956,NC
-0.36178127,1476957,NC
-0.33894542,1476958,NC
-0.35601178,1476959,NC
-0.3502753,1476960,NC
-0.35593888,1476961,NC
-0.3502005,1476962,NC
-0.3729635,1476963,NC
-0.36722326,1476964,NC
-0.3785834,1476965,NC
-0.4013435,1476966,NC
-0.38419944,1476967,NC
-0.39555678,1476968,NC
-0.3955122,1476969,NC
-0.40116712,1476970,NC
-0.40112063,1476971,NC
-0.4124741,1476972,NC
-0.41812617,1476973,NC
-0.41807687,1476974,NC
-0.38952434,1476975,NC
-0.3552704,1476976,NC
-0.3609187,1476977,NC
-0.3608656,1476978,NC
-0.3722124,1476979,NC
-0.37785786,1476980,NC
-0.37780192,1476981,NC
-0.3606437,1476982,NC
-0.33778405,1476983,NC
-0.33202487,1476984,NC
-0.33766562,1476985,NC
-0.32050362,1476986,NC
-0.30334073,1476987,NC
-0.28617686,1476988,NC
-0.28611344,1476989,NC
-0.28034863,1476990,NC
-0.28598377,1476991,NC
-0.2802171,1476992,NC
-0.25734818,1476993,NC
-0.24017875,1476994,NC
-0.22300841,1476995,NC
-0.21153757,1476996,NC
-0.20576629,1476997,NC
-0.1942936,1476998,NC
-0.1771196,1476999,NC
-0.1656451,1477000,NC
-0.17127104,1477001,NC
-0.17689605,1477002,NC
-0.19392107,1477003,NC
-0.18244292,1477004,NC
-0.17666434,1477005,NC
