channel_0,sample #,type
0.6558302,1472413,B
0.5282626,1472414,NC
0.3844842,1472415,NC
0.24287555,1472416,NC
0.17478883,1472417,NC
0.16400598,1472418,NC
0.1716036,1472419,NC
0.17812005,1472420,NC
0.1846365,1472421,NC
0.19439656,1472422,NC
0.20199424,1472423,NC
0.20418589,1472424,NC
0.19989033,1472425,NC
0.19018874,1472426,NC
0.18048719,1472427,NC
0.17835405,1472428,NC
0.18378934,1472429,NC
0.18922468,1472430,NC
0.19466001,1472431,NC
0.19577052,1472432,NC
0.19255622,1472433,NC
0.18717952,1472434,NC
0.17531562,1472435,NC
0.14939605,1472436,NC
0.107258394,1472437,NC
0.05755233,1472438,NC
0.0067650666,1472439,NC
-0.039697364,1472440,NC
-0.086159796,1472441,NC
-0.14559668,1472442,NC
-0.21692678,1472443,NC
-0.28176966,1472444,NC
-0.32498848,1472445,NC
-0.33577108,1472446,NC
-0.32709202,1472447,NC
-0.31625056,1472448,NC
-0.31730232,1472449,NC
-0.3291661,1472450,NC
-0.34319234,1472451,NC
-0.35613734,1472452,NC
-0.3680011,1472453,NC
-0.37770244,1472454,NC
-0.38416022,1472455,NC
-0.38737434,1472456,NC
-0.3797764,1472457,NC
-0.3667724,1472458,NC
-0.3570121,1472459,NC
-0.35265774,1472460,NC
-0.3537094,1472461,NC
-0.35800475,1472462,NC
-0.35905635,1472463,NC
-0.3514584,1472464,NC
-0.34386045,1472465,NC
-0.3416685,1472466,NC
-0.34163892,1472467,NC
-0.34809658,1472468,NC
-0.353473,1472469,NC
-0.35236225,1472470,NC
-0.34800783,1472471,NC
-0.34040982,1472472,NC
-0.3317306,1472473,NC
-0.32629496,1472474,NC
-0.31869692,1472475,NC
-0.31326127,1472476,NC
-0.30998805,1472477,NC
-0.3067148,1472478,NC
-0.30776638,1472479,NC
-0.3034119,1472480,NC
-0.29473263,1472481,NC
-0.28821576,1472482,NC
-0.28169885,1472483,NC
-0.28275043,1472484,NC
-0.29028916,1472485,NC
-0.29350314,1472486,NC
-0.29779828,1472487,NC
-0.29884982,1472488,NC
-0.29882014,1472489,NC
-0.30311525,1472490,NC
-0.30308557,1472491,NC
-0.30305585,1472492,NC
-0.29762012,1472493,NC
-0.2867784,1472494,NC
-0.28350505,1472495,NC
-0.28671896,1472496,NC
-0.29750127,1472497,NC
-0.30504,1472498,NC
-0.3060915,1472499,NC
-0.2963309,1472500,NC
-0.28332672,1472501,NC
-0.27897215,1472502,NC
-0.2789424,1472503,NC
-0.27999383,1472504,NC
-0.2799641,1472505,NC
-0.27777192,1472506,NC
-0.27557975,1472507,NC
-0.27663118,1472508,NC
-0.2766014,1472509,NC
-0.2722468,1472510,NC
-0.2657298,1472511,NC
-0.26245642,1472512,NC
-0.26026425,1472513,NC
-0.26239687,1472514,NC
-0.26452947,1472515,NC
-0.25801247,1472516,NC
-0.24933302,1472517,NC
-0.23416635,1472518,NC
-0.21899965,1472519,NC
-0.20923902,1472520,NC
-0.20488438,1472521,NC
-0.20485456,1472522,NC
-0.20049994,1472523,NC
-0.1939829,1472524,NC
-0.18205982,1472525,NC
-0.17121793,1472526,NC
-0.16253847,1472527,NC
-0.1560214,1472528,NC
-0.15058553,1472529,NC
