channel_0,sample #,type
0.022395115,3047956,B
-0.012711181,3047957,NC
-0.04120387,3047958,NC
-0.031363033,3047959,NC
-0.03818868,3047960,NC
-0.053347457,3047961,NC
-0.0751727,3047962,NC
-0.083664395,3047963,NC
-0.09048921,3047964,NC
-0.09064713,3047965,NC
-0.092471495,3047966,NC
-0.09762895,3047967,NC
-0.10778616,3047968,NC
-0.12460979,3047969,NC
-0.1397665,3047970,NC
-0.15325627,3047971,NC
-0.16007912,3047972,NC
-0.16856834,3047973,NC
-0.18872398,3047974,NC
-0.22221264,3047975,NC
-0.260701,3047976,NC
-0.28752244,3047977,NC
-0.3060102,3047978,NC
-0.32949764,3047979,NC
-0.37298477,3047980,NC
-0.44147158,3047981,NC
-0.5116247,3047982,NC
-0.56511086,3047983,NC
-0.5935967,3047984,NC
-0.6170821,3047985,NC
-0.64723384,3047986,NC
-0.6807186,3047987,NC
-0.70586956,3047988,NC
-0.7226869,3047989,NC
-0.7328372,3047990,NC
-0.74465376,3047991,NC
-0.75480324,3047992,NC
-0.7599523,3047993,NC
-0.7617677,3047994,NC
-0.7619159,3047995,NC
-0.7603971,3047996,NC
-0.7588779,3047997,NC
-0.75402486,3047998,NC
-0.74917144,3047999,NC
-0.7359842,3048000,NC
-0.7077965,3048001,NC
-0.67294174,3048002,NC
-0.63141984,3048003,NC
-0.59323084,3048004,NC
-0.5583746,3048005,NC
-0.5268513,3048006,NC
-0.4936608,3048007,NC
-0.45213655,3048008,NC
-0.41227844,3048009,NC
-0.3824198,3048010,NC
-0.37422734,3048011,NC
-0.36603433,3048012,NC
-0.35784084,3048013,NC
-0.3363135,3048014,NC
-0.32311895,3048015,NC
-0.31492388,3048016,NC
-0.31172827,3048017,NC
-0.3085321,3048018,NC
-0.2936687,3048019,NC
-0.27880478,3048020,NC
-0.26060694,3048021,NC
-0.25574186,3048022,NC
-0.2575429,3048023,NC
-0.25767666,3048024,NC
-0.24947652,3048025,NC
-0.23294245,3048026,NC
-0.22307447,3048027,NC
-0.22487253,3048028,NC
-0.22833666,3048029,NC
-0.22846684,3048030,NC
-0.2135964,3048031,NC
-0.19039203,3048032,NC
-0.16718702,3048033,NC
-0.14898136,3048034,NC
-0.13910842,3048035,NC
-0.12756817,3048036,NC
-0.11602726,3048037,NC
-0.0994857,3048038,NC
-0.09127681,3048039,NC
-0.09140059,3048040,NC
-0.103190385,3048041,NC
-0.10831282,3048042,NC
-0.11176792,3048043,NC
-0.108555675,3048044,NC
-0.112009406,3048045,NC
-0.11379577,3048046,NC
-0.120581426,3048047,NC
-0.12236639,3048048,NC
-0.12081731,3048049,NC
-0.11593419,3048050,NC
-0.11438369,3048051,NC
-0.11783246,3048052,NC
-0.121280506,3048053,NC
-0.12306115,3048054,NC
-0.11650773,3048055,NC
-0.11162023,3048056,NC
-0.106731996,3048057,NC
-0.10850966,3048058,NC
-0.110286586,3048059,NC
-0.11039607,3048060,NC
-0.1055048,3048061,NC
-0.095612764,3048062,NC
-0.09071996,3048063,NC
-0.08915971,3048064,NC
-0.09259868,3048065,NC
-0.08603686,3048066,NC
-0.07780759,3048067,NC
-0.069577515,3048068,NC
-0.06467998,3048069,NC
-0.066448316,3048070,NC
-0.07154917,3048071,NC
-0.071649216,3048072,NC
-0.06841512,3048073,NC
-0.056846865,3048074,NC
-0.053611126,3048075,NC
-0.05037456,3048076,NC
-0.052137163,3048077,NC
-0.04723227,3048078,NC
-0.04232653,3048079,NC
-0.03575328,3048080,NC
-0.034179192,3048081,NC
-0.035937585,3048082,NC
-0.037695125,3048083,NC
-0.03778514,3048084,NC
-0.034540962,3048085,NC
-0.026295919,3048086,NC
-0.024716675,3048087,NC
-0.023136558,3048088,NC
-0.029888902,3048089,NC
-0.031640366,3048090,NC
-0.03172428,3048091,NC
-0.02680731,3048092,NC
-0.021889452,3048093,NC
-0.020304035,3048094,NC
-0.02371772,3048095,NC
-0.030463843,3048096,NC
-0.028875727,3048097,NC
-0.027286708,3048098,NC
-0.024030115,3048099,NC
-0.032439277,3048100,NC
-0.044180855,3048101,NC
-0.057588186,3048102,NC
-0.06932793,3048103,NC
-0.071066745,3048104,NC
-0.076137975,3048105,NC
-0.07787493,3048106,NC
-0.09127763,3048107,NC
-0.09801272,3048108,NC
-0.10974688,3048109,NC
-0.1114801,3048110,NC
-0.11821237,3048111,NC
-0.124943696,3048112,NC
-0.13834074,3048113,NC
-0.15007016,3048114,NC
-0.1534653,3048115,NC
-0.15352616,3048116,NC
-0.15525272,3048117,NC
-0.16031164,3048118,NC
-0.16870295,3048119,NC
-0.17375994,3048120,NC
-0.18048263,3048121,NC
-0.18387103,3048122,NC
-0.18725845,3048123,NC
-0.19564492,3048124,NC
-0.20403036,3048125,NC
-0.2107482,3048126,NC
-0.20913169,3048127,NC
-0.20418087,3048128,NC
-0.20589575,3048129,NC
-0.21260965,3048130,NC
-0.21932252,3048131,NC
-0.22603443,3048132,NC
-0.22607867,3048133,NC
-0.22945526,3048134,NC
-0.22449753,3048135,NC
-0.22620542,3048136,NC
-0.2312457,3048137,NC
-0.23795159,3048138,NC
-0.23798984,3048139,NC
-0.23136044,3048140,NC
-0.22973,3048141,NC
-0.23309857,3048142,NC
-0.24146613,3048143,NC
-0.24649933,3048144,NC
-0.24986485,3048145,NC
-0.24989602,3048146,NC
-0.24659286,3048147,NC
-0.24828869,3048148,NC
-0.25165015,3048149,NC
-0.25667727,3048150,NC
-0.2550367,3048151,NC
-0.2533951,3048152,NC
-0.2517525,3048153,NC
-0.25344223,3048154,NC
-0.25679755,3048155,NC
-0.26181853,3048156,NC
-0.2618385,3048157,NC
-0.2585241,3048158,NC
-0.25687534,3048159,NC
-0.2635589,3048160,NC
-0.27190807,3048161,NC
-0.27358955,3048162,NC
-0.27027002,3048163,NC
-0.2636161,3048164,NC
-0.26362783,3048165,NC
-0.26863855,3048166,NC
-0.27698153,3048167,NC
-0.2803235,3048168,NC
-0.27866447,3048169,NC
-0.27700436,3048170,NC
-0.27867657,3048171,NC
-0.28534776,3048172,NC
-0.28868458,3048173,NC
-0.28868702,3048174,NC
-0.28202176,3048175,NC
-0.28035545,3048176,NC
-0.28202146,3048177,NC
-0.28535312,3048178,NC
-0.29035038,3048179,NC
-0.29034662,3048180,NC
-0.28867516,3048181,NC
-0.27866936,3048182,NC
-0.27532917,3048183,NC
-0.2786546,3048184,NC
-0.28864568,3048185,NC
-0.29196906,3048186,NC
-0.2919581,3048187,NC
-0.2852794,3048188,NC
-0.286933,3048189,NC
-0.29025227,3048190,NC
-0.30023718,3048191,NC
-0.3035544,3048192,NC
-0.30520388,3048193,NC
-0.30018574,3048194,NC
-0.2951665,3048195,NC
-0.2934796,3048196,NC
-0.2984583,3048197,NC
-0.30343604,3048198,NC
-0.3050794,3048199,NC
-0.3000551,3048200,NC
-0.30169636,3048201,NC
-0.30166999,3048202,NC
-0.30997592,3048203,NC
-0.3116142,3048204,NC
-0.3099181,3048205,NC
-0.30155432,3048206,NC
-0.2948562,3048207,NC
-0.29815704,3048208,NC
-0.30479023,3048209,NC
-0.31475574,3048210,NC
-0.31305355,3048211,NC
-0.3096837,3048212,NC
-0.30131286,3048213,NC
-0.2996077,3048214,NC
-0.3029015,3048215,NC
-0.30452764,3048216,NC
-0.30281943,3048217,NC
-0.29611024,3048218,NC
-0.29440007,3048219,NC
-0.29602224,3048220,NC
-0.29931006,3048221,NC
-0.29759687,3048222,NC
-0.2908827,3048223,NC
-0.27583423,3048224,NC
-0.2707848,3048225,NC
-0.27073434,3048226,NC
-0.27901626,3048227,NC
-0.27563053,3048228,NC
-0.2672438,3048229,NC
-0.24385613,3048230,NC
-0.20880081,3048231,NC
-0.1387445,3048232,NC
0.016312763,3048233,NC
0.3030377,3048234,NC
0.6014302,3048235,NC
0.6914904,3048236,NC
0.49821812,3048237,NC
