channel_0,sample #,type
0.6272475,2767145,B
0.20708323,2767146,NC
-0.008081437,2767147,NC
-0.023246434,2767148,NC
0.006588234,2767149,NC
0.006422578,2767150,NC
-0.028743396,2767151,NC
-0.058909677,2767152,NC
-0.07907626,2767153,NC
-0.07924314,2767154,NC
-0.0744103,2767155,NC
-0.089577734,2767156,NC
-0.08974544,2767157,NC
-0.09491341,2767158,NC
-0.115081616,2767159,NC
-0.11525007,2767160,NC
-0.13541877,2767161,NC
-0.13558769,2767162,NC
-0.16075683,2767163,NC
-0.18592617,2767164,NC
-0.21609572,2767165,NC
-0.26626548,2767166,NC
-0.28643537,2767167,NC
-0.2966055,2767168,NC
-0.33177575,2767169,NC
-0.3969462,2767170,NC
-0.47211677,2767171,NC
-0.5522875,2767172,NC
-0.60745835,2767173,NC
-0.63262933,2767174,NC
-0.6378004,2767175,NC
-0.67797166,2767176,NC
-0.733143,2767177,NC
-0.7583143,2767178,NC
-0.7684858,2767179,NC
-0.7686573,2767180,NC
-0.758829,2767181,NC
-0.76900065,2767182,NC
-0.7841724,2767183,NC
-0.77434415,2767184,NC
-0.78951603,2767185,NC
-0.77968776,2767186,NC
-0.7598596,2767187,NC
-0.7450315,2767188,NC
-0.7252034,2767189,NC
-0.7053752,2767190,NC
-0.680547,2767191,NC
-0.6207188,2767192,NC
-0.56589055,2767193,NC
-0.5360623,2767194,NC
-0.50123394,2767195,NC
-0.48140553,2767196,NC
-0.43657705,2767197,NC
-0.3917485,2767198,NC
-0.34691986,2767199,NC
-0.33709115,2767200,NC
-0.33226234,2767201,NC
-0.3124334,2767202,NC
-0.33260432,2767203,NC
-0.31777513,2767204,NC
-0.31294578,2767205,NC
-0.2931163,2767206,NC
-0.2882867,2767207,NC
-0.2834569,2767208,NC
-0.27362695,2767209,NC
-0.24879679,2767210,NC
-0.24896647,2767211,NC
-0.24913594,2767212,NC
-0.2543052,2767213,NC
-0.26447424,2767214,NC
-0.2596431,2767215,NC
-0.24981171,2767216,NC
-0.24998008,2767217,NC
-0.2351482,2767218,NC
-0.23531608,2767219,NC
-0.22048369,2767220,NC
-0.22065102,2767221,NC
-0.20581807,2767222,NC
-0.18598485,2767223,NC
-0.17115133,2767224,NC
-0.16631748,2767225,NC
-0.16648334,2767226,NC
-0.16164888,2767227,NC
-0.1468141,2767228,NC
-0.14197898,2767229,NC
-0.1421435,2767230,NC
-0.15730767,2767231,NC
-0.14747149,2767232,NC
-0.15263492,2767233,NC
-0.12779799,2767234,NC
-0.11296068,2767235,NC
-0.11812297,2767236,NC
-0.11828486,2767237,NC
-0.118446335,2767238,NC
-0.1186074,2767239,NC
-0.09876804,2767240,NC
-0.08392824,2767241,NC
-0.079088,2767242,NC
-0.08424732,2767243,NC
-0.08940618,2767244,NC
-0.08956457,2767245,NC
-0.074722484,2767246,NC
-0.05987993,2767247,NC
-0.05503688,2767248,NC
-0.060193338,2767249,NC
-0.06034929,2767250,NC
-0.070504725,2767251,NC
-0.05065965,2767252,NC
-0.04581405,2767253,NC
-0.04596791,2767254,NC
-0.04612123,2767255,NC
-0.041274,2767256,NC
-0.04142621,2767257,NC
-0.031577863,2767258,NC
-0.01672894,2767259,NC
-0.011879438,2767260,NC
-0.022029348,2767261,NC
-0.017178666,2767262,NC
-0.012327381,2767263,NC
-0.012475488,2767264,NC
-0.0076229777,2767265,NC
-0.0077698445,2767266,NC
-0.0029160809,2767267,NC
-0.008061678,2767268,NC
-0.02320663,2767269,NC
0.0016490687,2767270,NC
0.0015054271,2767271,NC
0.011362454,2767272,NC
0.0012201527,2767273,NC
-0.003921468,2767274,NC
-0.014062399,2767275,NC
-0.014202638,2767276,NC
-0.014342173,2767277,NC
-0.009481001,2767278,NC
-0.024619114,2767279,NC
-0.024756502,2767280,NC
-0.039893165,2767281,NC
-0.03002909,2767282,NC
-0.035164274,2767283,NC
-0.045298707,2767284,NC
-0.050432388,2767285,NC
-0.060565304,2767286,NC
-0.08569745,2767287,NC
-0.085828826,2767288,NC
-0.075959414,2767289,NC
-0.086089216,2767290,NC
-0.091218226,2767291,NC
-0.11134642,2767292,NC
-0.12647383,2767293,NC
-0.12660041,2767294,NC
-0.14172618,2767295,NC
-0.14685111,2767296,NC
-0.15697522,2767297,NC
-0.16209848,2767298,NC
-0.17722091,2767299,NC
-0.17734247,2767300,NC
-0.1824632,2767301,NC
-0.18758306,2767302,NC
-0.19270203,2767303,NC
-0.20782015,2767304,NC
-0.21793738,2767305,NC
-0.22305372,2767306,NC
-0.22816917,2767307,NC
-0.22328372,2767308,NC
-0.22339737,2767309,NC
-0.24351011,2767310,NC
-0.25862193,2767311,NC
-0.24373285,2767312,NC
-0.24384284,2767313,NC
-0.2489519,2767314,NC
-0.25906,2767315,NC
-0.26916718,2767316,NC
-0.2842734,2767317,NC
-0.28437868,2767318,NC
-0.264483,2767319,NC
-0.26958635,2767320,NC
-0.27968875,2767321,NC
-0.29479018,2767322,NC
-0.2948906,2767323,NC
-0.28499004,2767324,NC
-0.2850885,2767325,NC
-0.275186,2767326,NC
-0.28528246,2767327,NC
-0.29037797,2767328,NC
-0.30547243,2767329,NC
-0.2955659,2767330,NC
-0.29065835,2767331,NC
-0.2907498,2767332,NC
-0.30084017,2767333,NC
-0.31092954,2767334,NC
-0.31101787,2767335,NC
-0.30610517,2767336,NC
-0.3111914,2767337,NC
-0.29127663,2767338,NC
-0.3013608,2767339,NC
-0.30644387,2767340,NC
-0.3165259,2767341,NC
-0.31160688,2767342,NC
-0.29668683,2767343,NC
-0.29676566,2767344,NC
-0.31184343,2767345,NC
-0.3069201,2767346,NC
-0.3169957,2767347,NC
-0.31207022,2767348,NC
-0.30714366,2767349,NC
-0.307216,2767350,NC
-0.3172872,2767351,NC
-0.31735736,2767352,NC
-0.31742638,2767353,NC
-0.3174943,2767354,NC
-0.32756114,2767355,NC
-0.32262683,2767356,NC
-0.3126914,2767357,NC
-0.32275486,2767358,NC
-0.3228172,2767359,NC
-0.3328784,2767360,NC
-0.3229385,2767361,NC
-0.3129974,2767362,NC
-0.32305524,2767363,NC
-0.3381119,2767364,NC
-0.33816743,2767365,NC
-0.35322183,2767366,NC
-0.33327505,2767367,NC
-0.32832715,2767368,NC
-0.34837806,2767369,NC
-0.35342786,2767370,NC
-0.34847647,2767371,NC
-0.34352392,2767372,NC
-0.33357024,2767373,NC
-0.33861536,2767374,NC
-0.33365935,2767375,NC
-0.34370214,2767376,NC
-0.3537438,2767377,NC
-0.33878422,2767378,NC
-0.3338235,2767379,NC
-0.3388616,2767380,NC
-0.34889853,2767381,NC
-0.35393432,2767382,NC
-0.35396886,2767383,NC
-0.34900224,2767384,NC
-0.34403443,2767385,NC
-0.34406543,2767386,NC
-0.34909526,2767387,NC
-0.36412388,2767388,NC
-0.36915132,2767389,NC
-0.36917758,2767390,NC
-0.35920262,2767391,NC
-0.34422648,2767392,NC
-0.34424913,2767393,NC
-0.3592706,2767394,NC
-0.36929086,2767395,NC
-0.3693099,2767396,NC
-0.3593278,2767397,NC
-0.35934445,2767398,NC
-0.36935988,2767399,NC
-0.36937416,2767400,NC
-0.3843872,2767401,NC
-0.37439904,2767402,NC
-0.3544097,2767403,NC
-0.3694191,2767404,NC
-0.37442732,2767405,NC
-0.38943437,2767406,NC
-0.39444017,2767407,NC
-0.37944478,2767408,NC
-0.36944818,2767409,NC
-0.37945035,2767410,NC
-0.38945135,2767411,NC
-0.39445114,2767412,NC
-0.3994497,2767413,NC
-0.38944706,2767414,NC
-0.3794432,2767415,NC
-0.38443816,2767416,NC
-0.3844319,2767417,NC
-0.39442444,2767418,NC
-0.40941572,2767419,NC
-0.39940587,2767420,NC
-0.3943948,2767421,NC
-0.3843825,2767422,NC
-0.399369,2767423,NC
-0.39935428,2767424,NC
-0.3993384,2767425,NC
-0.3893213,2767426,NC
-0.37430295,2767427,NC
-0.36428347,2767428,NC
-0.35426277,2767429,NC
